#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_CHEMBL3265015_CHEMBL3265011  1.62  0.35
edge_CHEMBL3265015_CHEMBL3265017  -2.14  0.53
edge_CHEMBL3265015_CHEMBL3265009  -1.73  0.89
edge_CHEMBL3265015_CHEMBL3264999  -1.18  2.88
edge_CHEMBL3265015_CHEMBL3265014  0.23  0.85
edge_CHEMBL3265015_CHEMBL3259820  -3.59  0.83
edge_CHEMBL3265031_CHEMBL3265024  -0.05  0.38
edge_CHEMBL3265031_CHEMBL3265037  1.09  0.75
edge_CHEMBL3265031_CHEMBL3265030_n  0.01  0.19
edge_CHEMBL3265021_CHEMBL3265011  4.40  0.46
edge_CHEMBL3265021_CHEMBL3265024  -0.78  0.39
edge_CHEMBL3265021_CHEMBL3265022  0.38  0.30
edge_CHEMBL3265021_CHEMBL3265020  1.00  0.31
edge_CHEMBL3265021_CHEMBL3265017  0.01  0.09
edge_CHEMBL3265021_CHEMBL3265035  -2.16  1.23
edge_CHEMBL3265021_CHEMBL3265023  -0.75  0.22
edge_CHEMBL3265021_CHEMBL3265013  0.48  0.38
edge_CHEMBL3264998_CHEMBL3264995  -0.71  0.46
edge_CHEMBL3264998_CHEMBL3265001  0.30  0.22
edge_CHEMBL3265035_CHEMBL3265024  1.19  0.50
edge_CHEMBL3265035_CHEMBL3264996  -1.97  1.18
edge_CHEMBL3265013_CHEMBL3265020  1.21  0.29
edge_CHEMBL3265013_CHEMBL3265023  0.21  0.41
edge_CHEMBL3265013_CHEMBL3265004  -1.76  0.41
edge_CHEMBL3265013_CHEMBL3265012  -0.76  0.12
edge_CHEMBL3265013_CHEMBL3259820  -0.85  0.15
edge_CHEMBL3265036_CHEMBL3265016  1.58  0.59
edge_CHEMBL3265036_CHEMBL3265029  0.41  0.41
edge_CHEMBL3265034_CHEMBL3265026  1.98  1.19
edge_CHEMBL3265034_CHEMBL3265027  -0.09  0.45
edge_CHEMBL3265034_CHEMBL3265037  -0.27  0.82
edge_CHEMBL3265034_CHEMBL3265033  -0.22  0.10
edge_CHEMBL3265014_CHEMBL3265028  -0.39  0.61
edge_CHEMBL3265014_CHEMBL3265022  -0.56  0.78
edge_CHEMBL3265014_CHEMBL3265025  -1.80  0.21
edge_CHEMBL3265014_CHEMBL3265006  -0.03  1.27
edge_CHEMBL3265009_CHEMBL3265008  -0.59  0.17
edge_CHEMBL3265009_CHEMBL3265020  0.85  0.32
edge_CHEMBL3265009_CHEMBL3265005  -0.26  0.19
edge_CHEMBL3265009_CHEMBL3265006  -0.13  0.17
edge_CHEMBL3265009_CHEMBL3265003  -2.73  0.40
edge_CHEMBL3265017_CHEMBL3265026  -0.36  0.21
edge_CHEMBL3265017_CHEMBL3265024  -0.36  0.36
edge_CHEMBL3265017_CHEMBL3265016  0.85  0.08
edge_CHEMBL3265017_CHEMBL3265027  0.96  0.70
edge_CHEMBL3265017_CHEMBL3265020  0.82  0.33
edge_CHEMBL3265017_CHEMBL3265032  0.63  1.43
edge_CHEMBL3265017_CHEMBL3265002  -2.95  1.29
edge_CHEMBL3265017_CHEMBL3265029  -0.37  0.29
edge_CHEMBL3265000_CHEMBL3264995  -0.95  0.22
edge_CHEMBL3265000_CHEMBL3264997  1.67  0.86
edge_CHEMBL3265000_CHEMBL3264994  3.34  1.81
edge_CHEMBL3265023_CHEMBL3265028  1.16  0.56
edge_CHEMBL3265023_CHEMBL3265022  0.77  0.24
edge_CHEMBL3265023_CHEMBL3265020  1.20  0.22
edge_CHEMBL3265004_CHEMBL3264999  0.27  0.10
edge_CHEMBL3265004_CHEMBL3265002  -0.11  0.29
edge_CHEMBL3265004_CHEMBL3265003  -0.45  0.25
edge_CHEMBL3265029_CHEMBL3265016  0.94  0.24
edge_CHEMBL3265029_CHEMBL3265027  0.16  0.09
edge_CHEMBL3265025_CHEMBL3265008  0.66  0.61
edge_CHEMBL3265025_CHEMBL3265020  1.89  0.33
edge_CHEMBL3265012_CHEMBL3265010  0.86  0.50
edge_CHEMBL3265012_CHEMBL3259820  0.19  0.18
edge_CHEMBL3265012_CHEMBL3265002  -2.20  0.98
edge_CHEMBL3265037_CHEMBL3265032  -0.84  0.29
edge_CHEMBL3265016_CHEMBL3265005  0.31  0.17
edge_CHEMBL3265016_CHEMBL3265020  -0.03  0.16
edge_CHEMBL3265032_CHEMBL3265022  1.92  0.27
edge_CHEMBL3265032_CHEMBL3265027  0.90  0.21
edge_CHEMBL3265032_CHEMBL3265033  0.27  0.11
edge_CHEMBL3264997_CHEMBL3264995  -2.23  0.60
edge_CHEMBL3264997_CHEMBL3264994  -0.90  0.70
edge_CHEMBL3265028_CHEMBL3265027  -0.47  0.23
edge_CHEMBL3265028_CHEMBL3265030_n  -1.63  0.17
edge_CHEMBL3265018_CHEMBL3265011  2.49  1.41
edge_CHEMBL3265018_CHEMBL3265005  1.55  0.31
edge_CHEMBL3265018_CHEMBL3265019  -0.70  0.06
edge_CHEMBL3265019_CHEMBL3265005  1.79  0.46
edge_CHEMBL3265027_CHEMBL3265033  -1.72  0.57
edge_CHEMBL3265027_CHEMBL3265020  0.63  0.58
edge_CHEMBL3265027_CHEMBL3265010  -0.70  1.27
edge_CHEMBL3265027_CHEMBL3265030_n  -1.07  0.14
edge_CHEMBL3265024_CHEMBL3265008  0.46  0.22
edge_CHEMBL3264995_CHEMBL3264994  2.86  1.74
edge_CHEMBL3264995_CHEMBL3265001  0.06  0.16
edge_CHEMBL3265033_CHEMBL3265022  1.07  0.35
edge_CHEMBL3265020_CHEMBL3265026  -0.72  0.31
edge_CHEMBL3265008_CHEMBL3259820  -0.57  0.23
edge_CHEMBL3265008_CHEMBL3265005  0.21  0.13
edge_CHEMBL3265008_CHEMBL3265006  -0.24  0.14
edge_CHEMBL3265002_CHEMBL3264999  0.70  0.10
edge_CHEMBL3265002_CHEMBL3264996  0.27  0.43
edge_CHEMBL3265010_CHEMBL3265011  4.92  0.42
edge_CHEMBL3265010_CHEMBL3264996  -1.80  1.95
edge_CHEMBL3265006_CHEMBL3265011  4.09  0.58
edge_CHEMBL3265006_CHEMBL3265026  0.31  0.47
edge_CHEMBL3265003_CHEMBL3264999  0.79  0.36
edge_CHEMBL3264999_CHEMBL3264996  -0.56  0.23
edge_CHEMBL3265002_CHEMBL3265001  0.63  0.93
edge_CHEMBL3265004_CHEMBL3265001  0.62  0.14
