leg,water,water,water,water,complex,complex,complex,complex,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,1,1,1,1,1,1,1,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr
edge_338_165,    105.21,      0.08,      0.09,     -0.02,    106.78,      0.18,      0.21,      0.12,      1.57,      0.20,      0.23,      1.57,      0.20,
edge_338_215,    116.05,      0.11,      0.11,     -0.07,    116.99,      0.18,      0.24,      0.22,      0.94,      0.21,      0.26,      0.94,      0.21,
edge_338_163,     88.76,      0.12,      0.13,      0.12,     88.47,      0.17,      0.18,      0.03,     -0.29,      0.21,      0.22,     -0.29,      0.21,
edge_43_235,     46.89,      0.16,      0.14,     -0.08,     44.66,      0.16,      0.32,      0.58,     -2.23,      0.23,      0.35,     -2.23,      0.23,
edge_43_54,   -135.36,      0.12,      0.12,      0.00,   -136.48,      0.33,      0.32,     -0.03,     -1.12,      0.35,      0.34,     -1.12,      0.35,
edge_43_215,    -86.82,      0.15,      0.16,      0.04,    -85.47,      0.18,      0.28,      0.34,      1.35,      0.23,      0.32,      1.35,      0.23,
edge_43_155,    -28.52,      0.11,      0.09,     -0.22,    -30.80,      0.10,      0.08,     -0.22,     -2.28,      0.15,      0.12,     -2.28,      0.15,
edge_43_25,      6.87,      0.15,      0.14,     -0.00,      5.92,      0.14,      0.18,      0.10,     -0.95,      0.21,      0.23,     -0.95,      0.21,
edge_235_1,    -83.71,      0.11,      0.12,      0.04,    -81.27,      0.11,      0.11,      0.03,      2.44,      0.16,      0.16,      2.44,      0.16,
edge_235_54,   -183.34,      0.12,      0.15,      0.15,   -181.57,      0.19,      0.57,      0.81,      1.77,      0.22,      0.59,      1.77,      0.22,
edge_234_227,    139.89,      0.09,      0.10,      0.00,    134.38,      0.15,      0.15,     -0.14,     -5.51,      0.17,      0.18,     -5.51,      0.17,
edge_234_289,    -19.41,      0.07,      0.08,     -0.00,    -19.11,      0.17,      0.16,      0.08,      0.30,      0.18,      0.18,      0.30,      0.18,
edge_30_42,     33.25,      0.11,      0.11,      0.02,     33.46,      0.14,      0.30,      0.66,      0.21,      0.18,      0.32,      0.21,      0.18,
edge_30_84,    -68.21,      0.05,      0.06,     -0.05,    -65.52,      0.08,      0.23,      0.74,      2.69,      0.09,      0.24,      2.69,      0.09,
edge_30_251,   -126.09,      0.11,      0.13,      0.04,   -127.64,      0.20,      0.13,     -0.34,     -1.55,      0.23,      0.18,     -1.55,      0.23,
edge_30_25,     51.48,      0.11,      0.11,     -0.07,     49.28,      0.32,      0.40,      0.25,     -2.20,      0.34,      0.41,     -2.20,      0.34,
edge_1_155,      7.31,      0.10,      0.10,     -0.16,      7.66,      0.09,      0.09,     -0.10,      0.35,      0.13,      0.13,      0.35,      0.13,
edge_1_7a,      1.46,      0.09,      0.09,     -0.00,      2.14,      0.09,      0.10,      0.06,      0.68,      0.13,      0.13,      0.68,      0.13,
edge_1_254,   -110.88,      0.11,      0.11,     -0.02,   -110.22,      0.16,      0.32,      0.60,      0.66,      0.19,      0.34,      0.66,      0.19,
edge_1_256,   -184.47,      0.13,      0.12,     -0.01,   -183.72,      0.35,      0.38,      0.18,      0.75,      0.37,      0.40,      0.75,      0.37,
edge_1_15,     27.61,      0.11,      0.10,     -0.09,     26.97,      0.09,      0.09,      0.10,     -0.64,      0.14,      0.13,     -0.64,      0.14,
edge_237_227,     41.57,      0.14,      0.12,     -0.07,     31.92,      0.19,      0.15,     -0.09,     -9.65,      0.24,      0.19,     -9.65,      0.24,
edge_237_31,    -19.66,      0.14,      0.15,     -0.03,    -20.68,      0.12,      0.20,      0.43,     -1.02,      0.18,      0.25,     -1.02,      0.18,
edge_237_41,     -8.55,      0.12,      0.11,     -0.13,     -7.20,      0.16,      0.16,      0.04,      1.35,      0.20,      0.19,      1.35,      0.20,
edge_237_336,   -205.86,      0.15,      0.20,      0.24,   -207.56,      0.38,      0.31,     -0.26,     -1.70,      0.41,      0.37,     -1.70,      0.41,
edge_237_290,     68.44,      0.15,      0.25,      0.36,     61.95,      0.16,      0.20,      0.15,     -6.49,      0.22,      0.32,     -6.49,      0.22,
edge_237_254,   -139.21,      0.14,      0.15,      0.13,   -141.46,      0.15,      0.13,     -0.19,     -2.25,      0.21,      0.20,     -2.25,      0.21,
edge_227_167,    -88.69,      0.10,      0.10,      0.00,    -83.59,      0.13,      0.10,     -0.24,      5.10,      0.16,      0.14,      5.10,      0.16,
edge_227_231,   -154.04,      0.10,      0.09,     -0.05,   -149.38,      0.11,      0.11,      0.01,      4.66,      0.15,      0.14,      4.66,      0.15,
edge_227_15,    -41.78,      0.11,      0.10,     -0.11,    -39.21,      0.13,      0.13,      0.07,      2.57,      0.17,      0.16,      2.57,      0.17,
edge_266_156,,,,,,,,,,,,,,
edge_266_165,   -149.11,      0.18,      0.16,     -0.04,   -143.18,      0.19,      0.18,     -0.02,      5.93,      0.26,      0.24,      5.93,      0.26,
edge_266_84,   -114.28,      0.11,      0.13,      0.18,   -103.96,      0.23,      0.18,     -0.15,     10.32,      0.25,      0.22,     10.32,      0.25,
edge_266_254,   -203.83,      0.17,      0.21,      0.17,   -200.83,      0.29,      0.40,      0.41,      3.00,      0.34,      0.45,      3.00,      0.34,
edge_206_57,    105.24,      0.11,      0.11,     -0.06,    101.10,      0.19,      0.16,     -0.13,     -4.14,      0.22,      0.19,     -4.14,      0.22,
edge_206_42,     70.37,      0.12,      0.14,      0.07,     69.21,      0.10,      0.08,     -0.27,     -1.16,      0.16,      0.16,     -1.16,      0.16,
edge_206_23,     35.63,      0.11,      0.11,      0.06,     33.68,      0.18,      0.17,     -0.09,     -1.95,      0.21,      0.20,     -1.95,      0.21,
edge_206_256,   -138.97,      0.12,      0.13,      0.01,   -139.74,      0.23,      0.20,     -0.19,     -0.77,      0.26,      0.24,     -0.77,      0.26,
edge_67_165,    -32.35,      0.10,      0.09,     -0.00,    -24.90,      0.20,      0.19,      0.07,      7.45,      0.22,      0.21,      7.45,      0.22,
edge_67_256,   -157.30,      0.27,      0.26,     -0.03,   -153.99,      0.42,      0.33,     -0.28,      3.31,      0.50,      0.42,      3.31,      0.50,
edge_156_167,    -37.32,      0.10,      0.10,      0.07,    -37.26,      0.16,      0.14,     -0.07,      0.06,      0.19,      0.17,      0.06,      0.19,
edge_156_165,    -77.18,      0.11,      0.11,      0.02,    -74.61,      0.14,      0.27,      0.57,      2.57,      0.18,      0.29,      2.57,      0.18,
edge_156_42,      7.48,      0.10,      0.10,      0.03,      8.78,      0.09,      0.15,      0.27,      1.30,      0.13,      0.18,      1.30,      0.13,
edge_156_164,    -74.56,      0.12,      0.13,     -0.03,    -72.98,      0.22,      0.59,      0.79,      1.58,      0.25,      0.60,      1.58,      0.25,
edge_31_61,    -59.32,      0.10,      0.10,      0.06,    -62.80,      0.11,      0.15,      0.15,     -3.48,      0.15,      0.18,     -3.48,      0.15,
edge_31_7a,     -4.01,      0.10,      0.11,      0.06,     -7.32,      0.15,      0.13,     -0.30,     -3.31,      0.18,      0.17,     -3.31,      0.18,
edge_289_35,     97.40,      0.12,      0.13,     -0.11,     98.46,      0.28,      0.24,     -0.15,      1.06,      0.30,      0.27,      1.06,      0.30,
edge_289_224,    170.17,      0.15,      0.13,     -0.00,    168.28,      0.25,      3.19,      0.99,     -1.89,      0.29,      3.19,     -1.89,      0.29,
edge_61_251,    -80.00,      0.13,      0.11,     -0.17,    -79.88,      0.19,      0.17,     -0.11,      0.12,      0.23,      0.20,      0.12,      0.23,
edge_167_165,    -39.72,      0.10,      0.10,      0.06,    -38.30,      0.13,      0.12,     -0.15,      1.42,      0.16,      0.16,      1.42,      0.16,
edge_167_155,     26.58,      0.09,      0.10,      0.01,     25.87,      0.13,      0.16,      0.17,     -0.71,      0.16,      0.19,     -0.71,      0.16,
edge_167_50,    -87.92,      0.14,      0.14,      0.02,    -86.50,      0.35,      0.43,      0.20,      1.42,      0.38,      0.45,      1.42,      0.38,
edge_165_42,     86.12,      0.12,      0.14,      0.09,     83.51,      0.21,      0.18,     -0.12,     -2.61,      0.24,      0.23,     -2.61,      0.24,
edge_165_252,   -109.31,      0.10,      0.09,     -0.09,   -111.93,      0.20,      0.16,     -0.26,     -2.62,      0.22,      0.18,     -2.62,      0.22,
edge_165_336,   -118.81,      0.09,      0.11,      0.01,   -119.70,      0.24,      1.00,      0.91,     -0.89,      0.26,      1.01,     -0.89,      0.26,
edge_165_163,    -16.75,      0.07,      0.07,     -0.01,    -17.53,      0.13,      0.13,      0.06,     -0.78,      0.15,      0.15,     -0.78,      0.15,
edge_41_7b,    -10.11,      0.14,      0.17,      0.25,     -8.09,      0.33,      0.51,      0.53,      2.02,      0.36,      0.54,      2.02,      0.36,
