#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_7395_3484   nan   nan
edge_7395_0738  1.87  0.32
edge_8041_4415  -1.26  0.15
edge_4189_4415  -1.38  0.13
edge_1939_3032  0.16  0.13
edge_5544_3806  1.15  0.25
edge_4754_4147  1.37  0.21
edge_3806_6221  2.48  0.38
edge_3806_0340  3.60  0.57
edge_3806-mvEster_0340  2.91  0.25
edge_3806_1423  1.77  0.37
edge_3806-mvEster_1423  1.81  0.40
edge_3806_5973   nan   nan
edge_3806-mvEster_5973   nan   nan
edge_4096_4147  0.88  0.13
edge_4147_2750  -0.70  0.14
edge_4147_7846  -1.21  0.12
edge_6694_4147  1.49  0.16
edge_1038_9211  3.02  0.28
edge_1038_0309  2.89  0.18
edge_1038_0848  0.07  0.48
edge_9211_1056  -1.87  0.25
edge_9211_9237  1.36  0.22
edge_9211_0848  -1.89  0.73
edge_2333_9211  5.62  0.19
edge_2333_0309  -0.72  0.32
edge_2333_0848  1.49  0.52
edge_0395_8161  2.35  0.74
edge_8414_1038  -0.86  0.84
edge_8414_1056  -3.16  0.96
edge_8414_2333  -1.63  0.45
edge_8414_5644  -2.91  0.48
edge_5644_9211  1.68  0.18
edge_5644_0309  -1.29  0.17
edge_5670_9211  3.62  0.16
edge_5687_1801  -1.66  0.13
