leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_p38a_2u_p38a_2q,     65.78,      0.17,      0.16,      0.08,     65.93,      0.15,      0.14,      0.05,     66.09,      0.14,      0.15,     -0.00,     69.41,      0.57,      1.95,      0.95,     68.22,      0.36,      1.74,      0.95,     67.11,      0.43,      1.16,      0.82,      3.63,      0.59,      1.96,      2.29,      0.39,      1.75,      1.02,      0.45,      1.17,      2.31,      0.77,      1.07
edge_p38a_3fln_p38a_2g,     10.59,      0.07,      0.07,      0.12,     10.52,      0.06,      0.07,      0.02,     10.58,      0.07,      0.07,     -0.02,     10.11,      0.11,      0.12,      0.09,      9.96,      0.11,      0.13,      0.08,     10.41,      0.08,      0.07,     -0.04,     -0.48,      0.13,      0.14,     -0.56,      0.13,      0.15,     -0.17,      0.11,      0.10,     -0.40,      0.13,      0.13
edge_p38a_2u_p38a_2k,     73.58,      0.20,      2.13,      0.98,     75.17,      0.51,      0.66,      0.58,     73.58,      0.46,      1.21,      0.87,     82.68,      0.45,      7.51,      1.00,     80.25,      0.72,      1.16,      0.84,     75.88,      0.35,     28.22,      1.00,      9.10,      0.49,      7.81,      5.08,      0.88,      1.33,      2.30,      0.58,     28.25,      5.49,      1.99,      7.85
edge_p38a_2v_p38a_3fln,    -22.31,      0.17,      0.16,     -0.06,    -22.00,      0.18,      0.18,      0.02,    -21.68,      0.19,      0.21,      0.13,    -25.18,      0.86,      0.66,      0.05,    -24.64,      0.38,      0.38,     -0.15,    -25.24,      0.27,      0.49,      0.52,     -2.87,      0.88,      0.68,     -2.64,      0.42,      0.42,     -3.56,      0.33,      0.53,     -3.02,      0.41,      0.38
edge_p38a_3fln_p38a_2n,     -5.84,      0.11,      0.11,     -0.01,     -5.57,      0.12,      0.12,      0.06,     -5.63,      0.13,      0.13,      0.05,     -7.37,      0.22,      0.24,      0.05,     -7.75,      0.15,      0.15,      0.04,     -8.10,      0.15,      0.17,      0.11,     -1.53,      0.25,      0.26,     -2.18,      0.19,      0.19,     -2.47,      0.20,      0.21,     -2.06,      0.29,      0.29
edge_p38a_2ee_p38a_3fln,     20.50,      0.10,      0.10,     -0.07,     20.69,      0.10,      0.09,     -0.00,     20.52,      0.11,      0.10,     -0.01,     20.57,      0.16,      0.17,      0.08,     20.45,      0.17,      0.17,     -0.08,     21.06,      0.16,      0.15,     -0.02,      0.07,      0.19,      0.20,     -0.24,      0.20,      0.19,      0.54,      0.19,      0.18,      0.12,      0.24,      0.24
edge_p38a_3fly_p38a_3flq,   -118.86,      0.12,      0.12,     -0.01,   -118.76,      0.14,      0.13,     -0.08,   -118.85,      0.12,      0.14,      0.06,   -118.09,      0.26,      0.36,      0.29,   -115.86,      0.30,      0.20,     -0.43,   -119.18,      0.24,      0.28,      0.15,      0.77,      0.29,      0.38,      2.90,      0.33,      0.24,     -0.33,      0.27,      0.31,      1.11,      0.96,      0.97
edge_p38a_3fln_p38a_2p,    -65.14,      0.13,      0.15,      0.05,    -65.42,      0.16,      0.17,      0.12,    -65.13,      0.14,      0.18,      0.09,    -65.95,      0.30,      0.34,      0.09,    -66.62,      0.24,      0.60,      0.68,    -66.17,      0.37,      0.25,     -0.32,     -0.81,      0.33,      0.37,     -1.20,      0.29,      0.62,     -1.04,      0.40,      0.31,     -1.02,      0.20,      0.26
edge_p38a_3fly_p38a_2x,     16.23,      0.09,      0.07,     -0.24,     16.47,      0.07,      0.06,     -0.29,     16.35,      0.08,      0.07,     -0.34,     16.66,      0.14,      0.11,     -0.20,     15.47,      0.12,      0.10,     -0.23,     15.56,      0.14,      0.12,     -0.07,      0.43,      0.17,      0.13,     -1.00,      0.14,      0.12,     -0.79,      0.16,      0.14,     -0.45,      0.45,      0.45
edge_p38a_2v_p38a_2y,      5.43,      0.14,      0.12,      0.00,      5.28,      0.13,      0.12,     -0.03,      5.26,      0.13,      0.12,     -0.01,      3.35,      0.19,      0.20,      0.05,      2.81,      0.22,      0.19,     -0.13,      3.28,      0.25,      0.26,      0.14,     -2.08,      0.24,      0.23,     -2.47,      0.26,      0.22,     -1.98,      0.28,      0.29,     -2.18,      0.19,      0.19
edge_p38a_2j_p38a_2f,     41.75,      0.08,      0.08,     -0.02,     41.73,      0.10,      0.09,     -0.10,     41.75,      0.08,      0.09,      0.07,     42.22,      0.20,      0.15,     -0.26,     41.46,      0.14,      0.12,     -0.05,     42.61,      0.14,      0.15,      0.16,      0.47,      0.22,      0.17,     -0.27,      0.17,      0.15,      0.86,      0.16,      0.17,      0.35,      0.35,      0.34
edge_p38a_2j_p38a_2q,      5.60,      0.35,      0.55,      0.49,      1.97,      0.16,      0.15,     -0.00,      1.94,      0.16,      0.15,     -0.00,     -1.49,      0.43,      0.57,      0.31,     -1.60,      0.24,      0.35,      0.46,     -1.85,      0.26,      0.27,      0.07,     -7.09,      0.55,      0.79,     -3.57,      0.29,      0.38,     -3.79,      0.31,      0.31,     -4.82,      1.15,      1.16
edge_p38a_2z_p38a_3fmk,     -7.31,      0.26,      0.27,      0.03,     -8.76,      0.28,      0.42,      0.37,     -7.79,      0.40,      0.39,      0.15,    -10.37,      0.36,     12.54,      1.00,    -11.16,      0.35,     12.70,      1.00,    -11.84,      0.30,      4.26,      0.99,     -3.06,      0.44,     12.54,     -2.40,      0.45,     12.71,     -4.05,      0.50,      4.28,     -3.17,      0.51,      5.48
edge_p38a_3fly_p38a_3fmh,      8.08,      0.16,      0.14,      0.03,      8.06,      0.14,      0.13,      0.03,      8.30,      0.15,      0.12,     -0.15,      6.93,      0.12,      0.17,      0.29,      7.02,      0.14,      0.17,      0.20,      7.24,      0.17,      0.16,     -0.07,     -1.15,      0.20,      0.22,     -1.04,      0.20,      0.21,     -1.06,      0.23,      0.20,     -1.08,      0.11,      0.11
edge_p38a_2z_p38a_2aa,     29.16,      0.15,      0.16,      0.08,     29.39,      0.23,      0.21,     -0.02,     29.32,      0.17,      0.16,     -0.07,     30.44,      0.45,      0.59,      0.17,     29.91,      0.27,      0.34,      0.22,     30.67,      0.22,      0.49,      0.67,      1.28,      0.47,      0.61,      0.52,      0.35,      0.40,      1.35,      0.28,      0.52,      1.05,      0.32,      0.36
edge_p38a_3fln_p38a_2gg,    -24.94,      0.08,      0.08,      0.05,    -24.75,      0.08,      0.08,      0.05,    -24.72,      0.07,      0.08,     -0.07,    -24.29,      0.11,      0.14,      0.07,    -24.06,      0.12,      0.15,      0.28,    -24.35,      0.12,      0.12,     -0.01,      0.65,      0.14,      0.16,      0.69,      0.14,      0.17,      0.37,      0.14,      0.14,      0.57,      0.12,      0.12
edge_p38a_2v_p38a_3fly,    -20.09,      0.08,      0.08,     -0.01,    -20.16,      0.07,      0.07,     -0.01,    -20.06,      0.09,      0.08,     -0.08,    -22.17,      0.14,      0.14,      0.11,    -22.47,      0.11,      0.13,      0.16,    -22.21,      0.10,      0.10,     -0.02,     -2.08,      0.16,      0.16,     -2.31,      0.13,      0.15,     -2.15,      0.13,      0.13,     -2.18,      0.10,      0.10
edge_p38a_2j_p38a_2h,     23.31,      0.08,      0.07,     -0.01,     23.24,      0.09,      0.09,     -0.00,     23.23,      0.06,      0.07,      0.01,     22.29,      0.12,      0.12,      0.09,     22.70,      0.09,      0.08,     -0.09,     22.25,      0.10,      0.09,     -0.06,     -1.02,      0.14,      0.14,     -0.54,      0.13,      0.12,     -0.98,      0.12,      0.11,     -0.85,      0.16,      0.16
edge_p38a_2l_p38a_2o,   -109.29,      0.15,      0.15,      0.02,   -109.16,      0.12,      0.13,      0.04,   -109.37,      0.13,      0.13,     -0.13,   -107.59,      0.22,      0.27,      0.19,   -107.48,      0.26,      0.22,     -0.10,   -108.12,      0.20,      0.19,     -0.09,      1.70,      0.27,      0.31,      1.68,      0.29,      0.26,      1.25,      0.24,      0.23,      1.54,      0.19,      0.19
edge_p38a_3fln_p38a_2t,    -23.27,      0.07,      0.08,      0.02,    -23.30,      0.08,      0.09,      0.13,    -23.42,      0.06,      0.07,      0.01,    -23.73,      0.10,      0.09,     -0.28,    -23.63,      0.11,      0.08,     -0.37,    -23.87,      0.13,      0.10,     -0.23,     -0.46,      0.12,      0.12,     -0.33,      0.14,      0.12,     -0.45,      0.14,      0.12,     -0.41,      0.08,      0.07
edge_p38a_2v_p38a_2x,      1.63,      0.08,      0.09,      0.01,      1.63,      0.08,      0.09,     -0.03,      1.78,      0.10,      0.09,     -0.04,     -0.19,      0.15,      0.16,      0.14,     -0.41,      0.13,      0.17,      0.20,     -0.80,      0.14,      0.17,      0.13,     -1.82,      0.17,      0.18,     -2.04,      0.15,      0.19,     -2.58,      0.17,      0.19,     -2.15,      0.24,      0.24
edge_p38a_2j_p38a_2ff,     57.97,      0.09,      0.09,     -0.04,     57.95,      0.10,      0.09,      0.00,     57.70,      0.09,      0.09,     -0.07,     56.16,      0.13,      0.12,     -0.07,     56.18,      0.11,      0.14,      0.17,     56.06,      0.12,      0.12,      0.04,     -1.81,      0.16,      0.15,     -1.77,      0.15,      0.17,     -1.64,      0.15,      0.15,     -1.74,      0.09,      0.09
edge_p38a_2g_p38a_2c,    -49.14,      0.11,      0.13,      0.13,    -49.40,      0.10,      0.14,      0.27,    -49.10,      0.11,      0.15,      0.20,    -46.32,      0.56,      0.58,     -0.06,    -47.68,      0.34,      0.42,      0.40,    -47.63,      0.24,      0.62,      0.75,      2.82,      0.57,      0.59,      1.72,      0.35,      0.44,      1.47,      0.26,      0.64,      2.00,      0.45,      0.48
edge_p38a_2l_p38a_2p,    -65.54,      0.14,      0.13,     -0.04,    -65.42,      0.13,      0.14,      0.11,    -65.06,      0.14,      0.14,     -0.06,    -64.43,      0.33,      0.28,     -0.14,    -63.26,      0.28,      0.33,      0.22,    -64.58,      0.24,      0.22,     -0.11,      1.11,      0.36,      0.31,      2.16,      0.31,      0.36,      0.48,      0.28,      0.26,      1.25,      0.51,      0.51
edge_p38a_2g_p38a_2h,    -38.65,      0.07,      0.07,      0.02,    -38.65,      0.06,      0.07,      0.04,    -38.48,      0.07,      0.07,     -0.01,    -37.49,      0.08,      0.09,      0.13,    -37.75,      0.08,      0.10,      0.11,    -37.79,      0.11,      0.13,      0.18,      1.16,      0.11,      0.11,      0.90,      0.10,      0.12,      0.69,      0.13,      0.15,      0.92,      0.14,      0.15
