#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_338_165  0.91  0.47
edge_338_215  -0.61  0.55
edge_338_163  1.01  0.22
edge_43_235  -2.26  0.42
edge_43_54  1.45  0.22
edge_43_215  -0.66  0.31
edge_43_155  -0.68  0.20
edge_43_25  -1.66  0.22
edge_235_1  -0.02  0.66
edge_235_54  1.49  0.54
edge_234_227  -4.66  0.18
edge_234_289  -0.93  0.06
edge_30_42  -0.02  0.74
edge_30_84  1.88  0.81
edge_30_251  1.66  0.17
edge_30_25  -0.37  1.13
edge_1_155  1.20  0.33
 edge_1_7a  0.93  0.41
edge_1_254  1.83  0.58
edge_1_256  3.07  0.64
 edge_1_15  -0.71  0.11
edge_237_227  -6.30  0.48
edge_237_31  -3.87  0.44
edge_237_41  -3.74  0.17
edge_237_336  -3.58  1.34
edge_237_290  -4.16  0.37
edge_237_254  -2.42  0.37
edge_227_167  2.88  0.29
edge_227_231  3.23  0.32
edge_227_15  1.43  0.35
edge_266_156  3.88  0.15
edge_266_165  5.29  0.34
edge_266_84  3.47  0.58
edge_266_254  4.64  0.79
edge_206_57  -2.56  0.46
edge_206_42  -1.25  0.59
edge_206_23  -2.47  1.00
edge_206_256  -2.68  0.68
edge_67_165  5.48  0.47
edge_67_256  4.10  1.03
edge_156_167  0.81  0.25
edge_156_165  1.97  0.24
edge_156_42  -0.03  0.17
edge_156_164  4.57  0.41
edge_31_61  -1.25  0.18
edge_31_7a  -1.76  0.45
edge_289_35  0.07  0.87
edge_289_224  -0.48  0.68
edge_61_251  0.34  0.50
edge_167_165  0.87  0.31
edge_167_155  -0.80  0.33
edge_167_50  0.25  0.68
edge_165_42  -0.76  0.74
edge_165_252  -0.95  0.38
edge_165_336  -0.89  0.59
edge_165_163  -1.31  0.19
edge_41_7b  3.33  0.64
edge_7b_42  -2.02  0.28
edge_7b_231  -3.71  0.74
edge_54_251  0.12  0.31
edge_54_124  -2.86  0.71
edge_215_252  0.66  0.36
edge_215_15  -0.79  0.37
edge_215_163  1.47  0.31
edge_57_231  3.13  0.33
edge_42_164  4.21  0.55
edge_35_7a  1.23  0.33
edge_35_84  2.68  0.34
edge_252_336  0.69  0.12
edge_252_290  -2.17  0.99
edge_252_155  -0.99  0.15
edge_252_231  -0.74  0.14
edge_252_124  -5.20  1.85
edge_336_251  -1.48  0.70
edge_290_7a  0.45  0.53
edge_290_84  3.03  0.62
edge_290_23  1.85  0.64
edge_290_256  3.18  1.20
edge_155_84  1.46  0.44
edge_164_124  -5.14  1.43
edge_164_25  -4.19  0.47
edge_164_163  -3.42  0.33
edge_7a_224  1.07  0.47
edge_7a_23  0.04  0.48
edge_224_231  1.00  0.41
edge_84_15  -2.90  0.36
edge_254_251  -0.47  0.60
edge_254_50  0.59  0.13
edge_23_15  -2.08  0.34
edge_251_15  -2.45  0.24
edge_251_25  -2.03  0.28
edge_15_25  0.79  0.06
