leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_50_60,    -10.92,      0.08,      0.09,     -0.05,    -10.87,      0.08,      0.08,      0.03,    -10.97,      0.09,      0.08,     -0.05,    -12.60,      0.16,      0.16,      0.07,    -11.27,      0.10,      0.40,      0.85,    -13.10,      0.11,      0.11,     -0.04,     -1.68,      0.18,      0.18,     -0.40,      0.13,      0.41,     -2.13,      0.14,      0.14,     -1.40,      0.52,
edge_56_35,     -4.59,      0.10,      0.09,     -0.07,     -4.57,      0.09,      0.09,     -0.06,     -4.70,      0.10,      0.09,      0.02,     -3.03,      0.22,      0.24,      0.01,     -4.34,      0.26,      0.48,      0.50,     -2.85,      0.18,      0.16,     -0.09,      1.56,      0.24,      0.26,      0.23,      0.28,      0.49,      1.85,      0.21,      0.18,      1.21,      0.51,
edge_65_60,      1.49,      0.07,      0.07,     -0.01,      1.61,      0.06,      0.07,     -0.00,      1.71,      0.08,      0.07,     -0.07,      2.63,      0.09,      0.08,     -0.04,      2.38,      0.09,      0.10,      0.18,      2.51,      0.08,      0.07,      0.02,      1.14,      0.11,      0.11,      0.77,      0.11,      0.12,      0.80,      0.11,      0.10,      0.90,      0.13,
edge_26_57,    -26.57,      0.07,      0.07,     -0.01,    -26.78,      0.07,      0.08,     -0.00,    -26.70,      0.08,      0.08,     -0.04,    -25.58,      0.09,      0.11,      0.14,    -25.58,      0.11,      0.11,     -0.01,    -25.38,      0.13,      0.13,     -0.05,      0.99,      0.11,      0.13,      1.20,      0.13,      0.14,      1.32,      0.15,      0.15,      1.17,      0.11,
edge_58_60,    -10.72,      0.08,      0.08,     -0.02,    -10.72,      0.07,      0.08,      0.03,    -10.82,      0.10,      0.09,     -0.05,     -8.83,      0.10,      0.09,     -0.05,     -9.76,      0.14,      0.15,     -0.10,     -9.09,      0.10,      0.11,      0.09,      1.89,      0.13,      0.12,      0.96,      0.16,      0.17,      1.73,      0.14,      0.14,      1.53,      0.29,
edge_62_45,    -84.19,      0.12,      0.12,     -0.01,    -84.16,      0.11,      0.12,      0.08,    -84.24,      0.12,      0.13,      0.04,    -85.54,      0.15,      0.30,      0.49,    -84.74,      0.18,      0.18,     -0.02,    -85.22,      0.12,      0.20,      0.41,     -1.35,      0.19,      0.32,     -0.58,      0.21,      0.22,     -0.98,      0.17,      0.24,     -0.97,      0.23,
edge_60_36,      6.60,      0.08,      0.07,     -0.04,      6.66,      0.08,      0.09,     -0.10,      6.42,      0.07,      0.08,      0.07,      8.75,      0.11,      0.12,     -0.01,      8.90,      0.12,      0.16,      0.22,      7.69,      0.24,      0.56,      0.74,      2.15,      0.14,      0.14,      2.24,      0.14,      0.18,      1.27,      0.25,      0.57,      1.89,      0.31,
edge_30_27,      3.27,      0.06,      0.06,      0.01,      3.40,      0.09,      0.08,     -0.08,      3.39,      0.06,      0.07,      0.02,      3.82,      0.14,      0.13,      0.07,      3.69,      0.14,      0.16,      0.03,,,,,      0.55,      0.15,      0.14,      0.29,      0.17,      0.18,,,,,,
edge_33_27,     -1.66,      0.08,      0.07,     -0.03,     -1.55,      0.07,      0.07,      0.08,     -1.49,      0.08,      0.08,     -0.03,     -1.03,      0.19,      0.24,      0.29,     -0.10,      0.19,      0.19,      0.00,,,,,      0.63,      0.21,      0.25,      1.45,      0.20,      0.20,,,,,,
edge_43_27,     -4.96,      0.08,      0.08,      0.01,     -4.96,      0.09,      0.09,     -0.03,     -4.97,      0.09,      0.08,     -0.05,     -5.77,      0.30,      0.44,      0.34,     -5.46,      0.20,      0.23,      0.15,     -5.14,      0.16,      0.17,     -0.09,     -0.81,      0.31,      0.45,     -0.50,      0.22,      0.25,     -0.17,      0.18,      0.19,     -0.49,      0.22,
edge_67_58,    -28.32,      0.10,      0.09,     -0.01,    -28.31,      0.09,      0.08,     -0.06,    -28.42,      0.09,      0.08,      0.04,    -29.83,      0.13,      0.11,      0.01,    -29.88,      0.14,      0.11,     -0.19,    -29.15,      0.14,      0.15,      0.10,     -1.51,      0.16,      0.14,     -1.57,      0.17,      0.14,     -0.73,      0.17,      0.17,     -1.27,      0.28,
edge_67_32,    -35.66,      0.07,      0.08,     -0.02,    -35.78,      0.07,      0.07,      0.03,    -35.88,      0.07,      0.08,      0.05,    -33.22,      0.19,      0.35,      0.60,    -33.19,      0.21,      0.44,      0.60,    -33.18,      0.43,      0.39,     -0.11,      2.44,      0.20,      0.36,      2.59,      0.22,      0.45,      2.70,      0.44,      0.40,      2.58,      0.17,
edge_30_40,     12.34,      0.10,      0.12,      0.09,     12.53,      0.13,      0.13,     -0.07,     12.42,      0.15,      0.12,     -0.11,     10.26,      0.33,      0.94,      0.85,     11.92,      0.54,      1.57,      0.92,     13.18,      0.64,      2.55,      0.96,     -2.08,      0.34,      0.95,     -0.61,      0.56,      1.58,      0.76,      0.66,      2.55,     -0.64,      0.86,
edge_38_60,    -16.21,      0.10,      0.10,     -0.07,    -16.11,      0.12,      0.13,     -0.01,    -16.21,      0.14,      0.11,     -0.11,    -17.52,      0.29,      0.92,      0.87,    -17.03,      0.58,      0.56,     -0.13,    -15.59,      0.29,      0.77,      0.81,     -1.31,      0.31,      0.93,     -0.92,      0.59,      0.57,      0.62,      0.32,      0.78,     -0.54,      0.63,
edge_41_35,    -14.36,      0.13,      0.13,     -0.01,    -14.20,      0.11,      0.12,      0.01,    -14.36,      0.11,      0.14,      0.10,    -11.57,      0.20,      0.71,      0.86,    -13.84,      0.33,      1.11,      0.84,    -13.47,      0.43,      0.63,      0.48,      2.79,      0.24,      0.72,      0.36,      0.35,      1.12,      0.89,      0.44,      0.65,      1.35,      0.76,
edge_54_23,     -1.70,      0.08,      0.08,     -0.02,     -1.77,      0.06,      0.07,     -0.07,     -1.53,      0.08,      0.07,     -0.02,      0.33,      0.08,      0.09,      0.09,      0.42,      0.09,      0.10,      0.16,      0.97,      0.12,      0.11,      0.07,      2.03,      0.11,      0.12,      2.19,      0.11,      0.12,      2.50,      0.14,      0.13,      2.24,      0.15,
edge_56_60,     -8.73,      0.08,      0.07,      0.01,     -8.64,      0.07,      0.08,      0.11,     -8.81,      0.09,      0.09,      0.02,     -9.06,      0.16,      0.18,      0.09,     -8.55,      0.09,      0.12,      0.26,     -7.71,      0.12,      0.14,      0.08,     -0.33,      0.18,      0.19,      0.09,      0.11,      0.14,      1.10,      0.15,      0.17,      0.29,      0.43,
edge_66_42,      0.15,      0.07,      0.08,      0.09,      0.14,      0.08,      0.08,      0.08,      0.17,      0.07,      0.08,     -0.04,      0.67,      0.14,      0.14,     -0.08,      0.70,      0.11,      0.10,     -0.25,      0.83,      0.10,      0.10,     -0.13,      0.52,      0.16,      0.16,      0.56,      0.14,      0.13,      0.66,      0.12,      0.13,      0.58,      0.08,
edge_29_40,      1.91,      0.47,      0.55,      0.16,     -0.87,      0.39,      1.12,      0.86,     -0.56,      0.59,      0.83,      0.63,     -7.79,      0.48,      5.51,      0.99,     -0.21,      0.32,     25.00,      1.00,     -6.90,      0.76,      1.05,      0.74,     -9.70,      0.67,      5.54,      0.66,      0.50,     25.03,     -6.34,      0.96,      1.34,     -5.13,      3.08,
edge_26_44,    -25.86,      0.08,      0.07,     -0.02,    -25.85,      0.08,      0.08,      0.02,    -25.82,      0.06,      0.07,      0.03,    -24.19,      0.10,      0.11,      0.00,    -25.51,      0.14,      0.17,      0.14,    -24.19,      0.12,      0.12,      0.03,      1.67,      0.13,      0.13,      0.34,      0.16,      0.19,      1.63,      0.13,      0.14,      1.21,      0.44,
edge_49_35,     -9.70,      0.07,      0.07,      0.04,     -9.63,      0.07,      0.08,     -0.00,     -9.91,      0.08,      0.08,      0.03,     -9.83,      0.14,      0.25,      0.53,     -9.32,      0.13,      0.16,      0.24,,,,,     -0.13,      0.16,      0.26,      0.31,      0.15,      0.18,,,,,,
edge_29_35,     -7.30,      0.41,      0.85,      0.73,     -8.52,      0.20,      0.94,      0.93,     -7.73,      1.03,      0.79,     -0.49,     -8.89,      0.53,      0.77,      0.43,    -11.52,      0.35,      2.32,      0.97,    -13.02,      0.45,      7.24,      1.00,     -1.59,      0.67,      1.15,     -3.00,      0.40,      2.50,     -5.29,      1.12,      7.28,     -3.29,      1.11,
edge_42_51,     10.35,      0.07,      0.07,     -0.02,     10.25,      0.09,      0.09,      0.03,     10.54,      0.07,      0.08,     -0.01,      9.86,      0.12,      0.10,     -0.19,     10.85,      0.14,      0.16,      0.18,     10.86,      0.16,      0.22,      0.21,     -0.49,      0.14,      0.12,      0.60,      0.17,      0.18,      0.32,      0.17,      0.23,      0.14,      0.34,
edge_39_32,    -16.08,      0.10,      0.10,     -0.04,    -16.09,      0.09,      0.09,     -0.04,    -16.20,      0.09,      0.09,      0.02,    -18.03,      0.41,      0.42,     -0.02,    -16.23,      0.42,      0.39,     -0.27,    -17.10,      0.27,      1.05,      0.91,     -1.95,      0.42,      0.43,     -0.14,      0.43,      0.40,     -0.90,      0.28,      1.05,     -1.00,      0.55,
edge_35_37,      3.28,      0.07,      0.07,      0.01,      3.15,      0.07,      0.07,      0.05,      3.26,      0.07,      0.08,     -0.02,      2.77,      0.13,      0.13,     -0.02,      2.01,      0.17,      0.13,     -0.16,      1.58,      0.14,      0.13,     -0.04,     -0.51,      0.15,      0.15,     -1.14,      0.18,      0.15,     -1.68,      0.16,      0.15,     -1.11,      0.35,
edge_28_35,     -4.85,      0.10,      0.10,     -0.02,     -4.92,      0.12,      0.12,     -0.02,     -4.84,      0.09,      0.10,      0.03,     -5.62,      0.17,      0.19,      0.12,     -5.98,      0.21,      0.21,      0.05,     -7.17,      0.22,      0.24,      0.07,     -0.77,      0.20,      0.21,     -1.06,      0.24,      0.24,     -2.33,      0.24,      0.26,     -1.39,      0.48,
edge_35_53,      3.81,      0.07,      0.08,      0.04,      3.56,      0.08,      0.07,      0.01,      3.58,      0.07,      0.07,      0.03,      1.71,      0.15,      0.33,      0.68,      0.43,      0.13,      0.13,     -0.05,      1.33,      0.16,      0.17,      0.06,     -2.10,      0.17,      0.34,     -3.13,      0.15,      0.15,     -2.25,      0.17,      0.18,     -2.49,      0.32,
