#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_49220392_49137530  0.13  0.36
edge_49932714_49137530  -0.17  0.57
edge_49582468_49137530  -1.10  0.18
edge_49396360_49137530  -0.17  0.15
edge_50181001_49137530  -1.35  0.68
edge_49585367_49137530  -0.80  0.44
edge_49220392_49175828  -0.67  0.69
edge_49220548_49220392  0.18  0.53
edge_49220548_49932129  0.99  0.29
edge_49582468_49932129  1.22  0.61
edge_49396360_49175828  -1.84  0.52
edge_49175828_49580115  1.58  0.33
edge_49220548_49137374  2.29  0.81
edge_49220548_49580115  -0.00  1.14
edge_49396360_49220548  -1.06  0.50
edge_49932714_49582390  -0.88  0.18
edge_49396360_49582390  -0.51  0.23
edge_50181001_49582390  -1.66  0.99
edge_50107616_49582390  0.10  0.55
edge_48168913_48271249  0.13  0.23
edge_49072088_48271249  1.62  0.45
edge_50107616_48271249  1.71  1.07
edge_49137374_48271249  0.96  0.41
edge_49932714_49175789  -0.03  1.28
edge_49932714_49580115  0.71  0.10
edge_49932714_49582468  -0.38  0.80
edge_48168913_49585367  -1.92  0.20
edge_50107616_49585367  0.91  0.34
edge_48168913_48022468  -0.89  0.16
edge_43249674_48022468  -0.87  0.11
edge_48009208_43249674  -0.68  0.24
edge_43249674_49175789  -2.35  1.46
edge_49175789_49072088  -0.11  0.34
edge_48009208_49137374  -0.40  0.14
