#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_1495_5109  -2.11  0.14
edge_1495_3040  -1.51  0.13
edge_1495_2606  -3.24  0.68
edge_1495_6691  -2.03  0.32
edge_2359_3053  2.76  0.31
edge_3053_8602  -1.80  0.18
edge_0529_6770  3.01  0.31
edge_0681_6770  2.37  0.22
edge_0798_1859  1.75  0.33
edge_0798_9022  0.88  0.41
edge_0798_4451  2.59  0.10
edge_0798_6770  4.84  1.19
edge_0798_7447  2.98  0.29
edge_1537_6770  5.61  1.10
edge_1859_9373  -2.19  0.76
edge_1859_8654  -1.98  0.38
edge_1872_6770  3.61  0.45
edge_2879_6770  5.38  1.46
edge_3507_6770  1.26  0.47
edge_4326_8654  -6.43  0.32
edge_4451_6674  -2.08  0.26
edge_5602_7454  3.49  0.18
edge_6674_6770  3.31  0.29
edge_6770_8794  -3.64  0.32
edge_6770_8550  -1.90  0.64
edge_0681_7454  0.32  1.17
edge_9373_5602  0.64  0.68
edge_9373_0529  1.46  0.72
edge_8794_6674  -2.06  0.27
edge_3507_0798  -2.14  0.38
edge_1537_0529  -0.45  0.67
edge_7447_4326  3.01  1.67
edge_3040_3053  2.52  0.36
edge_2606_3053  2.08  0.30
edge_8550_0798  -1.00  0.35
edge_0681_1872  -0.66  0.13
edge_7447_9373  -3.98  0.37
edge_0681_5109  0.71  0.61
edge_1859_4326  2.81  0.37
edge_9022_9373  -2.52  0.15
edge_9022_2879  1.26  0.56
edge_7447_2606  -0.36  1.39
edge_7447_4451  0.57  0.29
edge_1859_2879  -0.54  0.75
edge_2359_1495  2.92  0.20
edge_8654_0529  -0.51  1.00
edge_0681_1537  -0.26  0.15
edge_8550_1495  2.16  0.29
edge_2359_3040  1.49  0.33
edge_2359_3507  3.13  0.39
edge_2879_1872  -1.34  0.13
edge_6691_5109  0.72  0.27
edge_8550_7454  2.17  0.80
edge_6691_9373   nan   nan
edge_8602_2606  -0.83  0.16
edge_5602_3507  3.81  0.68
edge_5602_3040  1.46  0.47
edge_8602_5109  0.71  0.15
edge_1872_6674  0.16  0.17
edge_9373_1495  4.60  0.84
edge_8794_7454  0.71  0.26
