#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_38  -1.05  0.22
edge_43_42  -1.43  0.09
edge_43_45  -0.66  0.28
edge_17_16  -1.74  0.19
edge_17_25  -1.45  0.65
edge_17_45  -2.84  0.44
edge_28_25  -1.63  0.81
edge_28_30  -4.64  0.59
edge_28_39  -4.62  0.94
edge_22_21  2.52  0.13
edge_22_26  2.83  0.78
edge_22_32  1.04  0.46
edge_16_14  1.24  0.89
edge_16_15  -0.51  0.55
edge_16_20  -2.10  0.51
edge_16_19  -1.72  0.36
edge_30_33   nan   nan
edge_30_37  -0.11  0.46
edge_21_20  -2.78  0.86
edge_21_41  -4.60  0.34
edge_21_29  -1.70  0.51
edge_21_26  -0.70  0.47
edge_24_42  -5.08  0.60
edge_24_33  -1.29  0.24
edge_38_29  1.80  0.77
edge_31_25  4.81  0.78
edge_31_37  1.08  0.18
edge_41_39  0.59  0.31
edge_41_40  -0.17  0.38
edge_29_33  -0.58  0.52
edge_20_35  -1.44  0.54
edge_42_13  0.87  0.21
edge_35_18  2.81  1.00
edge_35_27  4.59  0.25
edge_35_37  -1.10  0.37
edge_35_36  0.14  0.23
edge_44_32  0.86  0.41
edge_44_36  -0.17  0.25
edge_18_13  -2.10  0.77
edge_18_15  1.55  0.75
edge_18_45  -1.12  0.19
edge_40_19  3.08  0.37
edge_40_33  2.43  0.21
edge_19_32  1.01  0.09
edge_19_25  3.91  0.32
edge_33_32  0.41  0.51
edge_33_34  -0.98  0.39
edge_27_36  -4.21  0.87
edge_13_14  3.07  0.93
edge_39_32  4.03  0.87
edge_32_23  0.50  1.11
edge_23_14  -2.64  2.06
edge_23_34  -3.21  0.55
edge_34_36  -0.82  0.41
