#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_50_60  -1.40  0.52
edge_56_35  1.21  0.51
edge_65_60  0.90  0.13
edge_26_57  1.17  0.11
edge_58_60  1.53  0.29
edge_62_45  -0.97  0.23
edge_60_36  1.89  0.31
edge_30_27   nan   nan
edge_33_27   nan   nan
edge_43_27  -0.49  0.22
edge_67_58  -1.27  0.28
edge_67_32  2.58  0.17
edge_30_40  -0.64  0.86
edge_38_60  -0.54  0.63
edge_41_35  1.35  0.76
edge_54_23  2.24  0.15
edge_56_60  0.29  0.43
edge_66_42  0.58  0.08
edge_29_40  -5.13  3.08
edge_26_44  1.21  0.44
edge_49_35   nan   nan
edge_29_35  -3.29  1.11
edge_42_51  0.14  0.34
edge_39_32  -1.00  0.55
edge_35_37  -1.11  0.35
edge_28_35  -1.39  0.48
edge_35_53  -2.49  0.32
edge_67_63  -1.19  0.31
edge_27_45  -0.18  0.45
edge_41_32  2.26  0.76
edge_67_53  -0.95  0.59
edge_35_33  -0.49  0.19
edge_27_46  0.25  0.45
edge_66_23  -0.22  0.15
edge_67_61  1.18  0.50
edge_57_23  -0.34  0.10
edge_30_35  -1.00  0.45
edge_61_60  -0.57  0.35
edge_67_31   nan   nan
edge_32_46  -0.53  0.42
edge_35_60  -1.33  1.14
edge_31_35  -0.91  0.36
edge_62_26  -1.90  0.33
edge_35_36  0.09  0.39
edge_26_64  0.12  0.35
edge_38_35   nan   nan
edge_35_34  0.01  0.63
edge_29_27  -3.35  1.19
edge_48_27  -2.92  0.46
edge_68_45  -0.31  0.47
edge_63_60  1.86  0.09
edge_54_42  2.30  0.40
edge_44_23  -0.56  0.23
edge_28_27  -0.44  0.15
edge_67_27  2.38  0.75
edge_52_60  0.55  0.50
edge_27_23  -1.86  0.17
edge_49_67  0.11  0.76
edge_28_47  -0.45  0.49
edge_67_52  0.67  0.09
edge_30_48  2.59  0.45
edge_67_35  1.89  0.44
edge_32_34  -0.76  0.13
edge_65_67  0.20  0.16
edge_67_50  0.98  0.10
edge_35_39  1.96  0.68
edge_43_47  0.82  0.43
edge_67_37  0.52  0.13
edge_42_64  -1.10  0.53
edge_51_45  -1.32  0.24
edge_68_23  0.14  0.25
