#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_33_13  -2.04  0.19
edge_33_25  -2.29  0.37
edge_31_33  0.40  0.06
edge_12_33  2.15  0.12
edge_28_34  1.70  0.74
edge_28_37  2.07  0.10
edge_28_23  1.12  0.75
edge_22_32  0.78  0.55
edge_22_16  0.18  0.70
edge_26_32  1.15  0.16
edge_26_14  -0.52  0.12
edge_16_26  -1.27  0.34
edge_37_34  -1.53  0.20
edge_19_37  0.89  0.13
edge_1a_37  -2.22  0.30
edge_27_37  2.31  0.12
edge_35_37  2.24  0.09
edge_21_37  1.59  0.14
edge_30_20  -3.74  0.19
edge_30_13  -3.10  0.17
edge_30_21  -2.69  0.54
edge_30_39  -0.50  0.47
edge_1a_40  -1.27  0.33
edge_29_40  2.23  0.37
edge_19_25  -0.08  0.17
edge_13_25  -0.13  0.15
edge_25_14  0.41  0.13
edge_12_25  0.16  0.08
edge_31_36  -3.24  0.20
edge_31_13  -1.56  0.18
edge_38_31  0.76  0.07
edge_24_1a  5.07  0.35
edge_1a_32  -2.50  0.15
edge_29_1a  3.57  0.32
edge_1a_18  -4.77  0.51
edge_41_1a  2.64  1.76
edge_38_27  -0.57  0.04
edge_27_14  0.58  0.44
edge_24_14  0.37  0.13
edge_12_14  0.19  0.14
edge_18_14   nan   nan
edge_39_14  -1.21  0.18
edge_17_34  1.27  0.17
edge_17_38  1.93  0.12
edge_39_36  -2.61  0.55
edge_23_36  -1.45  0.12
edge_11_24  -2.00  0.24
edge_11_35  -1.16  0.41
edge_11_19  -0.94  0.34
edge_11_21  -1.37  0.33
edge_38_34  -0.80  0.15
edge_20_34  0.60  0.12
edge_24_35  -0.15  0.09
edge_20_32  2.15  0.13
edge_21_38  0.66  0.10
edge_19_15  0.21  0.80
edge_18_19  0.57  0.19
edge_16_15  -1.15  0.36
edge_41_29  -2.35  1.00
edge_18_39  2.51  0.29
