#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_48  2.08  0.78
edge_43_44  1.84  0.71
edge_30_56  -1.70  1.77
edge_30_70  -0.44  1.24
edge_65_34  0.56  0.43
edge_65_70  -2.07  0.24
edge_65_64  -0.32  0.09
edge_65_63  0.14  0.15
edge_65_20  -0.17  0.49
edge_49_58  -3.15  1.29
edge_49_42  -1.65  0.67
edge_49_44  -0.83  0.19
edge_24_69  -4.55  0.34
edge_24_70  -4.48  0.16
edge_24_34  -2.19  0.39
edge_67_56  1.05  0.22
edge_67_57  1.53  0.39
edge_67_64  2.82  0.15
edge_62_70  -2.55  0.24
edge_62_31  0.95  0.38
edge_56_69  -0.63  0.44
edge_59_35  0.06  0.21
edge_59_52  0.68  0.53
edge_59_47  3.45  0.47
edge_38_26  3.95  0.81
edge_38_41  -0.07  0.42
edge_38_39  2.26  0.15
edge_31_19  1.65  1.62
edge_48_47  1.36  0.30
edge_48_20  -0.69  0.49
edge_58_68  -1.97  0.20
edge_58_60  1.05  0.14
edge_58_63  1.34  0.10
edge_41_44  1.42  0.43
edge_29_54  0.82  0.14
edge_29_63  -0.96  0.27
edge_29_70  -3.65  0.37
edge_29_23  2.27  0.46
edge_54_36  0.60  0.53
edge_54_70  -4.12  0.49
edge_47_46  0.01  0.44
edge_47_20  -4.31  0.21
edge_26_69  -4.46  0.49
edge_26_70  -5.27  0.18
edge_55_63  1.25  0.71
edge_55_23  4.60  0.17
edge_20_39  1.19  0.13
edge_20_42  -0.19  0.33
edge_57_70  -1.84  0.25
edge_35_69  -2.16  0.22
edge_44_68  -4.59  0.20
edge_63_36  0.75  0.36
edge_69_53  3.88  0.54
edge_69_23  5.34  0.50
edge_69_60  2.13  0.17
edge_52_53  1.39  0.44
edge_52_19  2.16  1.53
edge_52_46  2.36  0.46
edge_19_37  -4.17  1.57
edge_19_70  -5.79  0.78
edge_68_70  0.84  0.14
edge_68_53  3.96  0.39
edge_33_23  1.20  0.28
edge_33_36  0.11  1.60
edge_33_70  -3.64  0.10
edge_39_37  -1.34  0.76
