leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_7395_3484,     22.67,      0.11,      0.10,     -0.02,     22.89,      0.10,      0.08,     -0.13,     23.02,      0.08,      0.08,     -0.03,     24.99,      0.35,      0.42,      0.27,     24.37,      0.19,      0.14,     -0.28,     22.03,      0.31,      0.27,     -0.08,      2.32,      0.37,      0.43,      1.48,      0.21,      0.16,     -0.99,      0.32,      0.28,      0.94,      1.00,
edge_7395_0738,    -22.11,      0.08,      0.08,      0.08,    -22.16,      0.08,      0.08,      0.02,    -22.05,      0.08,      0.09,     -0.01,    -19.48,      0.24,      1.60,      0.97,    -20.02,      0.23,      0.37,      0.46,    -20.07,      0.34,      0.63,      0.57,      2.63,      0.25,      1.60,      2.14,      0.24,      0.38,      1.98,      0.35,      0.64,      2.25,      0.24,
edge_8041_4415,      9.02,      0.05,      0.05,      0.05,      9.02,      0.05,      0.05,     -0.05,      9.05,      0.05,      0.05,      0.04,      8.86,      0.11,      0.15,      0.18,      7.77,      0.12,      0.16,      0.27,      8.29,      0.08,      0.10,      0.10,     -0.16,      0.12,      0.16,     -1.25,      0.13,      0.17,     -0.76,      0.09,      0.11,     -0.72,      0.32,
edge_4189_4415,      9.70,      0.05,      0.06,     -0.00,      9.72,      0.05,      0.05,      0.04,      9.67,      0.06,      0.05,     -0.00,      7.73,      0.11,      0.24,      0.59,      9.45,      0.07,      0.11,      0.26,      9.13,      0.08,      0.08,      0.00,     -1.97,      0.12,      0.25,     -0.27,      0.09,      0.12,     -0.54,      0.10,      0.09,     -0.93,      0.53,
edge_1939_3032,     31.79,      0.07,      0.07,     -0.01,     31.74,      0.07,      0.07,     -0.02,     31.71,      0.08,      0.08,      0.05,     32.69,      0.14,      0.15,      0.05,     33.03,      0.12,      0.12,      0.05,     32.44,      0.10,      0.15,      0.33,      0.90,      0.16,      0.17,      1.29,      0.14,      0.14,      0.73,      0.13,      0.17,      0.97,      0.18,
edge_5544_3806,    -26.49,      0.09,      0.09,      0.10,    -26.50,      0.11,      0.10,     -0.01,    -26.48,      0.08,      0.09,      0.01,    -26.13,      0.20,      0.17,     -0.08,    -25.19,      0.15,      0.21,      0.26,    -25.36,      0.24,      0.25,      0.15,      0.36,      0.22,      0.19,      1.31,      0.19,      0.23,      1.12,      0.25,      0.27,      0.93,      0.31,
edge_4754_4147,    -17.77,      0.11,      0.10,      0.00,    -17.83,      0.08,      0.10,      0.08,    -17.52,      0.10,      0.11,      0.11,    -16.45,      0.13,      0.17,      0.18,    -16.19,      0.18,      0.18,     -0.02,    -16.19,      0.18,      0.18,      0.01,      1.32,      0.17,      0.20,      1.64,      0.20,      0.21,      1.33,      0.21,      0.21,      1.43,      0.14,
edge_3806_6221,    -17.32,      0.10,      0.09,     -0.03,    -17.19,      0.10,      0.09,     -0.08,    -17.31,      0.08,      0.09,      0.07,    -14.57,      0.57,      0.92,      0.76,    -18.01,      0.38,      0.39,      0.03,    -15.27,      0.20,      0.33,      0.50,      2.75,      0.58,      0.92,     -0.82,      0.39,      0.40,      2.04,      0.22,      0.34,      1.32,      1.10,
edge_3806_0340,    -16.27,      0.07,      0.08,      0.08,    -16.24,      0.07,      0.08,      0.08,    -16.10,      0.09,      0.08,     -0.14,    -14.82,      0.27,      0.31,      0.11,    -14.82,      0.23,      0.26,      0.06,    -14.37,      0.25,      0.53,      0.61,      1.45,      0.28,      0.32,      1.42,      0.24,      0.27,      1.73,      0.27,      0.54,      1.53,      0.16,
edge_3806_1423,    -10.51,      0.10,      0.10,     -0.03,    -10.52,      0.11,      0.11,      0.04,    -10.21,      0.09,      0.11,      0.08,     -9.56,      0.33,      0.48,      0.42,    -11.42,      0.22,      0.17,     -0.22,    -12.23,      0.16,      0.12,     -0.35,      0.95,      0.34,      0.49,     -0.90,      0.25,      0.20,     -2.02,      0.18,      0.16,     -0.66,      0.87,
edge_3806_5973,     -2.40,      0.10,      0.09,     -0.08,     -2.97,      0.14,      0.14,      0.10,     -2.48,      0.08,      0.10,      0.11,     -1.07,      0.20,      0.24,      0.21,      1.84,      0.13,      0.85,      0.94,     -1.78,      0.18,      0.16,     -0.06,      1.33,      0.22,      0.26,      4.81,      0.19,      0.86,      0.70,      0.20,      0.19,      2.28,      1.28,
edge_4096_4147,      8.97,      0.06,      0.06,      0.05,      8.85,      0.06,      0.06,     -0.05,      8.88,      0.06,      0.06,      0.08,     10.41,      0.14,      0.12,     -0.11,     10.49,      0.13,      0.13,      0.05,     10.25,      0.14,      0.10,     -0.31,      1.44,      0.15,      0.13,      1.64,      0.14,      0.14,      1.37,      0.15,      0.12,      1.48,      0.11,
edge_4147_2750,     -6.94,      0.06,      0.06,     -0.04,     -6.88,      0.06,      0.06,      0.06,     -6.77,      0.07,      0.06,     -0.03,     -8.23,      0.11,      0.11,      0.07,     -8.54,      0.09,      0.10,      0.08,     -7.76,      0.10,      0.13,      0.17,     -1.29,      0.13,      0.13,     -1.66,      0.11,      0.12,     -0.99,      0.12,      0.14,     -1.31,      0.20,
edge_4147_7846,      9.06,      0.07,      0.07,      0.02,      9.07,      0.07,      0.07,     -0.07,      8.94,      0.07,      0.06,     -0.05,      7.91,      0.09,      0.11,      0.02,      8.66,      0.12,      0.17,      0.28,      8.14,      0.11,      0.11,     -0.05,     -1.15,      0.11,      0.13,     -0.41,      0.14,      0.18,     -0.80,      0.13,      0.13,     -0.79,      0.22,
edge_6694_4147,      0.48,      0.08,      0.08,     -0.03,      0.50,      0.07,      0.08,      0.07,      0.37,      0.08,      0.08,      0.08,      2.11,      0.15,      0.14,      0.05,      2.26,      0.13,      0.14,      0.02,      1.86,      0.16,      0.13,     -0.14,      1.63,      0.17,      0.16,      1.76,      0.15,      0.16,      1.49,      0.18,      0.15,      1.63,      0.11,
edge_1038_9211,    -45.01,      0.14,      0.24,      0.49,    -45.48,      0.10,      0.32,      0.80,    -44.07,      0.14,      0.16,      0.21,    -40.82,      0.18,      0.18,      0.07,    -40.93,      0.14,      0.24,      0.45,    -40.98,      0.14,      0.19,      0.34,      4.19,      0.23,      0.30,      4.55,      0.17,      0.40,      3.09,      0.20,      0.25,      3.94,      0.45,
edge_1038_0309,     53.94,      0.09,      0.09,     -0.03,     54.02,      0.08,      0.09,      0.09,     54.09,      0.10,      0.10,      0.04,     53.97,      0.15,      0.10,     -0.43,     57.85,      0.14,      0.17,      0.17,     55.01,      0.25,      0.67,      0.76,      0.03,      0.17,      0.13,      3.83,      0.16,      0.19,      0.92,      0.27,      0.68,      1.59,      1.15,
edge_1038_0848,    -36.03,      0.26,      0.31,      0.21,    -35.73,      0.28,      0.29,     -0.02,    -35.42,      0.30,      0.25,     -0.12,    -32.26,      0.73,      5.31,      0.99,    -31.09,      0.47,      3.01,      0.98,    -32.26,      1.03,      4.12,      0.99,      3.77,      0.77,      5.32,      4.64,      0.55,      3.02,      3.16,      1.07,      4.13,      3.86,      0.57,
edge_9211_1056,     60.64,      0.13,      0.13,     -0.09,     62.29,      0.17,      0.18,     -0.05,     61.79,      0.17,      0.18,      0.16,     57.71,      0.20,      0.21,      0.08,     58.94,      0.21,      0.23,      0.08,     58.74,      0.17,      0.22,      0.17,     -2.93,      0.24,      0.25,     -3.35,      0.27,      0.29,     -3.05,      0.24,      0.28,     -3.11,      0.17,
edge_9211_9237,    -42.28,      0.12,      0.20,      0.35,    -43.42,      0.13,      0.19,      0.33,    -43.74,      0.13,      0.13,      0.01,    -44.83,      0.19,      0.42,      0.63,    -45.57,      0.20,      0.29,      0.30,    -48.89,      0.40,      3.30,      0.98,     -2.55,      0.22,      0.47,     -2.15,      0.24,      0.35,     -5.15,      0.42,      3.30,     -3.28,      0.94,
edge_9211_0848,     13.12,      0.46,      0.61,      0.10,     13.51,      0.22,      0.66,      0.73,     13.78,      0.36,      0.60,      0.58,     16.18,      0.50,      0.74,      0.69,     15.96,      0.36,      0.68,      0.66,     17.26,      0.66,      0.85,      0.58,      3.06,      0.68,      0.96,      2.45,      0.42,      0.95,      3.48,      0.75,      1.04,      3.00,      0.43,
edge_2333_9211,    -45.64,      0.09,      0.11,      0.12,    -45.52,      0.11,      0.12,      0.06,    -45.84,      0.10,      0.11,     -0.03,    -41.91,      0.12,      0.14,      0.13,    -46.40,      0.21,      0.23,      0.11,    -42.27,      0.14,      0.13,     -0.19,      3.73,      0.15,      0.18,     -0.88,      0.24,      0.26,      3.57,      0.17,      0.17,      2.14,      1.51,
edge_2333_0309,     52.63,      0.11,      0.10,      0.03,     52.62,      0.10,      0.11,      0.03,     52.40,      0.10,      0.11,      0.05,     55.34,      0.12,      0.11,     -0.11,     54.39,      0.20,      0.36,      0.52,     52.72,      0.15,      1.28,      0.97,      2.71,      0.16,      0.15,      1.77,      0.22,      0.38,      0.32,      0.18,      1.28,      1.60,      0.70,
edge_2333_0848,    -37.94,      0.25,      0.32,      0.25,    -37.68,      0.19,      0.32,      0.51,    -37.93,      0.26,      0.30,      0.09,    -38.19,      0.49,      1.26,      0.88,    -34.92,      0.62,      1.42,      0.91,    -35.73,      0.68,      2.42,      0.96,     -0.25,      0.55,      1.30,      2.76,      0.65,      1.46,      2.20,      0.73,      2.44,      1.57,      0.98,
edge_0395_8161,    -12.32,      0.56,      0.52,     -0.14,    -11.99,      0.46,      0.44,     -0.23,    -12.53,      0.39,      0.71,      0.72,    -14.44,      0.79,     18.42,      1.00,    -17.41,      0.63,    233.01,      1.00,    -16.01,      0.75,      3.61,      0.98,     -2.12,      0.97,     18.43,     -5.42,      0.78,    233.01,     -3.48,      0.85,      3.68,     -3.67,      1.02,
edge_8414_1038,     18.33,      0.27,      0.53,      0.55,     19.07,      0.27,      0.34,      0.08,     18.65,      0.53,      0.40,     -0.32,     13.62,      1.11,      0.77,      0.21,     15.77,      0.93,     11.65,      1.00,     21.64,      0.48,     43.39,      1.00,     -4.71,      1.14,      0.93,     -3.30,      0.97,     11.65,      2.99,      0.72,     43.39,     -1.67,      2.40,
edge_8414_1056,     32.40,      0.39,      0.44,      0.12,     32.18,      0.37,      0.40,      0.00,     33.64,      0.46,      0.50,      0.02,     28.81,      0.30,      1.66,      0.96,     30.85,      0.96,      0.96,      0.64,     30.60,      0.48,      3.66,      0.99,     -3.59,      0.49,      1.72,     -1.33,      1.03,      1.04,     -3.04,      0.66,      3.69,     -2.65,      0.75,
