leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_33_13,     35.49,      0.05,      0.05,     -0.07,     35.52,      0.05,      0.05,     -0.00,     35.53,      0.06,      0.06,      0.00,     33.83,      0.11,      0.13,      0.15,     33.16,      0.10,      0.12,      0.12,     34.34,      0.10,      0.11,      0.12,     -1.66,      0.12,      0.14,     -2.36,      0.11,      0.13,     -1.19,      0.12,      0.13,     -1.74,      0.34,      0.35
edge_33_25,     30.47,      0.07,      0.06,     -0.07,     30.49,      0.06,      0.06,     -0.02,     30.52,      0.06,      0.06,     -0.02,     28.89,      0.16,      0.20,      0.24,     29.05,      0.09,      0.19,      0.58,     27.89,      0.18,      0.15,     -0.03,     -1.58,      0.17,      0.21,     -1.44,      0.11,      0.20,     -2.63,      0.19,      0.16,     -1.88,      0.38,      0.39
edge_31_33,    -17.43,      0.05,      0.04,     -0.02,    -17.41,      0.05,      0.04,     -0.08,    -17.36,      0.05,      0.05,      0.03,    -16.67,      0.08,      0.08,      0.05,    -16.89,      0.09,      0.08,     -0.07,    -17.15,      0.07,      0.08,      0.05,      0.76,      0.09,      0.09,      0.52,      0.10,      0.09,      0.21,      0.09,      0.09,      0.50,      0.16,      0.16
edge_12_33,    -31.58,      0.05,      0.05,      0.02,    -31.54,      0.04,      0.04,      0.04,    -31.44,      0.04,      0.05,      0.03,    -30.08,      0.09,      0.15,      0.38,    -29.03,      0.08,      0.08,     -0.10,    -29.86,      0.11,      0.14,      0.33,      1.50,      0.10,      0.16,      2.51,      0.09,      0.09,      1.58,      0.12,      0.15,      1.86,      0.33,      0.33
edge_28_34,     79.97,      0.19,      0.25,      0.20,     80.17,      0.21,      0.26,      0.02,     80.23,      0.20,      0.26,      0.30,     79.22,      0.19,      0.15,     -0.16,     79.75,      0.21,      0.25,      0.18,     79.43,      0.18,      0.27,      0.26,     -0.75,      0.27,      0.29,     -0.42,      0.30,      0.36,     -0.80,      0.27,      0.37,     -0.66,      0.18,      0.21
edge_28_37,     65.28,      0.05,      0.05,      0.03,     65.18,      0.05,      0.05,     -0.05,     65.21,      0.06,      0.05,     -0.03,     67.29,      0.10,      0.23,      0.66,     65.52,      0.09,      0.09,      0.09,     66.48,      0.06,      0.13,      0.45,      2.01,      0.11,      0.24,      0.34,      0.10,      0.10,      1.27,      0.08,      0.14,      1.21,      0.49,      0.49
edge_28_23,     90.72,      0.35,      0.35,     -0.13,     90.55,      0.19,      0.27,      0.28,     90.34,      0.39,      0.28,     -0.26,     90.65,      0.40,      0.35,     -0.08,     90.22,      0.31,      0.48,      0.42,     88.53,      0.25,      0.70,      0.79,     -0.07,      0.53,      0.49,     -0.33,      0.36,      0.55,     -1.81,      0.46,      0.75,     -0.74,      0.57,      0.59
edge_22_32,    -12.43,      0.10,      0.11,     -0.01,    -12.55,      0.11,      0.13,      0.15,    -12.96,      0.14,      0.15,      0.13,    -13.36,      0.23,      0.21,     -0.10,    -13.03,      0.26,      0.24,     -0.01,    -13.21,      0.26,      0.22,      0.00,     -0.93,      0.25,      0.24,     -0.48,      0.28,      0.27,     -0.25,      0.30,      0.27,     -0.55,      0.23,      0.23
edge_22_16,      4.59,      0.11,      0.13,      0.04,      4.34,      0.14,      0.15,      0.09,      4.60,      0.12,      0.13,      0.11,      4.67,      0.49,      0.70,      0.54,      4.00,      0.26,      0.31,      0.09,      5.19,      0.42,      0.55,      0.28,      0.08,      0.50,      0.71,     -0.34,      0.30,      0.34,      0.59,      0.44,      0.57,      0.11,      0.33,      0.38
edge_26_32,    -21.47,      0.08,      0.08,     -0.05,    -21.51,      0.07,      0.07,     -0.05,    -21.60,      0.10,      0.09,     -0.06,    -21.46,      0.23,      0.32,      0.15,    -22.73,      0.21,      0.17,     -0.22,    -22.27,      0.18,      0.18,      0.01,      0.01,      0.24,      0.33,     -1.22,      0.22,      0.18,     -0.67,      0.21,      0.20,     -0.63,      0.37,      0.36
edge_26_14,     -1.22,      0.05,      0.06,     -0.01,     -1.23,      0.05,      0.05,      0.00,     -1.23,      0.06,      0.06,      0.03,     -1.77,      0.06,      0.07,      0.00,     -1.43,      0.08,      0.08,     -0.11,      0.31,      0.10,      0.20,      0.62,     -0.55,      0.08,      0.09,     -0.20,      0.09,      0.09,      1.54,      0.12,      0.21,      0.26,      0.65,      0.65
edge_16_26,      0.45,      0.09,      0.08,     -0.09,      0.68,      0.08,      0.09,     -0.01,      0.27,      0.09,      0.08,     -0.07,     -1.35,      0.22,      0.33,      0.38,      0.10,      0.25,      0.20,     -0.21,      1.07,      0.37,      0.34,     -0.09,     -1.80,      0.24,      0.34,     -0.58,      0.26,      0.22,      0.80,      0.38,      0.35,     -0.53,      0.75,      0.77
edge_37_34,     19.80,      0.05,      0.05,     -0.09,     19.85,      0.05,      0.05,      0.05,     19.86,      0.05,      0.05,     -0.05,     18.08,      0.11,      0.09,     -0.06,     18.56,      0.09,      0.11,      0.22,     18.58,      0.10,      0.10,      0.03,     -1.72,      0.12,      0.10,     -1.29,      0.10,      0.12,     -1.28,      0.11,      0.11,     -1.43,      0.15,      0.15
edge_19_37,    -24.82,      0.05,      0.05,     -0.01,    -24.72,      0.06,      0.06,     -0.03,    -24.79,      0.06,      0.05,     -0.02,    -23.84,      0.15,      0.13,     -0.15,    -24.42,      0.15,      0.19,      0.26,    -24.91,      0.17,      0.20,      0.16,      0.98,      0.16,      0.14,      0.30,      0.16,      0.20,     -0.12,      0.18,      0.21,      0.39,      0.33,      0.33
edge_1a_37,     -8.10,      0.09,      0.08,     -0.05,     -8.00,      0.10,      0.08,     -0.09,     -8.04,      0.08,      0.08,      0.05,    -10.10,      0.18,      0.15,     -0.05,    -10.28,      0.15,      0.15,      0.06,    -10.12,      0.16,      0.15,      0.01,     -2.00,      0.20,      0.17,     -2.28,      0.18,      0.17,     -2.08,      0.18,      0.17,     -2.12,      0.12,      0.12
edge_27_37,    -18.93,      0.05,      0.05,     -0.03,    -19.05,      0.04,      0.04,      0.02,    -19.00,      0.05,      0.05,      0.03,    -18.64,      0.08,      0.11,      0.23,    -18.16,      0.10,      0.16,      0.40,    -18.61,      0.08,      0.08,      0.01,      0.29,      0.09,      0.12,      0.89,      0.11,      0.16,      0.39,      0.09,      0.09,      0.52,      0.19,      0.19
edge_35_37,      6.83,      0.06,      0.06,      0.02,      6.87,      0.07,      0.07,      0.00,      6.93,      0.07,      0.07,     -0.08,      8.08,      0.15,      0.14,      0.03,      8.31,      0.11,      0.16,      0.37,      8.44,      0.11,      0.12,      0.02,      1.25,      0.16,      0.15,      1.44,      0.13,      0.17,      1.51,      0.13,      0.14,      1.40,      0.10,      0.11
edge_21_37,    -27.14,      0.05,      0.05,      0.08,    -27.13,      0.05,      0.05,     -0.04,    -27.17,      0.05,      0.05,     -0.04,    -24.98,      0.07,      0.11,      0.26,    -25.69,      0.08,      0.12,      0.16,    -25.49,      0.08,      0.09,     -0.05,      2.16,      0.09,      0.12,      1.44,      0.09,      0.13,      1.68,      0.09,      0.10,      1.76,      0.22,      0.22
edge_30_20,     74.61,      0.06,      0.06,     -0.02,     74.56,      0.06,      0.06,      0.02,     74.61,      0.06,      0.06,     -0.06,     72.05,      0.11,      0.09,     -0.22,     71.90,      0.09,      0.11,      0.09,     71.19,      0.10,      0.12,      0.13,     -2.56,      0.13,      0.11,     -2.66,      0.11,      0.13,     -3.42,      0.12,      0.13,     -2.88,      0.28,      0.27
edge_30_13,    105.34,      0.08,      0.09,      0.10,    105.19,      0.08,      0.07,     -0.05,    105.18,      0.07,      0.08,      0.07,    103.18,      0.22,      0.24,      0.04,    101.69,      0.11,      0.12,     -0.09,    104.06,      0.19,      0.17,     -0.01,     -2.16,      0.23,      0.26,     -3.50,      0.14,      0.14,     -1.12,      0.20,      0.19,     -2.26,      0.70,      0.69
edge_30_21,     90.97,      0.06,      0.05,     -0.00,     90.90,      0.06,      0.06,      0.00,     91.02,      0.05,      0.05,      0.02,     88.83,      0.12,      0.12,     -0.01,     88.74,      0.12,      0.14,      0.11,     88.39,      0.10,      0.13,      0.22,     -2.14,      0.13,      0.13,     -2.16,      0.13,      0.15,     -2.63,      0.11,      0.14,     -2.31,      0.17,      0.17
edge_30_39,      7.16,      0.15,      0.14,      0.02,      6.86,      0.09,      0.12,      0.14,      6.77,      0.14,      0.12,     -0.09,      6.11,      0.18,      0.16,     -0.12,      6.67,      0.15,      0.16,     -0.06,      6.73,      0.19,      0.20,      0.04,     -1.05,      0.23,      0.21,     -0.19,      0.17,      0.20,     -0.04,      0.24,      0.23,     -0.43,      0.33,      0.33
edge_1a_40,     -0.45,      0.06,      0.06,      0.01,     -0.46,      0.06,      0.06,     -0.02,     -0.36,      0.07,      0.06,     -0.02,     -0.92,      0.10,      0.10,      0.04,     -1.29,      0.11,      0.11,     -0.01,     -0.90,      0.11,      0.11,     -0.07,     -0.47,      0.12,      0.12,     -0.83,      0.13,      0.13,     -0.54,      0.13,      0.13,     -0.61,      0.12,      0.12
edge_29_40,    -10.38,      0.14,      0.11,     -0.13,    -10.28,      0.11,      0.10,     -0.04,    -10.49,      0.11,      0.10,     -0.02,     -8.06,      0.19,      0.20,     -0.03,     -9.08,      0.23,      0.32,      0.31,     -9.29,      0.20,      0.27,      0.28,      2.32,      0.24,      0.23,      1.20,      0.25,      0.34,      1.20,      0.23,      0.29,      1.57,      0.39,      0.39
edge_19_25,     -4.27,      0.05,      0.05,     -0.04,     -4.28,      0.05,      0.05,      0.01,     -4.27,      0.04,      0.04,     -0.00,     -4.98,      0.07,      0.06,     -0.21,     -4.43,      0.08,      0.08,     -0.03,     -4.62,      0.06,      0.07,      0.18,     -0.71,      0.09,      0.08,     -0.15,      0.09,      0.09,     -0.35,      0.07,      0.08,     -0.40,      0.17,      0.17
edge_13_25,     -6.90,      0.05,      0.04,     -0.05,     -6.99,      0.05,      0.05,     -0.04,     -6.97,      0.05,      0.05,     -0.09,     -6.99,      0.10,      0.09,     -0.01,     -6.60,      0.11,      0.10,     -0.03,     -6.61,      0.11,      0.11,     -0.02,     -0.09,      0.11,      0.10,      0.39,      0.12,      0.11,      0.36,      0.12,      0.12,      0.22,      0.16,      0.16
