#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_48  1.80  0.44
edge_43_44  2.58  0.16
edge_30_56  -1.60  2.47
edge_30_70  -1.09  0.47
edge_65_34  0.42  0.38
edge_65_70  -2.00  0.32
edge_65_64  -0.01  0.41
edge_65_63  -0.49  0.28
edge_65_20  -1.13  0.47
edge_49_58  -3.85  0.60
edge_49_42  -4.26  0.45
edge_49_44  -1.40  0.28
edge_24_69  -2.80  0.44
edge_24_70  -2.56  0.14
edge_24_34  -0.93  0.33
edge_67_56  -1.16  0.47
edge_67_57  0.93  0.27
edge_67_64  2.14  0.59
edge_62_70  -2.09  0.29
edge_62_31  -0.24  0.30
edge_56_69  0.26  0.72
edge_59_35  -2.01  0.23
edge_59_52  -1.08  0.56
edge_59_47  1.54  1.28
edge_38_26  1.95  0.64
edge_38_41  -0.20  0.33
edge_38_39  2.03  0.22
edge_31_19  2.54  0.61
edge_48_47  1.37  0.54
edge_48_20  -2.34  0.56
edge_58_68  -0.24  0.44
edge_58_60  1.83  0.33
edge_58_63  0.64  0.16
edge_41_44  1.38  0.20
edge_29_54  1.15  0.53
edge_29_63  0.45  0.58
edge_29_70  -1.63  0.15
edge_29_23  1.75  0.18
edge_54_36  2.28  2.34
edge_54_70  -1.94  0.49
edge_47_46  -0.59  0.19
edge_47_20  -2.44  0.48
edge_26_69  -2.40  0.57
edge_26_70  -2.69  1.02
edge_55_63  3.31  0.22
edge_55_23  4.44  0.28
edge_20_39  2.00  0.46
edge_20_42  -0.66  0.40
edge_57_70  -0.23  0.15
edge_35_69  -0.47  0.23
edge_44_68  -1.78  0.85
edge_63_36  0.77  0.62
edge_69_53  2.37  0.43
edge_69_23  2.90  0.49
edge_69_60  1.55  0.39
edge_52_53  0.75  0.38
edge_52_19  3.36  0.40
edge_52_46  2.87  0.67
edge_19_37  -3.81  0.66
edge_19_70  -2.36  0.18
edge_68_70  0.74  0.30
edge_68_53  2.81  1.10
edge_33_23  1.04  0.20
edge_33_36  -0.11  1.10
edge_33_70  -2.12  0.31
edge_39_37  -2.18  0.76
