#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_48  1.96  0.83
edge_43_44  0.79  0.18
edge_30_56  -1.04  0.35
edge_30_70  0.72  0.24
edge_65_34  -1.20  0.13
edge_65_70  -1.81  0.38
edge_65_64  0.63  0.21
edge_65_63  1.53  0.22
edge_65_20  1.39  0.34
edge_49_58  -2.82  0.40
edge_49_42  -3.06  0.38
edge_49_44  -2.15  0.10
edge_24_69  -1.38  0.41
edge_24_70  -0.00  0.18
edge_24_34  0.44  0.33
edge_67_56  -2.37  0.31
edge_67_57  -1.12  0.61
edge_67_64  1.50  0.46
edge_62_70  -5.26  0.40
edge_62_31  -5.49  0.18
edge_56_69  -0.33  0.13
edge_59_35  -3.69  0.42
edge_59_52  -1.35  0.32
edge_59_47  0.00  0.50
edge_38_26  -2.85  0.52
edge_38_41  -0.59  0.23
edge_38_39  0.79  0.44
edge_31_19  0.44  0.57
edge_48_47  -0.36  0.29
edge_48_20  -0.65  0.83
edge_58_68  -2.54  1.86
edge_58_60  -1.03  0.36
edge_58_63  0.44  0.20
edge_41_44  -0.65  0.60
edge_29_54  0.96  0.29
edge_29_63  3.18  0.18
edge_29_70  -0.26  0.22
edge_29_23  0.37  0.77
edge_54_36  0.18  0.58
edge_54_70  -1.87  0.58
edge_47_46  -0.78  0.09
edge_47_20  -0.25  0.50
edge_26_69  -1.92  0.52
edge_26_70  -1.03  0.86
edge_55_63  4.54  0.51
edge_55_23  0.48  0.43
edge_20_39  1.01  0.21
edge_20_42  -1.06  0.24
edge_57_70  0.67  0.08
edge_35_69  -1.37  0.11
edge_44_68  -1.34  0.44
edge_63_36  -2.34  0.62
edge_69_53  4.20  0.11
edge_69_23  0.77  0.12
edge_69_60  2.85  0.23
edge_52_53  1.21  0.36
edge_52_19  -2.98  0.62
edge_52_46  0.25  0.35
edge_19_37  1.45  1.52
edge_19_70  0.47  1.02
edge_68_70  -1.22  0.30
edge_68_53  2.59  0.86
edge_33_23  0.12  0.11
edge_33_36  1.69  0.68
edge_33_70  0.66  0.16
edge_39_37  -4.50  1.09
