#1_edge   2_ddg  3_ddg_err  4_ddg_aerr
#all values in kJ/mol
edge_23466_23475  -1.48  0.37  0.37
edge_23467_23466  -0.37  0.33  0.33
edge_23467_23468  0.02  0.15  0.16
edge_23467_23469  -0.27  0.70  0.71
edge_23467_23470  -1.95  1.11  1.16
edge_23467_23473  -0.78  0.85  0.84
edge_23467_23474  -2.87  0.54  0.97
edge_23467_23475  -0.72  0.48  0.48
edge_23467_23476  -2.28  0.75  0.81
edge_23469_23472  -1.22  0.32  0.34
edge_23469_20669_2qbr  -0.20  0.33  0.35
edge_23471_23466  -0.20  0.44  0.47
edge_23471_23468  -0.40  0.22  0.21
edge_23471_23470  0.19  0.27  0.29
edge_23473_20669_2qbr  0.87  0.21  0.21
edge_23474_23466  1.00  1.33  1.32
edge_23476_23466  1.37  1.10  2.98
edge_23477_23466  1.68  0.85  0.99
edge_23477_23467  0.20  0.55  0.59
edge_23477_23479  -0.16  0.25  0.26
edge_23477_23482  -1.46  0.62  0.63
edge_23477_23483  -0.60  1.31  1.37
edge_23477_23330_2qbq  -2.37  0.52  0.52
edge_23480_23479  1.66  0.53  565733.09
edge_23480_23482  0.32  1.19  188.40
edge_23482_23479  0.10  0.44  0.46
edge_23482_23485  1.24  0.64  0.68
edge_23482_23486  -2.00  0.87  0.80
edge_23483_23479  0.26  0.84  0.82
edge_23484_23479  -1.21  1.75  32.48
edge_23484_23482  2.38  1.24  18.43
edge_23484_23485  0.51  0.32  0.85
edge_23484_23486  -0.26  1.16  1.76
edge_23485_23479  -2.25  0.30  6.21
edge_23486_23479  1.66  1.95  15.20
edge_23486_23485  2.21  0.48  0.48
edge_20667_2qbp_23479  0.70  0.66  0.70
edge_20667_2qbp_23482  0.17  0.54  0.53
edge_20667_2qbp_23484  -0.39  0.86  5.77
edge_20667_2qbp_23485  0.31  0.85  0.86
edge_20667_2qbp_23486  -0.46  0.56  0.55
edge_20669_2qbr_23466  0.14  0.44  0.52
edge_20669_2qbr_23472  -1.68  1.07  1.07
edge_20670_2qbs_23466  0.90  0.34  0.49
edge_20670_2qbs_23477  0.67  0.35  0.34
edge_20670_2qbs_23479  0.64  0.26  0.25
edge_20670_2qbs_23482  -0.10  0.48  0.50
edge_20670_2qbs_23483  -0.10  0.71  0.74
edge_20670_2qbs_23330_2qbq  -0.58  0.22  0.23
