#1_edge   2_ddg  3_ddg_err  4_ddg_aerr
#all values in kJ/mol
edge_50_60  0.45  0.82  0.83
edge_56_35  2.16  0.26  0.25
edge_65_60  0.90  0.09  0.10
edge_26_57  0.56  0.24  0.25
edge_58_60  1.62  0.45  0.46
edge_62_45  -1.47  0.54  0.55
edge_60_36  1.00  0.57  0.58
edge_30_27  -0.41  0.58  0.59
edge_33_27  0.70  0.18  0.18
edge_43_27  -0.13  0.60  0.60
edge_67_58  -1.52  0.39  0.39
edge_67_32  3.91  0.60  0.66
edge_30_40  -1.72  0.55  0.60
edge_38_60  -0.25  0.67  0.70
edge_41_35  -0.56  0.78  1.27
edge_54_23  1.30  0.17  0.17
edge_56_60  0.05  0.38  0.38
edge_66_42  1.84  0.31  0.31
edge_29_40  -1.23  2.06  139.40
edge_26_44  0.38  0.31  0.31
edge_49_35  1.92  0.34  0.34
edge_29_35  -2.68  1.44  2.76
edge_42_51  -0.12  0.53  0.53
edge_39_32  -0.36  0.30  0.32
edge_35_37  -1.47  0.58  0.59
edge_28_35  -0.83  0.42  0.42
edge_35_53  -3.16  0.37  0.38
edge_67_63  -1.13  0.23  0.23
edge_27_45  -1.50  0.47  0.55
edge_41_32  1.54  0.75  0.79
edge_67_53  -0.56  0.42  0.42
edge_35_33  -0.33  0.20  0.20
edge_27_46  -0.34  0.16  0.16
edge_66_23  1.44  0.12  0.11
edge_67_61  0.89  0.26  0.34
edge_57_23  -0.62  0.23  0.23
edge_30_35  -0.88  0.41  0.42
edge_61_60  -1.01  0.57  0.57
edge_67_31  3.68  0.25  0.30
edge_32_46  -0.12  0.33  0.34
edge_35_60  -2.02  0.52  0.52
edge_31_35  -0.88  0.23  0.21
edge_62_26  -1.07  0.38  0.40
edge_35_36  -0.07  0.46  0.46
edge_26_64  -1.10  0.07  0.09
edge_38_35  0.42  0.62  1.71
edge_35_34  0.15  0.43  0.42
edge_29_27  0.36  1.45  2.45
edge_48_27  -1.21  0.46  0.45
edge_68_45  -1.63  0.21  0.23
edge_63_60  0.95  0.43  0.44
edge_54_42  2.27  0.19  0.19
edge_44_23  0.31  0.59  0.59
edge_28_27  -1.14  0.26  0.26
edge_67_27  2.61  0.28  0.39
edge_52_60  1.20  0.17  0.21
edge_27_23  -0.76  0.88  0.92
edge_49_67  -0.93  0.76  0.83
edge_28_47  -1.09  0.67  0.67
edge_67_52  0.92  0.32  0.33
edge_30_48  3.37  0.11  0.11
edge_67_35  3.10  0.21  0.21
edge_32_34  -0.77  0.36  0.36
edge_65_67  0.88  0.07  0.07
edge_67_50  0.44  0.26  0.27
edge_35_39  0.02  0.43  0.43
edge_43_47  0.53  0.22  0.22
edge_67_37  0.76  0.06  0.07
edge_42_64  -2.30  0.51  0.52
edge_51_45  -1.90  0.43  0.43
edge_68_23  -0.27  0.22  0.22
