#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_CHEMBL1078774_CHEMBL1089056  -3.27  0.37
edge_CHEMBL1078774_CHEMBL1088740  -1.88  0.59
edge_CHEMBL1093087_CHEMBL1084678  -2.62  0.84
edge_CHEMBL1093087_CHEMBL1096003  -3.64  0.93
edge_CHEMBL1093087_CHEMBL1086409  -2.95  0.74
edge_CHEMBL1093087_CHEMBL1083517  -1.79  1.39
edge_CHEMBL1082249_CHEMBL1086409  1.68  0.19
edge_CHEMBL1082249_CHEMBL1077227  -4.20  0.71
edge_CHEMBL1082249_CHEMBL1082248  0.55  0.27
edge_CHEMBL1082249_CHEMBL1096003  -0.25  0.66
edge_CHEMBL1089393_CHEMBL1093088  -0.83  0.32
edge_CHEMBL1089393_CHEMBL1088740  0.07  0.10
edge_CHEMBL1089393_CHEMBL1085895  -2.60  0.84
edge_CHEMBL1078691_CHEMBL1089056  -0.75  0.37
edge_CHEMBL1078691_CHEMBL1093088  0.35  0.76
edge_CHEMBL1086409_CHEMBL1082248  -0.91  0.17
edge_CHEMBL1086409_CHEMBL1085666  -0.43  0.76
edge_CHEMBL1086409_CHEMBL1084676  0.13  0.57
edge_CHEMBL1086409_CHEMBL1083517  0.97  0.28
edge_CHEMBL1086409_CHEMBL1086410  0.12  0.26
edge_CHEMBL1086409_CHEMBL1084678  0.66  1.53
edge_CHEMBL1082248_CHEMBL1084678  0.10  1.71
edge_CHEMBL1082248_CHEMBL1086410  0.21  0.38
edge_CHEMBL1082248_CHEMBL1083517  0.72  0.25
edge_CHEMBL1082248_CHEMBL1084143  -0.16  0.82
edge_CHEMBL1082248_CHEMBL1096002  -0.23  0.13
edge_CHEMBL1082248_CHEMBL1083836  0.94  0.22
edge_CHEMBL1084678_CHEMBL1084935  -2.48  1.54
edge_CHEMBL1084678_CHEMBL1084431  0.08  1.27
edge_CHEMBL1084678_CHEMBL1077204  -1.88  1.16
edge_CHEMBL1084678_CHEMBL1084143  -0.89  0.72
edge_CHEMBL1084678_CHEMBL1084676  -1.59  0.64
edge_CHEMBL1084678_CHEMBL1084677  -0.02  0.58
edge_CHEMBL1084115_CHEMBL1078998  -1.04  0.13
edge_CHEMBL1084115_CHEMBL1088740  2.88  0.24
edge_CHEMBL1084115_CHEMBL1089056  1.74  0.23
edge_CHEMBL1084431_CHEMBL1083517  -0.17  1.86
edge_CHEMBL1084431_CHEMBL1096002  2.23  0.99
edge_CHEMBL1084431_CHEMBL1085666  -2.30  1.04
edge_CHEMBL1085895_CHEMBL1078998  -3.06  1.03
edge_CHEMBL1085895_CHEMBL1088740  3.06  0.65
edge_CHEMBL1084677_CHEMBL1083836  -1.08  0.89
edge_CHEMBL1084677_CHEMBL1085692  0.41  1.32
edge_CHEMBL1084677_CHEMBL1084676  -1.22  0.79
edge_CHEMBL1084677_CHEMBL1096003  -0.88  0.21
edge_CHEMBL1077227_CHEMBL1085666  3.38  0.59
edge_CHEMBL1077227_CHEMBL1086410  3.62  0.61
edge_CHEMBL1077227_CHEMBL1084935  4.36  0.50
edge_CHEMBL1086410_CHEMBL1096002  -0.23  0.45
edge_CHEMBL1086410_CHEMBL1084935  0.53  1.04
edge_CHEMBL1083517_CHEMBL1085666  -1.75  0.39
edge_CHEMBL1096003_CHEMBL1084143  1.10  0.36
edge_CHEMBL1077204_CHEMBL1083836  0.95  1.34
edge_CHEMBL1077204_CHEMBL1084143  -0.84  0.42
edge_CHEMBL1077204_CHEMBL1084676  0.89  0.50
edge_CHEMBL1083836_CHEMBL1085666  -1.79  0.28
edge_CHEMBL1083836_CHEMBL1096002  -0.92  0.27
edge_CHEMBL1085692_CHEMBL1096002  -0.27  0.92
edge_CHEMBL1085692_CHEMBL1084676  1.40  0.90
edge_CHEMBL1096002_CHEMBL1084935  1.52  0.30
edge_CHEMBL1089056_CHEMBL1088740  1.98  0.33
edge_CHEMBL1089056_CHEMBL1078998  -4.31  0.30
edge_CHEMBL1093088_CHEMBL1088740  0.82  0.35
