leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_43_48,     11.22,      0.06,      0.06,     -0.12,     11.29,      0.06,      0.06,     -0.04,     11.29,      0.05,      0.06,      0.03,     13.27,      0.13,      0.26,      0.58,     11.77,      0.14,      0.30,      0.58,     14.64,      0.10,      0.12,      0.15,      2.05,      0.14,      0.27,      0.48,      0.15,      0.31,      3.36,      0.11,      0.14,      1.96,      0.83,
edge_43_44,      0.54,      0.05,      0.05,      0.04,      0.62,      0.06,      0.06,      0.03,      0.47,      0.06,      0.06,      0.00,      1.20,      0.07,      0.07,      0.07,      1.20,      0.08,      0.07,      0.02,      1.62,      0.09,      0.09,     -0.06,      0.65,      0.09,      0.09,      0.58,      0.10,      0.09,      1.15,      0.11,      0.11,      0.79,      0.19,
edge_30_56,    -47.01,      0.12,      0.10,     -0.17,    -47.26,      0.09,      0.10,     -0.08,    -47.27,      0.10,      0.11,     -0.00,    -47.92,      0.39,      3.37,      0.98,    -48.90,      0.19,      0.47,      0.72,    -47.85,      0.32,      0.36,      0.10,     -0.91,      0.41,      3.37,     -1.65,      0.21,      0.48,     -0.57,      0.33,      0.38,     -1.04,      0.36,
edge_30_70,    -50.43,      0.13,      0.12,      0.10,    -49.82,      0.10,      0.09,     -0.07,    -49.95,      0.09,      0.11,      0.08,    -49.68,      0.15,      0.59,      0.85,    -48.74,      0.33,      0.63,      0.50,    -49.63,      0.14,      1.97,      0.99,      0.76,      0.19,      0.60,      1.08,      0.34,      0.64,      0.32,      0.17,      1.97,      0.72,      0.24,
edge_65_34,      0.47,      0.09,      0.09,     -0.01,      0.61,      0.09,      0.08,     -0.06,      0.28,      0.10,      0.12,      0.09,     -0.52,      0.10,      0.12,      0.14,     -0.73,      0.16,      0.14,     -0.09,     -0.99,      0.15,      0.13,     -0.11,     -1.00,      0.13,      0.15,     -1.34,      0.19,      0.17,     -1.27,      0.18,      0.18,     -1.20,      0.13,
edge_65_70,     -1.15,      0.05,      0.05,     -0.01,     -1.04,      0.05,      0.05,      0.04,     -1.03,      0.05,      0.05,     -0.00,     -3.45,      0.06,      0.07,      0.01,     -2.11,      0.10,      0.16,      0.40,     -3.08,      0.12,      0.09,     -0.28,     -2.31,      0.08,      0.09,     -1.07,      0.11,      0.17,     -2.05,      0.13,      0.10,     -1.81,      0.38,
edge_65_64,      4.13,      0.04,      0.04,      0.02,      4.24,      0.03,      0.04,      0.03,      4.15,      0.04,      0.04,      0.01,      4.95,      0.07,      0.06,      0.03,      4.46,      0.10,      0.08,     -0.05,      5.00,      0.06,      0.06,     -0.14,      0.82,      0.08,      0.07,      0.22,      0.10,      0.09,      0.84,      0.08,      0.07,      0.63,      0.20,
edge_65_63,      8.35,      0.04,      0.04,     -0.02,      8.35,      0.04,      0.04,     -0.07,      8.41,      0.04,      0.04,     -0.02,      9.61,      0.05,      0.06,      0.17,     10.32,      0.04,      0.04,      0.04,      9.77,      0.07,      0.06,     -0.11,      1.26,      0.06,      0.07,      1.97,      0.05,      0.05,      1.36,      0.08,      0.07,      1.53,      0.23,
edge_65_20,      5.96,      0.07,      0.07,     -0.01,      5.92,      0.07,      0.07,     -0.09,      6.11,      0.09,      0.09,      0.01,      6.80,      0.10,      0.25,      0.71,      7.25,      0.11,      0.26,      0.64,      8.10,      0.23,      0.34,      0.25,      0.84,      0.12,      0.26,      1.34,      0.13,      0.26,      1.99,      0.25,      0.35,      1.39,      0.34,
edge_49_58,     12.61,      0.07,      0.08,      0.03,     12.74,      0.08,      0.07,     -0.06,     12.77,      0.07,      0.07,      0.09,      9.33,      0.09,      0.10,      0.06,     10.71,      0.11,      0.10,     -0.13,      9.63,      0.08,      0.09,      0.12,     -3.29,      0.12,      0.13,     -2.03,      0.13,      0.12,     -3.15,      0.11,      0.12,     -2.82,      0.40,
edge_49_42,     24.11,      0.09,      0.08,     -0.05,     24.20,      0.09,      0.08,     -0.02,     24.20,      0.08,      0.09,      0.01,     20.62,      0.19,      0.24,      0.25,     21.89,      0.21,      0.16,     -0.23,     20.83,      0.15,      0.22,      0.36,     -3.49,      0.21,      0.26,     -2.31,      0.22,      0.18,     -3.38,      0.17,      0.24,     -3.06,      0.38,
edge_49_44,     20.27,      0.06,      0.06,     -0.01,     20.18,      0.07,      0.06,     -0.05,     20.38,      0.06,      0.06,     -0.05,     18.12,      0.06,      0.06,     -0.18,     18.21,      0.08,      0.06,     -0.12,     18.07,      0.06,      0.09,      0.18,     -2.15,      0.09,      0.09,     -1.97,      0.11,      0.09,     -2.32,      0.09,      0.11,     -2.15,      0.11,
edge_24_69,    -27.06,      0.09,      0.09,      0.09,    -26.96,      0.08,      0.08,     -0.01,    -26.98,      0.08,      0.08,     -0.05,    -27.81,      0.16,      0.19,      0.09,    -28.25,      0.23,      0.21,     -0.03,    -29.10,      0.22,      0.28,      0.25,     -0.75,      0.18,      0.21,     -1.28,      0.25,      0.22,     -2.12,      0.23,      0.29,     -1.38,      0.41,
edge_24_70,    -39.30,      0.07,      0.09,      0.11,    -39.13,      0.08,      0.08,     -0.01,    -39.13,      0.08,      0.08,      0.03,    -39.59,      0.18,      0.18,     -0.06,    -38.95,      0.24,      0.27,      0.10,    -39.03,      0.17,      0.16,     -0.04,     -0.29,      0.20,      0.20,      0.18,      0.25,      0.28,      0.11,      0.19,      0.18,     -0.00,      0.18,
edge_24_34,    -47.13,      0.10,      0.09,      0.00,    -47.22,      0.08,      0.09,      0.12,    -47.06,      0.08,      0.09,      0.06,    -47.25,      0.16,      0.19,      0.04,    -46.25,      0.17,      0.13,     -0.25,    -46.59,      0.16,      0.15,     -0.08,     -0.12,      0.19,      0.21,      0.97,      0.18,      0.16,      0.47,      0.18,      0.18,      0.44,      0.32,
edge_67_56,     68.91,      0.14,      0.14,     -0.08,     68.90,      0.14,      0.12,     -0.14,     69.14,      0.14,      0.12,     -0.02,     66.78,      0.36,      0.30,     -0.18,     66.80,      0.32,      0.27,     -0.27,     66.25,      0.24,      0.30,      0.17,     -2.13,      0.38,      0.33,     -2.10,      0.35,      0.30,     -2.89,      0.28,      0.33,     -2.37,      0.30,
edge_67_57,     68.18,      0.12,      0.13,     -0.02,     68.20,      0.11,      0.14,      0.08,     67.97,      0.12,      0.16,      0.10,     66.41,      0.36,      0.51,      0.32,     66.56,      0.23,      0.79,      0.89,     68.03,      0.32,      0.35,      0.23,     -1.77,      0.38,      0.52,     -1.64,      0.25,      0.81,      0.06,      0.34,      0.39,     -1.12,      0.61,
edge_67_64,     82.44,      0.13,      0.11,      0.01,     82.30,      0.13,      0.13,      0.02,     82.80,      0.11,      0.10,     -0.06,     84.63,      0.30,      0.39,      0.14,     82.99,      0.24,      0.32,      0.40,     84.40,      0.36,      0.48,      0.32,      2.20,      0.33,      0.41,      0.69,      0.27,      0.34,      1.60,      0.38,      0.49,      1.50,      0.47,
edge_62_70,     -3.80,      0.04,      0.04,      0.05,     -3.81,      0.04,      0.05,      0.05,     -3.72,      0.05,      0.05,     -0.01,     -8.89,      0.09,      0.27,      0.76,     -8.48,      0.11,      0.20,      0.46,     -9.74,      0.14,      0.18,      0.17,     -5.09,      0.10,      0.27,     -4.67,      0.12,      0.20,     -6.03,      0.15,      0.18,     -5.26,      0.40,
edge_62_31,     24.14,      0.08,      0.08,     -0.00,     24.23,      0.08,      0.08,      0.03,     24.18,      0.07,      0.08,      0.00,     18.55,      0.16,      0.21,      0.21,     19.05,      0.17,      0.47,      0.78,     18.48,      0.19,      0.21,      0.04,     -5.60,      0.18,      0.22,     -5.18,      0.19,      0.48,     -5.70,      0.20,      0.22,     -5.49,      0.18,
edge_56_69,      9.61,      0.03,      0.04,      0.04,      9.66,      0.04,      0.04,      0.01,      9.66,      0.04,      0.04,     -0.04,      9.10,      0.04,      0.04,     -0.24,      9.57,      0.05,      0.05,      0.13,      9.26,      0.05,      0.06,      0.01,     -0.51,      0.05,      0.05,     -0.08,      0.06,      0.07,     -0.40,      0.07,      0.07,     -0.33,      0.13,
edge_59_35,    -30.11,      0.08,      0.08,     -0.02,    -30.16,      0.09,      0.09,     -0.03,    -30.12,      0.08,      0.09,      0.05,    -33.00,      0.16,      0.19,      0.18,    -34.08,      0.15,      0.15,      0.01,    -34.38,      0.14,      0.15,      0.02,     -2.89,      0.18,      0.21,     -3.92,      0.17,      0.18,     -4.26,      0.17,      0.18,     -3.69,      0.42,
edge_59_52,    -39.85,      0.09,      0.09,      0.00,    -39.60,      0.10,      0.10,     -0.03,    -39.64,      0.08,      0.08,     -0.04,    -40.77,      0.22,      0.29,      0.19,    -41.53,      0.20,      0.19,     -0.06,    -40.84,      0.20,      0.21,     -0.07,     -0.92,      0.24,      0.31,     -1.94,      0.23,      0.21,     -1.20,      0.22,      0.22,     -1.35,      0.31,
edge_59_47,    -29.49,      0.09,      0.08,     -0.04,    -29.44,      0.08,      0.08,     -0.06,    -29.49,      0.10,      0.08,     -0.09,    -29.59,      0.25,      0.28,      0.05,    -28.54,      0.15,      0.18,      0.07,    -30.28,      0.14,      0.16,      0.13,     -0.10,      0.26,      0.29,      0.91,      0.17,      0.20,     -0.79,      0.17,      0.18,      0.00,      0.51,
edge_38_26,     -0.18,      0.16,      0.18,      0.18,      0.72,      0.11,      0.10,     -0.12,      0.26,      0.12,      0.11,     -0.22,     -2.03,      0.18,      0.23,      0.23,     -2.85,      0.16,      0.20,      0.12,     -2.88,      0.22,      0.27,      0.27,     -1.85,      0.24,      0.30,     -3.57,      0.19,      0.22,     -3.14,      0.25,      0.29,     -2.85,      0.53,
edge_38_41,     -0.82,      0.06,      0.06,     -0.03,     -0.72,      0.06,      0.06,      0.03,     -0.95,      0.07,      0.06,     -0.07,     -1.79,      0.08,      0.15,      0.48,     -1.33,      0.13,      0.12,      0.08,     -1.14,      0.15,      0.22,      0.28,     -0.97,      0.10,      0.17,     -0.62,      0.14,      0.14,     -0.19,      0.17,      0.22,     -0.59,      0.23,
edge_38_39,    -25.90,      0.09,      0.08,     -0.08,    -25.91,      0.09,      0.08,     -0.04,    -25.95,      0.06,      0.07,      0.03,    -24.45,      0.20,      0.22,      0.27,    -24.97,      0.19,      0.24,      0.12,    -25.97,      0.21,      0.30,      0.29,      1.45,      0.22,      0.23,      0.94,      0.21,      0.26,     -0.02,      0.22,      0.31,      0.79,      0.44,
