#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_38  -1.21  0.12
edge_43_42  -0.10  0.37
edge_43_45  -1.25  0.58
edge_17_16  -1.61  0.41
edge_17_25  -1.73  0.32
edge_17_45  -3.18  0.78
edge_28_25  -1.24  0.23
edge_28_30  -3.63  0.59
edge_28_39  -3.50  0.90
edge_22_21  1.34  0.14
edge_22_26  1.43  0.48
edge_22_32  1.71  0.27
edge_16_14  0.84  0.32
edge_16_15  1.87  0.92
edge_16_20  -1.90  0.43
edge_16_19  -1.84  0.48
edge_30_33  1.79  0.52
edge_30_37  -0.95  0.10
edge_21_20  -1.34  0.69
edge_21_41  -3.31  0.18
edge_21_29  0.58  0.34
edge_21_26  0.11  0.34
edge_24_42  -2.78  1.49
edge_24_33  -1.24  0.44
edge_38_29  3.01  0.50
edge_31_25  2.09  1.66
edge_31_37  0.20  0.27
edge_41_39  0.56  0.20
edge_41_40  0.70  0.04
edge_29_33  0.84  0.90
edge_20_35  -2.08  0.27
edge_42_13  1.16  0.30
edge_35_18  3.69  1.07
edge_35_27  4.13  0.84
edge_35_37  0.91  0.45
edge_35_36  0.17  0.64
edge_44_32  1.59  1.22
edge_44_36  -0.84  0.23
edge_18_13  0.90  1.27
edge_18_15  1.30  0.93
edge_18_45  -0.87  0.47
edge_40_19  0.93  0.51
edge_40_33  1.80  0.49
edge_19_32  0.83  0.25
edge_19_25  3.44  0.76
edge_33_32  1.59  0.51
edge_33_34  -0.60  0.74
edge_27_36  -4.45  0.72
edge_13_14  4.72  1.19
edge_39_32  2.34  0.76
edge_32_23  1.07  0.40
edge_23_14  2.88  1.78
edge_23_34  -2.64  0.55
edge_34_36  -0.52  0.32
