#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_1495_5109  -1.56  0.42
edge_1495_3040  -2.40  0.29
edge_1495_2606  -3.52  0.33
edge_1495_6691  -1.45  0.22
edge_2359_3053  1.58  0.45
edge_3053_8602  -0.64  0.41
edge_0529_6770  1.79  0.64
edge_0681_6770  -0.61  0.47
edge_0798_1859  -2.12  0.33
edge_0798_9022  0.76  0.12
edge_0798_4451  1.83  0.17
edge_0798_6770  1.53  0.39
edge_0798_7447  1.03  0.52
edge_1537_6770  -0.99  0.20
edge_1859_9373   nan   nan
edge_1859_8654  0.66  0.60
edge_1872_6770  0.88  0.20
edge_2879_6770  0.49  0.39
edge_3507_6770  -0.74  0.42
edge_4326_8654  -5.24  0.96
edge_4451_6674  -1.79  0.11
edge_5602_7454  2.22  0.13
edge_6674_6770  1.36  0.46
edge_6770_8794  -2.04  0.40
edge_6770_8550  -0.53  0.60
edge_0681_7454  0.47  0.21
edge_9373_5602  1.00  0.49
edge_9373_0529  0.66  0.12
edge_8794_6674  0.13  0.37
edge_3507_0798  -2.80  0.39
edge_1537_0529  -2.22  0.21
edge_7447_4326  3.90  0.32
edge_3040_3053  0.48  0.42
edge_2606_3053  1.32  0.40
edge_8550_0798  -0.20  0.23
edge_0681_1872  -1.55  0.07
edge_7447_9373  -1.81  0.59
edge_0681_5109  -0.63  0.40
edge_1859_4326  6.24  1.11
edge_9022_9373  -2.16  0.52
edge_9022_2879  1.67  0.70
edge_7447_2606  -1.76  0.27
edge_7447_4451  0.95  0.21
edge_1859_2879  4.36  0.65
edge_2359_1495  4.15  0.36
edge_8654_0529  -2.06  1.09
edge_0681_1537  0.07  0.22
edge_8550_1495  2.77  0.16
edge_2359_3040  1.69  0.25
edge_2359_3507  4.99  0.25
edge_2879_1872  -2.51  0.16
edge_6691_5109  0.48  0.13
edge_8550_7454  1.61  0.70
edge_6691_9373  -2.35  0.61
edge_8602_2606  -1.38  0.25
edge_5602_3507  3.77  0.32
edge_5602_3040  1.69  0.43
edge_8602_5109  0.92  0.21
edge_1872_6674  0.15  0.11
edge_9373_1495  2.76  0.83
edge_8794_7454  2.29  0.41
