#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_338_165  3.02  0.16
edge_338_215  0.49  0.42
edge_338_163  1.98  0.25
edge_43_235  -1.51  0.84
edge_43_54  1.67  0.28
edge_43_215  -0.30  0.31
edge_43_155  -0.06  0.15
edge_43_25  -0.83  0.22
edge_235_1  1.54  0.59
edge_235_54  2.74  0.47
edge_234_227  -4.21  0.97
edge_234_289  -1.27  0.33
edge_30_42  -0.16  0.44
edge_30_84  1.80  0.33
edge_30_251  0.17  1.17
edge_30_25  -2.21  0.48
edge_1_155  0.42  0.14
 edge_1_7a  0.93  0.48
edge_1_254  0.63  0.57
edge_1_256  0.80  0.20
 edge_1_15  -0.59  0.42
edge_237_227  -7.42  0.82
edge_237_31  -3.55  0.37
edge_237_41  -4.11  1.17
edge_237_336  -5.05  0.77
edge_237_290  -6.66  0.63
edge_237_254  -3.19  0.27
edge_227_167  4.25  0.40
edge_227_231  4.12  0.32
edge_227_15  2.86  0.30
edge_266_156  3.09  0.60
edge_266_165  5.32  0.29
edge_266_84  6.27  0.94
edge_266_254  4.29  1.44
edge_206_57  -3.12  0.50
edge_206_42  -1.64  0.18
edge_206_23  -3.93  0.43
edge_206_256  -2.79  0.46
edge_67_165  5.09  0.59
edge_67_256  4.72  0.89
edge_156_167  1.01  0.25
edge_156_165  2.24  0.41
edge_156_42  0.27  0.36
edge_156_164  3.77  0.71
edge_31_61  0.20  0.82
edge_31_7a  -0.32  0.93
edge_289_35  -0.73  1.17
edge_289_224  -1.78  1.64
edge_61_251  0.20  0.24
edge_167_165  0.81  0.19
edge_167_155  -0.94  0.27
edge_167_50  0.81  0.68
edge_165_42  -1.83  1.20
edge_165_252  -1.19  0.45
edge_165_336  -1.69  0.30
edge_165_163  -0.68  0.47
edge_41_7b  2.54  1.09
edge_7b_42  -2.79  0.14
edge_7b_231  -3.77  0.20
edge_54_251  -2.32  0.14
edge_54_124  -2.94  0.50
edge_215_252  1.31  0.38
edge_215_15  -0.88  0.26
edge_215_163  1.37  0.21
edge_57_231  4.25  0.11
edge_42_164  2.15  0.35
edge_35_7a  1.59  0.35
edge_35_84  2.42  0.66
edge_252_336  -0.53  0.18
edge_252_290  -3.17  0.70
edge_252_155  -0.30  0.39
edge_252_231  -0.46  0.23
edge_252_124  -2.17  0.92
edge_336_251  -1.13  0.74
edge_290_7a  3.59  0.88
edge_290_84  4.43  0.58
edge_290_23  3.41  0.54
edge_290_256  3.92  0.67
edge_155_84  1.59  0.14
edge_164_124  -4.73  0.41
edge_164_25  -3.61  0.23
edge_164_163  -2.27  0.78
edge_7a_224  0.54  0.61
edge_7a_23  -0.15  0.18
edge_224_231  2.16  1.20
edge_84_15  -3.50  0.48
edge_254_251  0.22  0.73
edge_254_50  1.58  0.35
edge_23_15  -1.74  0.69
edge_251_15  -1.52  0.28
edge_251_25  -0.03  0.16
edge_15_25  0.74  0.19
