leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_67_35,    -34.74,      0.09,      0.08,     -0.00,    -34.80,      0.08,      0.07,      0.00,    -34.73,      0.08,      0.08,      0.07,    -33.05,      0.14,      0.13,     -0.18,    -32.83,      0.24,      0.22,     -0.05,    -32.70,      0.08,      0.10,     -0.01,      1.69,      0.17,      0.15,      1.97,      0.25,      0.23,      2.03,      0.11,      0.13,      1.90,      0.14,
edge_67_31,    -11.18,      0.11,      0.10,     -0.09,    -10.90,      0.07,      0.09,      0.12,    -11.00,      0.10,      0.09,     -0.06,     -8.71,      0.17,      0.21,      0.19,    -10.06,      0.21,      0.24,      0.21,     -8.73,      0.27,      0.29,     -0.06,      2.47,      0.20,      0.23,      0.84,      0.22,      0.26,      2.27,      0.29,      0.30,      1.86,      0.52,
edge_49_35,    -10.94,      0.09,      0.08,      0.02,    -10.97,      0.07,      0.07,      0.03,    -11.25,      0.07,      0.08,     -0.02,    -12.07,      0.22,      0.30,      0.31,    -11.85,      0.14,      0.18,      0.17,    -11.58,      0.18,      0.20,      0.14,     -1.13,      0.24,      0.31,     -0.88,      0.16,      0.19,     -0.33,      0.19,      0.22,     -0.78,      0.25,
edge_35_33,      1.02,      0.07,      0.07,      0.06,      1.09,      0.07,      0.08,      0.07,      0.96,      0.08,      0.08,     -0.06,      2.17,      0.16,      0.32,      0.66,      1.87,      0.12,      0.20,      0.44,      1.91,      0.18,      0.18,     -0.02,      1.15,      0.17,      0.33,      0.78,      0.14,      0.22,      0.95,      0.20,      0.20,      0.96,      0.14,
edge_35_36,      3.04,      0.06,      0.08,      0.11,      3.06,      0.08,      0.08,     -0.05,      3.05,      0.08,      0.08,      0.01,      2.43,      0.21,      0.17,     -0.12,,,,,      2.59,      0.23,      0.26,      0.04,     -0.61,      0.22,      0.19,,,,     -0.46,      0.24,      0.27,,,
edge_35_34,     12.61,      0.08,      0.08,      0.05,     12.66,      0.09,      0.09,     -0.02,     12.52,      0.09,      0.09,     -0.02,     14.86,      0.13,      0.19,      0.30,     12.12,      0.14,      0.37,      0.68,     14.56,      0.11,      0.09,     -0.16,      2.25,      0.15,      0.21,     -0.54,      0.17,      0.38,      2.04,      0.14,      0.13,      1.25,      0.90,
edge_52_60,     -6.01,      0.08,      0.08,     -0.05,     -5.86,      0.08,      0.08,     -0.01,     -5.94,      0.09,      0.09,     -0.10,     -5.45,      0.13,      0.14,      0.08,     -5.28,      0.14,      0.13,     -0.03,     -5.11,      0.10,      0.12,      0.03,      0.56,      0.15,      0.16,      0.58,      0.16,      0.15,      0.83,      0.13,      0.15,      0.66,      0.11,
edge_30_48,      0.04,      0.08,      0.10,      0.10,      0.17,      0.11,      0.11,      0.06,     -0.08,      0.09,      0.09,     -0.06,      3.61,      0.15,      0.14,      0.07,      2.91,      0.11,      0.12,     -0.01,      2.72,      0.12,      0.12,     -0.03,      3.57,      0.17,      0.17,      2.74,      0.16,      0.16,      2.80,      0.15,      0.15,      3.04,      0.27,
edge_30_40,      2.60,      0.13,      0.12,     -0.02,      2.49,      0.12,      0.14,      0.04,      2.63,      0.11,      0.12,      0.04,      0.82,      0.67,      0.60,     -0.16,      2.22,      0.31,      2.08,      0.98,      1.22,      0.31,      0.35,      0.07,     -1.78,      0.68,      0.61,     -0.27,      0.33,      2.08,     -1.41,      0.33,      0.37,     -1.15,      0.49,
edge_30_27,      4.64,      0.08,      0.08,      0.01,      4.67,      0.09,      0.09,     -0.04,      4.51,      0.07,      0.08,      0.09,      4.86,      0.16,      0.17,      0.07,      5.81,      0.12,      0.13,      0.03,      4.56,      0.34,      0.40,      0.14,      0.22,      0.18,      0.19,      1.14,      0.15,      0.16,      0.05,      0.35,      0.41,      0.47,      0.35,
edge_60_36,     10.54,      0.08,      0.09,      0.07,     10.45,      0.12,      0.11,     -0.04,     10.49,      0.09,      0.09,      0.01,     11.44,      0.20,      0.22,      0.16,     11.99,      0.14,      0.16,      0.04,     10.66,      0.15,      0.28,      0.45,      0.90,      0.22,      0.24,      1.54,      0.18,      0.19,      0.17,      0.17,      0.29,      0.87,      0.40,
edge_56_35,     -5.60,      0.10,      0.11,      0.03,     -5.44,      0.09,      0.10,      0.08,     -5.50,      0.11,      0.11,      0.02,     -4.86,      0.28,      0.26,     -0.09,     -3.60,      0.13,      0.12,      0.02,     -4.15,      0.12,      0.13,     -0.03,      0.74,      0.30,      0.28,      1.84,      0.16,      0.16,      1.35,      0.16,      0.17,      1.31,      0.33,
edge_67_52,    -33.95,      0.08,      0.08,     -0.03,    -33.82,      0.08,      0.07,     -0.00,    -33.87,      0.06,      0.07,      0.02,    -33.79,      0.14,      0.14,     -0.02,    -33.92,      0.14,      0.12,     -0.19,    -32.99,      0.21,      0.24,      0.20,      0.16,      0.16,      0.16,     -0.10,      0.16,      0.14,      0.88,      0.22,      0.25,      0.31,      0.30,
edge_35_37,      0.21,      0.08,      0.08,     -0.04,      0.39,      0.08,      0.07,     -0.02,      0.29,      0.08,      0.08,      0.04,     -0.24,      0.14,      0.23,      0.46,     -0.65,      0.13,      0.13,     -0.00,     -1.03,      0.12,      0.12,     -0.04,     -0.45,      0.16,      0.24,     -1.04,      0.15,      0.15,     -1.32,      0.14,      0.14,     -0.94,      0.26,
edge_49_67,     23.67,      0.08,      0.08,     -0.08,     23.84,      0.08,      0.08,     -0.02,     23.85,      0.09,      0.09,      0.03,     24.46,      0.29,      0.31,     -0.03,     21.33,      0.32,      0.38,      0.15,     23.75,      0.36,      0.41,      0.07,      0.79,      0.30,      0.32,     -2.51,      0.33,      0.39,     -0.10,      0.37,      0.42,     -0.61,      0.99,
edge_31_35,    -23.62,      0.10,      0.09,      0.04,    -23.70,      0.09,      0.09,      0.01,    -23.54,      0.09,      0.10,     -0.01,    -23.06,      0.13,      0.14,     -0.02,    -23.56,      0.16,      0.15,      0.02,    -24.04,      0.14,      0.16,      0.17,      0.56,      0.16,      0.17,      0.14,      0.18,      0.17,     -0.50,      0.17,      0.19,      0.07,      0.32,
edge_35_60,     -4.95,      0.08,      0.08,      0.07,     -5.11,      0.06,      0.08,      0.04,     -5.02,      0.07,      0.08,      0.02,     -5.45,      0.19,      0.21,      0.09,     -5.61,      0.12,      0.21,      0.52,     -6.79,      0.15,      0.12,     -0.25,     -0.50,      0.21,      0.22,     -0.50,      0.13,      0.22,     -1.77,      0.17,      0.14,     -0.92,      0.43,
edge_28_35,     -5.25,      0.10,      0.11,      0.02,     -5.34,      0.10,      0.11,      0.10,     -5.18,      0.09,      0.09,     -0.06,     -6.89,      0.17,      0.14,     -0.16,     -7.03,      0.13,      0.14,     -0.02,     -7.51,      0.20,      0.21,      0.10,     -1.64,      0.20,      0.18,     -1.69,      0.16,      0.18,     -2.33,      0.22,      0.23,     -1.89,      0.24,
edge_41_35,    -10.21,      0.13,      0.13,      0.03,    -10.32,      0.13,      0.12,     -0.04,    -10.13,      0.10,      0.12,      0.17,    -10.06,      0.74,      0.66,      0.31,    -12.24,      0.40,      0.70,      0.66,    -11.27,      0.26,      0.37,      0.35,      0.15,      0.75,      0.67,     -1.92,      0.42,      0.71,     -1.14,      0.28,      0.39,     -0.97,      0.62,
edge_30_35,      5.46,      0.09,      0.08,     -0.00,      5.60,      0.08,      0.09,      0.02,      5.39,      0.08,      0.09,     -0.01,      4.53,      0.13,      0.16,      0.22,      5.12,      0.12,      0.16,      0.21,      4.46,      0.11,      0.10,     -0.13,     -0.93,      0.16,      0.18,     -0.48,      0.14,      0.18,     -0.93,      0.14,      0.13,     -0.78,      0.16,
edge_35_53,      1.14,      0.08,      0.08,     -0.06,      1.26,      0.06,      0.08,      0.10,      1.21,      0.08,      0.08,     -0.09,      0.23,      0.36,      0.44,      0.21,     -0.78,      0.18,      0.25,      0.28,     -1.40,      0.25,      0.25,      0.00,     -0.91,      0.37,      0.45,     -2.04,      0.19,      0.26,     -2.61,      0.26,      0.26,     -1.85,      0.51,
edge_38_35,     -9.77,      0.11,      0.12,     -0.01,     -9.78,      0.11,      0.11,      0.02,     -9.82,      0.11,      0.11,      0.05,    -10.57,      0.28,      0.52,      0.60,    -11.10,      0.22,      1.56,      0.97,     -9.35,      0.39,      0.97,      0.82,     -0.80,      0.30,      0.53,     -1.32,      0.25,      1.56,      0.47,      0.41,      0.98,     -0.55,      0.55,
edge_29_35,     -9.59,      0.58,      0.59,      0.51,    -11.35,      0.54,      0.71,      0.40,     -8.48,      0.39,      0.36,     -0.01,    -16.84,      0.79,      2.05,      0.94,    -13.29,      0.45,      0.51,      0.34,    -10.88,      0.85,      3.96,      0.98,     -7.25,      0.98,      2.13,     -1.94,      0.70,      0.87,     -2.40,      0.94,      3.98,     -3.86,      1.72,
edge_35_39,      9.99,      0.13,      0.12,     -0.02,      9.67,      0.11,      0.13,      0.06,      9.75,      0.11,      0.12,      0.00,     10.16,      0.82,      0.71,     -0.34,      9.68,      0.35,      0.36,      0.13,     12.06,      0.43,      0.40,     -0.15,      0.17,      0.83,      0.72,      0.01,      0.37,      0.38,      2.31,      0.44,      0.42,      0.83,      0.79,
