#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_CHEMBL3402752_30000_12_CHEMBL3402748_5300_8  1.06  0.16
edge_CHEMBL3402752_30000_12_CHEMBL3402747_3400_7  -0.14  0.05
edge_CHEMBL3402752_30000_12_CHEMBL3402749_500_9  0.49  0.06
edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14  -4.91  0.49
edge_CHEMBL3402752_30000_12_CHEMBL3402755_4200_15  -3.80  0.11
edge_CHEMBL3402752_30000_12_CHEMBL3402744_300_4  -1.77  0.16
edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5  -1.10  0.08
edge_CHEMBL3402747_3400_7_CHEMBL3402745_200_5  -1.79  0.45
edge_CHEMBL3402749_500_9_CHEMBL3402747_3400_7  0.88  0.26
edge_CHEMBL3402747_3400_7_CHEMBL3402748_5300_8  1.71  0.15
edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11  -0.22  0.19
edge_CHEMBL3402750_400_10_CHEMBL3402747_3400_7  2.41  0.17
edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8  8.38  0.24
edge_CHEMBL3402749_500_9_CHEMBL3402751_2100_11  3.61  0.17
edge_CHEMBL3402749_500_9_CHEMBL3402754_40_14  -1.70  0.38
edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9  0.99  0.14
edge_CHEMBL3402753_200_13_CHEMBL3402748_5300_8  4.60  0.27
edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11  -1.84  0.13
edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8  9.12  0.26
edge_CHEMBL3402753_200_13_CHEMBL3402754_40_14  -0.74  0.08
edge_CHEMBL3402755_4200_15_CHEMBL3402753_200_13  0.56  0.12
edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14  0.08  0.17
edge_CHEMBL3402754_40_14_CHEMBL3402751_2100_11  4.06  0.11
edge_CHEMBL3402754_40_14_CHEMBL3402761_1_21  -1.76  0.26
edge_CHEMBL3402755_4200_15_CHEMBL3402761_1_21  -1.82  0.35
