leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_1d_6e,     -2.91,      0.07,      0.08,     -0.01,     -2.72,      0.10,      0.08,     -0.04,     -2.92,      0.07,      0.08,      0.11,     -5.17,      0.12,      0.12,     -0.01,     -4.79,      0.13,      0.12,     -0.00,     -5.15,      0.18,      0.17,     -0.05,     -2.26,      0.14,      0.14,     -2.07,      0.16,      0.14,     -2.23,      0.19,      0.19,     -2.19,      0.10,
edge_1d_5,     -5.58,      0.10,      0.09,     -0.00,     -5.62,      0.10,      0.09,     -0.01,     -5.56,      0.10,      0.09,     -0.04,     -6.98,      0.23,      0.29,      0.14,,,,,     -5.76,      0.22,      0.31,      0.25,     -1.40,      0.25,      0.30,,,,     -0.20,      0.24,      0.32,,,
edge_1b_3b,      2.96,      0.07,      0.08,     -0.01,      2.99,      0.10,      0.09,     -0.02,      2.82,      0.09,      0.09,      0.04,      4.80,      0.14,      0.14,      0.00,      4.38,      0.14,      0.16,      0.09,      5.01,      0.15,      0.16,      0.10,      1.84,      0.16,      0.16,      1.39,      0.17,      0.18,      2.19,      0.17,      0.18,      1.81,      0.24,
edge_6a_1b,      2.89,      0.07,      0.08,      0.01,      3.01,      0.08,      0.08,     -0.04,      2.75,      0.10,      0.09,      0.06,      2.38,      0.15,      0.15,     -0.02,      3.10,      0.13,      0.19,      0.38,      2.42,      0.11,      0.10,     -0.15,     -0.51,      0.17,      0.17,      0.09,      0.15,      0.21,     -0.33,      0.15,      0.13,     -0.25,      0.19,
edge_1b_1c,      0.67,      0.07,      0.08,      0.08,      0.65,      0.07,      0.08,      0.02,      0.67,      0.07,      0.07,      0.05,      0.37,      0.10,      0.08,     -0.13,      0.71,      0.08,      0.09,      0.06,      0.96,      0.10,      0.09,     -0.04,     -0.30,      0.12,      0.11,      0.06,      0.11,      0.12,      0.29,      0.12,      0.11,      0.02,      0.18,
edge_1d_1c,     -0.59,      0.07,      0.07,      0.02,     -0.51,      0.06,      0.07,     -0.02,     -0.58,      0.07,      0.08,      0.02,     -2.34,      0.09,      0.08,     -0.29,     -2.54,      0.12,      0.13,      0.16,     -3.05,      0.10,      0.11,     -0.03,     -1.75,      0.11,      0.11,     -2.03,      0.13,      0.15,     -2.47,      0.12,      0.14,     -2.08,      0.21,
edge_1b_1a,     -1.28,      0.07,      0.07,      0.04,     -1.44,      0.07,      0.07,     -0.03,     -1.37,      0.08,      0.08,      0.04,     -0.59,      0.10,      0.09,     -0.25,     -0.19,      0.11,      0.08,     -0.34,     -0.45,      0.12,      0.09,     -0.29,      0.69,      0.12,      0.11,      1.25,      0.13,      0.11,      0.92,      0.14,      0.12,      0.95,      0.17,
edge_1a_5,     -2.65,      0.09,      0.08,     -0.04,     -2.59,      0.07,      0.08,      0.07,     -2.67,      0.08,      0.07,     -0.03,     -1.11,      0.10,      0.09,     -0.07,     -0.08,      0.11,      0.10,     -0.11,     -1.05,      0.10,      0.10,      0.04,      1.54,      0.13,      0.12,      2.51,      0.13,      0.13,      1.62,      0.13,      0.12,      1.89,      0.32,
edge_3a_1d,     -2.05,      0.08,      0.08,      0.04,     -2.28,      0.08,      0.08,     -0.07,     -2.45,      0.08,      0.08,     -0.02,     -0.22,      0.14,      0.16,      0.03,     -0.17,      0.18,      0.14,     -0.18,     -0.16,      0.12,      0.10,     -0.10,      1.83,      0.16,      0.18,      2.11,      0.20,      0.16,      2.29,      0.14,      0.13,      2.08,      0.15,
edge_6a_6b,     -4.37,      0.09,      0.08,      0.01,     -4.36,      0.08,      0.08,      0.02,     -4.43,      0.06,      0.07,     -0.03,     -3.55,      0.12,      0.11,     -0.02,     -3.05,      0.12,      0.09,     -0.22,     -2.98,      0.11,      0.11,      0.03,      0.82,      0.15,      0.14,      1.31,      0.14,      0.12,      1.45,      0.13,      0.13,      1.19,      0.20,
edge_1d_7a,     -9.59,      0.08,      0.09,      0.11,     -9.40,      0.07,      0.08,      0.06,     -9.50,      0.08,      0.08,     -0.05,    -10.60,      0.16,      0.16,      0.05,    -11.64,      0.11,      0.12,      0.04,    -11.00,      0.11,      0.14,      0.31,     -1.01,      0.18,      0.18,     -2.24,      0.13,      0.14,     -1.50,      0.14,      0.16,     -1.58,      0.36,
edge_1b_7a,     -8.35,      0.08,      0.08,     -0.01,     -8.51,      0.07,      0.08,      0.00,     -8.30,      0.08,      0.08,      0.04,     -7.86,      0.18,      0.12,     -0.32,     -6.82,      0.14,      0.16,      0.12,     -6.18,      0.21,      0.29,      0.27,      0.49,      0.20,      0.14,      1.69,      0.16,      0.18,      2.12,      0.22,      0.30,      1.43,      0.49,
edge_3a_1b,     -3.40,      0.08,      0.07,      0.05,     -3.47,      0.07,      0.08,     -0.01,     -3.46,      0.08,      0.08,      0.03,,,,,,,,,     -4.36,      0.13,      0.14,      0.04,,,,,,,     -0.90,      0.15,      0.16,,,
edge_1d_1a,     -2.71,      0.07,      0.08,     -0.05,     -2.43,      0.09,      0.08,     -0.01,     -2.73,      0.08,      0.09,      0.04,     -3.19,      0.09,      0.08,     -0.37,     -4.40,      0.18,      0.12,     -0.46,     -3.09,      0.14,      0.10,     -0.23,     -0.48,      0.11,      0.11,     -1.97,      0.20,      0.14,     -0.36,      0.16,      0.13,     -0.94,      0.52,
edge_1a_3b,      4.23,      0.09,      0.08,      0.01,      4.28,      0.10,      0.08,     -0.15,      4.29,      0.09,      0.09,      0.03,      4.06,      0.17,      0.11,     -0.42,      2.23,      0.11,      0.11,     -0.03,      4.96,      0.15,      0.24,      0.40,     -0.17,      0.19,      0.14,     -2.05,      0.15,      0.14,      0.67,      0.17,      0.26,     -0.52,      0.81,
edge_6e_6b,     -5.69,      0.08,      0.08,     -0.05,     -5.81,      0.08,      0.08,     -0.02,     -5.84,      0.08,      0.08,      0.03,     -4.53,      0.11,      0.15,      0.25,     -4.92,      0.12,      0.10,     -0.21,     -4.60,      0.12,      0.13,      0.00,      1.16,      0.14,      0.17,      0.89,      0.14,      0.13,      1.24,      0.14,      0.15,      1.10,      0.12,
