Ligand1,Ligand2,FEP,FEP Error
lig_0681,lig_1537,0.92,0.06
lig_0681,lig_1872,-0.47,0.06
lig_0681,lig_5109,1.6,0.15
lig_0681,lig_7454,1.14,0.09
lig_1537,lig_0529,-2.12,0.07
lig_1859,lig_2879,1.1,0.11
lig_1859,lig_4326,3.3,0.15
lig_1872,lig_6674,0.87,0.06
lig_2359,lig_1495,3.18,0.09
lig_2359,lig_3040,1.52,0.09
lig_2359,lig_3507,2.88,0.17
lig_2606,lig_3053,1.95,0.1
lig_2879,lig_1872,-2.89,0.06
lig_3040,lig_3053,1.7,0.11
lig_3507,lig_0798,-2.78,0.07
lig_5602,lig_3040,3.27,0.22
lig_5602,lig_3507,3.41,0.08
lig_6691,lig_5109,0.18,0.06
lig_6691,lig_9373,-3.79,0.16
lig_7447,lig_2606,-2.32,0.2
lig_7447,lig_4326,2.25,0.28
lig_7447,lig_4451,-0.86,0.2
lig_7447,lig_9373,-3.65,0.11
lig_8550,lig_0798,-0.86,0.08
lig_8550,lig_1495,1.25,0.21
lig_8550,lig_7454,0.59,0.16
lig_8602,lig_2606,-0.45,0.06
lig_8602,lig_5109,1.14,0.05
lig_8654,lig_0529,-1.3,0.1
lig_8794,lig_6674,-0.39,0.09
lig_8794,lig_7454,-0.24,0.13
lig_9022,lig_2879,2.19,0.09
lig_9022,lig_9373,-2.03,0.07
lig_9373,lig_0529,0.68,0.09
lig_9373,lig_1495,4.18,0.18
lig_9373,lig_5602,0.02,0.13
lig_4326,lig_8654,-5.22,0.19
lig_2359,lig_3053,4.0,0.22
lig_0798,lig_1859,1.6,0.24
lig_4451,lig_6674,-1.27,0.25
lig_1495,lig_3040,-1.91,0.33
lig_0529,lig_6770,2.43,0.25
lig_5602,lig_1495,2.33,0.25
lig_6770,lig_8794,-1.24,0.27
lig_0798,lig_7447,2.89,0.29
lig_2879,lig_6770,-0.16,0.25
lig_1495,lig_5109,-0.72,0.33
lig_1495,lig_2606,-2.51,0.28
lig_1495,lig_6691,-0.89,0.25
lig_3053,lig_8602,-2.73,0.22
lig_0681,lig_6770,2.34,0.27
lig_0798,lig_9022,0.83,0.17
lig_0798,lig_4451,2.52,0.25
lig_0798,lig_6770,2.68,0.26
lig_1537,lig_6770,1.42,0.23
lig_1859,lig_9373,-3.06,0.25
lig_1859,lig_8654,-0.92,0.26
lig_1872,lig_6770,2.57,0.24
lig_3507,lig_6770,0.53,0.25
lig_5602,lig_7454,2.09,0.2
lig_6674,lig_6770,1.95,0.23
lig_6770,lig_8550,-1.68,0.29
