leg,water,water,water,water,complex,complex,complex,complex,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,1,1,1,1,1,1,1,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr
edge_43_48,     -7.16,      0.08,      0.08,      0.01,     -4.80,      0.14,      0.13,     -0.26,      2.36,      0.16,      0.15,      2.36,      0.16,
edge_43_44,     -0.97,      0.08,      0.08,      0.04,      1.50,      0.18,      0.16,     -0.09,      2.47,      0.20,      0.18,      2.47,      0.20,
edge_30_56,    -46.56,      0.13,      0.13,     -0.00,    -46.84,      0.32,      0.52,      0.44,     -0.28,      0.35,      0.54,     -0.28,      0.35,
edge_30_70,    -40.27,      0.11,      0.14,      0.02,    -41.64,      0.20,      0.16,     -0.23,     -1.37,      0.23,      0.21,     -1.37,      0.23,
edge_65_34,     37.50,      0.10,      0.13,      0.08,     39.86,      0.18,      0.25,      0.28,      2.36,      0.21,      0.28,      2.36,      0.21,
edge_65_70,     20.35,      0.08,      0.08,      0.02,     18.33,      0.13,      0.14,      0.00,     -2.02,      0.15,      0.16,     -2.02,      0.15,
edge_65_64,     -0.73,      0.07,      0.07,      0.02,     -0.31,      0.11,      0.10,     -0.06,      0.42,      0.13,      0.12,      0.42,      0.13,
edge_65_63,    -16.40,      0.08,      0.07,      0.05,    -16.06,      0.10,      0.12,      0.15,      0.34,      0.13,      0.14,      0.34,      0.13,
edge_65_20,     -0.43,      0.08,      0.08,     -0.03,     -0.22,      0.29,      0.33,      0.20,      0.21,      0.30,      0.34,      0.21,      0.30,
edge_49_58,     28.05,      0.10,      0.10,     -0.00,     26.97,      0.28,      0.43,      0.46,     -1.08,      0.30,      0.44,     -1.08,      0.30,
edge_49_42,,,,,     33.39,      0.27,      0.24,     -0.10,,,,,,
edge_49_44,,,,,,,,,,,,,,
edge_24_69,    -39.09,      0.09,      0.09,     -0.03,    -41.43,      0.14,      0.19,      0.34,     -2.34,      0.17,      0.21,     -2.34,      0.17,
edge_24_70,    -27.87,      0.11,      0.10,     -0.06,    -31.06,      0.16,      0.26,      0.44,     -3.19,      0.19,      0.28,     -3.19,      0.19,
edge_24_34,    -72.36,      0.09,      0.09,      0.07,    -74.26,      0.16,      0.20,      0.21,     -1.90,      0.18,      0.22,     -1.90,      0.18,
edge_67_56,     49.23,      0.11,      0.14,      0.17,     51.22,      0.43,      0.41,     -0.16,      1.99,      0.44,      0.43,      1.99,      0.44,
edge_67_57,     51.70,      0.15,      0.18,      0.18,     53.80,      0.36,      0.75,      0.70,      2.10,      0.39,      0.77,      2.10,      0.39,
edge_67_64,     58.87,      0.12,      0.12,      0.04,     62.01,      0.38,      0.43,      0.01,      3.14,      0.40,      0.45,      3.14,      0.40,
edge_62_70,     17.08,      0.07,      0.07,      0.05,     16.14,      0.14,      0.12,     -0.09,     -0.94,      0.16,      0.14,     -0.94,      0.16,
edge_62_31,     49.71,      0.14,      0.15,      0.03,     51.93,      0.26,      0.18,     -0.30,      2.22,      0.30,      0.23,      2.22,      0.30,
edge_56_69,     -4.82,      0.07,      0.08,      0.07,     -5.67,      0.10,      0.10,      0.06,     -0.85,      0.12,      0.13,     -0.85,      0.12,
edge_59_35,    -16.10,      0.07,      0.08,      0.13,    -16.69,      0.13,      0.18,      0.25,     -0.59,      0.15,      0.20,     -0.59,      0.15,
edge_59_52,    -19.30,      0.09,      0.08,     -0.03,    -19.84,      0.32,      0.58,      0.54,     -0.54,      0.33,      0.59,     -0.54,      0.33,
edge_59_47,     -5.50,      0.10,      0.09,     -0.05,     -5.39,      0.31,      0.30,      0.02,      0.11,      0.33,      0.31,      0.11,      0.33,
edge_38_26,    -20.08,      0.17,      0.16,     -0.00,    -17.25,      0.18,      0.30,      0.39,      2.83,      0.25,      0.34,      2.83,      0.25,
edge_38_41,     13.47,      0.09,      0.09,     -0.04,     14.29,      0.10,      0.16,      0.40,      0.82,      0.13,      0.18,      0.82,      0.13,
edge_38_39,    -19.84,      0.08,      0.09,      0.02,    -19.21,      0.22,      0.31,      0.38,      0.63,      0.23,      0.32,      0.63,      0.23,
edge_31_19,    -20.25,      0.17,      0.61,      0.85,    -15.12,      0.19,      0.20,      0.12,      5.13,      0.25,      0.64,      5.13,      0.25,
edge_48_47,      5.00,      0.06,      0.07,      0.01,      5.60,      0.08,      0.09,      0.08,      0.60,      0.10,      0.11,      0.60,      0.10,
edge_48_20,     -0.63,      0.08,      0.09,      0.04,     -0.71,      0.19,      0.15,     -0.19,     -0.08,      0.21,      0.17,     -0.08,      0.21,
edge_58_68,    -16.45,      0.13,      0.10,     -0.20,    -17.84,      0.16,      0.22,      0.29,     -1.39,      0.21,      0.24,     -1.39,      0.21,
edge_58_60,      5.22,      0.09,      0.10,      0.09,      7.38,      0.19,      0.37,      0.60,      2.16,      0.21,      0.38,      2.16,      0.21,
edge_58_63,      2.90,      0.07,      0.07,      0.04,      3.88,      0.11,      0.11,     -0.03,      0.98,      0.13,      0.13,      0.98,      0.13,
edge_41_44,     -0.17,      0.08,      0.09,      0.03,      1.31,      0.26,      0.37,      0.26,      1.48,      0.27,      0.38,      1.48,      0.27,
edge_29_54,     61.48,      0.12,      0.11,      0.02,     61.92,      0.22,      0.19,     -0.08,      0.44,      0.25,      0.22,      0.44,      0.25,
edge_29_63,     36.59,      0.12,      0.11,     -0.04,     33.45,      0.18,      0.16,     -0.12,     -3.14,      0.22,      0.19,     -3.14,      0.22,
edge_29_70,     74.38,      0.07,      0.07,     -0.02,     71.51,      0.09,      0.09,     -0.08,     -2.87,      0.11,      0.11,     -2.87,      0.11,
edge_29_23,    123.79,      0.11,      0.12,      0.04,    123.20,      0.29,      0.66,      0.79,     -0.59,      0.31,      0.67,     -0.59,      0.31,
edge_54_36,     25.46,      0.11,      0.11,     -0.09,     25.33,      0.45,      2.16,      0.96,     -0.13,      0.46,      2.16,     -0.13,      0.46,
edge_54_70,     12.04,      0.08,      0.08,      0.11,      8.39,      0.22,      0.27,      0.20,     -3.65,      0.23,      0.28,     -3.65,      0.23,
edge_47_46,     18.25,      0.10,      0.10,     -0.07,     17.87,      0.12,      0.12,      0.10,     -0.38,      0.16,      0.16,     -0.38,      0.16,
edge_47_20,     -5.79,      0.08,      0.11,      0.14,     -9.79,      0.20,      0.19,     -0.03,     -4.00,      0.22,      0.22,     -4.00,      0.22,
edge_26_69,     15.75,      0.14,      0.14,      0.05,     12.33,      0.11,      0.11,     -0.03,     -3.42,      0.18,      0.18,     -3.42,      0.18,
edge_26_70,     27.53,      0.11,      0.16,      0.33,     23.11,      0.13,      0.22,      0.45,     -4.42,      0.17,      0.27,     -4.42,      0.17,
edge_55_63,    -31.66,      0.07,      0.08,      0.04,    -30.64,      0.13,      0.20,      0.40,      1.02,      0.15,      0.22,      1.02,      0.15,
edge_55_23,     56.61,      0.13,      0.12,      0.06,     59.30,      0.19,      0.36,      0.62,      2.69,      0.23,      0.38,      2.69,      0.23,
edge_20_39,    -26.12,      0.07,      0.08,      0.11,    -24.32,      0.16,      0.27,      0.50,      1.80,      0.17,      0.28,      1.80,      0.17,
edge_20_42,      4.24,      0.06,      0.07,     -0.05,      4.11,      0.09,      0.09,     -0.08,     -0.13,      0.11,      0.11,     -0.13,      0.11,
edge_57_70,      3.18,      0.09,      0.08,     -0.12,      1.66,      0.12,      0.10,     -0.19,     -1.52,      0.15,      0.13,     -1.52,      0.15,
edge_35_69,     -5.82,      0.07,      0.07,      0.02,     -7.33,      0.16,      0.17,      0.10,     -1.51,      0.17,      0.18,     -1.51,      0.17,
edge_44_68,    -36.28,      0.00,685600389536.92,      1.00,,,,,,,,,,
edge_63_36,     50.28,      0.10,      0.13,      0.24,     52.47,      0.31,      0.38,      0.19,      2.19,      0.33,      0.40,      2.19,      0.33,
edge_69_53,     10.26,      0.09,      0.08,     -0.01,     14.10,      0.23,      0.27,      0.17,      3.84,      0.25,      0.28,      3.84,      0.25,
edge_69_23,     61.55,      0.10,      0.13,      0.08,     65.86,      0.27,      0.31,      0.11,      4.31,      0.29,      0.34,      4.31,      0.29,
edge_69_60,    -38.97,      0.13,      0.11,     -0.07,    -36.17,      0.14,      0.15,      0.05,      2.80,      0.19,      0.19,      2.80,      0.19,
edge_52_53,      6.97,      0.09,      0.08,     -0.03,      7.76,      0.14,      0.12,     -0.20,      0.79,      0.17,      0.14,      0.79,      0.17,
edge_52_19,     31.34,      0.16,      0.17,      0.08,     34.92,      1.21,      2.70,      0.97,      3.58,      1.22,      2.71,      3.58,      1.22,
edge_52_46,     32.26,      0.11,      0.12,      0.09,     32.15,      0.30,      0.68,      0.81,     -0.11,      0.32,      0.69,     -0.11,      0.32,
