leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_49220392_49137530,      8.20,      0.10,      0.10,     -0.03,      7.92,      0.07,      0.08,     -0.04,      8.00,      0.09,      0.10,     -0.00,      8.67,      0.36,      0.48,      0.23,      8.37,      0.18,      0.34,      0.60,      7.47,      0.19,      0.27,      0.38,      0.47,      0.37,      0.49,      0.45,      0.19,      0.35,     -0.53,      0.21,      0.29,      0.13,      0.35,      0.38
edge_49932714_49137530,      8.26,      0.07,      0.07,     -0.02,      8.12,      0.08,      0.08,      0.01,      8.27,      0.06,      0.06,      0.07,      7.31,      0.12,      0.12,     -0.00,      7.63,      0.08,      0.35,      0.87,      9.20,      0.10,      0.22,      0.62,     -0.95,      0.14,      0.14,     -0.49,      0.11,      0.36,      0.93,      0.12,      0.23,     -0.17,      0.57,      0.58
edge_49582468_49137530,     44.20,      0.11,      0.11,      0.11,     44.19,      0.09,      0.10,     -0.07,     44.42,      0.11,      0.10,     -0.01,     42.95,      0.32,      0.45,      0.21,     43.35,      0.18,      0.16,     -0.07,     43.21,      0.13,      0.15,      0.13,     -1.25,      0.34,      0.46,     -0.84,      0.20,      0.19,     -1.21,      0.17,      0.18,     -1.10,      0.17,      0.20
edge_49396360_49137530,      2.18,      0.08,      0.08,      0.04,      2.16,      0.08,      0.08,     -0.00,      2.16,      0.06,      0.07,      0.06,      2.23,      0.09,      0.09,     -0.13,      1.77,      0.11,      0.12,      0.22,      2.00,      0.16,      0.14,     -0.28,      0.05,      0.12,      0.12,     -0.39,      0.14,      0.14,     -0.16,      0.17,      0.16,     -0.17,      0.14,      0.14
edge_50181001_49137530,     -3.39,      0.10,      0.10,     -0.03,     -3.43,      0.10,      0.10,     -0.00,     -3.35,      0.10,      0.09,     -0.09,     -5.75,      0.33,      0.29,     -0.13,     -5.03,      0.16,      0.34,      0.65,     -3.44,      0.22,      0.39,      0.50,     -2.36,      0.34,      0.31,     -1.60,      0.19,      0.35,     -0.09,      0.24,      0.40,     -1.35,      0.68,      0.68
edge_49585367_49137530,     -0.86,      0.07,      0.07,      0.01,     -0.75,      0.07,      0.07,     -0.11,     -0.95,      0.07,      0.07,     -0.04,     -2.38,      0.09,      0.11,      0.21,     -1.61,      0.11,      0.14,      0.31,     -0.96,      0.17,      0.18,     -0.02,     -1.52,      0.11,      0.13,     -0.86,      0.13,      0.16,     -0.01,      0.18,      0.19,     -0.80,      0.44,      0.45
edge_49220392_49175828,     -2.09,      0.09,      0.08,     -0.10,     -2.02,      0.10,      0.08,      0.03,     -2.25,      0.09,      0.08,      0.02,     -3.48,      0.11,      0.13,      0.29,     -3.34,      0.13,      0.13,      0.03,     -1.54,      0.15,      0.48,      0.85,     -1.39,      0.14,      0.15,     -1.32,      0.16,      0.15,      0.71,      0.17,      0.49,     -0.67,      0.69,      0.70
edge_49220548_49220392,     -4.99,      0.07,      0.07,     -0.07,     -5.01,      0.08,      0.07,     -0.06,     -5.11,      0.06,      0.06,      0.05,     -5.77,      0.09,      0.12,      0.18,     -4.74,      0.12,      0.10,     -0.13,     -4.06,      0.07,      0.07,      0.01,     -0.78,      0.11,      0.14,      0.27,      0.14,      0.12,      1.05,      0.09,      0.09,      0.18,      0.53,      0.53
edge_49220548_49932129,    -26.21,      0.11,      0.10,     -0.12,    -26.33,      0.10,      0.10,     -0.02,    -26.26,      0.11,      0.10,     -0.02,    -25.64,      0.15,      4.87,      1.00,    -25.38,      0.28,      0.34,      0.10,    -24.82,      0.29,      0.21,     -0.33,      0.57,      0.19,      4.87,      0.95,      0.30,      0.35,      1.44,      0.31,      0.23,      0.99,      0.28,      1.29
edge_49582468_49932129,     15.32,      0.08,      0.08,     -0.09,     15.23,      0.08,      0.08,      0.04,     15.24,      0.08,      0.08,      0.02,     15.34,      0.18,      0.18,      0.13,     17.03,      0.13,      0.19,      0.34,     17.08,      0.08,      0.11,      0.21,      0.02,      0.20,      0.20,      1.80,      0.15,      0.21,      1.84,      0.11,      0.14,      1.22,      0.61,      0.60
edge_49396360_49175828,     -7.90,      0.11,      0.11,      0.12,     -8.06,      0.09,      0.09,     -0.14,     -8.02,      0.12,      0.10,     -0.19,    -10.71,      0.25,      0.24,     -0.04,     -9.71,      0.21,      0.21,     -0.00,     -9.09,      0.28,      0.23,     -0.16,     -2.81,      0.27,      0.26,     -1.65,      0.23,      0.23,     -1.07,      0.30,      0.25,     -1.84,      0.52,      0.52
edge_49175828_49580115,      7.67,      0.13,      0.12,     -0.07,      7.64,      0.11,      0.11,      0.02,      7.87,      0.12,      0.10,     -0.11,      9.06,      0.23,      0.93,      0.88,      9.82,      0.19,      0.31,      0.42,      9.04,      0.29,      0.48,      0.62,      1.39,      0.26,      0.94,      2.18,      0.22,      0.33,      1.17,      0.31,      0.49,      1.58,      0.33,      0.44
edge_49220548_49137374,     -4.39,      0.09,      0.09,      0.02,     -4.29,      0.12,      0.10,     -0.16,     -4.70,      0.13,      0.11,     -0.10,     -3.38,      0.16,      0.13,     -0.28,     -0.51,      0.18,      0.14,     -0.19,     -2.61,      0.19,      0.22,      0.15,      1.01,      0.18,      0.16,      3.78,      0.22,      0.17,      2.09,      0.23,      0.25,      2.29,      0.81,      0.81
edge_49220548_49580115,      1.26,      0.08,      0.08,      0.02,      1.24,      0.06,      0.07,      0.04,      1.23,      0.07,      0.08,      0.11,      3.45,      0.18,      0.15,     -0.12,     -0.36,      0.46,      2.69,      0.97,      0.63,      0.14,      0.15,      0.03,      2.19,      0.20,      0.17,     -1.60,      0.46,      2.69,     -0.60,      0.16,      0.17,     -0.00,      1.14,      1.36
edge_49396360_49220548,     -0.62,      0.06,      0.07,      0.10,     -0.87,      0.07,      0.08,      0.01,     -0.83,      0.07,      0.08,      0.14,     -2.61,      0.09,      0.11,      0.07,     -1.75,      0.13,      0.12,     -0.06,     -1.15,      0.31,      0.34,      0.12,     -1.99,      0.11,      0.13,     -0.88,      0.15,      0.14,     -0.32,      0.32,      0.35,     -1.06,      0.50,      0.50
edge_49932714_49582390,     10.62,      0.08,      0.08,      0.10,     10.50,      0.10,      0.09,     -0.08,     10.69,      0.08,      0.08,      0.07,      9.76,      0.16,      0.16,      0.13,      9.33,      0.12,      0.14,      0.02,     10.08,      0.12,      0.12,      0.06,     -0.86,      0.18,      0.18,     -1.17,      0.16,      0.17,     -0.61,      0.14,      0.14,     -0.88,      0.18,      0.18
edge_49396360_49582390,      5.02,      0.08,      0.08,      0.01,      5.00,      0.07,      0.08,      0.11,      5.04,      0.08,      0.07,     -0.01,      4.22,      0.09,      0.09,     -0.01,      4.35,      0.10,      0.09,     -0.07,      4.97,      0.09,      0.08,     -0.13,     -0.80,      0.12,      0.12,     -0.65,      0.12,      0.12,     -0.07,      0.12,      0.11,     -0.51,      0.23,      0.23
edge_50181001_49582390,     -0.72,      0.13,      0.14,      0.04,     -0.57,      0.13,      0.14,      0.10,     -0.30,      0.13,      0.13,      0.02,     -1.29,      0.13,      0.15,      0.04,     -4.19,      0.18,      0.18,     -0.01,     -1.09,      0.12,      0.68,      0.93,     -0.57,      0.18,      0.21,     -3.62,      0.22,      0.23,     -0.79,      0.18,      0.69,     -1.66,      0.99,      1.01
edge_50107616_49582390,     62.28,      0.11,      0.11,     -0.04,     62.23,      0.12,      0.09,     -0.05,     62.42,      0.10,      0.09,     -0.05,     63.25,      0.25,      0.20,     -0.26,     62.46,      0.17,      0.18,      0.06,     61.51,      0.24,      0.30,      0.16,      0.97,      0.27,      0.23,      0.23,      0.21,      0.20,     -0.91,      0.26,      0.31,      0.10,      0.55,      0.56
edge_48168913_48271249,     47.84,      0.08,      0.09,      0.08,     47.73,      0.08,      0.09,      0.11,     47.76,      0.10,      0.10,      0.06,     48.12,      0.16,      0.16,      0.14,     47.43,      0.19,      0.19,     -0.07,     48.16,      0.20,      0.20,      0.03,      0.28,      0.18,      0.18,     -0.30,      0.21,      0.21,      0.40,      0.22,      0.22,      0.13,      0.23,      0.23
edge_49072088_48271249,      2.31,      0.08,      0.09,      0.03,      2.25,      0.09,      0.09,      0.06,      2.31,      0.09,      0.09,      0.04,      3.20,      0.22,      0.23,      0.06,      4.66,      0.25,      0.35,      0.41,      3.86,      0.15,      0.14,     -0.09,      0.89,      0.23,      0.25,      2.41,      0.27,      0.36,      1.55,      0.17,      0.17,      1.62,      0.45,      0.45
edge_50107616_48271249,     19.70,      0.10,      0.11,      0.04,     19.83,      0.15,      0.14,      0.02,     19.96,      0.13,      0.13,     -0.05,     23.50,      0.39,      0.50,      0.19,     20.25,      0.50,      0.49,     -0.11,     20.86,      0.30,      0.25,     -0.07,      3.80,      0.40,      0.51,      0.42,      0.52,      0.51,      0.90,      0.33,      0.28,      1.71,      1.07,      1.06
edge_49137374_48271249,      0.37,      0.06,      0.07,     -0.03,      0.20,      0.07,      0.07,     -0.01,      0.45,      0.07,      0.08,     -0.00,      1.68,      0.12,      0.13,      0.08,      1.63,      0.15,      0.16,      0.05,      0.59,      0.26,      0.41,      0.49,      1.31,      0.13,      0.15,      1.43,      0.17,      0.17,      0.14,      0.27,      0.42,      0.96,      0.42,      0.42
edge_49932714_49175789,      7.29,      0.07,      0.09,      0.13,      7.43,      0.10,      0.10,      0.01,      7.48,      0.07,      0.08,      0.01,      5.58,      0.22,      0.25,      0.09,      6.56,      0.23,      0.57,      0.65,      9.96,      0.21,     13.89,      1.00,     -1.71,      0.23,      0.27,     -0.87,      0.25,      0.58,      2.48,      0.22,     13.89,     -0.03,      1.29,      3.85
edge_49932714_49580115,      6.21,      0.07,      0.07,     -0.05,      6.05,      0.07,      0.07,     -0.01,      6.13,      0.07,      0.07,     -0.03,      6.76,      0.10,      0.09,      0.02,      6.85,      0.13,      0.11,     -0.03,      6.90,      0.09,      0.16,      0.35,      0.55,      0.12,      0.11,      0.80,      0.15,      0.13,      0.77,      0.11,      0.17,      0.71,      0.10,      0.10
edge_49932714_49582468,    -36.04,      0.10,      0.09,     -0.04,    -36.22,      0.09,      0.09,      0.08,    -36.03,      0.09,      0.11,      0.11,    -37.71,      0.15,      0.19,      0.37,    -36.76,      0.14,      0.16,      0.11,    -34.96,      0.13,      0.52,      0.90,     -1.67,      0.18,      0.21,     -0.54,      0.17,      0.18,      1.07,      0.16,      0.53,     -0.38,      0.80,      0.81
