leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_43_48,     -7.17,      0.07,      0.07,      0.00,     -7.33,      0.07,      0.07,      0.04,     -7.02,      0.07,      0.08,      0.14,     -3.66,      0.11,      0.11,     -0.24,     -6.53,      0.15,      0.12,     -0.40,     -5.11,      0.15,      0.16,     -0.04,      3.51,      0.14,      0.13,      0.81,      0.17,      0.14,      1.91,      0.16,      0.18,      2.08,      0.78,
edge_43_44,     -1.03,      0.08,      0.08,     -0.00,     -1.20,      0.08,      0.08,      0.01,     -1.11,      0.08,      0.09,      0.01,     -0.42,      0.20,      0.23,      0.21,      1.85,      0.20,      0.22,      0.13,      0.75,      0.11,      0.22,      0.42,      0.61,      0.22,      0.24,      3.04,      0.21,      0.24,      1.86,      0.14,      0.24,      1.84,      0.71,
edge_30_56,    -48.91,      0.11,      0.11,      0.05,    -48.86,      0.13,      0.11,     -0.04,    -48.90,      0.09,      0.11,      0.12,    -53.52,      0.27,      0.22,     -0.17,    -47.39,      0.42,      5.89,      1.00,    -50.86,      0.24,      0.34,      0.23,     -4.61,      0.29,      0.25,      1.46,      0.44,      5.89,     -1.96,      0.26,      0.35,     -1.70,      1.77,
edge_30_70,    -43.02,      0.11,      0.10,      0.05,    -43.21,      0.09,      0.11,      0.07,    -43.16,      0.09,      0.11,      0.01,    -43.21,      0.59,      2.91,      0.98,    -45.87,      0.26,      0.50,      0.63,    -41.65,      0.57,     14.87,      1.00,     -0.19,      0.60,      2.91,     -2.66,      0.28,      0.51,      1.51,      0.58,     14.87,     -0.44,      1.24,
edge_65_34,     37.11,      0.12,      0.14,      0.11,     36.74,      0.13,      0.15,      0.14,     36.69,      0.13,      0.14,      0.10,     37.40,      0.25,      0.31,      0.21,     36.78,      0.35,      0.32,      0.03,     38.06,      0.23,      0.41,      0.56,      0.29,      0.27,      0.34,      0.04,      0.37,      0.35,      1.36,      0.27,      0.44,      0.56,      0.43,
edge_65_70,     19.34,      0.07,      0.07,      0.01,     19.31,      0.06,      0.07,      0.06,     19.29,      0.07,      0.07,     -0.08,     17.72,      0.20,      0.26,      0.30,     17.13,      0.12,      0.15,      0.20,     16.90,      0.12,      0.13,     -0.02,     -1.62,      0.21,      0.27,     -2.18,      0.13,      0.16,     -2.40,      0.14,      0.15,     -2.07,      0.24,
edge_65_64,     -0.72,      0.07,      0.07,      0.03,     -0.77,      0.06,      0.07,      0.01,     -0.75,      0.06,      0.07,     -0.00,     -1.15,      0.11,      0.10,     -0.16,     -0.97,      0.10,      0.11,      0.11,     -1.06,      0.11,      0.11,      0.04,     -0.44,      0.14,      0.13,     -0.20,      0.11,      0.13,     -0.32,      0.12,      0.12,     -0.32,      0.09,
edge_65_63,    -12.43,      0.07,      0.07,      0.01,    -12.36,      0.08,      0.07,     -0.04,    -12.40,      0.06,      0.07,      0.01,    -12.29,      0.11,      0.10,     -0.08,    -11.97,      0.08,      0.09,      0.06,    -12.49,      0.09,      0.10,      0.08,      0.14,      0.13,      0.12,      0.39,      0.11,      0.12,     -0.09,      0.11,      0.12,      0.14,      0.15,
edge_65_20,     -0.67,      0.07,      0.08,     -0.02,     -0.62,      0.09,      0.09,      0.02,     -0.63,      0.10,      0.09,     -0.05,     -0.60,      0.24,      0.43,      0.47,     -1.72,      0.14,      0.23,      0.46,     -0.11,      0.24,      0.35,      0.26,      0.08,      0.25,      0.44,     -1.10,      0.16,      0.25,      0.52,      0.26,      0.36,     -0.17,      0.49,
edge_49_58,     28.04,      0.10,      0.10,      0.02,     28.00,      0.09,      0.10,      0.10,     28.04,      0.08,      0.09,      0.03,     24.94,      0.19,      0.84,      0.92,     27.05,      0.26,      2.69,      0.98,     22.63,      0.16,      0.16,     -0.07,     -3.10,      0.22,      0.84,     -0.95,      0.28,      2.69,     -5.41,      0.18,      0.18,     -3.15,      1.29,
edge_49_42,     34.93,      0.11,      0.11,     -0.07,     34.76,      0.11,      0.11,      0.01,     35.12,      0.10,      0.11,      0.05,     33.93,      0.15,      0.14,      0.01,     33.79,      0.14,      3.83,      1.00,     32.13,      0.16,      0.18,     -0.05,     -1.00,      0.19,      0.18,     -0.98,      0.18,      3.84,     -2.99,      0.19,      0.21,     -1.65,      0.67,
edge_49_44,     36.36,      0.06,      0.07,      0.08,     36.42,      0.06,      0.06,      0.02,     36.53,      0.06,      0.07,     -0.07,     35.83,      0.26,      0.28,      0.02,     35.41,      0.17,      0.16,     -0.17,     35.57,      0.24,      0.33,      0.30,     -0.53,      0.27,      0.29,     -1.01,      0.19,      0.18,     -0.96,      0.25,      0.34,     -0.83,      0.19,
edge_24_69,    -40.19,      0.08,      0.09,      0.06,    -39.89,      0.10,      0.10,     -0.07,    -40.20,      0.07,      0.09,      0.09,    -45.35,      0.17,      0.17,     -0.12,    -44.40,      0.13,      0.11,     -0.17,    -44.20,      0.12,      0.09,     -0.19,     -5.16,      0.19,      0.20,     -4.50,      0.16,      0.15,     -4.00,      0.14,      0.13,     -4.55,      0.34,
edge_24_70,    -27.63,      0.09,      0.10,      0.06,    -27.78,      0.10,      0.11,      0.10,    -27.53,      0.10,      0.10,     -0.01,    -31.86,      0.12,      0.12,      0.00,    -32.49,      0.13,      0.18,      0.33,    -32.03,      0.13,      0.14,      0.04,     -4.23,      0.15,      0.16,     -4.70,      0.16,      0.21,     -4.49,      0.16,      0.18,     -4.48,      0.16,
edge_24_34,    -48.36,      0.15,      0.14,     -0.07,    -48.59,      0.12,      0.14,      0.09,    -48.25,      0.13,      0.14,      0.02,    -50.66,      0.10,      0.18,      0.39,    -51.38,      0.15,      0.28,      0.56,    -49.72,      0.13,      0.12,      0.02,     -2.30,      0.18,      0.22,     -2.79,      0.19,      0.31,     -1.47,      0.18,      0.18,     -2.19,      0.39,
edge_67_56,     75.36,      0.13,      0.12,     -0.10,     75.44,      0.11,      0.14,      0.17,     75.42,      0.12,      0.12,     -0.01,     76.11,      0.24,      0.26,      0.05,     76.45,      0.21,      0.42,      0.68,     76.80,      0.21,      0.22,      0.01,      0.76,      0.28,      0.28,      1.00,      0.23,      0.44,      1.38,      0.24,      0.25,      1.05,      0.22,
edge_67_57,     78.14,      0.10,      0.12,      0.12,     78.12,      0.12,      0.12,     -0.02,     77.84,      0.14,      0.13,     -0.09,     79.46,      0.14,      0.35,      0.65,     79.14,      0.28,      0.33,      0.26,     80.09,      0.27,      0.29,      0.06,      1.32,      0.17,      0.37,      1.02,      0.31,      0.35,      2.25,      0.31,      0.32,      1.53,      0.39,
edge_67_64,     59.11,      0.13,      0.13,     -0.05,     59.10,      0.13,      0.12,     -0.03,     59.15,      0.11,      0.12,      0.03,     62.00,      0.25,      0.21,     -0.17,     61.85,      0.27,      0.35,      0.29,     61.97,      0.24,      0.27,     -0.01,      2.88,      0.28,      0.24,      2.75,      0.30,      0.37,      2.82,      0.27,      0.30,      2.82,      0.15,
edge_62_70,     15.76,      0.06,      0.07,      0.04,     15.56,      0.08,      0.07,     -0.03,     15.82,      0.08,      0.07,     -0.02,     12.74,      0.11,      0.28,      0.72,     13.14,      0.13,      0.23,      0.52,     13.59,      0.09,      0.11,      0.09,     -3.02,      0.12,      0.29,     -2.42,      0.15,      0.24,     -2.22,      0.12,      0.13,     -2.55,      0.24,
edge_62_31,     52.00,      0.11,      0.11,     -0.06,     52.09,      0.11,      0.11,     -0.04,     52.12,      0.10,      0.12,      0.22,     52.23,      0.23,      0.25,      0.06,     53.27,      0.18,      0.17,     -0.10,     53.55,      0.17,      0.23,      0.19,      0.23,      0.26,      0.27,      1.18,      0.21,      0.20,      1.43,      0.20,      0.26,      0.95,      0.38,
edge_56_69,     -6.82,      0.06,      0.06,     -0.02,     -6.81,      0.06,      0.06,      0.02,     -6.73,      0.06,      0.06,     -0.01,     -7.91,      0.09,      0.11,      0.16,     -6.58,      0.10,      0.11,      0.04,     -7.79,      0.10,      0.12,      0.17,     -1.08,      0.11,      0.13,      0.24,      0.11,      0.13,     -1.06,      0.11,      0.13,     -0.63,      0.44,
edge_59_35,    -16.18,      0.09,      0.08,     -0.05,    -16.07,      0.08,      0.08,      0.01,    -16.03,      0.07,      0.08,      0.07,    -16.51,      0.12,      0.17,      0.18,    -15.87,      0.13,      0.14,      0.21,    -15.72,      0.11,      0.20,      0.44,     -0.33,      0.15,      0.19,      0.20,      0.15,      0.16,      0.32,      0.13,      0.21,      0.06,      0.21,
edge_59_52,    -19.19,      0.09,      0.09,     -0.02,    -19.03,      0.09,      0.09,     -0.03,    -19.14,      0.08,      0.08,      0.04,    -17.73,      0.17,      0.19,      0.03,    -19.35,      0.14,      0.32,      0.71,    -18.24,      0.13,      0.18,      0.30,      1.45,      0.19,      0.21,     -0.32,      0.17,      0.33,      0.90,      0.15,      0.20,      0.68,      0.53,
edge_59_47,     -5.30,      0.08,      0.08,     -0.01,     -5.11,      0.09,      0.08,     -0.04,     -5.19,      0.08,      0.07,      0.01,     -2.40,      0.29,      0.27,     -0.04,     -2.01,      0.13,      0.23,      0.46,     -0.83,      0.15,      0.21,      0.34,      2.90,      0.30,      0.28,      3.10,      0.16,      0.24,      4.36,      0.17,      0.23,      3.45,      0.47,
edge_38_26,    -23.67,      0.12,      0.14,      0.20,    -23.98,      0.13,      0.16,      0.11,    -24.18,      0.12,      0.14,      0.09,    -19.23,      0.15,      0.16,     -0.11,    -21.59,      0.24,      0.28,      0.28,    -19.15,      0.19,      0.22,      0.06,      4.44,      0.20,      0.21,      2.39,      0.27,      0.33,      5.03,      0.22,      0.26,      3.95,      0.81,
edge_38_41,     13.37,      0.08,      0.08,     -0.09,     13.42,      0.09,      0.09,     -0.08,     13.29,      0.08,      0.09,      0.01,     13.14,      0.38,      0.63,      0.58,     12.75,      0.18,      1.13,      0.94,     13.97,      0.21,      0.37,      0.42,     -0.23,      0.39,      0.63,     -0.67,      0.20,      1.13,      0.68,      0.22,      0.38,     -0.07,      0.42,
edge_38_39,    -20.12,      0.08,      0.09,      0.02,    -20.05,      0.08,      0.09,     -0.01,    -20.18,      0.10,      0.09,      0.04,    -17.85,      0.22,      0.20,     -0.13,    -18.00,      0.16,      0.17,      0.06,    -17.72,      0.18,      0.21,      0.18,      2.27,      0.23,      0.21,      2.05,      0.18,      0.19,      2.46,      0.21,      0.23,      2.26,      0.15,
