system,Ligand1,Ligand2,exp_ddG,bennett_ddG,bennett_error,ccc_ddG,ccc_error,,Error_bar,abs_error_Bar,,Error_ccc,Abs_error_ccc,,,
BACE,CAT-13b,CAT-17g,-0.62,0.36,0.11,-0.18,1.2,,-0.98,0.98,0.9604,-0.44,0.44,0.1936,,
,CAT-13a,CAT-17g,-0.9,-0.02,0.1,-0.26,0.92,,-0.88,0.88,0.7744,-0.64,0.64,0.4096,,
,CAT-13e,CAT-17g,0.22,1.5,0.11,1.4,0.81,,-1.28,1.28,1.6384,-1.18,1.18,1.3924,,
,CAT-4m,CAT-4c,1.3,0.78,0.1,0.98,0.46,,0.52,0.52,0.2704,0.32,0.32,0.1024,,
,CAT-13k,CAT-4d,0.59,-0.59,0.11,-0.76,0.51,,1.18,1.18,1.3924,1.35,1.35,1.8225,,
,CAT-24,CAT-17e,1.33,1.98,0.08,1.87,0.36,,-0.65,0.65,0.4225,-0.54,0.54,0.2916,,
,CAT-13g,CAT-17g,-0.65,0.86,0.15,0.98,0.64,,-1.51,1.51,2.2801,-1.63,1.63,2.6569,,
,CAT-13d,CAT-13h,0.84,1.46,0.1,1.24,0.92,,-0.62,0.62,0.3844,-0.4,0.4,0.16,,
,CAT-13a,CAT-17i,-0.63,-0.76,0.11,-0.52,0.92,,0.13,0.13,0.0169,-0.11,0.11,0.0121,,
,CAT-4m,CAT-13j,0.42,-0.01,0.12,-0.24,0.59,,0.43,0.43,0.1849,0.66,0.66,0.4356,,
,CAT-13a,CAT-13m,0.08,-0.95,0.13,-1.28,0.71,,1.03,1.03,1.0609,1.36,1.36,1.8496,,
,CAT-4l,CAT-13k,-0.36,-2.27,0.12,-2.11,0.59,,1.91,1.91,3.6481,1.75,1.75,3.0625,,
,CAT-13o,CAT-17i,-0.93,-1.08,0.12,-1.01,0.29,,0.15,0.15,0.0225,0.08,0.08,0.0064,,
,CAT-4c,CAT-4o,-1.53,-1.35,0.09,-1.15,0.46,,-0.18,0.18,0.0324,-0.38,0.38,0.1444,,
,CAT-4j,CAT-4o,-0.36,-0.58,0.06,-0.73,0.53,,0.22,0.22,0.0484,0.37,0.37,0.1369,,
,CAT-4i,CAT-13m,-0.5,-3.07,0.12,-3.09,0.46,,2.57,2.57,6.6049,2.59,2.59,6.7081,,
,CAT-24,CAT-17i,1.88,2.89,0.07,3,0.36,,-1.01,1.01,1.0201,-1.12,1.12,1.2544,,
,CAT-13j,CAT-4o,-0.65,0.29,0.1,0.06,0.59,,-0.94,0.94,0.8836,-0.71,0.71,0.5041,,
,CAT-4n,CAT-13k,-0.61,0.08,0.1,-0.11,0.71,,-0.69,0.69,0.4761,-0.5,0.5,0.25,,
,CAT-4o,CAT-4b,-0.25,-1.21,0.11,-1.55,0.59,,0.96,0.96,0.9216,1.3,1.3,1.69,,
,CAT-17i,CAT-13f,0.38,-0.77,0.13,-0.9,0.77,,1.15,1.15,1.3225,1.28,1.28,1.6384,,
,CAT-17c,CAT-17e,-0.16,0.38,0.11,0.43,0.54,,-0.54,0.54,0.2916,-0.59,0.59,0.3481,,
,CAT-13k,CAT-4b,0.07,-1.16,0.1,-0.82,0.59,,1.23,1.23,1.5129,0.89,0.89,0.7921,,
,CAT-4m,CAT-4j,0.13,0.71,0.07,0.56,0.53,,-0.58,0.58,0.3364,-0.43,0.43,0.1849,,
,CAT-13n,CAT-13k,-1.16,-2.98,0.14,-2.63,0.71,,1.82,1.82,3.3124,1.47,1.47,2.1609,,
,CAT-13d,CAT-17h,0.14,0.05,0.07,0.12,0.29,,0.09,0.09,0.0081,0.02,0.02,0.0004,,
,CAT-17b,CAT-13d,-0.45,0.46,0.09,0.41,0.54,,-0.91,0.91,0.8281,-0.86,0.86,0.7396,,
,CAT-4m,CAT-4n,0.06,-0.59,0.07,-0.78,0.71,,0.65,0.65,0.4225,0.84,0.84,0.7056,,
,CAT-4m,CAT-13k,-0.55,-1,0.09,-0.9,0.56,,0.45,0.45,0.2025,0.35,0.35,0.1225,,
,CAT-13c,CAT-17i,-0.15,0.26,0.11,-0.02,0.77,,-0.41,0.41,0.1681,-0.13,0.13,0.0169,,
,CAT-4a,CAT-4o,-1.45,-0.78,0.07,-0.71,0.37,,-0.67,0.67,0.4489,-0.74,0.74,0.5476,,
,CAT-13h,CAT-17i,0.16,0.14,0.09,-0.08,0.92,,0.02,0.02,0.0004,0.24,0.24,0.0576,,
,CAT-4o,CAT-4d,0.27,-1.66,0.11,-1.49,0.51,,1.93,1.93,3.7249,1.76,1.76,3.0976,,
,CAT-17g,CAT-17c,-0.12,-1.86,0.08,-1.81,0.54,,1.74,1.74,3.0276,1.69,1.69,2.8561,,
,CAT-4a,CAT-13k,-1.77,-1.37,0.09,-1.44,0.37,,-0.4,0.4,0.16,-0.33,0.33,0.1089,,
,CAT-13d,CAT-17d,1.05,2.71,0.09,2.57,0.8,,-1.66,1.66,2.7556,-1.52,1.52,2.3104,,
,CAT-17g,CAT-17f,0.32,-1.36,0.08,-1.36,0.5,,1.68,1.68,2.8224,1.68,1.68,2.8224,,
,CAT-13e,CAT-17i,0.49,1.04,0.11,1.14,0.81,,-0.55,0.55,0.3025,-0.65,0.65,0.4225,,
,CAT-13d,CAT-13b,1.35,2.12,0.12,1.58,1.2,,-0.77,0.77,0.5929,-0.23,0.23,0.0529,,
