leg,water,water,water,water,complex,complex,complex,complex,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,1,1,1,1,1,1,1,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr
edge_SHP099-1_E8,     54.65,      0.11,      0.12,      0.09,     55.94,      0.31,      0.34,      0.15,      1.29,      0.33,      0.36,      1.29,      0.33,
edge_SHP099-1_E14,     34.56,      0.26,      0.29,      0.17,     31.26,      0.39,      0.86,      0.78,     -3.30,      0.47,      0.91,     -3.30,      0.47,
edge_SHP099-1_E22,     16.87,      0.10,      0.10,     -0.00,     19.97,      0.17,      0.27,      0.32,      3.10,      0.20,      0.29,      3.10,      0.20,
edge_SHP099-1_E2,   -294.52,      0.10,      0.08,     -0.09,   -294.73,      0.16,      0.20,      0.20,     -0.21,      0.19,      0.22,     -0.21,      0.19,
edge_SHP099-1_E1,   -296.82,      0.08,      0.08,     -0.04,   -298.13,      0.16,      0.18,      0.01,     -1.31,      0.18,      0.20,     -1.31,      0.18,
edge_SHP099-1_E30,    -99.53,      0.09,      0.08,     -0.04,   -102.13,      0.13,      0.13,      0.07,     -2.60,      0.16,      0.15,     -2.60,      0.16,
edge_SHP099-1_E5,   -317.37,      0.13,      0.15,      0.16,   -313.38,      0.30,      0.49,      0.43,      3.99,      0.33,      0.51,      3.99,      0.33,
edge_SHP099-1_E28,     -2.60,      0.09,      0.09,      0.02,     -1.77,      0.15,      1.06,      0.96,      0.83,      0.17,      1.06,      0.83,      0.17,
edge_SHP099-1_10,     47.51,      0.09,      0.10,      0.10,     48.50,      0.13,      0.15,      0.16,      0.99,      0.16,      0.18,      0.99,      0.16,
edge_SHP099-1_E23,     20.46,      0.09,      0.09,     -0.07,     22.82,      0.15,      0.19,      0.19,      2.36,      0.17,      0.21,      2.36,      0.17,
edge_SHP099-1_E26,    -23.95,      0.19,      0.16,     -0.16,    -20.58,      0.49,     56.52,      1.00,      3.37,      0.53,     56.52,      3.37,      0.53,
edge_SHP099-1_E25,      8.97,      0.15,      0.13,      0.00,     15.02,      0.63,      1.15,      0.78,      6.05,      0.65,      1.16,      6.05,      0.65,
edge_SHP099-1_E24,      8.55,      0.11,      0.09,     -0.04,     12.66,      0.24,      0.23,      0.05,      4.11,      0.26,      0.25,      4.11,      0.26,
edge_E22_E23,      3.55,      0.10,      0.09,     -0.09,      2.20,      0.10,      0.11,     -0.04,     -1.35,      0.14,      0.14,     -1.35,      0.14,
edge_E22_7,   -250.01,      0.17,      0.18,      0.03,   -251.65,      1.02,      0.54,      0.22,     -1.64,      1.03,      0.57,     -1.64,      1.03,
edge_E29_E9,     97.26,      0.14,      0.13,     -0.05,     95.37,      0.40,      1.43,      0.91,     -1.89,      0.42,      1.44,     -1.89,      0.42,
edge_E29_11,     73.10,      0.10,      0.11,      0.04,     76.23,      0.19,      1.79,      0.98,      3.13,      0.21,      1.79,      3.13,      0.21,
edge_11_E25,    -17.32,      0.14,      0.18,      0.15,    -18.71,      0.40,      4.92,      0.99,     -1.39,      0.42,      4.92,     -1.39,      0.42,
edge_11_E6,   -360.81,      0.11,      0.11,      0.04,   -365.96,      0.34,      2.77,      0.98,     -5.15,      0.36,      2.77,     -5.15,      0.36,
edge_11_4,   -244.47,      0.17,      0.15,     -0.06,   -246.41,      0.25,      7.24,      1.00,     -1.94,      0.30,      7.24,     -1.94,      0.30,
edge_11_7,   -256.22,      0.29,      0.27,      0.00,   -259.48,      0.37,     21.82,      1.00,     -3.26,      0.47,     21.82,     -3.26,      0.47,
edge_4_E5,   -106.90,      0.29,      0.14,     -0.72,   -105.30,      0.59,      0.44,     -0.03,      1.60,      0.66,      0.46,      1.60,      0.66,
edge_4_E27,    309.73,      0.08,      0.10,      0.05,    311.26,      0.20,      0.18,     -0.03,      1.53,      0.22,      0.21,      1.53,      0.22,
edge_4_SHP836-2,      0.38,      0.09,      0.08,      0.03,     -0.03,      0.23,      0.31,      0.27,     -0.41,      0.25,      0.32,     -0.41,      0.25,
edge_E2_E23,    316.67,      0.16,      0.15,     -0.02,    319.42,      0.48,      0.82,      0.66,      2.75,      0.51,      0.83,      2.75,      0.51,
edge_E2_E1,     -2.42,      0.08,      0.07,     -0.04,     -4.58,      0.10,      0.13,      0.12,     -2.16,      0.13,      0.15,     -2.16,      0.13,
edge_E2_E4,    -15.46,      0.11,      0.11,      0.00,    -15.83,      0.18,      0.13,     -0.36,     -0.37,      0.21,      0.17,     -0.37,      0.21,
edge_E14_7,   -258.51,      0.29,      0.25,     -0.15,   -254.67,      0.39,      0.66,      0.63,      3.84,      0.49,      0.71,      3.84,      0.49,
edge_E14_6,   -306.73,      0.24,      0.25,      0.07,   -300.65,      0.31,      1.19,      0.91,      6.08,      0.39,      1.22,      6.08,      0.39,
edge_E26_SHP836-2,   -187.56,      0.53,      0.62,      0.37,   -189.70,      0.51,     46.05,      1.00,     -2.14,      0.74,     46.05,     -2.14,      0.74,
edge_E26_E6,   -312.21,      0.15,      0.19,      0.07,   -311.66,      0.94,     34.60,      1.00,      0.55,      0.95,     34.60,      0.55,      0.95,
edge_E26_E25,     77.56,      0.15,      0.15,      0.04,     76.75,      0.39,      0.54,      0.53,     -0.81,      0.42,      0.56,     -0.81,      0.42,
edge_SHP836-2_E5,   -106.63,      0.13,      0.10,     -0.61,   -108.80,      0.55,      0.40,     -0.13,     -2.17,      0.57,      0.41,     -2.17,      0.57,
edge_SHP836-2_E27,    309.44,      0.09,      0.08,     -0.09,    310.63,      0.13,      0.10,     -0.22,      1.19,      0.16,      0.13,      1.19,      0.16,
edge_E6_E8,    389.07,      0.14,      0.19,      0.17,    393.09,      0.49,      0.43,     -0.22,      4.02,      0.51,      0.47,      4.02,      0.51,
edge_E6_E25,    345.52,      0.13,      0.13,     -0.05,    355.72,      0.60,     13.85,      1.00,     10.20,      0.61,     13.85,     10.20,      0.61,
edge_E6_6,     59.58,      0.15,      0.17,      0.19,     61.73,      0.57,      0.98,      0.73,      2.15,      0.59,      0.99,      2.15,      0.59,
edge_E1_E24,    306.71,      0.09,      0.09,     -0.13,    314.02,      0.39,      0.44,      0.02,      7.31,      0.40,      0.45,      7.31,      0.40,
edge_E1_6,     21.52,      0.16,      0.16,     -0.10,     25.15,      0.19,      0.25,      0.20,      3.63,      0.25,      0.30,      3.63,      0.25,
edge_E1_7,     65.52,      0.16,      0.15,      0.05,     68.73,      0.25,     11.40,      1.00,      3.21,      0.30,     11.40,      3.21,      0.30,
edge_E1_E4,    -13.45,      0.12,      0.11,      0.05,    -12.60,      0.18,      0.15,     -0.28,      0.85,      0.22,      0.19,      0.85,      0.22,
edge_E1_E3,    -13.93,      0.11,      0.11,      0.05,    -12.69,      0.21,      0.23,      0.15,      1.24,      0.24,      0.25,      1.24,      0.24,
edge_3_E9,    288.84,      0.21,      0.22,      0.03,    289.04,      0.43,      4.28,      0.99,      0.20,      0.48,      4.29,      0.20,      0.48,
edge_3_E3,    -83.32,      0.15,      0.14,     -0.06,    -86.87,      0.39,      6.87,      1.00,     -3.55,      0.42,      6.87,     -3.55,      0.42,
edge_E9_E30,   -149.71,      0.14,      0.13,     -0.08,   -153.54,      0.69,      1.05,      0.77,     -3.83,      0.70,      1.06,     -3.83,      0.70,
edge_E8_E30,   -154.73,      0.13,      0.12,     -0.13,   -157.89,      0.55,      0.67,      0.36,     -3.16,      0.57,      0.68,     -3.16,      0.57,
edge_E8_E4,   -365.04,      0.14,      0.18,      0.17,   -369.13,      0.24,     24.25,      1.00,     -4.09,      0.28,     24.25,     -4.09,      0.28,
edge_7_10,    273.20,      0.13,      0.13,      0.01,    274.88,      0.35,      1.08,      0.86,      1.68,      0.37,      1.09,      1.68,      0.37,
edge_E24_E28,    -11.44,      0.09,      0.10,      0.01,    -16.08,      0.28,      1.91,      0.96,     -4.64,      0.29,      1.91,     -4.64,      0.29,
edge_E24_E30,   -109.11,      0.12,      0.10,     -0.05,   -114.77,      0.28,      0.27,     -0.14,     -5.66,      0.30,      0.29,     -5.66,      0.30,
edge_E24_E23,     11.12,      0.08,      0.08,     -0.03,      9.43,      0.11,      0.11,      0.05,     -1.69,      0.14,      0.14,     -1.69,      0.14,
edge_E28_6,   -272.70,      0.18,      0.19,      0.01,   -270.70,      0.41,      0.43,     -0.02,      2.00,      0.45,      0.47,      2.00,      0.45,
edge_10_E30,   -147.48,      0.09,      0.10,      0.03,   -149.72,      0.17,      0.11,     -0.33,     -2.24,      0.19,      0.15,     -2.24,      0.19,
edge_E25_E3,   -321.28,      0.12,      0.20,      0.28,   -320.73,      0.53,      4.30,      0.99,      0.55,      0.54,      4.30,      0.55,      0.54,
