leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_1d_6e,      0.34,      0.08,      0.11,      0.24,      0.45,      0.10,      0.11,      0.12,      0.34,      0.08,      0.10,      0.09,     -1.24,      0.23,      0.21,     -0.01,     -1.16,      0.15,      0.20,      0.29,     -0.94,      0.16,      0.18,      0.03,     -1.58,      0.24,      0.24,     -1.61,      0.18,      0.23,     -1.28,      0.18,      0.21,     -1.49,      0.15,      0.16
edge_1d_5,     -2.66,      0.14,      0.15,      0.08,     -2.72,      0.18,      0.17,     -0.01,     -2.73,      0.14,      0.15,      0.08,     -2.54,      0.20,      0.13,     -0.49,     -2.05,      0.15,      0.11,     -0.35,     -1.43,      0.10,      0.08,     -0.22,      0.12,      0.24,      0.20,      0.67,      0.23,      0.20,      1.30,      0.17,      0.17,      0.70,      0.35,      0.35
edge_1b_3b,      1.15,      0.07,      0.07,     -0.04,      1.04,      0.07,      0.07,      0.03,      1.06,      0.09,      0.08,     -0.12,      3.82,      0.21,      0.23,      0.03,      4.20,      0.23,      0.24,      0.02,      4.03,      0.24,      0.20,     -0.14,      2.67,      0.22,      0.24,      3.16,      0.24,      0.25,      2.97,      0.26,      0.22,      2.93,      0.18,      0.19
edge_6a_1b,     -1.90,      0.10,      0.10,      0.04,     -2.04,      0.11,      0.11,      0.03,     -1.97,      0.09,      0.10,      0.06,     -3.70,      0.18,      0.22,      0.24,     -3.26,      0.16,      0.15,     -0.19,     -3.07,      0.21,      0.25,      0.23,     -1.80,      0.21,      0.24,     -1.22,      0.19,      0.19,     -1.10,      0.23,      0.27,     -1.37,      0.24,      0.24
edge_1b_1c,      0.55,      0.08,      0.08,      0.04,      0.59,      0.07,      0.08,      0.15,      0.69,      0.06,      0.07,      0.08,      1.68,      0.16,      0.16,     -0.12,      1.91,      0.15,      0.14,     -0.13,      2.10,      0.14,      0.14,     -0.04,      1.13,      0.18,      0.18,      1.32,      0.17,      0.16,      1.41,      0.15,      0.16,      1.29,      0.11,      0.11
edge_1d_1c,      0.03,      0.07,      0.08,      0.11,      0.23,      0.07,      0.08,      0.04,      0.18,      0.07,      0.08,      0.11,     -1.04,      0.10,      0.14,      0.28,     -0.69,      0.10,      0.11,      0.02,     -0.91,      0.10,      0.12,      0.14,     -1.07,      0.12,      0.16,     -0.92,      0.12,      0.14,     -1.09,      0.12,      0.14,     -1.03,      0.08,      0.09
edge_1b_1a,     -1.35,      0.07,      0.07,      0.03,     -1.41,      0.07,      0.07,      0.04,     -1.44,      0.07,      0.07,      0.00,      0.16,      0.14,      0.09,     -0.40,      0.40,      0.11,      0.09,     -0.35,      0.00,      0.13,      0.10,     -0.27,      1.51,      0.16,      0.11,      1.81,      0.13,      0.11,      1.44,      0.15,      0.12,      1.59,      0.13,      0.12
edge_1a_5,      0.20,      0.07,      0.08,     -0.02,      0.16,      0.07,      0.08,      0.02,     -0.08,      0.08,      0.07,     -0.06,     -0.13,      0.21,      0.15,     -0.41,     -0.25,      0.17,      0.14,     -0.21,      0.05,      0.17,      0.13,     -0.24,     -0.33,      0.22,      0.17,     -0.41,      0.18,      0.16,      0.13,      0.19,      0.15,     -0.20,      0.19,      0.18
edge_3a_1d,      2.97,      0.07,      0.08,      0.12,      3.06,      0.07,      0.08,     -0.02,      2.99,      0.10,      0.09,     -0.03,      4.63,      0.13,      0.15,      0.14,      4.29,      0.14,      0.16,     -0.04,      4.33,      0.12,      0.15,      0.12,      1.66,      0.15,      0.17,      1.23,      0.16,      0.18,      1.34,      0.16,      0.17,      1.41,      0.15,      0.15
edge_6a_6b,      0.68,      0.10,      0.09,      0.00,      0.77,      0.10,      0.11,      0.09,      0.70,      0.09,      0.10,      0.08,      1.82,      0.16,      0.16,      0.06,      1.80,      0.14,      0.13,      0.06,      1.80,      0.15,      0.13,     -0.06,      1.14,      0.19,      0.18,      1.03,      0.17,      0.17,      1.10,      0.17,      0.16,      1.09,      0.09,      0.09
edge_1d_7a,     -0.63,      0.06,      0.08,      0.18,     -0.66,      0.07,      0.07,      0.09,     -0.75,      0.06,      0.07,      0.08,     -1.08,      0.10,      0.14,      0.16,     -0.69,      0.12,      0.14,      0.02,     -1.18,      0.13,      0.17,      0.30,     -0.45,      0.12,      0.16,     -0.03,      0.14,      0.16,     -0.43,      0.14,      0.18,     -0.30,      0.15,      0.15
edge_1b_7a,     -0.09,      0.07,      0.08,      0.23,     -0.02,      0.07,      0.08,      0.14,     -0.10,      0.07,      0.08,      0.11,      1.99,      0.28,      0.21,     -0.34,      1.76,      0.24,      0.22,     -0.04,      1.12,      0.24,      0.22,     -0.08,      2.08,      0.29,      0.22,      1.78,      0.25,      0.23,      1.22,      0.25,      0.23,      1.69,      0.28,      0.27
edge_3a_1b,      2.25,      0.09,      0.09,      0.03,      2.32,      0.10,      0.10,      0.00,      2.14,      0.13,      0.11,     -0.17,      2.06,      0.08,      0.10,      0.20,      1.94,      0.10,      0.11,     -0.00,      2.17,      0.09,      0.12,      0.28,     -0.19,      0.12,      0.13,     -0.38,      0.14,      0.15,      0.03,      0.16,      0.16,     -0.18,      0.13,      0.13
edge_1d_1a,     -2.08,      0.07,      0.09,      0.14,     -2.02,      0.08,      0.08,      0.10,     -2.09,      0.08,      0.09,      0.12,     -3.28,      0.15,      0.15,     -0.05,     -2.27,      0.14,      0.17,      0.20,     -3.22,      0.12,      0.11,     -0.14,     -1.20,      0.17,      0.17,     -0.25,      0.16,      0.19,     -1.13,      0.14,      0.14,     -0.86,      0.31,      0.31
edge_1a_3b,      2.65,      0.07,      0.07,      0.05,      2.46,      0.06,      0.07,      0.08,      2.52,      0.06,      0.07,      0.05,      4.45,      0.14,      0.24,      0.51,      3.83,      0.13,      0.16,      0.29,      5.10,      0.14,      0.56,      0.86,      1.80,      0.16,      0.25,      1.37,      0.14,      0.17,      2.58,      0.15,      0.56,      1.92,      0.36,      0.38
edge_6e_6b,      0.73,      0.06,      0.08,      0.11,      0.65,      0.06,      0.08,      0.24,      0.75,      0.06,      0.08,      0.21,      2.13,      0.13,      0.15,      0.25,      1.99,      0.09,      0.13,      0.23,      2.33,      0.15,      0.14,      0.04,      1.40,      0.14,      0.17,      1.34,      0.11,      0.15,      1.58,      0.16,      0.16,      1.44,      0.10,      0.10
