#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_1495_5109  -0.66  0.33
edge_1495_3040  -1.39  0.21
edge_1495_2606  -3.64  0.51
edge_1495_6691  -1.44  0.47
edge_2359_3053  2.77  0.46
edge_3053_8602  -0.45  0.30
edge_0529_6770  2.31  0.21
edge_0681_6770  0.91  0.39
edge_0798_1859  -1.65  0.46
edge_0798_9022  1.20  0.36
edge_0798_4451  1.73  0.20
edge_0798_6770  1.49  0.70
edge_0798_7447  -4.35  0.20
edge_1537_6770  -0.72  0.52
edge_1859_9373  0.61  0.33
edge_1859_8654  2.55  0.23
edge_1872_6770  0.61  0.78
edge_2879_6770  0.01  0.92
edge_3507_6770  -2.48  1.17
edge_4326_8654  -4.34  1.00
edge_4451_6674  -1.51  0.11
edge_5602_7454  2.32  0.40
edge_6674_6770  1.24  0.26
edge_6770_8794  7.20  1.38
edge_6770_8550  -0.69  0.52
edge_0681_7454  -1.06  0.49
edge_9373_5602  0.26  0.47
edge_9373_0529  0.91  0.25
edge_8794_6674  -0.46  1.04
edge_3507_0798  -2.96  0.25
edge_1537_0529  -2.12  0.31
edge_7447_4326  4.33  1.08
edge_3040_3053  2.10  0.34
edge_2606_3053  1.11  0.29
edge_8550_0798  -0.22  0.20
edge_0681_1872  0.21  0.11
edge_7447_9373  -1.66  0.16
edge_0681_5109  0.30  0.37
edge_1859_4326  6.15  0.32
edge_9022_9373  -2.16  0.29
edge_9022_2879  1.01  0.23
edge_7447_2606  -1.82  0.47
edge_7447_4451  0.38  0.19
edge_1859_2879  4.97  0.40
edge_2359_1495  3.59  0.15
edge_8654_0529  -0.94  0.75
edge_0681_1537  -0.82  0.18
edge_8550_1495  2.57  0.50
edge_2359_3040  1.54  0.18
edge_2359_3507  4.14  0.41
edge_2879_1872  -2.53  0.28
edge_6691_5109  1.04  0.27
edge_8550_7454  1.26  0.99
edge_6691_9373  -2.60  0.40
edge_8602_2606  -0.87  0.57
edge_5602_3507  4.16  0.16
edge_5602_3040  3.60  0.24
edge_8602_5109  0.74  0.43
edge_1872_6674  0.14  0.19
edge_9373_1495  2.33  0.21
edge_8794_7454  0.21  1.39
