leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_23466_23475,      0.92,      0.17,      0.17,     -0.09,      1.15,      0.17,      0.20,      0.11,      0.94,      0.24,      0.22,     -0.17,     -0.13,      0.34,      0.29,      0.03,     -0.12,      0.39,      0.36,     -0.10,     -1.18,      0.40,      0.49,      0.11,     -1.05,      0.38,      0.34,     -1.27,      0.43,      0.41,     -2.12,      0.47,      0.54,     -1.48,      0.37,      0.37
edge_23467_23466,    -14.73,      0.10,      0.13,      0.12,    -14.35,      0.14,      0.14,     -0.05,    -14.64,      0.15,      0.14,      0.03,    -14.97,      0.20,      0.22,      0.06,    -15.31,      0.19,      0.18,     -0.05,    -14.54,      0.32,      0.25,     -0.14,     -0.24,      0.22,      0.26,     -0.96,      0.24,      0.23,      0.10,      0.35,      0.29,     -0.37,      0.33,      0.33
edge_23467_23468,    -26.63,      0.11,      0.13,      0.01,    -26.55,      0.13,      0.14,      0.04,    -26.81,      0.14,      0.15,      0.10,    -26.48,      0.16,      0.21,      0.24,    -26.51,      0.26,      0.25,      0.05,    -26.95,      0.23,      0.27,      0.00,      0.15,      0.19,      0.25,      0.04,      0.29,      0.29,     -0.14,      0.27,      0.31,      0.02,      0.15,      0.16
edge_23467_23469,     -2.62,      0.20,      0.20,      0.07,     -2.41,      0.15,      0.16,      0.16,     -2.35,      0.17,      0.19,      0.11,     -2.98,      0.20,      0.37,      0.51,     -1.45,      0.29,      0.30,     -0.03,     -3.76,      0.43,      0.47,      0.12,     -0.36,      0.28,      0.42,      0.96,      0.33,      0.34,     -1.41,      0.46,      0.51,     -0.27,      0.70,      0.71
edge_23467_23470,    -62.05,      0.17,      0.23,      0.25,    -61.93,      0.25,      0.20,     -0.17,    -62.13,      0.22,      0.23,      0.00,    -64.83,      0.49,      1.05,      0.81,    -61.72,      0.30,      0.37,      0.23,    -65.41,      0.46,      0.89,      0.77,     -2.78,      0.52,      1.07,      0.21,      0.39,      0.42,     -3.28,      0.51,      0.92,     -1.95,      1.11,      1.16
edge_23467_23473,     14.64,      0.23,      0.21,     -0.11,     14.30,      0.21,      0.21,      0.05,     13.98,      0.23,      0.20,     -0.13,     12.19,      0.31,      0.49,      0.31,     14.54,      0.24,      0.22,     -0.04,     13.85,      0.35,      0.33,     -0.10,     -2.45,      0.39,      0.53,      0.24,      0.32,      0.30,     -0.13,      0.42,      0.39,     -0.78,      0.85,      0.84
edge_23467_23474,      4.15,      0.33,      0.31,     -0.14,      3.55,      0.31,      0.46,      0.35,      2.55,      0.32,      0.34,     -0.09,      0.32,      0.38,      1.24,      0.88,      0.88,      0.30,      2.05,      0.97,      0.44,      0.34,      1.40,      0.92,     -3.83,      0.50,      1.28,     -2.67,      0.43,      2.10,     -2.11,      0.47,      1.44,     -2.87,      0.54,      0.97
edge_23467_23475,    -14.02,      0.17,      0.19,      0.14,    -13.92,      0.19,      0.17,     -0.02,    -13.88,      0.17,      0.18,      0.03,    -13.88,      0.17,      0.20,      0.19,    -15.39,      0.21,      0.29,      0.35,    -14.70,      0.20,      0.21,     -0.07,      0.14,      0.24,      0.28,     -1.47,      0.28,      0.34,     -0.82,      0.26,      0.28,     -0.72,      0.48,      0.48
edge_23467_23476,     -3.55,      0.37,      0.49,      0.23,     -2.54,      0.30,      0.42,      0.43,     -3.60,      0.16,      0.79,      0.92,     -6.42,      0.36,      0.99,      0.84,     -5.61,      0.67,      0.65,      0.06,     -4.50,      0.59,      0.68,      0.25,     -2.87,      0.52,      1.10,     -3.07,      0.73,      0.77,     -0.90,      0.61,      1.04,     -2.28,      0.75,      0.81
edge_23469_23472,   -104.38,      0.16,      0.25,      0.35,   -104.43,      0.23,      0.23,     -0.10,   -104.32,      0.29,      0.25,     -0.18,   -105.98,      0.59,      0.61,     -0.08,   -105.56,      0.43,      0.41,      0.01,   -105.26,      0.32,      0.52,      0.34,     -1.60,      0.61,      0.66,     -1.13,      0.49,      0.47,     -0.94,      0.43,      0.58,     -1.22,      0.32,      0.34
edge_23469_20669_2qbr,     -9.89,      0.20,      0.17,     -0.16,    -10.00,      0.14,      0.16,     -0.00,     -9.93,      0.12,      0.15,      0.06,    -10.06,      0.20,      0.19,     -0.10,    -10.75,      0.36,      0.51,      0.38,     -9.62,      0.20,      0.28,      0.18,     -0.17,      0.28,      0.25,     -0.75,      0.39,      0.53,      0.31,      0.23,      0.32,     -0.20,      0.33,      0.35
edge_23471_23466,     29.00,      0.17,      0.18,     -0.04,     29.60,      0.20,      0.18,     -0.03,     28.81,      0.16,      0.19,      0.18,     29.56,      0.31,      0.33,      0.05,     28.72,      0.33,      0.33,     -0.02,     28.54,      0.31,      0.57,      0.66,      0.56,      0.35,      0.38,     -0.88,      0.39,      0.38,     -0.27,      0.35,      0.60,     -0.20,      0.44,      0.47
edge_23471_23468,     12.60,      0.15,      0.14,      0.10,     12.45,      0.19,      0.16,     -0.11,     12.47,      0.15,      0.12,     -0.06,     12.45,      0.26,      0.24,     -0.09,     11.73,      0.28,      0.25,     -0.09,     12.14,      0.20,      0.22,      0.22,     -0.15,      0.30,      0.28,     -0.72,      0.34,      0.30,     -0.33,      0.25,      0.25,     -0.40,      0.22,      0.21
edge_23471_23470,    -20.74,      0.18,      0.26,      0.42,    -21.36,      0.22,      0.22,      0.06,    -21.50,      0.18,      0.21,      0.12,    -20.61,      0.31,      0.39,      0.13,    -20.75,      0.28,      0.22,     -0.16,    -21.66,      0.35,      0.28,     -0.18,      0.13,      0.36,      0.47,      0.61,      0.36,      0.31,     -0.16,      0.39,      0.35,      0.19,      0.27,      0.29
edge_23473_20669_2qbr,    -17.76,      0.14,      0.15,      0.01,    -17.35,      0.13,      0.14,      0.03,    -18.05,      0.12,      0.14,      0.09,    -16.59,      0.29,      0.24,     -0.08,    -16.49,      0.16,      0.17,      0.13,    -17.48,      0.19,      0.23,     -0.02,      1.17,      0.32,      0.28,      0.86,      0.21,      0.22,      0.57,      0.22,      0.27,      0.87,      0.21,      0.21
edge_23474_23466,    -14.44,      0.54,      0.45,     -0.26,    -13.87,      0.29,      0.21,     -0.21,    -14.76,      0.34,      0.45,      0.15,    -13.81,      1.06,      0.77,     -0.44,    -14.85,      0.50,      0.50,     -0.06,    -11.40,      0.35,      1.11,      0.86,      0.63,      1.19,      0.89,     -0.98,      0.58,      0.54,      3.36,      0.49,      1.20,      1.00,      1.33,      1.32
edge_23476_23466,    -11.08,      0.29,      0.76,      0.79,    -12.10,      0.60,      0.64,      0.07,    -10.69,      0.36,      0.72,      0.71,     -9.34,      0.40,      8.27,      1.00,     -9.08,      0.45,      5.25,      0.99,    -11.34,      1.16,      0.77,     -0.00,      1.74,      0.49,      8.30,      3.02,      0.75,      5.29,     -0.65,      1.21,      1.05,      1.37,      1.10,      2.98
edge_23477_23466,     13.46,      0.21,      0.23,      0.09,     13.63,      0.22,      0.21,     -0.12,     13.31,      0.22,      0.23,      0.07,     14.64,      0.48,      1.11,      0.83,     14.19,      0.50,      0.93,      0.78,     16.60,      0.41,      1.83,      0.94,      1.18,      0.52,      1.13,      0.56,      0.55,      0.95,      3.29,      0.47,      1.84,      1.68,      0.85,      0.99
edge_23477_23467,     28.50,      0.13,      0.15,      0.05,     28.45,      0.13,      0.16,      0.05,     28.43,      0.20,      0.19,     -0.08,     28.01,      0.43,      0.54,      0.33,     29.68,      0.38,      0.68,      0.71,     28.28,      0.23,      0.58,      0.73,     -0.49,      0.45,      0.56,      1.23,      0.40,      0.70,     -0.15,      0.30,      0.61,      0.20,      0.55,      0.59
edge_23477_23479,    -20.28,      0.17,      0.16,     -0.04,    -20.23,      0.14,      0.16,      0.08,    -19.98,      0.17,      0.17,     -0.05,    -20.76,      0.28,      0.32,      0.13,    -20.00,      0.26,      0.32,      0.17,    -20.21,      0.22,      0.28,      0.15,     -0.48,      0.33,      0.36,      0.23,      0.30,      0.36,     -0.23,      0.28,      0.33,     -0.16,      0.25,      0.26
edge_23477_23482,   -112.72,      0.30,      0.32,     -0.19,   -111.30,      0.21,      0.46,      0.65,   -113.37,      0.17,      0.18,     -0.00,   -113.25,      0.62,      0.47,     -0.43,   -113.87,      0.35,      0.40,      0.07,   -114.65,      0.36,      0.52,      0.47,     -0.53,      0.69,      0.57,     -2.57,      0.41,      0.61,     -1.28,      0.40,      0.55,     -1.46,      0.62,      0.63
edge_23477_23483,    -57.95,      0.25,      0.21,     -0.15,    -57.74,      0.28,      0.31,      0.18,    -58.14,      0.24,      0.27,      0.17,    -60.99,      0.68,      1.70,      0.93,    -56.73,      0.51,      1.84,      0.94,    -57.91,      1.01,      0.76,     -0.53,     -3.04,      0.72,      1.71,      1.01,      0.58,      1.87,      0.23,      1.04,      0.81,     -0.60,      1.31,      1.37
edge_23477_23330_2qbq,     37.16,      0.17,      0.17,     -0.03,     37.22,      0.15,      0.15,     -0.01,     37.67,      0.14,      0.16,      0.00,     34.09,      0.26,      0.31,      0.20,     35.78,      0.41,      0.51,      0.04,     35.08,      0.45,      0.33,     -0.32,     -3.07,      0.31,      0.35,     -1.44,      0.44,      0.53,     -2.59,      0.47,      0.37,     -2.37,      0.52,      0.52
edge_23480_23479,    -17.78,      0.65, 528081.58,      1.00,    -19.10,      0.21,1114805.19,      1.00,    -18.54,      0.23,1356108.32,      1.00,    -16.51,      0.51, 513088.50,      1.00,    -16.75,      0.91,  89201.79,      1.00,    -17.18,      0.63, 372433.89,      1.00,      1.27,      0.83, 736294.75,      2.35,      0.93,1118368.26,      1.36,      0.67,1406320.30,      1.66,      0.53, 565733.09
edge_23480_23482,    -84.17,      0.84,     24.83,      1.00,    -84.47,      0.41,     30.39,      1.00,    -85.94,      0.23,     72.48,      1.00,    -86.00,      1.04,     32.02,      1.00,    -83.83,      0.30,    675.91,      1.00,    -83.79,      0.47,    118.64,      1.00,     -1.83,      1.34,     40.52,      0.64,      0.51,    676.59,      2.15,      0.52,    139.03,      0.32,      1.19,    188.40
edge_23482_23479,     93.73,      0.21,      0.26,      0.20,     94.07,      0.27,      0.25,     -0.06,     94.04,      0.23,      0.22,     -0.09,     94.48,      0.34,      0.56,      0.48,     93.43,      0.41,      0.44,      0.08,     94.22,      0.32,      0.40,      0.07,      0.75,      0.40,      0.62,     -0.64,      0.49,      0.51,      0.18,      0.39,      0.46,      0.10,      0.44,      0.46
