#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_338_165  6.61  0.65
edge_338_215  4.11  0.58
edge_338_163  4.25  0.13
edge_43_235  -4.01  0.18
edge_43_54  -6.02  1.06
edge_43_215  -6.22  0.56
edge_43_155  1.36  0.44
edge_43_25  -0.65  0.47
edge_235_1  1.61  0.85
edge_235_54  -0.41  0.59
edge_234_227  -1.13  0.31
edge_234_289  -1.02  0.34
edge_30_42  0.16  0.09
edge_30_84  6.51  0.22
edge_30_251  -5.11  0.94
edge_30_25  0.75  0.50
edge_1_155  1.27  0.11
 edge_1_7a  -0.82  0.20
edge_1_254  -4.55  1.23
edge_1_256  -5.39  0.97
 edge_1_15  -0.70  0.26
edge_237_227  -6.12  1.51
edge_237_31  -2.75  0.89
edge_237_41  -3.23  0.60
edge_237_336  -5.66  0.95
edge_237_290  -7.81  0.80
edge_237_254  -6.62  0.64
edge_227_167  0.20  0.87
edge_227_231  0.82  0.36
edge_227_15  3.64  0.38
edge_266_156  2.63  0.87
edge_266_165  -0.01  0.36
edge_266_84  9.04  0.74
edge_266_254  -1.26  2.32
edge_206_57  -0.49  0.60
edge_206_42  2.92  0.37
edge_206_23  0.22  0.78
edge_206_256  -4.19  0.28
edge_67_165  7.95  0.38
edge_67_256  1.55  0.23
edge_156_167  -4.69  0.76
edge_156_165  -2.41  0.31
edge_156_42  -1.74  0.11
edge_156_164  -0.94  0.53
edge_31_61  -1.89  0.40
edge_31_7a  -0.39  0.83
edge_289_35  2.10  0.46
edge_289_224  1.04  0.37
edge_61_251  -3.07  0.45
edge_167_165  1.56  0.48
edge_167_155  4.55  1.63
edge_167_50  -0.09  0.46
edge_165_42  0.98  1.22
edge_165_252  -4.73  0.18
edge_165_336  -4.04  0.84
edge_165_163  -2.24  0.41
edge_41_7b  2.48  0.70
edge_7b_42  -1.43  0.71
edge_7b_231  -4.31  0.80
edge_54_251  -2.79  0.58
edge_54_124  -2.64  0.23
edge_215_252  -2.27  0.53
edge_215_15  3.93  0.49
edge_215_163  -0.45  0.24
edge_57_231  2.47  0.36
edge_42_164  -1.65  0.85
edge_35_7a  1.28  0.32
edge_35_84  9.00  0.37
edge_252_336  0.19  0.29
edge_252_290  2.28  0.51
edge_252_155  2.96  0.33
edge_252_231  1.42  0.39
edge_252_124  -1.76  0.67
edge_336_251  -2.03  0.42
edge_290_7a  2.08  0.95
edge_290_84  9.83  0.48
edge_290_23  3.42  0.67
edge_290_256  -4.12  0.15
edge_155_84  4.62  0.29
edge_164_124  -8.26  0.50
edge_164_25  -0.68  0.34
edge_164_163  -3.57  0.71
edge_7a_224  -1.81  0.96
edge_7a_23  3.37  0.13
edge_224_231  -1.17  0.73
edge_84_15  -7.15  0.19
edge_254_251  -2.37  0.31
edge_254_50  2.38  0.60
edge_23_15  -2.04  0.19
edge_251_15  5.55  0.71
edge_251_25  6.23  0.36
edge_15_25  0.85  0.07
