#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_7395_3484  1.06  0.35
edge_7395_0738  0.89  0.84
edge_8041_4415  -1.12  0.23
edge_4189_4415  -1.03  0.09
edge_1939_3032  0.93  0.12
edge_5544_3806  0.98  0.65
edge_4754_4147  2.03  0.42
edge_3806_6221  0.90  0.89
edge_3806_0340  1.30  0.81
edge_3806_1423   nan   nan
edge_3806_5973  1.43  0.66
edge_4096_4147  1.38  0.26
edge_4147_2750  -0.75  0.36
edge_4147_7846  -1.63  0.14
edge_6694_4147  1.43  0.32
edge_1038_9211  2.18  0.29
edge_1038_0309  -0.49  2.04
edge_1038_0848  2.91  1.16
edge_9211_1056  -2.76  0.68
edge_9211_9237  -2.28  1.49
edge_9211_0848  -2.08  1.15
edge_2333_9211  2.67  0.30
edge_2333_0309  0.22  1.04
edge_2333_0848  2.87  2.25
edge_0395_8161  1.86  0.91
edge_8414_1038  -1.78  0.78
edge_8414_1056  -0.29  2.01
edge_8414_2333  -1.09  1.10
edge_8414_5644  0.41  0.35
edge_5644_9211  1.76  0.50
edge_5644_0309  -1.86  0.76
edge_5670_9211  0.92  1.55
edge_5687_1801  -3.66  1.20
edge_5687_4147  4.50  0.96
edge_3032_4096  -0.64  0.31
edge_8041_4147  0.71  0.66
edge_5687_1056  -1.42  0.70
edge_0340_4754  -0.36  0.22
edge_7395_1939  1.58  0.68
edge_5687_8161  0.35  0.40
edge_5544_4147  2.60  0.17
edge_8041_0738  -2.24  0.79
edge_5973_4096  -0.02  0.38
edge_4147_0395  -1.07  2.62
edge_3484_2750  1.58  1.51
edge_1939_7846  0.73  0.72
edge_2750_6221  0.29  0.18
edge_5973_4754  -0.75  0.27
edge_3484_4189  2.89  1.30
edge_1038_5687  0.03  0.78
edge_4415_3032  0.35  0.07
edge_3806_4147  2.97  0.72
edge_1423_4754   nan   nan
edge_4147_5973  -0.56  0.22
edge_1801_4147  8.67  0.63
edge_2750_5973  -0.01  0.14
edge_8041_1939  -1.50  0.25
edge_0340_0738  -0.90  1.31
edge_3032_8041  0.75  0.17
