#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4   nan   nan
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5   nan   nan
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42   nan   nan
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90   nan   nan
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402760_1   nan   nan
edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23   nan   nan
edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7  2.67  1.07
edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21  -3.27  0.35
edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15  0.39  0.04
edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10  0.67  0.29
edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5  -0.19  0.18
edge_CHEMBL3402759_5.7_CHEMBL3402763_90  2.03  1.33
edge_CHEMBL3402759_5.7_CHEMBL3402758_10  -1.30  0.19
edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4  -0.99  0.21
edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9  0.52  0.12
edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11  -0.22  0.19
edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12  0.47  0.24
edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15  -2.68  0.19
edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5  -1.10  0.07
edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12  0.86  0.13
edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7  -3.28  0.44
edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5  -3.98  0.40
edge_CHEMBL3402745_200_5_CHEMBL3402743_42  -1.46  0.34
edge_CHEMBL3402745_200_5_CHEMBL3402742_23  -0.26  0.17
edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8  32.33  4.06
edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12  2.25  0.10
edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7  -2.22  0.64
edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15   nan   nan
edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14  2.03  0.37
edge_CHEMBL3402761_1_21_CHEMBL3402760_1   nan   nan
edge_CHEMBL3402761_1_21_CHEMBL3402762_1   nan   nan
edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9  0.99  0.13
edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8  1.70  0.06
edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11  4.17  0.32
edge_CHEMBL3402743_42_CHEMBL3402758_10  -4.92  0.32
edge_CHEMBL3402743_42_CHEMBL3402762_1  -3.64  2.00
edge_CHEMBL3402743_42_CHEMBL3402760_1  -1.79  0.46
edge_CHEMBL3402743_42_CHEMBL3402742_23   nan   nan
edge_CHEMBL3402743_42_CHEMBL3402764_90  2.91  0.09
edge_CHEMBL3402743_42_CHEMBL3402763_90  0.73  0.18
edge_CHEMBL3402743_42_CHEMBL3402756_2.7  -2.06  1.38
edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14  -4.91  0.49
edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11  -0.55  0.12
edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14  0.08  0.17
edge_CHEMBL3402758_10_CHEMBL3402742_23  1.51  1.72
edge_CHEMBL3402758_10_CHEMBL3402760_1  -0.61  0.20
edge_CHEMBL3402758_10_CHEMBL3402756_2.7  0.96  0.17
edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8  29.46  4.47
edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7  0.10  0.15
edge_CHEMBL3402762_1_CHEMBL3402760_1   nan   nan
edge_CHEMBL3402742_23_CHEMBL3402763_90   nan   nan
edge_CHEMBL3402742_23_CHEMBL3402756_2.7   nan   nan
edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11  -13.65  1.51
edge_CHEMBL3402741_400_CHEMBL3402763_90   nan   nan
edge_CHEMBL3402741_400_CHEMBL3402756_2.7   nan   nan
edge_CHEMBL3402741_400_CHEMBL3402764_90   nan   nan
edge_CHEMBL3402763_90_CHEMBL3402764_90   nan   nan
