#1_edge   2_ddg  3_ddg_err  4_ddg_aerr
#all values in kJ/mol
edge_33_13  -1.74  0.34  0.35
edge_33_25  -1.88  0.38  0.39
edge_31_33  0.50  0.16  0.16
edge_12_33  1.86  0.33  0.33
edge_28_34  -0.66  0.18  0.21
edge_28_37  1.21  0.49  0.49
edge_28_23  -0.74  0.57  0.59
edge_22_32  -0.55  0.23  0.23
edge_22_16  0.11  0.33  0.38
edge_26_32  -0.63  0.37  0.36
edge_26_14  0.26  0.65  0.65
edge_16_26  -0.53  0.75  0.77
edge_37_34  -1.43  0.15  0.15
edge_19_37  0.39  0.33  0.33
edge_1a_37  -2.12  0.12  0.12
edge_27_37  0.52  0.19  0.19
edge_35_37  1.40  0.10  0.11
edge_21_37  1.76  0.22  0.22
edge_30_20  -2.88  0.28  0.27
edge_30_13  -2.26  0.70  0.69
edge_30_21  -2.31  0.17  0.17
edge_30_39  -0.43  0.33  0.33
edge_1a_40  -0.61  0.12  0.12
edge_29_40  1.57  0.39  0.39
edge_19_25  -0.40  0.17  0.17
edge_13_25  0.22  0.16  0.16
edge_25_14  1.03  0.06  0.06
edge_12_25  0.84  0.20  0.20
edge_31_36  -1.50  0.57  0.58
edge_31_13  -1.36  0.12  0.12
edge_38_31  0.97  0.16  0.16
edge_24_1a  2.74  0.25  0.28
edge_1a_32  -1.45  0.12  0.11
edge_29_1a  2.52  0.20  0.21
edge_1a_18  -3.22  0.31  0.32
edge_41_1a  0.44  0.60  3.04
edge_38_27  -0.09  0.10  0.10
edge_27_14  1.07  0.21  0.21
edge_24_14  1.26  0.07  0.07
edge_12_14  1.56  0.36  0.36
edge_18_14  0.63  0.05  0.06
edge_39_14  -0.40  0.17  0.17
edge_17_34  0.53  0.05  0.05
edge_17_38  1.37  0.27  0.27
edge_39_36  -2.23  0.60  0.62
edge_23_36  -1.97  0.11  0.11
edge_11_24  -1.40  0.25  0.25
edge_11_35  -1.90  0.11  0.11
edge_11_19  -0.86  0.12  0.13
edge_11_21  -1.83  0.25  0.25
edge_38_34  -0.76  0.10  0.10
edge_20_34  0.44  0.09  0.09
edge_24_35  -0.13  0.07  0.08
edge_20_32  2.15  0.18  0.18
edge_21_38  0.55  0.31  0.31
edge_19_15  -0.07  0.49  0.49
edge_18_19  0.56  0.18  0.18
edge_16_15  -1.56  0.36  0.37
edge_41_29  0.14  0.65  3506.10
edge_18_39  1.00  0.44  0.44
