leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_jmc_23_ejm_55,    -45.79,      0.07,      0.07,      0.03,    -45.87,      0.08,      0.07,     -0.09,    -45.82,      0.06,      0.06,      0.02,    -45.59,      0.13,      0.14,      0.07,    -45.37,      0.10,      0.13,      0.23,    -45.86,      0.11,      0.11,     -0.09,      0.20,      0.15,      0.16,      0.50,      0.13,      0.15,     -0.04,      0.13,      0.13,      0.22,      0.17,
edge_ejm_44_ejm_55,    -36.56,      0.07,      0.08,      0.06,    -36.59,      0.07,      0.08,      0.05,    -36.66,      0.08,      0.08,     -0.01,    -41.44,      0.16,      0.42,      0.78,    -40.85,      0.18,      0.25,      0.25,    -41.31,      0.17,      0.21,      0.23,     -4.88,      0.17,      0.43,     -4.26,      0.19,      0.26,     -4.65,      0.19,      0.22,     -4.60,      0.20,
edge_ejm_49_ejm_31,    -41.62,      0.09,      0.08,     -0.05,    -41.70,      0.09,      0.09,      0.02,    -41.64,      0.08,      0.08,     -0.05,    -43.06,      0.18,      0.19,      0.16,    -43.17,      0.16,      0.16,      0.02,    -42.90,      0.12,      0.12,     -0.18,     -1.44,      0.20,      0.21,     -1.47,      0.18,      0.18,     -1.26,      0.14,      0.14,     -1.39,      0.11,
edge_ejm_31_ejm_46,     55.16,      0.05,      0.06,      0.04,     55.01,      0.05,      0.05,     -0.04,     55.16,      0.06,      0.05,     -0.01,     54.61,      0.11,      0.13,      0.17,     54.29,      0.11,      0.12,      0.03,     54.33,      0.12,      0.12,      0.03,     -0.55,      0.12,      0.14,     -0.72,      0.12,      0.13,     -0.83,      0.13,      0.13,     -0.70,      0.10,
edge_jmc_28_jmc_27,      5.83,      0.05,      0.06,     -0.02,      5.75,      0.05,      0.06,      0.00,      5.71,      0.06,      0.05,     -0.05,      4.93,      0.07,      0.08,      0.06,      5.16,      0.05,      0.06,     -0.12,      4.56,      0.11,      0.10,     -0.09,     -0.90,      0.09,      0.10,     -0.59,      0.07,      0.08,     -1.15,      0.13,      0.11,     -0.88,      0.17,
edge_ejm_42_ejm_48,      2.79,      0.06,      0.06,      0.01,      2.83,      0.06,      0.07,      0.12,      2.66,      0.07,      0.07,     -0.01,      4.40,      0.11,      0.15,      0.32,      4.18,      0.12,      0.14,      0.17,      4.88,      0.13,      0.13,      0.02,      1.61,      0.13,      0.16,      1.35,      0.13,      0.16,      2.22,      0.15,      0.15,      1.73,      0.27,
edge_ejm_31_ejm_43,     26.30,      0.05,      0.06,      0.05,     26.27,      0.05,      0.05,     -0.01,     26.23,      0.05,      0.05,     -0.04,     28.04,      0.14,      0.16,      0.14,     28.16,      0.18,      0.14,     -0.18,     27.87,      0.16,      0.23,      0.36,      1.74,      0.15,      0.17,      1.89,      0.19,      0.15,      1.64,      0.17,      0.24,      1.76,      0.11,
edge_ejm_50_ejm_42,    -32.90,      0.06,      0.06,      0.01,    -32.78,      0.06,      0.07,      0.07,    -32.74,      0.06,      0.07,      0.03,    -32.85,      0.11,      0.11,     -0.04,    -32.93,      0.14,      0.13,     -0.09,    -32.96,      0.12,      0.15,      0.14,      0.05,      0.13,      0.13,     -0.15,      0.15,      0.15,     -0.22,      0.13,      0.17,     -0.11,      0.10,
edge_ejm_42_ejm_55,    -20.72,      0.06,      0.05,     -0.07,    -20.76,      0.06,      0.06,     -0.07,    -20.62,      0.06,      0.05,     -0.01,    -21.63,      0.06,      0.09,      0.27,    -21.67,      0.08,      0.07,      0.01,    -21.60,      0.08,      0.07,     -0.11,     -0.91,      0.08,      0.10,     -0.91,      0.10,      0.09,     -0.98,      0.10,      0.09,     -0.93,      0.05,
edge_jmc_23_ejm_46,     17.98,      0.06,      0.06,      0.02,     17.97,      0.06,      0.06,     -0.07,     18.07,      0.05,      0.05,     -0.01,     18.25,      0.08,      0.09,      0.13,     18.13,      0.07,      0.08,      0.10,     17.69,      0.07,      0.08,     -0.06,      0.27,      0.10,      0.11,      0.16,      0.09,      0.10,     -0.38,      0.09,      0.09,      0.02,      0.20,
edge_ejm_31_ejm_45,     13.66,      0.07,      0.08,      0.04,     13.74,      0.07,      0.07,      0.02,     13.61,      0.09,      0.08,     -0.10,     14.69,      0.17,      0.22,      0.25,     13.71,      0.15,      0.20,      0.18,     14.86,      0.13,      0.21,      0.32,      1.03,      0.18,      0.23,     -0.03,      0.17,      0.21,      1.25,      0.16,      0.22,      0.75,      0.40,
edge_ejm_55_ejm_54,     -7.55,      0.06,      0.06,      0.01,     -7.52,      0.05,      0.06,      0.04,     -7.58,      0.07,      0.06,     -0.05,     -8.07,      0.09,      0.09,      0.08,     -7.96,      0.07,      0.08,     -0.08,     -7.75,      0.08,      0.10,      0.09,     -0.52,      0.11,      0.11,     -0.44,      0.09,      0.10,     -0.17,      0.11,      0.12,     -0.38,      0.11,
edge_ejm_45_ejm_42,    -18.15,      0.07,      0.07,      0.02,    -17.93,      0.06,      0.06,     -0.06,    -18.02,      0.07,      0.07,     -0.05,    -18.12,      0.12,      0.10,     -0.11,    -18.17,      0.13,      0.15,      0.18,    -17.95,      0.13,      0.12,      0.02,      0.03,      0.14,      0.12,     -0.24,      0.14,      0.16,      0.07,      0.15,      0.14,     -0.05,      0.12,
edge_ejm_31_jmc_28,     44.58,      0.06,      0.06,      0.08,     44.67,      0.07,      0.07,     -0.04,     44.61,      0.07,      0.07,     -0.02,     44.69,      0.12,      0.15,      0.18,     44.17,      0.13,      0.16,      0.11,     44.27,      0.16,      0.18,     -0.05,      0.11,      0.13,      0.16,     -0.50,      0.15,      0.17,     -0.34,      0.17,      0.19,     -0.24,      0.19,
edge_ejm_31_ejm_48,     12.57,      0.07,      0.07,      0.05,     12.48,      0.07,      0.08,     -0.01,     12.71,      0.08,      0.07,     -0.12,     13.70,      0.19,      0.19,      0.03,     13.69,      0.14,      0.18,      0.28,     13.62,      0.11,      0.16,      0.30,      1.13,      0.20,      0.20,      1.21,      0.16,      0.20,      0.91,      0.14,      0.17,      1.08,      0.12,
edge_ejm_47_ejm_31,    -18.50,      0.07,      0.06,     -0.05,    -18.52,      0.07,      0.06,     -0.01,    -18.39,      0.06,      0.06,     -0.06,    -18.65,      0.10,      0.12,      0.07,    -19.51,      0.12,      0.13,      0.06,    -18.93,      0.15,      0.15,     -0.00,     -0.15,      0.12,      0.13,     -0.99,      0.14,      0.14,     -0.54,      0.16,      0.16,     -0.56,      0.25,
edge_ejm_47_ejm_55,    -27.10,      0.06,      0.06,     -0.04,    -26.97,      0.06,      0.07,      0.06,    -27.05,      0.07,      0.07,      0.02,    -24.76,      0.12,      1.10,      0.97,    -28.09,      0.10,      0.13,      0.24,    -28.05,      0.13,      0.11,     -0.11,      2.34,      0.13,      1.10,     -1.12,      0.12,      0.15,     -1.00,      0.15,      0.13,      0.07,      1.14,
edge_ejm_44_ejm_42,    -16.42,      0.05,      0.06,      0.09,    -16.41,      0.06,      0.06,      0.00,    -16.50,      0.07,      0.06,     -0.03,    -20.37,      0.09,      0.10,     -0.05,    -19.18,      0.12,      0.12,     -0.04,    -20.78,      0.14,      0.14,      0.09,     -3.95,      0.10,      0.12,     -2.77,      0.13,      0.13,     -4.28,      0.16,      0.15,     -3.67,      0.46,
edge_jmc_23_jmc_27,     12.52,      0.06,      0.05,     -0.07,     12.42,      0.05,      0.05,      0.03,     12.44,      0.06,      0.05,      0.03,     12.50,      0.07,      0.08,      0.07,     12.66,      0.07,      0.07,      0.01,     12.70,      0.07,      0.07,     -0.02,     -0.02,      0.09,      0.09,      0.24,      0.09,      0.09,      0.26,      0.09,      0.09,      0.16,      0.10,
edge_ejm_43_ejm_55,    -32.30,      0.05,      0.06,      0.09,    -32.21,      0.06,      0.06,     -0.03,    -32.17,      0.07,      0.07,      0.01,    -34.14,      0.18,      0.16,      0.02,    -34.98,      0.14,      0.14,      0.01,    -34.62,      0.19,      0.21,      0.24,     -1.84,      0.19,      0.17,     -2.77,      0.15,      0.15,     -2.45,      0.20,      0.22,     -2.35,      0.29,
edge_jmc_23_jmc_30,     15.42,      0.05,      0.05,     -0.01,     15.38,      0.06,      0.05,      0.04,     15.27,      0.05,      0.05,      0.01,     14.70,      0.08,      0.08,     -0.05,     15.28,      0.09,      0.09,      0.03,     15.21,      0.07,      0.08,      0.08,     -0.72,      0.09,      0.09,     -0.10,      0.11,      0.10,     -0.06,      0.09,      0.09,     -0.29,      0.22,
edge_jmc_28_jmc_30,      8.71,      0.06,      0.06,      0.02,      8.65,      0.05,      0.05,      0.00,      8.62,      0.05,      0.05,      0.02,      7.14,      0.08,      0.09,     -0.01,      7.35,      0.08,      0.08,      0.03,      7.56,      0.09,      0.09,      0.01,     -1.57,      0.10,      0.11,     -1.30,      0.09,      0.09,     -1.06,      0.10,      0.10,     -1.31,      0.15,
edge_ejm_42_ejm_54,    -25.00,      0.08,      0.09,      0.09,    -24.79,      0.10,      0.08,     -0.17,    -24.96,      0.09,      0.08,     -0.05,    -23.88,      0.10,      0.11,      0.06,    -23.91,      0.10,      0.09,     -0.11,    -24.32,      0.08,      0.11,      0.11,      1.12,      0.13,      0.14,      0.88,      0.14,      0.12,      0.64,      0.12,      0.14,      0.88,      0.15,
edge_ejm_49_ejm_50,      1.69,      0.08,      0.09,     -0.01,      1.80,      0.08,      0.08,      0.04,      1.83,      0.09,      0.09,     -0.06,      0.01,      0.12,      0.14,      0.06,      0.72,      0.12,      0.13,      0.14,      1.11,      0.17,      0.15,     -0.16,     -1.68,      0.14,      0.17,     -1.08,      0.14,      0.15,     -0.72,      0.19,      0.17,     -1.16,      0.28,
