#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_338_165  1.37  0.35
edge_338_215  1.21  0.35
edge_338_163  1.73  0.16
edge_43_235  0.02  0.78
edge_43_54  2.06  0.87
edge_43_215  0.03  1.52
edge_43_155  0.15  0.44
edge_43_25  -1.27  0.41
edge_235_1  0.55  0.31
edge_235_54  3.54  0.33
edge_234_227  -5.52  0.36
edge_234_289  -0.50  0.14
edge_30_42  1.43  1.79
edge_30_84  1.71  0.34
edge_30_251  0.19  0.75
edge_30_25  -1.12  0.95
edge_1_155  0.30  0.16
 edge_1_7a  2.23  0.34
edge_1_254  1.39  0.32
edge_1_256  2.28  0.31
 edge_1_15  0.41  0.32
edge_237_227  -7.75  0.23
edge_237_31  -2.36  0.13
edge_237_41  -1.85  0.35
edge_237_336  -5.02  0.83
edge_237_290  -5.97  0.79
edge_237_254  -2.97  0.45
edge_227_167  3.91  0.19
edge_227_231  3.08  0.24
edge_227_15  2.24  0.16
edge_266_156  3.05  0.51
edge_266_165  3.59  0.51
edge_266_84  6.56  0.35
edge_266_254  4.87  1.48
edge_206_57  -2.37  0.53
edge_206_42  -1.38  0.32
edge_206_23  -3.14  0.60
edge_206_256  -3.91  0.68
edge_67_165  4.47  0.86
edge_67_256  3.46  0.53
edge_156_167  1.94  0.14
edge_156_165  0.94  0.27
edge_156_42  1.36  0.67
edge_156_164  3.89  1.29
edge_31_61  -2.07  0.61
edge_31_7a  -0.46  0.53
edge_289_35  -1.36  0.88
edge_289_224  -0.40  0.66
edge_61_251  0.43  0.35
edge_167_165  0.06  0.33
edge_167_155  -0.92  0.29
edge_167_50  0.13  0.14
edge_165_42  0.30  0.57
edge_165_252  0.07  0.21
edge_165_336  -1.81  0.29
edge_165_163  -0.11  0.16
edge_41_7b  2.60  0.98
edge_7b_42  -3.71  0.18
edge_7b_231  -5.31  0.30
edge_54_251  -0.40  0.80
edge_54_124  -2.76  0.46
edge_215_252  0.50  0.52
edge_215_15  -0.57  0.31
edge_215_163  0.95  0.13
edge_57_231  2.61  0.22
edge_42_164  3.18  0.36
edge_35_7a  1.13  0.41
edge_35_84  3.41  0.36
edge_252_336  -0.44  0.16
edge_252_290  -2.47  0.48
edge_252_155  1.13  0.62
edge_252_231  -0.27  0.22
edge_252_124  -2.28  2.01
edge_336_251  -1.84  0.36
edge_290_7a  3.12  0.76
edge_290_84  5.49  0.55
edge_290_23  3.29  0.67
edge_290_256  3.49  0.48
edge_155_84  3.36  0.58
edge_164_124  -3.83  0.81
edge_164_25  -4.77  0.24
edge_164_163  -2.32  0.13
edge_7a_224  -0.13  0.72
edge_7a_23  0.01  0.38
edge_224_231  0.45  0.58
edge_84_15  -3.43  0.22
edge_254_251  -1.83  1.28
edge_254_50  0.67  0.33
edge_23_15  -2.21  0.72
edge_251_15  -1.03  0.62
edge_251_25  -2.13  0.59
edge_15_25  0.25  0.25
