#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_CHEMBL3265015_CHEMBL3265011  0.83  0.27
edge_CHEMBL3265015_CHEMBL3265017  -2.19  0.57
edge_CHEMBL3265015_CHEMBL3265009  -3.23  1.05
edge_CHEMBL3265015_CHEMBL3264999  -4.12  1.21
edge_CHEMBL3265015_CHEMBL3265014  -1.92  0.55
edge_CHEMBL3265015_CHEMBL3259820  -3.42  0.55
edge_CHEMBL3265031_CHEMBL3265024  -0.08  0.40
edge_CHEMBL3265031_CHEMBL3265037  -1.10  0.33
edge_CHEMBL3265031_CHEMBL3265030_n  0.25  0.20
edge_CHEMBL3265021_CHEMBL3265011  4.48  0.45
edge_CHEMBL3265021_CHEMBL3265024  -0.53  0.26
edge_CHEMBL3265021_CHEMBL3265022  0.14  0.17
edge_CHEMBL3265021_CHEMBL3265020  1.46  0.05
edge_CHEMBL3265021_CHEMBL3265017  -0.12  0.20
edge_CHEMBL3265021_CHEMBL3265035  -0.76  0.31
edge_CHEMBL3265021_CHEMBL3265023  -0.42  0.10
edge_CHEMBL3265021_CHEMBL3265013  0.72  0.50
edge_CHEMBL3264998_CHEMBL3264995  0.15  0.16
edge_CHEMBL3264998_CHEMBL3265001  -0.12  0.21
edge_CHEMBL3265035_CHEMBL3265024  0.36  0.67
edge_CHEMBL3265035_CHEMBL3264996  -2.53  1.41
edge_CHEMBL3265013_CHEMBL3265020  1.00  0.27
edge_CHEMBL3265013_CHEMBL3265023  -0.60  0.39
edge_CHEMBL3265013_CHEMBL3265004  -3.17  0.98
edge_CHEMBL3265013_CHEMBL3265012  -0.56  0.27
edge_CHEMBL3265013_CHEMBL3259820  -0.52  0.37
edge_CHEMBL3265036_CHEMBL3265016  1.22  0.21
edge_CHEMBL3265036_CHEMBL3265029  0.69  0.25
edge_CHEMBL3265034_CHEMBL3265026  0.43  0.34
edge_CHEMBL3265034_CHEMBL3265027  1.24  0.54
edge_CHEMBL3265034_CHEMBL3265037  -0.35  0.68
edge_CHEMBL3265034_CHEMBL3265033  -0.43  0.11
edge_CHEMBL3265014_CHEMBL3265028  -0.04  0.42
edge_CHEMBL3265014_CHEMBL3265022  0.42  0.41
edge_CHEMBL3265014_CHEMBL3265025  -0.46  0.83
edge_CHEMBL3265014_CHEMBL3265006  -1.19  0.56
edge_CHEMBL3265009_CHEMBL3265008  -0.22  0.23
edge_CHEMBL3265009_CHEMBL3265020  0.47  0.32
edge_CHEMBL3265009_CHEMBL3265005  -0.25  0.09
edge_CHEMBL3265009_CHEMBL3265006  -0.36  0.23
edge_CHEMBL3265009_CHEMBL3265003  -2.61  1.08
edge_CHEMBL3265017_CHEMBL3265026  0.16  0.34
edge_CHEMBL3265017_CHEMBL3265024  -0.24  0.21
edge_CHEMBL3265017_CHEMBL3265016  1.40  0.12
edge_CHEMBL3265017_CHEMBL3265027  0.58  0.45
edge_CHEMBL3265017_CHEMBL3265020  1.02  0.16
edge_CHEMBL3265017_CHEMBL3265032  -0.22  0.45
edge_CHEMBL3265017_CHEMBL3265002  -4.12  0.85
edge_CHEMBL3265017_CHEMBL3265029  0.44  0.37
edge_CHEMBL3265000_CHEMBL3264995  0.67  0.76
edge_CHEMBL3265000_CHEMBL3264997  1.06  0.29
edge_CHEMBL3265000_CHEMBL3264994  2.68  1.48
edge_CHEMBL3265023_CHEMBL3265028  0.89  0.19
edge_CHEMBL3265023_CHEMBL3265022  0.66  0.08
edge_CHEMBL3265023_CHEMBL3265020  1.52  0.33
edge_CHEMBL3265004_CHEMBL3264999  1.21  0.11
edge_CHEMBL3265004_CHEMBL3265002  0.05  0.22
edge_CHEMBL3265004_CHEMBL3265003  -0.43  0.25
edge_CHEMBL3265029_CHEMBL3265016  0.09  0.42
edge_CHEMBL3265029_CHEMBL3265027  0.19  0.20
edge_CHEMBL3265025_CHEMBL3265008  0.76  0.18
edge_CHEMBL3265025_CHEMBL3265020  1.46  0.19
edge_CHEMBL3265012_CHEMBL3265010  0.67  0.27
edge_CHEMBL3265012_CHEMBL3259820  0.09  0.19
edge_CHEMBL3265012_CHEMBL3265002  -2.88  0.68
edge_CHEMBL3265037_CHEMBL3265032  0.90  0.60
edge_CHEMBL3265016_CHEMBL3265005  -0.71  0.29
edge_CHEMBL3265016_CHEMBL3265020  0.03  0.06
edge_CHEMBL3265032_CHEMBL3265022  0.63  0.61
edge_CHEMBL3265032_CHEMBL3265027  0.89  0.12
edge_CHEMBL3265032_CHEMBL3265033  -0.56  0.11
edge_CHEMBL3264997_CHEMBL3264995  -1.10  0.19
edge_CHEMBL3264997_CHEMBL3264994  0.61  1.03
edge_CHEMBL3265028_CHEMBL3265027  0.43  0.11
edge_CHEMBL3265028_CHEMBL3265030_n  -0.12  0.30
edge_CHEMBL3265018_CHEMBL3265011  5.81  0.61
edge_CHEMBL3265018_CHEMBL3265005  0.77  0.62
edge_CHEMBL3265018_CHEMBL3265019  -0.76  0.10
edge_CHEMBL3265019_CHEMBL3265005  3.37  0.24
edge_CHEMBL3265027_CHEMBL3265033  -1.60  0.28
edge_CHEMBL3265027_CHEMBL3265020  0.10  0.46
edge_CHEMBL3265027_CHEMBL3265010  -1.01  0.38
edge_CHEMBL3265027_CHEMBL3265030_n  -1.07  0.44
edge_CHEMBL3265024_CHEMBL3265008  0.71  0.29
edge_CHEMBL3264995_CHEMBL3264994  3.04  0.48
edge_CHEMBL3264995_CHEMBL3265001  -0.60  0.18
edge_CHEMBL3265033_CHEMBL3265022  0.07  0.51
edge_CHEMBL3265020_CHEMBL3265026  -0.40  0.34
edge_CHEMBL3265008_CHEMBL3259820  -1.30  0.60
edge_CHEMBL3265008_CHEMBL3265005  0.33  0.21
edge_CHEMBL3265008_CHEMBL3265006  0.44  0.09
edge_CHEMBL3265002_CHEMBL3264999  1.18  0.33
edge_CHEMBL3265002_CHEMBL3264996  0.47  0.18
edge_CHEMBL3265010_CHEMBL3265011  4.67  0.24
edge_CHEMBL3265010_CHEMBL3264996  -2.01  1.29
edge_CHEMBL3265006_CHEMBL3265011  3.21  0.94
edge_CHEMBL3265006_CHEMBL3265026  0.43  0.50
edge_CHEMBL3265003_CHEMBL3264999  1.61  0.17
edge_CHEMBL3264999_CHEMBL3264996  -0.79  0.17
