leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_32_L_31_L,     -2.55,      0.06,      0.07,      0.04,     -2.68,      0.06,      0.07,      0.02,     -2.53,      0.06,      0.06,      0.07,     -1.64,      0.09,      0.09,     -0.03,     -2.19,      0.08,      0.10,      0.12,     -1.77,      0.08,      0.08,     -0.02,      0.91,      0.11,      0.11,      0.49,      0.10,      0.12,      0.76,      0.10,      0.10,      0.72,      0.13,
edge_32_L_29_L,     -7.16,      0.12,      0.11,     -0.02,     -6.97,      0.12,      0.11,     -0.06,     -7.00,      0.10,      0.11,      0.15,     -5.83,      0.17,      0.27,      0.41,     -5.37,      0.28,      0.30,      0.08,     -5.68,      0.23,      0.23,      0.03,      1.33,      0.21,      0.29,      1.60,      0.30,      0.32,      1.32,      0.25,      0.25,      1.42,      0.15,
edge_32_L_35_L,     -8.62,      0.14,      0.15,      0.15,     -9.38,      0.12,      0.20,      0.29,     -8.95,      0.12,      0.15,      0.22,     -6.26,      0.34,      0.33,      0.01,     -9.17,      0.31,      0.35,      0.15,     -6.84,      0.41,      0.41,     -0.02,      2.36,      0.37,      0.36,      0.21,      0.33,      0.40,      2.11,      0.43,      0.44,      1.56,      0.70,
edge_32_L_30_L,     -8.08,      0.07,      0.08,      0.04,     -8.07,      0.07,      0.09,      0.08,     -8.09,      0.08,      0.08,     -0.02,     -6.46,      0.15,      0.17,      0.17,     -6.59,      0.17,      0.15,     -0.05,     -7.39,      0.14,      0.15,     -0.09,      1.62,      0.17,      0.19,      1.48,      0.18,      0.17,      0.70,      0.16,      0.17,      1.27,      0.29,
edge_28_L_35_L,      9.90,      0.07,      0.08,      0.03,      9.91,      0.08,      0.08,     -0.06,      9.91,      0.07,      0.07,      0.09,     10.29,      0.18,      0.32,      0.51,     13.36,      0.28,      1.13,      0.90,     14.98,      0.18,      0.47,      0.71,      0.39,      0.19,      0.33,      3.45,      0.29,      1.13,      5.07,      0.19,      0.48,      2.97,      1.37,
edge_39_L_35_L,     13.10,      0.08,      0.08,      0.15,     13.12,      0.08,      0.09,     -0.08,     13.19,      0.07,      0.08,     -0.03,     14.45,      0.19,      0.18,     -0.14,     14.92,      0.21,      0.23,      0.26,     14.04,      0.20,      0.17,     -0.08,      1.35,      0.21,      0.20,      1.80,      0.22,      0.25,      0.85,      0.21,      0.19,      1.33,      0.29,
edge_35_L_29_L,      1.75,      0.10,      0.11,      0.08,      2.48,      0.09,      0.13,      0.27,      2.31,      0.11,      0.14,      0.29,      1.42,      0.27,      0.37,      0.32,      0.87,      0.17,      0.26,      0.39,     -0.23,      0.25,      0.24,      0.04,     -0.33,      0.29,      0.39,     -1.61,      0.19,      0.29,     -2.54,      0.27,      0.28,     -1.49,      0.64,
edge_39_L_34_L,     18.32,      0.21,      0.18,     -0.09,     18.80,      0.15,      0.18,      0.14,     18.25,      0.20,      0.20,     -0.05,     17.25,      0.34,      0.50,      0.35,     16.98,      0.30,      0.49,      0.38,     16.33,      0.52,      0.39,     -0.36,     -1.07,      0.40,      0.53,     -1.82,      0.34,      0.52,     -1.92,      0.56,      0.44,     -1.60,      0.35,
edge_39_L_37_L,      5.79,      0.06,      0.05,      0.00,      5.87,      0.05,      0.05,     -0.01,      5.84,      0.05,      0.05,     -0.02,      4.69,      0.06,      0.07,     -0.01,      4.68,      0.06,      0.07,     -0.01,      4.87,      0.07,      0.06,      0.04,     -1.10,      0.08,      0.09,     -1.19,      0.08,      0.09,     -0.97,      0.09,      0.08,     -1.09,      0.07,
edge_39_L_28_L,      3.32,      0.05,      0.05,     -0.03,      3.25,      0.04,      0.05,     -0.02,      3.39,      0.05,      0.05,      0.03,      1.97,      0.08,      0.09,      0.05,      2.17,      0.08,      0.07,     -0.11,      3.05,      0.10,      0.16,      0.38,     -1.35,      0.09,      0.10,     -1.08,      0.09,      0.09,     -0.34,      0.11,      0.17,     -0.92,      0.30,
edge_39_L_36_L,      9.71,      0.04,      0.05,      0.04,      9.61,      0.05,      0.05,     -0.02,      9.60,      0.05,      0.05,     -0.06,      8.52,      0.09,      0.08,     -0.02,      8.83,      0.07,      0.08,      0.14,      8.75,      0.06,      0.07,     -0.03,     -1.19,      0.10,      0.09,     -0.78,      0.09,      0.09,     -0.85,      0.08,      0.09,     -0.94,      0.13,
edge_31_L_30_L,     -5.52,      0.05,      0.06,      0.06,     -5.54,      0.06,      0.06,     -0.03,     -5.44,      0.05,      0.05,      0.00,     -4.87,      0.11,      0.11,     -0.04,     -4.91,      0.11,      0.11,      0.03,     -4.94,      0.11,      0.10,      0.02,      0.65,      0.12,      0.13,      0.63,      0.13,      0.13,      0.50,      0.12,      0.11,      0.59,      0.08,
edge_31_L_29_L,     -4.46,      0.10,      0.09,     -0.09,     -4.38,      0.08,      0.08,      0.02,     -4.35,      0.10,      0.10,      0.02,     -4.63,      0.14,      0.16,      0.17,     -2.96,      0.16,      0.21,      0.29,     -5.53,      0.13,      0.18,      0.20,     -0.17,      0.17,      0.18,      1.42,      0.18,      0.22,     -1.18,      0.16,      0.21,      0.02,      0.76,
edge_34_L_29_L,     -3.97,      0.09,      0.10,      0.15,     -3.98,      0.13,      0.12,     -0.05,     -4.15,      0.13,      0.12,     -0.02,     -2.52,      0.28,      0.36,      0.08,     -3.67,      0.38,      0.28,     -0.14,     -2.17,      0.37,      0.51,      0.39,      1.45,      0.29,      0.37,      0.31,      0.40,      0.30,      1.98,      0.39,      0.52,      1.25,      0.52,
edge_34_L_30_L,     -4.69,      0.10,      0.11,      0.09,     -4.80,      0.11,      0.10,     -0.03,     -4.77,      0.10,      0.11,      0.11,     -3.52,      0.38,      0.33,     -0.21,     -2.83,      0.21,      0.21,     -0.03,     -3.08,      0.15,      0.23,      0.40,      1.17,      0.39,      0.35,      1.97,      0.24,      0.23,      1.69,      0.18,      0.25,      1.61,      0.26,
edge_34_L_36_L,     -8.91,      0.13,      0.14,      0.14,     -9.61,      0.16,      0.18,      0.09,     -9.61,      0.16,      0.18,      0.23,     -7.78,      0.31,      0.44,      0.33,     -8.32,      0.32,      0.72,      0.74,     -8.23,      0.23,      0.61,      0.75,      1.13,      0.34,      0.46,      1.29,      0.36,      0.74,      1.38,      0.28,      0.64,      1.27,      0.18,
edge_37_L_36_L,      3.73,      0.03,      0.03,      0.03,      3.78,      0.03,      0.04,     -0.05,      3.84,      0.03,      0.03,     -0.01,      5.30,      0.03,      0.10,      0.60,      5.25,      0.03,      0.10,      0.57,      4.44,      0.04,      0.04,     -0.01,      1.57,      0.04,      0.10,      1.47,      0.04,      0.11,      0.60,      0.05,      0.05,      1.21,      0.31,
edge_28_L_36_L,      6.32,      0.04,      0.05,      0.04,      6.31,      0.04,      0.05,     -0.03,      6.33,      0.04,      0.05,      0.05,      7.92,      0.08,      0.08,      0.00,      8.39,      0.08,      0.12,      0.32,      8.29,      0.07,      0.11,      0.30,      1.60,      0.09,      0.09,      2.08,      0.09,      0.13,      1.96,      0.08,      0.12,      1.88,      0.15,
edge_38_L_36_L,     11.23,      0.07,      0.07,     -0.06,     11.12,      0.06,      0.07,      0.06,     11.26,      0.07,      0.06,     -0.02,     12.71,      0.07,      0.08,      0.10,     12.74,      0.08,      0.08,     -0.00,     12.74,      0.08,      0.07,     -0.09,      1.48,      0.10,      0.11,      1.62,      0.10,      0.11,      1.48,      0.11,      0.09,      1.53,      0.07,
edge_33_L_30_L,      0.59,      0.09,      0.08,     -0.07,      0.54,      0.09,      0.07,     -0.04,      0.60,      0.08,      0.07,     -0.03,      0.92,      0.13,      0.13,     -0.03,      0.78,      0.13,      0.14,      0.13,      0.28,      0.17,      0.14,     -0.08,      0.33,      0.16,      0.15,      0.24,      0.16,      0.16,     -0.32,      0.19,      0.16,      0.08,      0.22,
edge_30_L_29_L,      0.70,      0.08,      0.08,      0.01,      0.80,      0.08,      0.08,     -0.04,      0.77,      0.07,      0.08,     -0.03,      0.48,      0.11,      0.10,     -0.07,      0.88,      0.08,      0.08,     -0.11,      0.90,      0.08,      0.08,     -0.08,     -0.22,      0.14,      0.13,      0.08,      0.11,      0.11,      0.13,      0.11,      0.11,     -0.00,      0.12,
edge_33_L_29_L,      1.53,      0.10,      0.10,     -0.03,      1.46,      0.11,      0.10,     -0.00,      1.63,      0.11,      0.10,     -0.09,      2.49,      0.18,      0.21,      0.05,      0.89,      0.19,      0.21,      0.01,      1.66,      0.14,      0.18,      0.23,      0.96,      0.21,      0.23,     -0.57,      0.22,      0.23,      0.03,      0.18,      0.21,      0.14,      0.45,
edge_28_L_38_L,     -4.91,      0.07,      0.07,      0.03,     -5.01,      0.07,      0.07,      0.02,     -4.99,      0.06,      0.06,     -0.04,     -3.59,      0.08,      0.07,     -0.10,     -3.45,      0.09,      0.08,     -0.03,     -3.35,      0.07,      0.09,      0.14,      1.32,      0.11,      0.10,      1.56,      0.11,      0.11,      1.64,      0.09,      0.11,      1.51,      0.11,
edge_28_L_29_L,     11.59,      0.07,      0.07,      0.02,     11.94,      0.07,      0.07,      0.15,     11.78,      0.05,      0.09,      0.35,     12.11,      0.06,      0.11,      0.26,     12.34,      0.11,      0.10,     -0.07,     12.44,      0.13,      0.21,      0.46,      0.52,      0.09,      0.13,      0.40,      0.13,      0.12,      0.66,      0.14,      0.23,      0.53,      0.09,
edge_28_L_37_L,      2.40,      0.05,      0.04,      0.01,      2.42,      0.04,      0.05,      0.04,      2.42,      0.04,      0.04,     -0.00,      2.87,      0.07,      0.06,     -0.07,      2.90,      0.06,      0.06,      0.03,      3.55,      0.05,      0.08,      0.17,      0.47,      0.09,      0.07,      0.48,      0.07,      0.08,      1.13,      0.06,      0.09,      0.69,      0.22,
edge_38_L_37_L,      7.40,      0.08,      0.07,      0.04,      7.32,      0.07,      0.07,     -0.01,      7.30,      0.06,      0.07,     -0.04,      6.61,      0.09,      0.07,     -0.04,      6.76,      0.07,      0.08,      0.02,      6.51,      0.07,      0.08,      0.04,     -0.79,      0.12,      0.10,     -0.56,      0.10,      0.11,     -0.79,      0.09,      0.11,     -0.71,      0.09,
