leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_CHEMBL1078774_CHEMBL1089056,      3.83,      0.07,      0.07,     -0.01,      3.91,      0.07,      0.07,     -0.03,      3.74,      0.06,      0.07,      0.05,     -0.76,      0.10,      0.08,     -0.19,      0.92,      0.12,      0.23,      0.51,     -1.11,      0.08,      0.07,     -0.11,     -4.59,      0.12,      0.11,     -2.99,      0.14,      0.24,     -4.85,      0.10,      0.10,     -4.14,      0.58,
edge_CHEMBL1078774_CHEMBL1088740,     -2.96,      0.07,      0.08,     -0.00,     -3.10,      0.07,      0.07,      0.02,     -2.92,      0.08,      0.08,     -0.07,     -4.41,      0.20,      0.23,      0.19,     -5.78,      0.15,      0.18,      0.08,     -5.87,      0.19,      0.20,      0.04,     -1.45,      0.21,      0.24,     -2.68,      0.17,      0.19,     -2.95,      0.21,      0.22,     -2.36,      0.47,
edge_CHEMBL1093087_CHEMBL1084678,   -114.73,      0.38,      0.90,      0.79,   -116.49,      0.82,      0.65,     -0.21,   -116.61,      0.36,      0.47,      0.28,   -115.89,      0.36,      0.91,      0.82,   -115.04,      0.86,      0.79,      0.21,   -116.39,      0.25,     28.15,      1.00,     -1.16,      0.52,      1.28,      1.45,      1.19,      1.02,      0.22,      0.44,     28.15,      0.17,      0.82,
edge_CHEMBL1093087_CHEMBL1096003,   -114.58,      0.70,      0.73,      0.43,   -115.89,      0.48,      1.04,      0.81,   -115.71,      0.39,      1.71,      0.94,   -114.34,      0.57,     39.37,      1.00,   -117.99,      1.52,      8.69,      1.00,   -117.57,      0.65,     26.75,      1.00,      0.24,      0.90,     39.38,     -2.10,      1.59,      8.75,     -1.86,      0.76,     26.80,     -1.24,      0.93,
edge_CHEMBL1093087_CHEMBL1086409,      2.60,      0.50,      0.36,     -0.32,      2.18,      0.41,      0.36,     -0.05,      1.98,      0.53,      0.40,     -0.23,      4.76,      0.42,      2.19,      0.96,      4.55,      0.34,      1.79,      0.96,      5.82,      0.50,      1.28,      0.92,      2.16,      0.65,      2.22,      2.37,      0.53,      1.83,      3.84,      0.73,      1.34,      2.79,      0.58,
edge_CHEMBL1093087_CHEMBL1083517,    -20.01,      0.32,      0.46,      0.41,    -21.32,      0.39,      0.33,     -0.19,    -20.98,      0.30,      0.37,      0.36,    -13.69,      0.60,      0.51,     -0.02,    -17.68,      0.69,      1.17,      0.76,    -17.42,      0.58,      5.18,      0.99,      6.32,      0.68,      0.69,      3.64,      0.79,      1.22,      3.56,      0.65,      5.19,      4.51,      0.95,
edge_CHEMBL1082249_CHEMBL1086409,     34.35,      0.20,      0.19,     -0.11,     34.92,      0.14,      0.20,      0.28,     34.01,      0.19,      0.17,     -0.10,     36.34,      0.40,      0.43,     -0.11,     34.81,      0.22,      0.36,      0.43,     36.71,      0.48,      0.60,      0.47,      1.99,      0.45,      0.47,     -0.11,      0.26,      0.41,      2.70,      0.52,      0.62,      1.53,      0.87,
edge_CHEMBL1082249_CHEMBL1077227,     19.96,      0.21,      0.19,     -0.17,     19.94,      0.18,      0.19,      0.06,     19.87,      0.19,      0.21,      0.12,     19.07,      0.38,      0.61,      0.53,     20.68,      0.49,      0.73,      0.51,     19.11,      0.60,      0.60,      0.03,     -0.89,      0.43,      0.64,      0.74,      0.52,      0.75,     -0.76,      0.63,      0.64,     -0.30,      0.57,
edge_CHEMBL1082249_CHEMBL1082248,     54.67,      0.17,      0.18,      0.09,     54.51,      0.18,      0.17,     -0.01,     54.45,      0.15,      0.18,      0.14,     57.12,      0.19,      0.46,      0.69,     54.56,      0.27,      0.27,     -0.05,     54.69,      0.22,      0.29,      0.28,      2.45,      0.25,      0.49,      0.05,      0.32,      0.32,      0.24,      0.27,      0.34,      0.91,      0.78,
edge_CHEMBL1082249_CHEMBL1096003,    -99.77,      0.20,      0.18,     -0.23,   -100.96,      0.34,      0.69,      0.73,   -101.76,      0.34,      0.71,      0.74,   -101.16,      0.30,      0.73,      0.75,   -101.61,      0.44,      0.86,      0.75,   -101.28,      0.63,     11.20,      1.00,     -1.39,      0.36,      0.75,     -0.65,      0.56,      1.10,      0.48,      0.72,     11.22,     -0.52,      0.59,
edge_CHEMBL1089393_CHEMBL1093088,      3.09,      0.15,      0.12,     -0.14,      2.64,      0.11,      0.11,      0.06,      2.70,      0.14,      0.13,     -0.08,     -0.36,      0.14,      0.15,      0.05,      0.86,      0.14,      0.18,      0.21,      1.08,      0.15,      0.15,      0.04,     -3.45,      0.21,      0.19,     -1.78,      0.18,      0.21,     -1.62,      0.21,      0.20,     -2.28,      0.59,
edge_CHEMBL1089393_CHEMBL1088740,      0.40,      0.04,      0.05,      0.05,      0.40,      0.04,      0.05,      0.04,      0.25,      0.04,      0.05,      0.03,      0.60,      0.04,      0.04,     -0.06,      0.11,      0.03,      0.04,     -0.00,      0.50,      0.04,      0.04,     -0.04,      0.20,      0.06,      0.06,     -0.29,      0.05,      0.06,      0.25,      0.06,      0.06,      0.05,      0.17,
edge_CHEMBL1089393_CHEMBL1085895,    -67.66,      0.18,      0.20,      0.05,    -67.82,      0.16,      0.18,     -0.00,    -67.69,      0.21,      0.20,     -0.10,    -72.31,      0.43,      0.38,     -0.04,    -73.76,      0.53,      0.82,      0.77,    -72.31,      0.35,      0.48,      0.32,     -4.65,      0.47,      0.43,     -5.94,      0.55,      0.84,     -4.62,      0.41,      0.52,     -5.07,      0.47,
edge_CHEMBL1078691_CHEMBL1089056,     24.62,      0.06,      0.06,     -0.03,     24.69,      0.05,      0.06,      0.02,     24.68,      0.05,      0.05,      0.01,     23.27,      0.06,      0.06,     -0.01,     23.03,      0.08,      0.07,     -0.28,     22.98,      0.08,      0.07,      0.01,     -1.35,      0.08,      0.08,     -1.66,      0.09,      0.09,     -1.70,      0.09,      0.09,     -1.57,      0.12,
edge_CHEMBL1078691_CHEMBL1093088,     19.16,      0.13,      0.13,      0.01,     19.17,      0.12,      0.13,      0.04,     18.96,      0.14,      0.14,     -0.03,     16.91,      0.15,      0.15,     -0.00,     16.46,      0.34,      0.43,      0.15,     15.88,      0.15,      0.33,      0.72,     -2.25,      0.20,      0.20,     -2.71,      0.36,      0.45,     -3.08,      0.21,      0.36,     -2.68,      0.27,
edge_CHEMBL1086409_CHEMBL1082248,     20.04,      0.08,      0.09,      0.09,     20.07,      0.09,      0.09,     -0.07,     20.02,      0.10,      0.09,     -0.10,     18.60,      0.11,      0.10,     -0.17,     17.95,      0.11,      0.15,      0.20,     18.18,      0.14,      0.16,      0.19,     -1.44,      0.14,      0.13,     -2.12,      0.14,      0.17,     -1.84,      0.17,      0.18,     -1.80,      0.21,
edge_CHEMBL1086409_CHEMBL1085666,    -38.59,      0.07,      0.08,      0.01,    -38.63,      0.09,      0.08,      0.02,    -38.85,      0.08,      0.09,      0.06,    -38.07,      0.10,      0.11,     -0.09,    -38.63,      0.12,      0.17,      0.29,    -39.24,      0.11,      0.13,     -0.01,      0.52,      0.12,      0.14,      0.00,      0.15,      0.19,     -0.39,      0.14,      0.16,      0.04,      0.27,
edge_CHEMBL1086409_CHEMBL1084676,    -13.25,      0.17,      0.19,      0.21,    -13.18,      0.24,      0.22,     -0.05,    -13.88,      0.16,      0.21,      0.22,    -16.20,      0.29,      0.62,      0.69,    -16.17,      0.33,      0.73,      0.72,    -15.45,      0.39,      0.58,      0.40,     -2.95,      0.34,      0.65,     -2.99,      0.41,      0.76,     -1.57,      0.42,      0.62,     -2.50,      0.49,
edge_CHEMBL1086409_CHEMBL1083517,    -23.16,      0.07,      0.08,      0.04,    -23.08,      0.06,      0.07,      0.03,    -23.08,      0.07,      0.07,      0.02,    -21.84,      0.12,      0.12,     -0.04,    -22.09,      0.14,      0.14,      0.04,    -22.39,      0.12,      0.17,      0.38,      1.32,      0.14,      0.14,      0.99,      0.15,      0.16,      0.69,      0.14,      0.18,      1.00,      0.19,
edge_CHEMBL1086409_CHEMBL1086410,      6.02,      0.08,      0.08,     -0.02,      6.02,      0.09,      0.08,      0.05,      5.99,      0.08,      0.08,     -0.04,      7.52,      0.21,      0.20,      0.04,      6.57,      0.14,      0.14,     -0.15,      7.82,      0.14,      0.13,     -0.06,      1.50,      0.22,      0.22,      0.55,      0.17,      0.16,      1.83,      0.16,      0.15,      1.29,      0.39,
edge_CHEMBL1086409_CHEMBL1084678,    -90.73,      0.38,      0.27,     -0.23,    -91.52,      0.31,      0.71,      0.70,    -92.98,      0.49,      0.46,      0.04,    -93.67,      0.81,      0.58,     -0.23,    -96.50,      0.80,      1.42,      0.85,    -94.77,      0.49,     13.06,      1.00,     -2.94,      0.89,      0.64,     -4.98,      0.86,      1.59,     -1.79,      0.69,     13.07,     -3.24,      1.00,
edge_CHEMBL1082248_CHEMBL1084678,   -110.75,      0.32,      0.29,     -0.16,   -112.42,      0.54,      0.56,      0.08,   -111.42,      0.61,      0.55,     -0.17,   -109.67,      0.68,      3.20,      0.98,   -108.78,      1.34,      4.03,      0.98,   -110.30,      0.25,     18.27,      1.00,      1.08,      0.75,      3.21,      3.64,      1.44,      4.07,      1.12,      0.66,     18.28,      1.95,      0.92,
edge_CHEMBL1082248_CHEMBL1086410,    -15.11,      0.09,      0.08,     -0.02,    -15.07,      0.09,      0.09,     -0.07,    -14.96,      0.08,      0.08,     -0.04,    -12.84,      0.20,      0.16,     -0.23,    -11.77,      0.21,      0.42,      0.56,    -14.38,      0.20,      0.32,      0.43,      2.27,      0.22,      0.18,      3.30,      0.23,      0.43,      0.58,      0.22,      0.33,      2.05,      0.80,
edge_CHEMBL1082248_CHEMBL1083517,    -43.38,      0.10,      0.09,     -0.01,    -43.22,      0.10,      0.10,     -0.07,    -43.36,      0.10,      0.10,      0.01,    -41.24,      0.16,      0.19,      0.05,    -41.66,      0.14,      0.13,     -0.07,    -41.45,      0.19,      0.27,      0.33,      2.14,      0.19,      0.21,      1.56,      0.17,      0.16,      1.91,      0.21,      0.29,      1.87,      0.19,
edge_CHEMBL1082248_CHEMBL1084143,   -122.65,      0.66,      0.54,     -0.05,   -124.02,      0.58,      0.74,      0.29,   -123.75,      0.24,      0.85,      0.83,   -125.34,      0.83,      0.65,     -0.06,   -124.48,      0.47,     61.79,      1.00,   -119.97,      0.50,     14.55,      1.00,     -2.69,      1.06,      0.85,     -0.46,      0.75,     61.79,      3.78,      0.55,     14.57,      0.21,      1.94,
