leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_338_165,     38.86,      0.19,      0.17,     -0.16,     38.98,      0.17,      0.17,     -0.01,     38.87,      0.18,      0.16,     -0.09,     45.74,      0.13,      0.14,     -0.10,     44.37,      0.18,      0.25,      0.18,     46.41,      0.18,      0.22,      0.24,      6.88,      0.23,      0.22,      5.39,      0.25,      0.30,      7.54,      0.25,      0.27,      6.61,      0.64,
edge_338_215,     37.40,      0.13,      0.16,      0.14,     37.22,      0.18,      0.16,     -0.10,     36.89,      0.16,      0.17,      0.02,     40.81,      0.71,      0.60,     -0.05,     40.99,      0.33,      0.56,      0.55,     42.04,      0.22,      0.89,      0.91,      3.40,      0.72,      0.63,      3.77,      0.38,      0.58,      5.15,      0.27,      0.91,      4.11,      0.59,
edge_338_163,     24.93,      0.16,      0.17,      0.01,     24.61,      0.18,      0.18,     -0.12,     24.61,      0.15,      0.17,      0.01,     29.09,      0.13,      0.16,      0.28,     29.01,      0.15,      0.14,     -0.14,     28.79,      0.19,      0.22,      0.20,      4.16,      0.20,      0.24,      4.40,      0.23,      0.23,      4.18,      0.24,      0.28,      4.25,      0.13,
edge_43_235,     43.35,      0.23,      0.21,     -0.17,     43.84,      0.19,      0.22,      0.12,     43.79,      0.28,      0.23,     -0.06,     39.23,      0.20,      0.21,      0.03,     40.01,      0.14,      0.15,     -0.02,     39.70,      0.25,      0.22,     -0.19,     -4.12,      0.31,      0.29,     -3.82,      0.24,      0.26,     -4.09,      0.38,      0.31,     -4.01,      0.19,
edge_43_54,   -106.43,      0.12,      0.10,     -0.53,   -104.56,      0.16,      0.16,      0.00,   -104.47,      0.15,      0.16,      0.07,   -110.35,      0.25,      0.20,     -0.11,   -111.42,      0.17,      0.13,     -0.37,   -111.75,      0.21,      0.12,     -0.45,     -3.93,      0.28,      0.22,     -6.85,      0.23,      0.20,     -7.28,      0.26,      0.20,     -6.02,      1.06,
edge_43_215,    -46.53,      0.14,      0.12,     -0.11,    -47.27,      0.17,      0.10,     -0.45,    -46.50,      0.14,      0.11,     -0.21,    -51.85,      0.42,      0.85,      0.77,    -53.47,      0.28,      0.66,      0.78,    -53.65,      0.80,      0.85,      0.66,     -5.32,      0.44,      0.86,     -6.20,      0.33,      0.67,     -7.14,      0.81,      0.86,     -6.22,      0.55,
edge_43_155,    -62.49,      0.08,      0.09,     -0.02,    -62.59,      0.10,      0.11,      0.09,    -62.50,      0.09,      0.09,      0.05,    -60.46,      0.14,      0.21,      0.40,    -61.07,      0.10,      0.12,      0.26,    -61.97,      0.10,      0.10,      0.11,      2.03,      0.16,      0.22,      1.52,      0.14,      0.16,      0.54,      0.13,      0.13,      1.36,      0.44,
edge_43_25,     31.03,      0.08,      0.10,      0.15,     30.82,      0.11,      0.10,     -0.10,     31.21,      0.10,      0.09,     -0.10,     30.00,      0.12,      0.11,     -0.04,     31.09,      0.09,      0.20,      0.59,     30.02,      0.10,      0.10,     -0.01,     -1.03,      0.14,      0.15,      0.27,      0.14,      0.22,     -1.19,      0.14,      0.14,     -0.65,      0.47,
edge_235_1,   -125.09,      0.39,      0.37,     -0.06,   -124.63,      0.34,      0.36,     -0.00,   -123.86,      0.28,      0.36,      0.17,   -123.29,      0.15,      0.16,      0.04,   -121.70,      0.37,      0.37,     -0.02,   -123.77,      0.31,      0.32,      0.06,      1.80,      0.42,      0.40,      2.93,      0.50,      0.52,      0.09,      0.42,      0.48,      1.61,      0.85,
edge_235_54,   -145.46,      0.13,      0.17,      0.13,   -145.39,      0.18,      0.18,      0.09,   -145.36,      0.16,      0.19,      0.08,   -146.52,      0.13,      0.12,     -0.07,   -146.31,      0.18,      0.20,      0.02,   -144.61,      0.21,      0.27,      0.09,     -1.06,      0.18,      0.21,     -0.92,      0.26,      0.27,      0.75,      0.27,      0.33,     -0.41,      0.58,
edge_234_227,     29.03,      0.22,      0.36,      0.46,     28.94,      0.30,      0.32,     -0.05,     29.22,      0.34,      0.27,     -0.22,     27.53,      0.12,      0.12,     -0.10,     28.36,      0.08,      0.07,     -0.39,     27.90,      0.07,      0.09,      0.14,     -1.50,      0.25,      0.38,     -0.59,      0.31,      0.32,     -1.32,      0.35,      0.29,     -1.13,      0.31,
edge_234_289,    -29.91,      0.22,      0.34,      0.36,    -29.46,      0.27,      0.38,      0.34,    -30.28,      0.24,      0.30,      0.23,    -31.24,      0.08,      0.09,      0.13,    -30.82,      0.07,      0.07,      0.01,    -30.65,      0.08,      0.09,      0.11,     -1.32,      0.24,      0.35,     -1.37,      0.28,      0.38,     -0.37,      0.25,      0.32,     -1.02,      0.35,
edge_30_42,     42.60,      0.06,      0.06,     -0.03,     42.57,      0.06,      0.06,     -0.01,     42.54,      0.06,      0.06,      0.03,     42.87,      0.10,      0.11,      0.03,     42.63,      0.11,      0.16,      0.28,     42.69,      0.11,      0.15,      0.31,      0.27,      0.12,      0.12,      0.06,      0.13,      0.17,      0.15,      0.12,      0.16,      0.16,      0.08,
edge_30_84,    -12.36,      0.06,      0.06,     -0.13,    -12.14,      0.09,      0.07,     -0.04,    -11.96,      0.07,      0.07,      0.06,     -5.52,      0.07,      0.11,      0.28,     -5.57,      0.11,      0.12,      0.13,     -5.85,      0.11,      0.09,     -0.33,      6.84,      0.10,      0.13,      6.57,      0.14,      0.14,      6.12,      0.13,      0.11,      6.51,      0.22,
edge_30_251,    -22.58,      0.22,      0.19,     -0.10,    -22.73,      0.13,      0.16,      0.13,    -22.16,      0.23,      0.19,     -0.15,    -26.06,      0.54,      0.55,      0.05,    -29.43,      0.41,      0.44,      0.14,    -27.32,      0.27,      0.27,      0.06,     -3.48,      0.58,      0.59,     -6.70,      0.43,      0.47,     -5.16,      0.35,      0.33,     -5.11,      0.95,
edge_30_25,     99.50,      0.10,      0.10,      0.03,     98.82,      0.11,      0.10,     -0.04,     99.33,      0.09,      0.12,      0.25,     99.28,      0.16,      0.19,      0.19,     99.98,      0.24,      0.50,      0.61,    100.64,      0.16,      0.27,      0.35,     -0.22,      0.19,      0.22,      1.17,      0.27,      0.51,      1.31,      0.19,      0.30,      0.75,      0.49,
edge_1_155,     22.48,      0.16,      0.15,     -0.01,     22.28,      0.13,      0.13,      0.14,     22.16,      0.15,      0.13,     -0.06,     23.60,      0.07,      0.08,      0.09,     23.62,      0.06,      0.06,      0.01,     23.52,      0.09,      0.09,      0.02,      1.12,      0.17,      0.17,      1.34,      0.14,      0.15,      1.36,      0.17,      0.16,      1.27,      0.11,
edge_1_7a,      3.97,      0.12,      0.11,     -0.08,      3.75,      0.09,      0.11,      0.07,      4.01,      0.12,      0.13,      0.04,      3.11,      0.11,      0.11,     -0.06,      2.62,      0.14,      0.14,     -0.00,      3.52,      0.10,      0.16,      0.35,     -0.86,      0.16,      0.15,     -1.13,      0.17,      0.18,     -0.49,      0.16,      0.20,     -0.82,      0.20,
edge_1_254,     38.21,      0.39,      0.30,     -0.23,     39.50,      0.17,      0.17,     -0.06,     39.66,      0.23,      0.18,     -0.31,     36.09,      0.26,      0.46,      0.59,     33.84,      0.15,      0.21,      0.26,     33.78,      0.12,      0.16,      0.17,     -2.11,      0.47,      0.55,     -5.66,      0.23,      0.27,     -5.88,      0.26,      0.24,     -4.55,      1.23,
edge_1_256,    -53.70,      0.23,      0.19,     -0.15,    -53.99,      0.24,      0.19,     -0.17,    -53.82,      0.27,      0.19,     -0.25,    -59.24,      0.14,      0.14,     -0.09,    -57.65,      0.46,      0.37,     -0.13,    -60.80,      0.16,      0.19,      0.16,     -5.53,      0.27,      0.24,     -3.66,      0.52,      0.42,     -6.98,      0.31,      0.27,     -5.39,      0.96,
edge_1_15,     60.78,      0.11,      0.12,     -0.06,     60.89,      0.14,      0.11,     -0.11,     61.08,      0.11,      0.10,     -0.09,     60.07,      0.07,      0.07,     -0.05,     60.64,      0.08,      0.09,      0.19,     59.95,      0.06,      0.07,      0.04,     -0.71,      0.13,      0.13,     -0.25,      0.16,      0.15,     -1.12,      0.12,      0.12,     -0.70,      0.26,
edge_237_227,     -4.62,      0.80,      0.61,     -0.57,     -4.75,      0.47,      0.45,     -0.01,     -5.82,      0.36,      0.34,     -0.07,    -11.84,      0.49,      5.36,      0.99,    -12.67,      0.32,      2.12,      0.97,     -9.05,      0.54,      0.44,     -0.15,     -7.22,      0.94,      5.39,     -7.92,      0.57,      2.16,     -3.23,      0.64,      0.56,     -6.12,      1.49,
edge_237_31,     10.33,      0.07,      0.07,     -0.06,     10.22,      0.07,      0.09,      0.05,      9.78,      0.08,      0.12,      0.32,      7.06,      0.12,      0.09,     -0.38,      6.28,      0.11,      0.19,      0.43,      8.75,      0.16,      0.21,      0.20,     -3.27,      0.14,      0.11,     -3.94,      0.14,      0.21,     -1.02,      0.18,      0.24,     -2.75,      0.89,
edge_237_41,    -28.14,      0.10,      0.16,      0.38,    -27.65,      0.13,      0.13,      0.08,    -27.72,      0.12,      0.13,      0.07,    -31.26,      0.24,      0.39,      0.55,    -29.92,      0.16,      0.24,      0.43,    -32.02,      0.18,      0.27,      0.40,     -3.12,      0.26,      0.42,     -2.27,      0.21,      0.28,     -4.30,      0.21,      0.30,     -3.23,      0.60,
edge_237_336,    -93.22,      0.34,      0.38,      0.08,    -92.84,      0.33,      0.59,      0.62,    -92.71,      0.33,      0.38,      0.06,    -99.48,      0.77,      0.70,     -0.40,    -96.72,      0.38,     11.08,      1.00,    -99.55,      0.46,      0.40,     -0.04,     -6.26,      0.85,      0.79,     -3.88,      0.51,     11.09,     -6.85,      0.57,      0.55,     -5.66,      0.97,
edge_237_290,     35.83,      0.31,      0.30,     -0.02,     36.22,      0.22,      0.29,      0.40,     36.60,      0.26,      0.22,     -0.20,     29.22,      0.96,      0.68,     -0.24,     28.60,      0.28,      0.18,     -0.46,     27.41,      0.16,      0.11,     -0.59,     -6.61,      1.01,      0.74,     -7.61,      0.35,      0.34,     -9.19,      0.30,      0.25,     -7.81,      0.81,
edge_237_254,    -23.90,      0.12,      0.16,      0.12,    -24.00,      0.15,      0.14,     -0.06,    -22.12,      0.19,      0.12,     -0.43,    -29.69,      0.15,      0.16,     -0.02,    -30.20,      0.22,      0.32,      0.29,    -29.97,      0.12,      0.14,      0.11,     -5.79,      0.19,      0.22,     -6.20,      0.26,      0.35,     -7.86,      0.22,      0.18,     -6.62,      0.63,
