leg,water,water,water,water,complex,complex,complex,complex,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,1,1,1,1,1,1,1,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr
edge_7395_3484,,,,,,,,,,,,,,
edge_7395_0738,    -19.53,      0.08,      0.09,      0.08,    -17.66,      0.31,      0.46,      0.39,      1.87,      0.32,      0.47,      1.87,      0.32,
edge_8041_4415,      5.64,      0.05,      0.05,      0.04,      4.38,      0.14,      0.13,      0.01,     -1.26,      0.15,      0.14,     -1.26,      0.15,
edge_4189_4415,      6.45,      0.05,      0.05,      0.04,      5.07,      0.12,      0.14,      0.24,     -1.38,      0.13,      0.15,     -1.38,      0.13,
edge_1939_3032,     32.10,      0.06,      0.06,     -0.04,     32.26,      0.12,      0.10,     -0.19,      0.16,      0.13,      0.12,      0.16,      0.13,
edge_5544_3806,    -50.74,      0.10,      0.09,      0.00,    -49.59,      0.23,      0.29,      0.11,      1.15,      0.25,      0.30,      1.15,      0.25,
edge_4754_4147,    -17.67,      0.10,      0.11,      0.02,    -16.30,      0.18,      0.19,      0.05,      1.37,      0.21,      0.22,      1.37,      0.21,
edge_3806_6221,    -14.78,      0.09,      0.09,     -0.05,    -12.30,      0.37,      0.44,      0.24,      2.48,      0.38,      0.45,      2.48,      0.38,
edge_3806_0340,    -20.08,      0.12,      0.14,      0.15,    -16.48,      0.56,      1.41,      0.89,      3.60,      0.57,      1.42,      3.60,      0.57,
edge_3806-mvEster_0340,    -21.33,      0.09,      0.09,      0.00,    -18.42,      0.23,      0.37,      0.45,      2.91,      0.25,      0.38,      2.91,      0.25,
edge_3806_1423,    -14.54,      0.08,      0.10,      0.12,    -12.77,      0.36,      0.45,      0.19,      1.77,      0.37,      0.46,      1.77,      0.37,
edge_3806-mvEster_1423,    -14.34,      0.08,      0.09,      0.01,    -12.53,      0.39,      0.62,      0.57,      1.81,      0.40,      0.63,      1.81,      0.40,
edge_3806_5973,,,,,,,,,,,,,,
edge_3806-mvEster_5973,,,,,,,,,,,,,,
edge_4096_4147,      8.71,      0.06,      0.06,     -0.04,      9.59,      0.12,      0.12,     -0.06,      0.88,      0.13,      0.13,      0.88,      0.13,
edge_4147_2750,     -6.28,      0.07,      0.06,      0.04,     -6.98,      0.12,      0.11,     -0.12,     -0.70,      0.14,      0.13,     -0.70,      0.14,
edge_4147_7846,      9.94,      0.06,      0.06,      0.03,      8.73,      0.10,      0.09,     -0.09,     -1.21,      0.12,      0.11,     -1.21,      0.12,
edge_6694_4147,     -0.42,      0.08,      0.09,      0.06,      1.07,      0.14,      0.14,     -0.10,      1.49,      0.16,      0.17,      1.49,      0.16,
edge_1038_9211,    -38.75,      0.18,      0.32,      0.48,    -35.73,      0.22,      0.32,      0.34,      3.02,      0.28,      0.45,      3.02,      0.28,
edge_1038_0309,     55.91,      0.10,      0.10,     -0.04,     58.80,      0.15,      0.13,     -0.06,      2.89,      0.18,      0.16,      2.89,      0.18,
edge_1038_0848,    -35.60,      0.18,      0.26,      0.22,    -35.53,      0.45,     43.43,      1.00,      0.07,      0.48,     43.43,      0.07,      0.48,
edge_9211_1056,     56.17,      0.14,      0.17,      0.19,     54.30,      0.21,      0.25,      0.14,     -1.87,      0.25,      0.30,     -1.87,      0.25,
edge_9211_9237,    -53.23,      0.10,      0.18,      0.38,    -51.87,      0.20,      0.21,     -0.02,      1.36,      0.22,      0.28,      1.36,      0.22,
edge_9211_0848,     14.02,      0.29,      0.47,      0.41,     12.13,      0.67,      3.50,      0.98,     -1.89,      0.73,      3.53,     -1.89,      0.73,
edge_2333_9211,    -43.69,      0.13,      0.19,      0.34,    -38.07,      0.14,      0.11,     -0.31,      5.62,      0.19,      0.22,      5.62,      0.19,
edge_2333_0309,     54.09,      0.11,      0.12,      0.02,     53.37,      0.30,      4.01,      0.99,     -0.72,      0.32,      4.01,     -0.72,      0.32,
edge_2333_0848,    -39.05,      0.24,      0.32,      0.24,    -37.56,      0.46,      0.73,      0.67,      1.49,      0.52,      0.80,      1.49,      0.52,
edge_0395_8161,    -10.51,      0.27,      0.38,      0.38,     -8.16,      0.69,      1.10,      0.77,      2.35,      0.74,      1.16,      2.35,      0.74,
edge_8414_1038,     20.00,      0.20,      0.30,      0.37,     19.14,      0.82,      2.43,      0.95,     -0.86,      0.84,      2.45,     -0.86,      0.84,
edge_8414_1056,     34.98,      0.45,      0.43,     -0.08,     31.82,      0.85,      0.66,      0.22,     -3.16,      0.96,      0.79,     -3.16,      0.96,
edge_8414_2333,     23.48,      0.32,      0.30,      0.10,     21.85,      0.32,      1.05,      0.86,     -1.63,      0.45,      1.09,     -1.63,      0.45,
edge_8414_5644,     32.06,      0.25,      0.24,     -0.04,     29.15,      0.41,      0.43,     -0.01,     -2.91,      0.48,      0.49,     -2.91,      0.48,
edge_5644_9211,    -72.61,      0.12,      0.15,      0.24,    -70.93,      0.14,      0.12,     -0.05,      1.68,      0.18,      0.19,      1.68,      0.18,
edge_5644_0309,     21.05,      0.08,      0.10,      0.10,     19.76,      0.15,      0.12,     -0.22,     -1.29,      0.17,      0.16,     -1.29,      0.17,
edge_5670_9211,      4.94,      0.09,      0.09,      0.04,      8.56,      0.13,      0.11,     -0.30,      3.62,      0.16,      0.14,      3.62,      0.16,
edge_5687_1801,     70.04,      0.06,      0.06,      0.01,     68.38,      0.12,      0.19,      0.44,     -1.66,      0.13,      0.20,     -1.66,      0.13,
