leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_50_60,    -15.17,      0.08,      0.08,      0.01,    -15.46,      0.07,      0.07,      0.01,    -15.32,      0.08,      0.08,     -0.06,    -16.00,      0.15,      0.12,     -0.27,    -15.24,      0.24,      0.33,      0.30,    -13.35,      0.15,      0.15,     -0.01,     -0.83,      0.17,      0.14,      0.22,      0.25,      0.34,      1.97,      0.17,      0.17,      0.45,      0.82,      0.83
edge_56_35,     -4.88,      0.10,      0.10,     -0.04,     -5.03,      0.09,      0.09,      0.04,     -5.35,      0.09,      0.10,      0.07,     -2.36,      0.15,      0.13,     -0.18,     -2.78,      0.13,      0.20,      0.29,     -3.65,      0.19,      0.14,     -0.27,      2.52,      0.18,      0.16,      2.25,      0.16,      0.22,      1.70,      0.21,      0.17,      2.16,      0.26,      0.25
edge_65_60,      1.14,      0.07,      0.07,      0.10,      1.24,      0.08,      0.08,     -0.01,      1.21,      0.08,      0.08,     -0.02,      2.15,      0.12,      0.12,      0.07,      2.18,      0.08,      0.09,     -0.03,      1.97,      0.10,      0.13,      0.28,      1.01,      0.14,      0.14,      0.94,      0.11,      0.12,      0.76,      0.13,      0.15,      0.90,      0.09,      0.10
edge_26_57,    -28.91,      0.08,      0.08,     -0.03,    -28.90,      0.08,      0.08,     -0.01,    -28.76,      0.10,      0.09,     -0.02,    -28.22,      0.11,      0.11,     -0.04,    -28.00,      0.14,      0.11,     -0.12,    -28.66,      0.14,      0.15,      0.23,      0.69,      0.14,      0.14,      0.90,      0.16,      0.14,      0.10,      0.17,      0.17,      0.56,      0.24,      0.25
edge_58_60,     -9.60,      0.09,      0.09,     -0.02,     -9.55,      0.09,      0.10,      0.07,     -9.28,      0.07,      0.09,      0.11,     -7.41,      0.23,      0.19,     -0.00,     -7.62,      0.13,      0.21,      0.40,     -8.55,      0.16,      0.17,      0.06,      2.19,      0.25,      0.21,      1.93,      0.16,      0.23,      0.73,      0.17,      0.19,      1.62,      0.45,      0.46
edge_62_45,    -82.57,      0.17,      0.13,     -0.09,    -82.38,      0.13,      0.13,      0.04,    -82.75,      0.14,      0.14,     -0.07,    -83.94,      0.26,      0.37,      0.51,    -82.99,      0.35,      0.44,      0.19,    -85.18,      0.20,      0.20,      0.00,     -1.37,      0.31,      0.39,     -0.61,      0.37,      0.46,     -2.43,      0.24,      0.24,     -1.47,      0.54,      0.55
edge_60_36,      9.25,      0.09,      0.08,     -0.06,      9.24,      0.08,      0.09,      0.01,      9.19,      0.07,      0.09,      0.04,      9.52,      0.22,      0.27,      0.25,     11.35,      0.22,      0.24,      0.07,      9.81,      0.13,      0.19,      0.32,      0.27,      0.24,      0.28,      2.11,      0.23,      0.26,      0.62,      0.15,      0.21,      1.00,      0.57,      0.58
edge_30_27,      4.17,      0.07,      0.07,      0.08,      4.22,      0.07,      0.06,     -0.00,      4.37,      0.08,      0.08,      0.03,      3.35,      0.18,      0.28,      0.37,      4.95,      0.12,      0.13,      0.04,      3.23,      0.18,      0.18,     -0.05,     -0.82,      0.19,      0.29,      0.73,      0.14,      0.14,     -1.14,      0.20,      0.20,     -0.41,      0.58,      0.59
edge_33_27,     -2.16,      0.10,      0.09,     -0.03,     -1.89,      0.07,      0.07,     -0.00,     -1.88,      0.09,      0.09,     -0.08,     -1.76,      0.20,      0.25,      0.19,     -1.05,      0.24,      0.19,     -0.11,     -1.02,      0.19,      0.28,      0.32,      0.40,      0.22,      0.27,      0.84,      0.25,      0.20,      0.86,      0.21,      0.29,      0.70,      0.18,      0.18
edge_43_27,     -2.97,      0.11,      0.10,     -0.03,     -3.14,      0.11,      0.10,     -0.15,     -3.16,      0.10,      0.10,     -0.13,     -2.29,      0.22,      0.32,      0.49,     -4.43,      0.17,      0.23,      0.25,     -2.94,      0.23,      0.19,     -0.10,      0.68,      0.25,      0.34,     -1.29,      0.20,      0.25,      0.22,      0.25,      0.21,     -0.13,      0.60,      0.60
edge_67_58,    -28.54,      0.10,      0.10,      0.09,    -28.55,      0.08,      0.09,      0.05,    -28.69,      0.09,      0.09,     -0.00,    -30.49,      0.13,      0.12,     -0.06,    -30.41,      0.17,      0.17,      0.02,    -29.45,      0.14,      0.15,      0.06,     -1.95,      0.16,      0.16,     -1.86,      0.19,      0.19,     -0.76,      0.17,      0.17,     -1.52,      0.39,      0.39
edge_67_32,    -35.32,      0.08,      0.09,      0.01,    -35.14,      0.07,      0.08,      0.08,    -35.23,      0.08,      0.07,     -0.06,    -31.59,      0.24,      0.88,      0.90,    -30.13,      0.17,      0.20,      0.07,    -32.24,      0.27,      0.29,      0.17,      3.73,      0.25,      0.88,      5.01,      0.18,      0.22,      2.99,      0.28,      0.30,      3.91,      0.60,      0.66
edge_30_40,      1.63,      0.14,      0.14,     -0.03,      1.73,      0.15,      0.13,     -0.07,      1.50,      0.12,      0.13,      0.10,     -0.89,      0.19,      0.79,      0.89,      0.94,      0.35,      0.81,      0.76,     -0.34,      0.60,      0.50,     -0.28,     -2.52,      0.24,      0.80,     -0.79,      0.38,      0.82,     -1.84,      0.61,      0.52,     -1.72,      0.55,      0.60
edge_38_60,    -13.72,      0.11,      0.12,      0.06,    -13.75,      0.15,      0.13,     -0.10,    -13.75,      0.10,      0.12,      0.07,    -15.23,      0.67,      0.86,      0.63,    -13.69,      0.22,      0.51,      0.72,    -13.04,      0.29,      0.60,      0.67,     -1.51,      0.68,      0.87,      0.06,      0.27,      0.53,      0.71,      0.31,      0.61,     -0.25,      0.67,      0.70
edge_41_35,     -9.08,      0.13,      0.14,      0.05,     -8.99,      0.13,      0.14,      0.05,     -9.09,      0.10,      0.12,      0.09,    -10.57,      0.51,      3.18,      0.98,    -10.10,      0.49,      1.70,      0.93,     -8.17,      0.37,      0.43,      0.05,     -1.49,      0.53,      3.18,     -1.11,      0.51,      1.71,      0.92,      0.38,      0.45,     -0.56,      0.78,      1.27
edge_54_23,     -6.83,      0.08,      0.08,     -0.04,     -6.70,      0.09,      0.08,     -0.02,     -6.75,      0.08,      0.08,      0.01,     -5.84,      0.14,      0.12,     -0.14,     -5.26,      0.12,      0.11,     -0.01,     -5.27,      0.10,      0.10,     -0.01,      0.99,      0.16,      0.14,      1.44,      0.15,      0.14,      1.48,      0.13,      0.13,      1.30,      0.17,      0.17
edge_56_60,     -8.51,      0.09,      0.09,     -0.01,     -8.57,      0.09,      0.10,      0.03,     -8.59,      0.10,      0.09,     -0.03,     -8.60,      0.09,      0.09,     -0.02,     -7.81,      0.13,      0.13,      0.13,     -9.10,      0.10,      0.09,     -0.13,     -0.09,      0.13,      0.13,      0.76,      0.16,      0.16,     -0.51,      0.14,      0.13,      0.05,      0.38,      0.38
edge_66_42,      6.87,      0.08,      0.09,      0.01,      6.84,      0.06,      0.07,      0.05,      6.83,      0.09,      0.11,      0.07,      8.38,      0.11,      0.09,     -0.11,      8.39,      0.10,      0.10,     -0.04,      9.28,      0.09,      0.11,      0.24,      1.51,      0.14,      0.13,      1.55,      0.12,      0.12,      2.45,      0.13,      0.16,      1.84,      0.31,      0.31
edge_29_40,    -12.52,      0.65,      0.77,      0.48,    -11.50,      0.59,      0.61,      0.16,    -11.66,      0.35,      0.45,      0.29,    -13.09,      1.15,     17.65,      1.00,    -16.43,      0.91,      1.79,      0.91,     -9.85,      0.65,    540.33,      1.00,     -0.57,      1.32,     17.67,     -4.93,      1.08,      1.89,      1.81,      0.74,    540.33,     -1.23,      2.06,    139.40
edge_26_44,    -26.90,      0.06,      0.07,      0.04,    -26.96,      0.08,      0.08,     -0.03,    -26.91,      0.09,      0.08,     -0.02,    -26.28,      0.14,      0.13,     -0.02,    -26.22,      0.08,      0.12,      0.17,    -27.13,      0.19,      0.18,      0.05,      0.62,      0.15,      0.15,      0.74,      0.11,      0.14,     -0.22,      0.21,      0.20,      0.38,      0.31,      0.31
edge_49_35,    -10.17,      0.06,      0.07,      0.06,    -10.30,      0.08,      0.08,      0.00,    -10.25,      0.07,      0.08,      0.05,     -8.87,      0.14,      0.18,      0.18,     -7.91,      0.21,      0.17,     -0.13,     -8.17,      0.15,      0.17,      0.10,      1.30,      0.15,      0.19,      2.39,      0.22,      0.19,      2.08,      0.17,      0.19,      1.92,      0.34,      0.34
edge_29_35,    -10.42,      0.25,      3.65,      0.99,     -9.73,      0.39,      2.98,      0.98,     -7.31,      0.49,      0.38,     -0.23,    -10.37,      0.71,      0.48,     -0.35,    -14.42,      0.40,      5.86,      1.00,    -10.70,      0.65,      3.69,      0.99,      0.05,      0.75,      3.68,     -4.69,      0.56,      6.57,     -3.39,      0.81,      3.71,     -2.68,      1.44,      2.76
edge_42_51,     10.16,      0.10,      0.08,      0.05,     10.06,      0.08,      0.09,      0.08,     10.14,      0.08,      0.08,      0.06,      9.03,      0.16,      0.15,     -0.07,     10.69,      0.14,      0.16,      0.10,     10.28,      0.18,      0.22,      0.19,     -1.13,      0.19,      0.17,      0.63,      0.16,      0.18,      0.14,      0.20,      0.23,     -0.12,      0.53,      0.53
edge_39_32,    -10.41,      0.12,      0.11,     -0.06,    -10.51,      0.11,      0.11,     -0.05,    -10.41,      0.10,      0.09,      0.00,    -10.52,      0.55,      0.47,     -0.01,    -10.76,      0.31,      0.35,      0.13,    -11.14,      0.57,      0.70,      0.52,     -0.11,      0.56,      0.48,     -0.25,      0.33,      0.37,     -0.73,      0.58,      0.71,     -0.36,      0.30,      0.32
edge_35_37,      0.01,      0.07,      0.07,      0.07,     -0.02,      0.08,      0.08,     -0.04,     -0.02,      0.07,      0.08,      0.04,     -2.18,      0.10,      0.11,      0.12,     -0.34,      0.17,      0.32,      0.62,     -1.93,      0.12,      0.16,      0.30,     -2.19,      0.12,      0.13,     -0.32,      0.19,      0.33,     -1.91,      0.14,      0.18,     -1.47,      0.58,      0.59
edge_28_35,     -5.30,      0.13,      0.13,     -0.02,     -5.11,      0.11,      0.11,     -0.06,     -5.56,      0.14,      0.16,      0.03,     -5.85,      0.22,      0.21,     -0.04,     -5.42,      0.23,      0.35,      0.41,     -7.19,      0.14,      0.37,      0.68,     -0.55,      0.26,      0.25,     -0.31,      0.25,      0.37,     -1.63,      0.20,      0.40,     -0.83,      0.42,      0.42
