#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_43_48  2.38  0.68
edge_43_44  1.74  0.42
edge_30_56  0.01  1.37
edge_30_70  0.08  1.04
edge_65_34  -0.38  0.31
edge_65_70  -2.68  0.29
edge_65_64  0.13  0.44
edge_65_63  -0.30  0.26
edge_65_20  -0.45  0.48
edge_49_58  -3.81  0.47
edge_49_42  -2.18  0.50
edge_49_44  -1.11  1.16
edge_24_69  -3.62  0.25
edge_24_70  -3.32  0.26
edge_24_34  -1.34  0.51
edge_67_56  -0.15  0.67
edge_67_57  0.94  0.54
edge_67_64  1.90  0.31
edge_62_70  -1.95  0.23
edge_62_31  -0.75  0.14
edge_56_69  0.90  0.35
edge_59_35  -1.39  0.45
edge_59_52  1.05  0.77
edge_59_47  2.56  0.61
edge_38_26  1.55  0.79
edge_38_41  0.14  0.24
edge_38_39  1.39  0.15
edge_31_19  0.62  1.28
edge_48_47  0.72  0.36
edge_48_20  -1.85  0.28
edge_58_68  -1.16  0.16
edge_58_60  0.76  0.12
edge_58_63  0.41  0.24
edge_41_44  0.99  0.71
edge_29_54  1.18  0.31
edge_29_63  0.15  0.76
edge_29_70  -1.83  0.37
edge_29_23  2.12  0.54
edge_54_36  -0.88  0.65
edge_54_70  -3.03  0.30
edge_47_46  -0.46  0.24
edge_47_20  -3.28  0.69
edge_26_69  -2.75  0.21
edge_26_70  -2.98  0.40
edge_55_63  2.99  0.10
edge_55_23  3.84  0.16
edge_20_39  2.28  0.53
edge_20_42  -0.52  0.17
edge_57_70  -1.17  0.08
edge_35_69  -0.77  0.15
edge_44_68  -4.25  0.44
edge_63_36  -0.52  0.48
edge_69_53  3.17  0.32
edge_69_23  2.95  0.69
edge_69_60  1.86  0.32
edge_52_53  1.14  1.08
edge_52_19  2.50  0.29
edge_52_46  3.55  0.45
edge_19_37  -2.98  0.54
edge_19_70  -4.21  0.38
edge_68_70  0.50  0.28
edge_68_53  2.90  0.93
edge_33_23  1.32  0.10
edge_33_36  1.18  0.61
edge_33_70  -2.08  0.12
edge_39_37  -3.73  0.64
