leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_CHEMBL3265015_CHEMBL3265011,     -5.83,      0.09,      0.09,     -0.10,     -6.42,      0.10,      0.11,      0.03,     -6.36,      0.13,      0.14,      0.07,     -4.51,      0.39,      0.35,     -0.12,     -5.14,      0.19,      0.25,      0.11,     -4.10,      0.28,      0.28,      0.00,      1.32,      0.40,      0.36,      1.28,      0.21,      0.27,      2.26,      0.31,      0.31,      1.62,      0.35,
edge_CHEMBL3265015_CHEMBL3265017,     41.70,      0.10,      0.10,     -0.02,     41.84,      0.10,      0.10,     -0.05,     41.59,      0.09,      0.10,      0.05,     40.11,      0.26,      0.31,      0.18,     40.20,      0.25,      0.57,      0.70,     38.40,      0.31,      0.39,      0.20,     -1.59,      0.28,      0.33,     -1.64,      0.27,      0.58,     -3.19,      0.32,      0.40,     -2.14,      0.53,
edge_CHEMBL3265015_CHEMBL3265009,     -6.05,      0.13,      0.13,     -0.06,     -6.32,      0.15,      0.16,      0.01,     -6.10,      0.13,      0.13,     -0.03,     -9.08,      0.28,      0.31,      0.16,     -6.39,      0.32,      0.25,     -0.27,     -8.19,      0.40,      0.41,     -0.06,     -3.03,      0.31,      0.34,     -0.07,      0.35,      0.30,     -2.09,      0.42,      0.43,     -1.73,      0.89,
edge_CHEMBL3265015_CHEMBL3264999,    -26.48,      0.23,      0.30,      0.06,    -27.32,      0.17,      0.25,      0.22,    -26.42,      0.30,      0.25,     -0.05,    -30.23,      0.30,      1.54,      0.95,    -22.81,      1.72,    723.76,      1.00,    -30.72,      0.39,      1.35,      0.90,     -3.75,      0.38,      1.57,      4.51,      1.73,    723.76,     -4.30,      0.49,      1.37,     -1.18,      2.88,
edge_CHEMBL3265015_CHEMBL3265014,     -9.98,      0.15,      0.28,      0.46,     -9.45,      0.13,      0.23,      0.53,     -9.39,      0.21,      0.24,      0.21,     -9.24,      0.59,      1.18,      0.85,    -10.81,      0.37,      0.33,     -0.18,     -8.09,      0.55,      2.27,      0.95,      0.74,      0.61,      1.21,     -1.36,      0.39,      0.40,      1.30,      0.59,      2.28,      0.23,      0.85,
edge_CHEMBL3265015_CHEMBL3259820,      5.67,      0.08,      0.09,      0.00,      5.26,      0.11,      0.11,      0.10,      5.70,      0.08,      0.08,     -0.02,      0.84,      0.33,      0.90,      0.82,      3.23,      0.23,      0.34,      0.32,      1.80,      0.36,      0.45,      0.21,     -4.83,      0.34,      0.90,     -2.03,      0.25,      0.36,     -3.90,      0.37,      0.46,     -3.59,      0.83,
edge_CHEMBL3265031_CHEMBL3265024,     16.82,      0.31,      0.25,     -0.18,     16.85,      0.26,      0.27,      0.01,     16.71,      0.25,      0.23,     -0.11,     17.35,      0.29,      0.34,      0.17,     16.35,      0.66,      1.01,      0.68,     16.53,      0.26,      0.72,      0.78,      0.53,      0.42,      0.42,     -0.50,      0.71,      1.05,     -0.18,      0.36,      0.76,     -0.05,      0.38,
edge_CHEMBL3265031_CHEMBL3265037,     55.90,      0.21,      0.26,      0.18,     54.90,      0.12,      0.13,     -0.00,     54.78,      0.09,      0.10,     -0.02,     55.58,      0.20,      0.16,     -0.15,     56.28,      0.20,      0.20,     -0.10,     56.99,      0.32,      0.28,     -0.08,     -0.32,      0.29,      0.31,      1.38,      0.23,      0.24,      2.21,      0.33,      0.30,      1.09,      0.75,
edge_CHEMBL3265031_CHEMBL3265030_n,     31.91,      0.13,      0.13,      0.04,     32.03,      0.13,      0.14,      0.11,     31.95,      0.14,      0.13,     -0.08,     31.63,      0.13,      0.22,      0.22,     32.07,      0.22,      0.21,      0.03,     32.23,      0.21,      0.20,     -0.00,     -0.28,      0.18,      0.26,      0.04,      0.26,      0.25,      0.28,      0.25,      0.24,      0.01,      0.19,
edge_CHEMBL3265021_CHEMBL3265011,    -37.88,      0.10,      0.10,     -0.06,    -38.16,      0.09,      0.10,      0.01,    -38.01,      0.10,      0.10,      0.04,    -34.34,      0.37,      1.17,      0.85,    -33.22,      0.25,      1.27,      0.93,    -33.29,      0.36,      0.80,      0.75,      3.54,      0.38,      1.17,      4.94,      0.27,      1.27,      4.72,      0.37,      0.81,      4.40,      0.46,
edge_CHEMBL3265021_CHEMBL3265024,    -11.27,      0.20,      0.19,     -0.12,    -11.01,      0.16,      0.16,     -0.10,    -11.64,      0.18,      0.20,      0.09,    -11.35,      0.12,      0.10,     -0.10,    -11.88,      0.16,      0.16,      0.03,    -13.02,      0.14,      0.30,      0.60,     -0.08,      0.23,      0.21,     -0.87,      0.23,      0.23,     -1.38,      0.23,      0.36,     -0.78,      0.39,
edge_CHEMBL3265021_CHEMBL3265022,      2.10,      0.06,      0.06,      0.02,      2.61,      0.07,      0.06,     -0.16,      2.52,      0.07,      0.05,     -0.16,      2.98,      0.11,      0.10,     -0.11,      2.45,      0.10,      0.11,      0.11,      2.93,      0.07,      0.07,     -0.09,      0.88,      0.13,      0.12,     -0.16,      0.12,      0.13,      0.41,      0.10,      0.09,      0.38,      0.30,
edge_CHEMBL3265021_CHEMBL3265020,     -1.54,      0.07,      0.06,     -0.12,     -1.42,      0.06,      0.06,     -0.09,     -1.35,      0.06,      0.06,      0.01,      0.00,      0.09,      0.08,     -0.09,     -0.94,      0.07,      0.07,     -0.22,     -0.37,      0.08,      0.08,      0.02,      1.54,      0.11,      0.10,      0.48,      0.09,      0.09,      0.98,      0.10,      0.10,      1.00,      0.31,
edge_CHEMBL3265021_CHEMBL3265017,      9.69,      0.06,      0.06,      0.08,      9.65,      0.07,      0.06,     -0.10,      9.70,      0.07,      0.07,     -0.00,      9.69,      0.07,      0.10,      0.19,      9.53,      0.07,      0.07,      0.04,      9.85,      0.08,      0.07,     -0.06,      0.00,      0.09,      0.12,     -0.12,      0.10,      0.09,      0.15,      0.11,      0.10,      0.01,      0.09,
edge_CHEMBL3265021_CHEMBL3265035,      9.83,      0.32,      0.40,      0.13,     10.80,      0.29,      0.30,      0.17,     11.34,      0.33,      0.37,      0.03,     10.10,      0.34,      0.29,     -0.10,      7.30,      0.41,      0.65,      0.58,      8.08,      0.29,      0.42,      0.51,      0.27,      0.47,      0.49,     -3.50,      0.50,      0.72,     -3.26,      0.44,      0.56,     -2.16,      1.23,
edge_CHEMBL3265021_CHEMBL3265023,     -5.75,      0.12,      0.12,     -0.12,     -6.51,      0.16,      0.15,     -0.06,     -6.57,      0.14,      0.17,      0.09,     -6.91,      0.07,      0.08,     -0.01,     -7.05,      0.09,      0.09,      0.09,     -7.11,      0.07,      0.08,      0.10,     -1.16,      0.14,      0.14,     -0.54,      0.18,      0.17,     -0.54,      0.16,      0.19,     -0.75,      0.22,
edge_CHEMBL3265021_CHEMBL3265013,    -30.46,      0.10,      0.10,     -0.10,    -30.33,      0.12,      0.12,      0.01,    -30.43,      0.11,      0.08,     -0.20,    -29.53,      0.19,      0.22,      0.29,    -30.58,      0.15,      0.18,      0.17,    -29.66,      0.19,      0.26,      0.33,      0.93,      0.21,      0.24,     -0.25,      0.19,      0.22,      0.77,      0.22,      0.27,      0.48,      0.38,
edge_CHEMBL3264998_CHEMBL3264995,     48.95,      0.14,      0.15,      0.13,     48.37,      0.10,      0.12,      0.09,     48.11,      0.12,      0.12,      0.08,     47.36,      0.21,      0.28,      0.25,     47.93,      0.33,      0.31,     -0.10,     48.00,      0.25,      0.27,      0.03,     -1.59,      0.25,      0.32,     -0.44,      0.34,      0.33,     -0.11,      0.28,      0.30,     -0.71,      0.46,
edge_CHEMBL3264998_CHEMBL3265001,     27.95,      0.12,      0.11,     -0.06,     27.87,      0.12,      0.11,      0.06,     28.26,      0.12,      0.12,      0.07,     28.06,      0.17,      0.16,      0.03,     27.96,      0.25,      0.25,      0.07,     28.96,      0.13,      0.15,      0.04,      0.11,      0.21,      0.19,      0.09,      0.28,      0.27,      0.70,      0.18,      0.19,      0.30,      0.22,
edge_CHEMBL3265035_CHEMBL3265024,    -21.00,      0.26,      0.25,     -0.18,    -21.53,      0.34,      0.36,      0.15,    -21.31,      0.23,      0.35,      0.35,    -20.05,      0.28,      0.30,      0.08,    -19.44,      0.40,      0.41,      0.15,    -20.79,      0.29,      0.30,      0.15,      0.95,      0.38,      0.39,      2.09,      0.52,      0.55,      0.52,      0.37,      0.46,      1.19,      0.50,
edge_CHEMBL3265035_CHEMBL3264996,    -26.93,      0.43,      0.42,      0.15,    -26.55,      0.32,      0.39,      0.10,    -27.16,      0.48,      0.49,      0.10,    -28.32,      0.51,    233.23,      1.00,    -30.74,      0.45,    282.48,      1.00,    -27.50,      0.66,     21.82,      1.00,     -1.39,      0.67,    233.23,     -4.19,      0.55,    282.48,     -0.34,      0.82,     21.83,     -1.97,      1.18,
edge_CHEMBL3265013_CHEMBL3265020,     21.93,      0.09,      0.09,     -0.07,     21.75,      0.08,      0.10,      0.18,     21.50,      0.13,      0.12,     -0.01,     22.82,      0.12,      0.13,      0.00,     22.73,      0.16,      0.17,     -0.00,     23.27,      0.14,      0.15,      0.05,      0.89,      0.15,      0.16,      0.98,      0.18,      0.20,      1.77,      0.19,      0.19,      1.21,      0.29,
edge_CHEMBL3265013_CHEMBL3265023,     25.30,      0.08,      0.07,     -0.03,     24.69,      0.12,      0.12,     -0.04,     24.38,      0.10,      0.13,      0.06,     25.01,      0.09,      0.10,      0.03,     25.71,      0.15,      0.26,      0.51,     24.29,      0.11,      0.14,      0.16,     -0.29,      0.12,      0.12,      1.02,      0.19,      0.29,     -0.09,      0.15,      0.19,      0.21,      0.41,
edge_CHEMBL3265013_CHEMBL3265004,     24.04,      0.22,      0.30,      0.19,     23.92,      0.16,      0.30,      0.60,     24.99,      0.16,      0.22,      0.33,     22.57,      0.59,      0.60,      0.59,     21.76,      0.78,      4.04,      0.99,     23.34,      0.71,      0.59,     -0.22,     -1.47,      0.63,      0.67,     -2.16,      0.80,      4.05,     -1.65,      0.73,      0.63,     -1.76,      0.41,
edge_CHEMBL3265013_CHEMBL3265012,    -14.11,      0.09,      0.07,     -0.10,    -14.17,      0.06,      0.06,     -0.03,    -14.07,      0.07,      0.07,      0.04,    -15.04,      0.12,      0.12,      0.06,    -14.94,      0.12,      0.13,      0.11,    -14.66,      0.10,      0.09,      0.01,     -0.93,      0.15,      0.14,     -0.77,      0.13,      0.14,     -0.59,      0.12,      0.11,     -0.76,      0.12,
