leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_CAT-13b_CAT-17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13a_CAT-17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13e_CAT-17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13k_CAT-4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-24_CAT-17e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13g_CAT-17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-13h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13a_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-13j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13a_CAT-13m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4l_CAT-13k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13o_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4c_CAT-4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4j_CAT-4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4i_CAT-13m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-24_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13j_CAT-4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4n_CAT-13k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4o_CAT-4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17i_CAT-13f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17c_CAT-17e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13k_CAT-4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-4j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13n_CAT-13k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-17h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17b_CAT-13d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-13k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13c_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4a_CAT-4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13h_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4o_CAT-4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17g_CAT-17c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4a_CAT-13k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-17d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17g_CAT-17f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13e_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-13b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17g_CAT-13i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-13m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17g_CAT-13c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17i_CAT-17a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-13f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17f_CAT-17e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13d_CAT-17a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17g_CAT-17d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13n_CAT-13a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13o_CAT-17h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-17b_CAT-17e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4k_CAT-4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-4l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-4m_CAT-4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13n_CAT-4i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_CAT-13g_CAT-17i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
