leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_SHP099-1_E8,     57.26,      0.13,      0.12,      0.06,     57.46,      0.12,      0.12,     -0.02,     57.12,      0.14,      0.11,     -0.22,     59.06,      0.26,      1.28,      0.93,     60.29,      0.48,      1.78,      0.94,     58.99,      0.26,      2.10,      0.98,      1.80,      0.29,      1.29,      2.83,      0.49,      1.79,      1.87,      0.29,      2.10,      2.17,      0.36,
edge_SHP099-1_E14,     35.62,      0.24,      0.21,     -0.07,     36.03,      0.25,      0.24,     -0.06,     35.57,      0.23,      0.23,      0.06,     36.60,      0.61,      0.82,      0.68,     31.59,      0.26,      2.95,      0.99,     33.70,      0.32,      0.31,      0.10,      0.98,      0.66,      0.85,     -4.44,      0.36,      2.96,     -1.87,      0.39,      0.39,     -1.78,      1.59,
edge_SHP099-1_E22,     15.27,      0.11,      0.10,     -0.07,     15.42,      0.09,      0.11,      0.03,     15.17,      0.09,      0.10,      0.04,     18.15,      0.33,      0.85,      0.79,     17.59,      0.16,      0.16,      0.06,     18.38,      0.14,      0.42,      0.75,      2.88,      0.35,      0.86,      2.17,      0.18,      0.19,      3.21,      0.16,      0.43,      2.76,      0.33,
edge_SHP099-1_E2,   -294.77,      0.07,      0.09,      0.06,   -294.98,      0.10,      0.09,      0.09,   -294.78,      0.09,      0.09,     -0.03,   -293.21,      0.12,      0.12,     -0.00,   -293.40,      0.23,      0.24,      0.09,   -293.87,      0.13,      0.12,     -0.10,      1.56,      0.14,      0.15,      1.58,      0.25,      0.26,      0.91,      0.16,      0.15,      1.35,      0.24,
edge_SHP099-1_E1,   -297.12,      0.08,      0.08,      0.05,   -297.08,      0.07,      0.08,      0.03,   -297.16,      0.08,      0.09,      0.00,   -297.41,      0.23,      0.21,      0.04,   -298.31,      0.18,      0.14,     -0.15,   -297.73,      0.17,      0.25,      0.35,     -0.28,      0.25,      0.23,     -1.22,      0.20,      0.16,     -0.57,      0.19,      0.26,     -0.69,      0.29,
edge_SHP099-1_E30,    -96.44,      0.09,      0.09,     -0.00,    -96.80,      0.08,      0.08,     -0.03,    -96.57,      0.10,      0.08,     -0.07,    -98.72,      0.08,      0.17,      0.53,    -99.31,      0.13,      0.15,      0.17,    -99.06,      0.16,      0.15,     -0.12,     -2.28,      0.12,      0.19,     -2.51,      0.15,      0.17,     -2.49,      0.19,      0.17,     -2.42,      0.11,
edge_SHP099-1_E5,   -317.21,      0.11,      0.18,      0.31,   -317.75,      0.13,      0.15,      0.07,   -317.30,      0.12,      0.16,      0.24,   -313.96,      1.46,     31.80,      1.00,   -314.69,      0.52,      3.82,      0.99,   -319.75,      0.64,      7.83,      1.00,      3.25,      1.46,     31.80,      3.05,      0.54,      3.82,     -2.45,      0.65,      7.83,      1.29,      1.92,
edge_SHP099-1_E28,     -2.47,      0.10,      0.11,     -0.07,     -2.17,      0.10,      0.11,      0.02,     -2.41,      0.09,      0.10,      0.01,     -2.95,      0.45,      1.57,      0.92,     -0.71,      0.31,      2.26,      0.97,      0.08,      0.17,      2.51,      0.99,     -0.48,      0.46,      1.57,      1.45,      0.33,      2.26,      2.49,      0.19,      2.52,      1.16,      0.88,
edge_SHP099-1_10,     48.52,      0.12,      0.11,     -0.03,     48.90,      0.08,      0.10,      0.04,     48.80,      0.10,      0.10,     -0.08,     48.85,      0.11,      0.10,     -0.04,     49.25,      0.13,      0.13,      0.02,     49.74,      0.10,      0.08,     -0.15,      0.33,      0.16,      0.15,      0.35,      0.15,      0.16,      0.94,      0.14,      0.13,      0.54,      0.21,
edge_SHP099-1_E23,     20.26,      0.11,      0.10,     -0.06,     20.29,      0.10,      0.10,     -0.01,     20.29,      0.09,      0.10,      0.05,     21.52,      0.21,      0.20,      0.05,     22.03,      0.16,      0.39,      0.75,     20.99,      0.15,      0.22,      0.31,      1.27,      0.24,      0.22,      1.74,      0.19,      0.40,      0.70,      0.17,      0.24,      1.24,      0.32,
edge_SHP099-1_E26,    -22.92,      0.19,      0.22,     -0.00,    -22.53,      0.22,      0.22,     -0.06,    -23.28,      0.17,      0.14,     -0.21,    -21.23,      0.26,      3.01,      0.99,    -20.16,      0.35,      2.40,      0.98,    -21.83,      0.49,     10.44,      1.00,      1.69,      0.32,      3.02,      2.37,      0.42,      2.41,      1.45,      0.51,     10.45,      1.83,      0.34,
edge_SHP099-1_E25,     10.60,      0.22,      0.19,     -0.13,     10.21,      0.16,      0.19,      0.14,     10.58,      0.16,      0.23,      0.37,     10.88,      0.62,      4.75,      0.99,     13.57,      0.58,     49.94,      1.00,     12.29,      0.89,     20.10,      1.00,      0.28,      0.66,      4.75,      3.36,      0.60,     49.94,      1.71,      0.91,     20.10,      1.79,      0.95,
edge_SHP099-1_E24,      8.95,      0.10,      0.10,      0.09,      9.31,      0.09,      0.11,      0.06,      8.92,      0.09,      0.10,      0.02,     12.04,      0.16,      0.28,      0.41,     11.59,      0.27,      0.41,      0.51,     13.11,      0.26,      0.38,      0.32,      3.08,      0.19,      0.30,      2.28,      0.28,      0.43,      4.19,      0.28,      0.40,      3.18,      0.56,
edge_E22_E23,      5.04,      0.08,      0.09,     -0.00,      4.79,      0.09,      0.10,      0.08,      4.83,      0.11,      0.11,     -0.08,      3.98,      0.10,      0.09,      0.00,      4.64,      0.07,      0.07,     -0.18,      3.94,      0.09,      0.11,      0.07,     -1.06,      0.13,      0.13,     -0.15,      0.11,      0.12,     -0.89,      0.14,      0.15,     -0.70,      0.28,
edge_E22_7,   -245.15,      0.15,      0.11,     -0.67,   -245.82,      0.17,      0.12,     -0.69,   -245.63,      0.15,      0.11,     -0.66,   -253.68,      1.35,      0.88,     -0.56,   -250.98,      0.76,      3.05,      0.97,   -252.19,      0.46,     20.07,      1.00,     -8.53,      1.36,      0.88,     -5.15,      0.78,      3.05,     -6.56,      0.49,     20.07,     -6.75,      1.05,
edge_E29_E9,    104.95,      0.24,      0.27,      0.08,    105.92,      0.22,      0.28,      0.27,    104.81,      0.19,      0.27,      0.32,    108.87,      0.42,      0.74,      0.71,    109.45,      0.49,      2.12,      0.96,    109.25,      0.41,      4.54,      0.99,      3.92,      0.49,      0.78,      3.53,      0.53,      2.14,      4.44,      0.45,      4.54,      3.96,      0.35,
edge_E29_11,     77.28,      0.09,      0.15,      0.30,     76.93,      0.13,      0.11,     -0.11,     76.95,      0.12,      0.15,      0.22,     81.18,      0.35,     21.29,      1.00,     81.00,      0.81,     13.21,      1.00,     81.07,      0.30,     60.68,      1.00,      3.90,      0.36,     21.29,      4.07,      0.82,     13.21,      4.12,      0.33,     60.68,      4.03,      0.28,
edge_11_E25,    -15.27,      0.13,      0.13,     -0.01,    -16.80,      0.12,      0.14,      0.04,    -16.22,      0.15,      0.19,      0.14,    -15.76,      0.28,     49.95,      1.00,    -14.95,      0.36,     42.51,      1.00,    -15.41,      0.33,     56.99,      1.00,     -0.49,      0.31,     49.95,      1.86,      0.38,     42.51,      0.81,      0.36,     56.99,      0.72,      0.70,
edge_11_E6,   -362.70,      0.10,      0.11,      0.01,   -362.07,      0.11,      0.15,      0.36,   -361.93,      0.12,      0.17,      0.39,   -366.95,      0.29,      2.66,      0.98,   -366.31,      0.37,      3.58,      0.99,   -366.79,      0.41,      0.80,      0.66,     -4.25,      0.31,      2.67,     -4.24,      0.38,      3.58,     -4.86,      0.42,      0.81,     -4.45,      0.27,
edge_11_4,   -246.25,      0.21,      0.19,     -0.18,   -245.91,      0.22,      0.23,      0.01,   -245.83,      0.19,      0.22,      0.22,   -251.68,      0.83,    188.84,      1.00,   -248.39,      0.56,    750.71,      1.00,   -248.08,      0.48,     34.39,      1.00,     -5.42,      0.86,    188.84,     -2.47,      0.61,    750.71,     -2.24,      0.52,     34.39,     -3.38,      1.06,
edge_11_7,   -259.49,      0.25,      0.28,      0.18,   -259.73,      0.21,      0.25,      0.12,   -259.41,      0.25,      0.25,     -0.02,   -262.86,      0.27,    570.49,      1.00,   -265.21,      0.60,     94.29,      1.00,   -264.84,      0.54,     72.32,      1.00,     -3.37,      0.37,    570.49,     -5.48,      0.64,     94.29,     -5.42,      0.59,     72.32,     -4.76,      0.75,
edge_4_E5,   -106.16,      0.14,      0.11,     -0.43,   -105.97,      0.17,      0.10,     -0.49,   -106.20,      0.14,      0.10,     -0.44,   -109.15,      0.39,     14.34,      1.00,   -107.67,      0.90,      1.36,      0.85,   -106.48,      0.42,      8.55,      1.00,     -2.99,      0.42,     14.34,     -1.70,      0.91,      1.36,     -0.29,      0.44,      8.55,     -1.66,      0.84,
edge_4_E27,    310.12,      0.08,      0.10,      0.12,    310.11,      0.09,      0.10,      0.10,    310.10,      0.10,      0.10,     -0.01,    310.71,      0.20,      0.19,     -0.03,    310.21,      0.22,      0.26,      0.07,    309.81,      0.16,      0.17,      0.03,      0.59,      0.22,      0.21,      0.09,      0.24,      0.27,     -0.28,      0.19,      0.20,      0.13,      0.27,
edge_4_SHP836-2,      0.30,      0.09,      0.10,      0.03,      0.32,      0.10,      0.09,     -0.03,      0.34,      0.10,      0.09,     -0.02,      0.63,      0.17,      0.18,      0.02,      0.62,      0.13,      0.15,      0.17,      0.55,      0.14,      0.11,     -0.25,      0.32,      0.19,      0.20,      0.30,      0.16,      0.18,      0.21,      0.17,      0.14,      0.28,      0.10,
edge_E2_E23,    315.13,      0.17,      0.16,     -0.03,    315.45,      0.15,      0.16,      0.04,    315.36,      0.18,      0.18,      0.00,    316.33,      0.26,      0.49,      0.63,    316.93,      0.73,      0.57,     -0.23,    316.38,      0.30,      0.57,      0.60,      1.19,      0.31,      0.52,      1.48,      0.74,      0.59,      1.02,      0.35,      0.60,      1.23,      0.28,
edge_E2_E1,     -2.34,      0.08,      0.08,     -0.01,     -2.42,      0.09,      0.08,     -0.06,     -2.35,      0.08,      0.09,     -0.03,     -4.23,      0.09,      0.12,      0.25,     -4.11,      0.10,      0.10,     -0.05,     -4.05,      0.13,      0.15,      0.03,     -1.89,      0.12,      0.14,     -1.69,      0.14,      0.12,     -1.70,      0.16,      0.17,     -1.76,      0.10,
