#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_338_165  1.60  0.20
edge_338_215  0.41  0.48
edge_338_163  1.16  0.78
edge_43_235  -2.05  0.31
edge_43_54  -0.18  0.50
edge_43_215  0.97  0.26
edge_43_155  -1.94  0.31
edge_43_25  -0.85  0.13
edge_235_1  2.20  0.17
edge_235_54  2.75  0.65
edge_234_227  -4.83  0.52
edge_234_289  -0.18  0.34
edge_30_42  -0.83  0.78
edge_30_84  2.34  0.19
edge_30_251  -1.24  0.26
edge_30_25  -3.26  1.00
edge_1_155  0.15  0.11
 edge_1_7a  0.71  0.09
edge_1_254  0.73  0.38
edge_1_256  1.31  0.60
 edge_1_15  -1.04  0.27
edge_237_227  -1.62  0.13
edge_237_31  0.05  0.58
edge_237_41  0.81  0.48
edge_237_336  -1.83  0.75
edge_237_290  -1.59  0.15
edge_237_254  -2.73  0.26
edge_227_167  4.71  0.30
edge_227_231  3.19  1.24
edge_227_15  2.23  0.18
edge_266_156  3.05  0.25
edge_266_165  4.00  1.30
edge_266_84  10.04  0.39
edge_266_254  2.69  0.53
edge_206_57  -4.66  0.27
edge_206_42  -3.14  1.01
edge_206_23  -1.85  0.21
edge_206_256  -0.92  0.30
edge_67_165  7.86  0.23
edge_67_256  4.11  0.52
edge_156_167  0.43  0.31
edge_156_165  1.98  0.63
edge_156_42  1.50  0.13
edge_156_164  2.22  0.75
edge_31_61  -2.67  0.54
edge_31_7a  -2.79  0.69
edge_289_35  0.44  0.36
edge_289_224  -1.98  0.43
edge_61_251  -0.04  0.17
edge_167_165  1.67  0.16
edge_167_155  -1.09  0.22
edge_167_50  1.22  0.64
edge_165_42  -3.32  0.38
edge_165_252  -1.68  0.71
edge_165_336  -0.58  0.38
edge_165_163  -1.15  0.19
edge_41_7b  1.66  0.34
edge_7b_42  -2.27  0.87
edge_7b_231  -3.83  0.24
edge_54_251  2.34  0.18
edge_54_124  -2.02  0.22
edge_215_252  -1.96  0.26
edge_215_15  -1.44  0.17
edge_215_163  -0.70  0.47
edge_57_231  4.32  0.19
edge_42_164  3.03  0.67
edge_35_7a  -0.52  0.13
edge_35_84  2.34  0.61
edge_252_336  1.23  0.45
edge_252_290  -1.91  1.14
edge_252_155  -1.09  0.75
edge_252_231  -0.35  0.36
edge_252_124  -2.74  0.25
edge_336_251  -1.01  0.55
edge_290_7a  3.43  0.29
edge_290_84  8.62  1.55
edge_290_23  3.56  0.31
edge_290_256  3.52  1.08
edge_155_84  6.15  1.49
edge_164_124  -4.81  1.20
edge_164_25  -3.72  1.66
edge_164_163  -2.80  0.14
edge_7a_224  -1.46  0.66
edge_7a_23  0.63  0.42
edge_224_231  2.74  0.36
edge_84_15  -8.13  0.74
edge_254_251  0.12  0.18
edge_254_50  0.31  1.67
edge_23_15  -2.66  0.21
edge_251_15  -1.26  0.26
edge_251_25  -0.63  0.21
edge_15_25  0.39  0.22
