leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_22_1h1r,     -0.30,      0.07,      0.07,     -0.04,     -0.12,      0.05,      0.07,      0.14,      0.11,      0.06,      0.06,     -0.23,      0.40,      0.08,      0.09,      0.08,     -0.24,      0.10,      0.12,      0.31,      0.38,      0.09,      0.07,     -0.16,      0.70,      0.11,      0.11,     -0.12,      0.11,      0.14,      0.27,      0.11,      0.09,      0.28,      0.24,      0.24
edge_1h1s_1oiy,    118.57,      0.13,      0.12,     -0.08,    119.11,      0.11,      0.12,      0.06,    118.94,      0.11,      0.11,      0.02,    121.00,      0.19,      0.28,      0.45,    121.01,      0.17,      0.22,      0.25,    121.15,      0.32,      0.80,      0.71,      2.43,      0.23,      0.30,      1.90,      0.20,      0.25,      2.21,      0.34,      0.81,      2.18,      0.20,      0.31
edge_1oiu_26,    130.18,      0.21,      0.24,      0.12,    130.75,      0.20,      0.22,      0.03,    129.92,      0.38,      0.30,     -0.10,    131.76,      0.38,      0.39,     -0.03,    131.17,      0.30,      0.30,      0.06,    131.73,      0.42,      0.34,     -0.18,      1.58,      0.43,      0.46,      0.42,      0.36,      0.37,      1.81,      0.57,      0.45,      1.27,      0.48,      0.48
edge_26_1h1q,     -1.55,      0.07,      0.07,      0.03,     -1.55,      0.08,      0.08,     -0.02,     -1.59,      0.06,      0.07,      0.07,     -1.03,      0.14,      0.16,      0.04,     -0.37,      0.11,      0.09,     -0.14,     -1.33,      0.12,      0.11,     -0.04,      0.52,      0.16,      0.17,      1.18,      0.14,      0.12,      0.26,      0.13,      0.13,      0.65,      0.28,      0.28
edge_17_1h1q,     -0.02,      0.07,      0.09,      0.07,     -0.10,      0.08,      0.08,      0.04,     -0.21,      0.08,      0.08,     -0.13,     -0.64,      0.18,      0.21,      0.13,      0.30,      0.13,      0.11,     -0.10,     -0.90,      0.11,      0.14,      0.23,     -0.62,      0.19,      0.23,      0.40,      0.15,      0.14,     -0.69,      0.14,      0.16,     -0.30,      0.36,      0.36
edge_1oiy_1oi9,     38.52,      0.10,      0.11,      0.09,     38.28,      0.11,      0.12,     -0.00,     38.36,      0.10,      0.11,      0.00,     37.08,      0.17,      0.22,      0.21,     36.79,      0.20,      0.21,     -0.02,     37.84,      0.27,      0.22,     -0.20,     -1.44,      0.20,      0.25,     -1.49,      0.23,      0.24,     -0.52,      0.29,      0.25,     -1.15,      0.34,      0.34
edge_29_26,     67.93,      0.11,      0.11,      0.02,     67.78,      0.11,      0.11,      0.02,     67.86,      0.12,      0.11,      0.00,     67.02,      0.17,      0.23,      0.17,     67.35,      0.23,      0.26,      0.16,     66.82,      0.16,      0.34,      0.61,     -0.91,      0.20,      0.25,     -0.43,      0.25,      0.28,     -1.04,      0.20,      0.36,     -0.79,      0.21,      0.23
edge_1h1s_26,    157.68,      0.11,      0.11,     -0.05,    157.45,      0.11,      0.10,     -0.08,    157.84,      0.10,      0.11,      0.01,    160.46,      0.24,      0.19,     -0.26,    159.20,      0.22,      0.34,      0.37,    158.83,      0.40,      0.46,      0.19,      2.78,      0.26,      0.22,      1.75,      0.25,      0.35,      0.99,      0.41,      0.47,      1.84,      0.53,      0.54
edge_28_26,    110.28,      0.11,      0.11,     -0.11,    110.47,      0.12,      0.10,     -0.06,    110.06,      0.14,      0.11,     -0.21,    111.55,      0.21,      0.15,     -0.22,    113.97,      0.25,      0.23,     -0.07,    108.98,      0.23,      0.41,      0.57,      1.27,      0.24,      0.19,      3.50,      0.28,      0.25,     -1.08,      0.27,      0.42,      1.23,      1.32,      1.33
edge_17_21,    -16.34,      0.08,      0.07,      0.03,    -16.13,      0.06,      0.07,      0.07,    -16.19,      0.08,      0.07,     -0.02,    -16.40,      0.10,      0.12,      0.10,    -16.55,      0.12,      0.13,     -0.04,    -15.99,      0.07,      0.10,      0.21,     -0.06,      0.13,      0.14,     -0.42,      0.13,      0.15,      0.20,      0.11,      0.12,     -0.09,      0.19,      0.18
edge_28_31,     86.25,      0.10,      0.09,     -0.12,     86.04,      0.08,      0.09,     -0.13,     86.12,      0.12,      0.10,     -0.05,     87.89,      0.32,      0.30,     -0.07,     89.06,      0.18,      0.60,      0.80,     88.86,      0.20,      0.34,      0.32,      1.64,      0.34,      0.31,      3.02,      0.20,      0.61,      2.74,      0.23,      0.35,      2.47,      0.43,      0.47
edge_1h1r_1oi9,     -8.03,      0.08,      0.09,      0.16,     -7.98,      0.08,      0.07,      0.03,     -7.95,      0.10,      0.08,     -0.08,    -11.65,      0.25,      0.38,      0.38,    -10.63,      0.20,      0.19,     -0.01,    -10.46,      0.20,      0.70,      0.86,     -3.62,      0.26,      0.39,     -2.65,      0.22,      0.20,     -2.51,      0.22,      0.70,     -2.93,      0.36,      0.41
edge_1h1r_21,    -12.46,      0.05,      0.06,      0.01,    -12.60,      0.07,      0.07,     -0.04,    -12.54,      0.06,      0.07,      0.03,    -12.02,      0.08,      0.08,      0.04,    -12.18,      0.09,      0.10,      0.11,    -12.11,      0.10,      0.12,      0.17,      0.44,      0.09,      0.10,      0.42,      0.11,      0.12,      0.43,      0.12,      0.14,      0.43,      0.06,      0.06
edge_30_26,     62.70,      0.09,      0.09,      0.03,     62.99,      0.11,      0.11,      0.08,     62.81,      0.08,      0.09,      0.14,     61.86,      0.20,      0.20,      0.03,     64.15,      0.20,      0.16,     -0.22,     63.34,      0.18,      0.16,     -0.17,     -0.84,      0.22,      0.22,      1.16,      0.23,      0.19,      0.53,      0.20,      0.18,      0.28,      0.60,      0.59
edge_1oiy_32,   -163.17,      0.15,      0.14,     -0.04,   -163.30,      0.15,      0.15,     -0.06,   -163.18,      0.14,      0.15,      0.14,   -161.73,      0.18,      0.27,      0.32,   -162.32,      0.39,      0.38,      0.09,   -162.85,      0.45,      0.62,      0.46,      1.44,      0.23,      0.30,      0.98,      0.42,      0.41,      0.33,      0.47,      0.64,      0.92,      0.37,      0.38
edge_17_22,     -4.49,      0.07,      0.07,     -0.00,     -4.48,      0.08,      0.08,      0.03,     -4.50,      0.06,      0.07,      0.00,     -4.74,      0.10,      0.10,      0.09,     -3.94,      0.08,      0.07,     -0.31,     -2.81,      0.08,      0.09,     -0.01,     -0.25,      0.12,      0.12,      0.54,      0.11,      0.11,      1.69,      0.10,      0.11,      0.66,      0.56,      0.57
edge_26_1oi9,    -13.51,      0.07,      0.08,      0.03,    -13.69,      0.07,      0.08,      0.06,    -13.62,      0.08,      0.08,     -0.05,    -15.60,      0.20,      0.29,      0.30,    -15.85,      0.23,      0.35,      0.44,    -14.90,      0.22,      0.20,      0.02,     -2.09,      0.21,      0.30,     -2.16,      0.24,      0.36,     -1.28,      0.23,      0.22,     -1.84,      0.30,      0.31
edge_1oiy_29,    -28.28,      0.10,      0.09,     -0.01,    -28.20,      0.10,      0.10,     -0.05,    -28.01,      0.14,      0.11,     -0.14,    -26.73,      0.29,      0.23,     -0.19,    -26.61,      0.23,      0.45,      0.54,    -27.70,      0.27,      0.25,     -0.16,      1.55,      0.31,      0.25,      1.59,      0.25,      0.46,      0.31,      0.30,      0.27,      1.15,      0.43,      0.44
edge_1oiy_31,      8.33,      0.08,      0.09,      0.06,      8.12,      0.06,      0.07,      0.05,      8.23,      0.08,      0.08,     -0.02,      8.44,      0.16,      0.13,     -0.08,      7.88,      0.18,      0.16,     -0.16,      8.70,      0.12,      0.21,      0.47,      0.11,      0.18,      0.16,     -0.24,      0.19,      0.17,      0.47,      0.14,      0.22,      0.11,      0.21,      0.22
edge_31_32,   -177.77,      0.20,      0.17,     -0.04,   -177.70,      0.15,      0.17,      0.11,   -178.06,      0.16,      0.16,     -0.00,   -179.96,      0.41,      0.37,     -0.05,   -180.51,      0.43,      0.76,      0.66,   -178.70,      0.36,      0.29,     -0.23,     -2.19,      0.46,      0.41,     -2.81,      0.46,      0.78,     -0.64,      0.39,      0.33,     -1.88,      0.67,      0.70
edge_1oi9_20,     10.57,      0.08,      0.09,      0.05,     10.52,      0.09,      0.09,      0.08,     10.49,      0.09,      0.10,      0.02,     12.42,      0.13,      0.24,      0.49,     13.13,      0.23,      0.31,      0.36,     12.74,      0.19,      0.17,     -0.12,      1.85,      0.15,      0.26,      2.61,      0.25,      0.32,      2.25,      0.21,      0.20,      2.24,      0.23,      0.24
edge_20_1h1q,      1.06,      0.09,      0.08,      0.01,      1.13,      0.08,      0.08,     -0.03,      1.04,      0.08,      0.08,      0.03,      2.30,      0.10,      0.09,     -0.16,      1.63,      0.15,      0.15,     -0.09,      1.97,      0.10,      0.11,      0.07,      1.24,      0.13,      0.12,      0.50,      0.17,      0.17,      0.93,      0.13,      0.14,      0.89,      0.22,      0.22
edge_1oiy_1h1q,     50.43,      0.07,      0.08,      0.10,     50.57,      0.08,      0.08,      0.04,     50.65,      0.09,      0.09,      0.05,     51.82,      0.22,      0.22,      0.05,     53.05,      0.17,      0.15,     -0.05,     52.88,      0.16,      0.22,      0.17,      1.39,      0.23,      0.23,      2.48,      0.19,      0.17,      2.23,      0.18,      0.24,      2.03,      0.34,      0.34
edge_1oiu_1h1q,    128.32,      0.31,      0.25,     -0.19,    128.77,      0.19,      0.25,      0.29,    128.52,      0.28,      0.27,      0.02,    131.03,      0.22,      0.25,      0.02,    130.91,      0.39,      0.32,     -0.23,    131.37,      0.24,      0.30,     -0.00,      2.71,      0.38,      0.35,      2.14,      0.43,      0.41,      2.85,      0.37,      0.40,      2.57,      0.29,      0.28
edge_30_31,     38.29,      0.08,      0.08,     -0.00,     38.36,      0.09,      0.08,     -0.04,     38.44,      0.07,      0.08,     -0.01,     39.40,      0.12,      0.17,      0.22,     39.21,      0.12,      0.14,      0.14,     38.29,      0.16,      0.17,     -0.03,      1.11,      0.14,      0.19,      0.85,      0.15,      0.16,     -0.15,      0.17,      0.19,      0.60,      0.39,      0.39
