#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_CHEMBL1078774_CHEMBL1089056  -4.61  0.15
edge_CHEMBL1078774_CHEMBL1088740  -3.33  0.12
edge_CHEMBL1093087_CHEMBL1084678  -7.04  1.47
edge_CHEMBL1093087_CHEMBL1096003  0.34  1.22
edge_CHEMBL1093087_CHEMBL1086409  -0.62  0.41
edge_CHEMBL1093087_CHEMBL1083517  0.49  1.15
edge_CHEMBL1082249_CHEMBL1086409  1.45  0.56
edge_CHEMBL1082249_CHEMBL1077227  0.10  0.45
edge_CHEMBL1082249_CHEMBL1082248  1.23  0.34
edge_CHEMBL1082249_CHEMBL1096003  -0.10  0.59
edge_CHEMBL1089393_CHEMBL1093088  -1.24  0.15
edge_CHEMBL1089393_CHEMBL1088740  0.18  0.20
edge_CHEMBL1089393_CHEMBL1085895  -3.16  0.67
edge_CHEMBL1078691_CHEMBL1089056  -1.96  0.16
edge_CHEMBL1078691_CHEMBL1093088  -2.34  0.30
edge_CHEMBL1086409_CHEMBL1082248  -1.17  0.16
edge_CHEMBL1086409_CHEMBL1085666  -1.30  0.77
edge_CHEMBL1086409_CHEMBL1084676  0.49  0.80
edge_CHEMBL1086409_CHEMBL1083517  2.04  0.24
edge_CHEMBL1086409_CHEMBL1086410  1.81  0.43
edge_CHEMBL1086409_CHEMBL1084678  0.58  1.70
edge_CHEMBL1082248_CHEMBL1084678  1.26  1.40
edge_CHEMBL1082248_CHEMBL1086410  2.76  0.24
edge_CHEMBL1082248_CHEMBL1083517  2.53  0.34
edge_CHEMBL1082248_CHEMBL1084143  1.40  0.51
edge_CHEMBL1082248_CHEMBL1096002  0.50  0.20
edge_CHEMBL1082248_CHEMBL1083836  2.24  0.53
edge_CHEMBL1084678_CHEMBL1084935  3.94  1.32
edge_CHEMBL1084678_CHEMBL1084431  2.65  1.16
edge_CHEMBL1084678_CHEMBL1077204  -2.16  0.58
edge_CHEMBL1084678_CHEMBL1084143  0.71  0.37
edge_CHEMBL1084678_CHEMBL1084676  1.31  1.01
edge_CHEMBL1084678_CHEMBL1084677  1.09  0.96
edge_CHEMBL1084115_CHEMBL1078998  -0.57  0.07
edge_CHEMBL1084115_CHEMBL1088740  0.48  0.48
edge_CHEMBL1084115_CHEMBL1089056  -0.92  0.16
edge_CHEMBL1084431_CHEMBL1083517  -0.44  1.01
edge_CHEMBL1084431_CHEMBL1096002  -2.19  0.53
edge_CHEMBL1084431_CHEMBL1085666  -0.17  1.07
edge_CHEMBL1085895_CHEMBL1078998  0.31  0.53
edge_CHEMBL1085895_CHEMBL1088740  3.67  0.79
edge_CHEMBL1084677_CHEMBL1083836  3.26  0.52
edge_CHEMBL1084677_CHEMBL1085692  1.67  0.64
edge_CHEMBL1084677_CHEMBL1084676  -0.04  1.54
edge_CHEMBL1084677_CHEMBL1096003  1.10  0.36
edge_CHEMBL1077227_CHEMBL1085666  -1.00  0.96
edge_CHEMBL1077227_CHEMBL1086410  1.80  0.14
edge_CHEMBL1077227_CHEMBL1084935  2.65  0.69
edge_CHEMBL1086410_CHEMBL1096002  -1.82  0.32
edge_CHEMBL1086410_CHEMBL1084935  0.63  0.27
edge_CHEMBL1083517_CHEMBL1085666  -2.85  0.84
edge_CHEMBL1096003_CHEMBL1084143  2.53  0.32
edge_CHEMBL1077204_CHEMBL1083836  1.12  1.91
edge_CHEMBL1077204_CHEMBL1084143  1.02  1.07
edge_CHEMBL1077204_CHEMBL1084676  0.99  0.30
edge_CHEMBL1083836_CHEMBL1085666  -1.05  0.24
edge_CHEMBL1083836_CHEMBL1096002  -2.54  0.32
edge_CHEMBL1085692_CHEMBL1096002  -0.52  0.82
edge_CHEMBL1085692_CHEMBL1084676  0.38  0.33
edge_CHEMBL1096002_CHEMBL1084935  2.85  0.52
edge_CHEMBL1089056_CHEMBL1088740  1.31  0.09
edge_CHEMBL1089056_CHEMBL1078998  -1.60  0.14
edge_CHEMBL1093088_CHEMBL1088740  1.38  0.22
