leg,water,water,water,water,water,water,water,water,water,water,water,water,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,protein,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_17124-1_18634-1,     -7.66,      0.10,      0.11,      0.05,     -7.75,      0.08,      0.10,      0.12,     -7.71,      0.09,      0.09,     -0.03,     -7.31,      0.07,      0.09,      0.12,     -7.06,      0.11,      0.09,     -0.10,     -7.01,      0.09,      0.09,      0.05,      0.35,      0.12,      0.14,      0.69,      0.14,      0.13,      0.70,      0.13,      0.13,      0.58,      0.12,      0.13
edge_18626-1_18624-1,      0.16,      0.09,      0.09,      0.12,      0.17,      0.08,      0.09,      0.02,      0.25,      0.09,      0.09,      0.04,      0.72,      0.14,      0.11,     -0.15,      0.84,      0.11,      0.11,     -0.10,      0.69,      0.11,      0.10,     -0.23,      0.56,      0.17,      0.14,      0.67,      0.14,      0.14,      0.44,      0.14,      0.13,      0.56,      0.10,      0.09
edge_18636-1_18625-1,     -0.71,      0.07,      0.08,     -0.02,     -0.84,      0.07,      0.08,      0.07,     -0.66,      0.07,      0.08,      0.06,     -0.41,      0.12,      0.15,      0.13,      0.04,      0.12,      0.16,      0.21,     -1.10,      0.14,      0.18,      0.27,      0.30,      0.14,      0.17,      0.88,      0.14,      0.18,     -0.44,      0.16,      0.20,      0.25,      0.39,      0.39
edge_18632-1_18624-1,      5.75,      0.08,      0.08,     -0.01,      5.83,      0.06,      0.07,      0.16,      5.75,      0.06,      0.07,      0.05,      6.10,      0.07,      0.09,      0.12,      6.17,      0.07,      0.07,      0.03,      6.20,      0.08,      0.08,      0.04,      0.35,      0.11,      0.12,      0.34,      0.09,      0.10,      0.45,      0.10,      0.11,      0.38,      0.06,      0.06
edge_18635-1_18625-1,      1.85,      0.04,      0.05,      0.20,      1.74,      0.05,      0.05,      0.12,      1.79,      0.04,      0.05,      0.21,      2.48,      0.09,      0.08,     -0.03,      2.28,      0.07,      0.07,     -0.09,      2.33,      0.09,      0.07,     -0.16,      0.63,      0.10,      0.09,      0.54,      0.09,      0.09,      0.54,      0.10,      0.09,      0.57,      0.06,      0.05
edge_18626-1_18658-1,      7.32,      0.14,      0.14,     -0.01,      7.31,      0.15,      0.15,     -0.08,      7.36,      0.10,      0.13,      0.21,      4.87,      0.09,      0.09,      0.03,      4.65,      0.08,      0.11,      0.33,      4.94,      0.09,      0.10,      0.13,     -2.45,      0.17,      0.17,     -2.66,      0.17,      0.19,     -2.42,      0.13,      0.16,     -2.51,      0.11,      0.11
edge_18639-1_18658-1,      1.41,      0.15,      0.15,      0.10,      1.12,      0.15,      0.15,      0.02,      1.79,      0.16,      0.20,      0.16,      1.48,      0.17,      0.15,     -0.09,      0.64,      0.18,      0.19,      0.09,      0.38,      0.21,      0.17,     -0.09,      0.07,      0.23,      0.21,     -0.48,      0.23,      0.24,     -1.41,      0.26,      0.26,     -0.61,      0.45,      0.44
edge_18626-1_18625-1,      2.40,      0.08,      0.07,      0.02,      2.53,      0.05,      0.06,      0.07,      2.34,      0.05,      0.06,      0.16,      2.30,      0.09,      0.09,     -0.11,      2.38,      0.08,      0.08,     -0.12,      2.50,      0.10,      0.10,     -0.12,     -0.10,      0.12,      0.11,     -0.15,      0.09,      0.10,      0.16,      0.11,      0.12,     -0.03,      0.11,      0.11
edge_18638-1_18658-1,     82.20,      0.11,      0.16,      0.37,     82.29,      0.13,      0.15,      0.16,     82.30,      0.11,      0.15,      0.17,     82.77,      0.11,      0.20,      0.49,     82.63,      0.10,      0.18,      0.47,     82.67,      0.11,      0.18,      0.41,      0.57,      0.16,      0.26,      0.34,      0.16,      0.23,      0.37,      0.16,      0.23,      0.43,      0.11,      0.15
edge_18628-1_18624-1,     -1.46,      0.08,      0.08,      0.10,     -1.30,      0.06,      0.08,      0.05,     -1.33,      0.07,      0.09,      0.12,     -1.11,      0.08,      0.08,      0.15,     -1.08,      0.09,      0.09,     -0.07,     -0.89,      0.11,      0.10,      0.05,      0.35,      0.11,      0.11,      0.22,      0.11,      0.12,      0.44,      0.13,      0.13,      0.34,      0.09,      0.09
edge_18631-1_18660-1,   -112.51,      0.12,      0.10,     -0.15,   -112.70,      0.08,      0.09,      0.05,   -112.47,      0.15,      0.13,     -0.05,   -111.77,      0.24,      0.34,      0.25,   -111.71,      0.19,      0.32,      0.39,   -111.23,      0.11,      0.38,      0.81,      0.74,      0.27,      0.35,      0.99,      0.21,      0.33,      1.24,      0.19,      0.40,      0.99,      0.17,      0.23
edge_18638-1_18634-1,     69.66,      0.14,      0.15,      0.07,     69.92,      0.12,      0.14,      0.08,     69.43,      0.11,      0.15,      0.21,     68.82,      0.15,      0.15,      0.07,     69.05,      0.16,      0.17,      0.02,     69.33,      0.20,      0.17,     -0.29,     -0.84,      0.21,      0.21,     -0.87,      0.20,      0.22,     -0.10,      0.23,      0.23,     -0.60,      0.27,      0.27
edge_18626-1_18632-1,     -5.18,      0.07,      0.06,     -0.07,     -5.30,      0.07,      0.06,     -0.04,     -5.17,      0.07,      0.06,     -0.06,     -5.88,      0.08,      0.07,     -0.03,     -5.93,      0.06,      0.07,      0.00,     -5.91,      0.07,      0.07,     -0.02,     -0.70,      0.11,      0.09,     -0.63,      0.09,      0.09,     -0.74,      0.10,      0.09,     -0.69,      0.06,      0.05
edge_18626-1_18630-1,     -1.72,      0.08,      0.08,     -0.02,     -1.59,      0.09,      0.09,     -0.00,     -1.79,      0.09,      0.09,     -0.15,     -1.02,      0.10,      0.13,      0.29,     -1.04,      0.10,      0.12,      0.22,     -1.34,      0.10,      0.12,      0.23,      0.70,      0.13,      0.15,      0.55,      0.13,      0.15,      0.45,      0.13,      0.15,      0.57,      0.09,      0.10
edge_18631-1_18624-1,      4.03,      0.08,      0.09,      0.13,      3.92,      0.08,      0.09,      0.12,      3.86,      0.08,      0.10,      0.08,      5.15,      0.10,      0.11,      0.07,      4.89,      0.11,      0.16,      0.34,      5.17,      0.12,      0.13,      0.08,      1.12,      0.13,      0.14,      0.97,      0.14,      0.18,      1.31,      0.14,      0.16,      1.13,      0.12,      0.12
edge_18629-1_18627-1,      2.93,      0.06,      0.07,      0.14,      2.90,      0.05,      0.07,      0.13,      2.82,      0.06,      0.07,      0.09,      2.39,      0.08,      0.11,      0.24,      2.30,      0.09,      0.10,      0.00,      2.53,      0.10,      0.10,      0.12,     -0.54,      0.10,      0.13,     -0.60,      0.10,      0.12,     -0.29,      0.12,      0.12,     -0.48,      0.10,      0.11
edge_18634-1_18637-1,    -43.46,      0.14,      0.13,     -0.10,    -42.97,      0.17,      0.16,     -0.10,    -43.17,      0.16,      0.16,     -0.06,    -43.89,      0.10,      0.10,     -0.07,    -43.52,      0.08,      0.12,      0.26,    -43.72,      0.10,      0.13,      0.08,     -0.43,      0.17,      0.16,     -0.55,      0.19,      0.20,     -0.55,      0.19,      0.21,     -0.51,      0.10,      0.11
edge_18626-1_18627-1,      0.87,      0.05,      0.07,      0.15,      0.97,      0.05,      0.06,      0.16,      0.94,      0.05,      0.07,      0.13,      0.97,      0.07,      0.07,      0.10,      1.15,      0.06,      0.07,      0.18,      1.08,      0.07,      0.09,      0.23,      0.10,      0.09,      0.10,      0.18,      0.08,      0.09,      0.14,      0.09,      0.11,      0.14,      0.05,      0.06
edge_18631-1_18652-1,    -71.22,      0.12,      0.17,      0.14,    -71.55,      0.20,      0.21,      0.14,    -71.60,      0.13,      0.19,      0.30,    -72.56,      0.26,      0.29,     -0.03,    -71.79,      0.17,      0.20,      0.11,    -73.14,      0.21,      0.32,      0.47,     -1.34,      0.29,      0.34,     -0.24,      0.26,      0.29,     -1.54,      0.25,      0.37,     -1.04,      0.42,      0.43
edge_18637-1_18631-1,     43.86,      0.14,      0.15,      0.04,     43.61,      0.13,      0.13,     -0.11,     43.87,      0.14,      0.16,     -0.03,     45.52,      0.20,      0.16,     -0.13,     45.20,      0.13,      0.17,      0.18,     45.49,      0.17,      0.16,     -0.02,      1.66,      0.24,      0.22,      1.59,      0.18,      0.21,      1.62,      0.22,      0.23,      1.62,      0.11,      0.11
edge_18626-1_18634-1,     -4.90,      0.11,      0.09,     -0.08,     -4.83,      0.09,      0.10,      0.01,     -4.72,      0.09,      0.10,     -0.05,     -6.98,      0.25,      0.27,      0.02,     -6.04,      0.17,      0.26,      0.36,     -6.77,      0.27,      0.27,      0.10,     -2.08,      0.27,      0.28,     -1.21,      0.19,      0.28,     -2.05,      0.28,      0.29,     -1.78,      0.30,      0.31
edge_18633-1_18624-1,      0.61,      0.06,      0.06,     -0.02,      0.66,      0.05,      0.06,      0.07,      0.60,      0.06,      0.07,      0.03,      1.37,      0.05,      0.06,      0.07,      1.36,      0.07,      0.07,      0.09,      1.33,      0.06,      0.06,      0.05,      0.76,      0.08,      0.08,      0.70,      0.09,      0.09,      0.73,      0.08,      0.09,      0.73,      0.04,      0.05
edge_17124-1_18631-1,     -6.65,      0.12,      0.11,     -0.01,     -6.74,      0.14,      0.12,     -0.08,     -6.79,      0.10,      0.11,      0.12,     -5.48,      0.16,      0.12,     -0.25,     -5.62,      0.13,      0.11,     -0.17,     -5.51,      0.11,      0.11,     -0.12,      1.17,      0.20,      0.16,      1.12,      0.19,      0.16,      1.28,      0.15,      0.16,      1.19,      0.10,      0.09
edge_18627-1_18630-1,     -1.54,      0.07,      0.07,      0.03,     -1.53,      0.07,      0.07,      0.04,     -1.48,      0.08,      0.08,     -0.03,     -1.12,      0.06,      0.06,      0.11,     -1.19,      0.06,      0.07,      0.10,     -1.20,      0.06,      0.06,      0.06,      0.42,      0.09,      0.09,      0.34,      0.09,      0.10,      0.28,      0.10,      0.10,      0.35,      0.06,      0.06
edge_18659-1_18634-1,    -14.95,      0.10,      0.09,      0.01,    -14.67,      0.09,      0.09,      0.01,    -14.96,      0.09,      0.09,      0.06,    -14.87,      0.08,      0.07,     -0.18,    -14.85,      0.08,      0.08,     -0.19,    -15.02,      0.09,      0.09,     -0.11,      0.08,      0.13,      0.11,     -0.18,      0.12,      0.12,     -0.06,      0.13,      0.13,     -0.05,      0.10,      0.09
