#1_edge   2_ddg  3_ddg_err  4_ddg_aerr
#all values in kJ/mol
edge_p38a_2u_p38a_2q  2.31  0.77  1.07
edge_p38a_3fln_p38a_2g  -0.40  0.13  0.13
edge_p38a_2u_p38a_2k  5.49  1.99  7.85
edge_p38a_2v_p38a_3fln  -3.02  0.41  0.38
edge_p38a_3fln_p38a_2n  -2.06  0.29  0.29
edge_p38a_2ee_p38a_3fln  0.12  0.24  0.24
edge_p38a_3fly_p38a_3flq  1.11  0.96  0.97
edge_p38a_3fln_p38a_2p  -1.02  0.20  0.26
edge_p38a_3fly_p38a_2x  -0.45  0.45  0.45
edge_p38a_2v_p38a_2y  -2.18  0.19  0.19
edge_p38a_2j_p38a_2f  0.35  0.35  0.34
edge_p38a_2j_p38a_2q  -4.82  1.15  1.16
edge_p38a_2z_p38a_3fmk  -3.17  0.51  5.48
edge_p38a_3fly_p38a_3fmh  -1.08  0.11  0.11
edge_p38a_2z_p38a_2aa  1.05  0.32  0.36
edge_p38a_3fln_p38a_2gg  0.57  0.12  0.12
edge_p38a_2v_p38a_3fly  -2.18  0.10  0.10
edge_p38a_2j_p38a_2h  -0.85  0.16  0.16
edge_p38a_2l_p38a_2o  1.54  0.19  0.19
edge_p38a_3fln_p38a_2t  -0.41  0.08  0.07
edge_p38a_2v_p38a_2x  -2.15  0.24  0.24
edge_p38a_2j_p38a_2ff  -1.74  0.09  0.09
edge_p38a_2g_p38a_2c  2.00  0.45  0.48
edge_p38a_2l_p38a_2p  1.25  0.51  0.51
edge_p38a_2g_p38a_2h  0.92  0.14  0.15
edge_p38a_3fln_p38a_2o  -0.50  0.49  0.50
edge_p38a_2gg_p38a_2j  0.74  0.68  0.68
edge_p38a_3fln_p38a_2r  -1.46  0.27  0.27
edge_p38a_3fln_p38a_2i  0.81  0.31  0.31
edge_p38a_2z_p38a_3flw  -0.55  0.54  1.38
edge_p38a_2g_p38a_2i  0.70  0.24  0.24
edge_p38a_3flz_p38a_2c  -3.75  1.13  1.14
edge_p38a_2ee_p38a_2j  0.96  0.14  0.14
edge_p38a_2m_p38a_2j  3.34  0.56  0.55
edge_p38a_2t_p38a_2j  1.82  0.19  0.18
edge_p38a_2j_p38a_2r  -2.56  0.64  0.65
edge_p38a_2e_p38a_2j  -0.25  0.09  0.10
edge_p38a_2v_p38a_3fmh  -3.92  0.27  0.28
edge_p38a_2v_p38a_3fmk  -4.59  0.33  0.40
edge_p38a_2aa_p38a_2bb  1.42  0.35  0.35
edge_p38a_3fln_p38a_2s  -2.32  0.44  0.46
edge_p38a_2v_p38a_2j  -2.08  0.40  0.39
edge_p38a_2v_p38a_2bb  -1.22  0.44  0.44
edge_p38a_2l_p38a_2j  2.68  0.23  0.23
edge_p38a_2z_p38a_2y  0.45  0.47  0.47
edge_p38a_3fln_p38a_3flz  0.66  0.44  0.45
edge_p38a_2z_p38a_3flq  0.30  0.33  7.74
edge_p38a_2l_p38a_2n  -1.12  0.12  0.13
edge_p38a_3fln_p38a_2e  1.51  0.12  0.12
edge_p38a_2m_p38a_2k  3.21  0.44  0.44
edge_p38a_3flz_p38a_2g  -0.87  0.10  0.10
edge_p38a_2aa_p38a_3flw  -1.94  0.35  0.35
edge_p38a_2s_p38a_2l  0.18  0.33  0.35
edge_p38a_2g_p38a_2f  1.17  0.29  0.29
edge_p38a_3fln_p38a_2k  1.07  0.12  0.12
edge_p38a_3fln_p38a_2ff  -0.65  0.07  0.07
