leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_43_48,     -7.60,      0.08,      0.07,     -0.05,     -7.47,      0.06,      0.07,      0.06,     -7.60,      0.06,      0.07,      0.02,     -4.99,      0.15,      0.33,      0.58,     -5.79,      0.17,      0.21,      0.06,     -6.48,      0.14,      0.27,      0.53,      2.61,      0.17,      0.34,      1.68,      0.18,      0.22,      1.12,      0.15,      0.28,      1.80,      0.44,
edge_43_44,     -1.05,      0.11,      0.10,     -0.05,     -1.13,      0.12,      0.11,     -0.06,     -0.97,      0.11,      0.11,     -0.00,      1.77,      0.14,      0.14,     -0.03,      1.47,      0.12,      0.21,      0.44,      1.37,      0.12,      0.14,     -0.06,      2.82,      0.18,      0.17,      2.59,      0.17,      0.24,      2.34,      0.17,      0.18,      2.58,      0.16,
edge_30_56,    -49.22,      0.07,      0.08,     -0.01,    -47.90,      0.21,      0.20,     -0.14,    -49.30,      0.09,      0.09,     -0.08,    -52.12,      0.30,      0.25,     -0.15,    -52.98,      0.26,      0.43,      0.47,    -46.13,      0.42,     19.99,      1.00,     -2.90,      0.31,      0.26,     -5.08,      0.34,      0.47,      3.18,      0.43,     19.99,     -1.60,      2.47,
edge_30_70,    -42.22,      0.08,      0.07,      0.02,    -42.17,      0.10,      0.08,     -0.11,    -42.14,      0.09,      0.09,     -0.05,    -43.83,      0.28,      0.42,      0.37,    -42.49,      1.06,      1.01,      0.77,    -43.48,      0.16,      0.16,      0.10,     -1.61,      0.29,      0.43,     -0.32,      1.07,      1.01,     -1.34,      0.18,      0.18,     -1.09,      0.47,
edge_65_34,     34.65,      0.12,      0.13,      0.09,     34.64,      0.10,      0.11,     -0.09,     34.07,      0.11,      0.21,      0.47,     34.83,      0.16,      0.17,     -0.00,     34.57,      0.18,      0.26,      0.34,     35.21,      0.39,      0.67,      0.54,      0.18,      0.21,      0.21,     -0.06,      0.20,      0.29,      1.15,      0.41,      0.70,      0.42,      0.38,
edge_65_70,     12.70,      0.10,      0.11,      0.13,     12.83,      0.13,      0.12,     -0.11,     12.58,      0.11,      0.11,      0.04,     11.32,      0.14,      0.15,      0.17,     10.43,      0.11,      0.12,      0.04,     10.37,      0.11,      0.14,      0.25,     -1.39,      0.17,      0.18,     -2.41,      0.17,      0.17,     -2.21,      0.16,      0.18,     -2.00,      0.32,
edge_65_64,     -0.85,      0.08,      0.08,      0.08,     -0.72,      0.09,      0.09,     -0.02,     -0.81,      0.08,      0.09,      0.09,     -1.36,      0.08,      0.08,     -0.16,     -1.03,      0.09,      0.09,      0.05,      0.00,      0.14,      0.12,     -0.22,     -0.52,      0.11,      0.11,     -0.31,      0.13,      0.13,      0.81,      0.16,      0.15,     -0.01,      0.41,
edge_65_63,     -2.48,      0.05,      0.06,     -0.01,     -2.52,      0.05,      0.06,      0.01,     -2.51,      0.07,      0.06,     -0.03,     -2.52,      0.09,      0.09,     -0.01,     -3.50,      0.07,      0.07,     -0.09,     -2.97,      0.10,      0.11,      0.13,     -0.04,      0.10,      0.11,     -0.98,      0.09,      0.09,     -0.45,      0.12,      0.12,     -0.49,      0.28,
edge_65_20,     -1.64,      0.07,      0.07,      0.04,     -1.70,      0.08,      0.07,     -0.04,     -1.70,      0.08,      0.07,     -0.02,     -3.69,      0.14,      1.51,      0.98,     -2.22,      0.15,      0.44,      0.75,     -2.54,      0.16,      0.31,      0.54,     -2.05,      0.15,      1.51,     -0.52,      0.17,      0.45,     -0.83,      0.18,      0.32,     -1.13,      0.47,
edge_49_58,     26.99,      0.11,      0.11,      0.07,     27.09,      0.11,      0.12,      0.17,     27.22,      0.09,      0.11,      0.10,     23.72,      0.20,      0.13,     -0.37,     23.84,      0.15,      0.12,     -0.29,     22.17,      0.13,      0.20,      0.40,     -3.26,      0.23,      0.17,     -3.24,      0.18,      0.17,     -5.04,      0.16,      0.23,     -3.85,      0.60,
edge_49_42,     33.21,      0.17,      0.16,     -0.15,     32.80,      0.19,      0.16,     -0.18,     32.81,      0.18,      0.16,     -0.06,     28.98,      0.13,      0.13,     -0.20,     27.77,      0.16,      0.41,      0.69,     29.29,      0.18,      0.19,      0.10,     -4.22,      0.21,      0.20,     -5.03,      0.25,      0.44,     -3.53,      0.25,      0.25,     -4.26,      0.45,
edge_49_44,     33.42,      0.06,      0.06,     -0.03,     33.42,      0.06,      0.06,      0.05,     33.37,      0.05,      0.06,      0.04,     32.57,      0.15,      0.28,      0.55,     31.64,      0.13,      0.12,     -0.15,     31.80,      0.11,      0.11,     -0.08,     -0.86,      0.16,      0.29,     -1.77,      0.14,      0.13,     -1.57,      0.12,      0.13,     -1.40,      0.28,
edge_24_69,    -65.19,      0.10,      0.09,     -0.04,    -65.41,      0.11,      0.10,     -0.08,    -65.22,      0.10,      0.09,     -0.09,    -67.30,      0.14,      0.28,      0.58,    -68.12,      0.20,      0.20,     -0.06,    -68.81,      0.15,      0.16,      0.02,     -2.11,      0.17,      0.29,     -2.71,      0.23,      0.22,     -3.59,      0.18,      0.19,     -2.80,      0.44,
edge_24_70,    -56.28,      0.11,      0.10,      0.01,    -56.40,      0.10,      0.09,     -0.01,    -56.58,      0.07,      0.09,      0.14,    -59.02,      0.13,      0.16,      0.16,    -58.75,      0.17,      0.16,     -0.08,    -59.18,      0.11,      0.15,      0.22,     -2.74,      0.17,      0.19,     -2.35,      0.19,      0.18,     -2.59,      0.13,      0.17,     -2.56,      0.14,
edge_24_34,    -52.86,      0.11,      0.11,     -0.05,    -53.03,      0.11,      0.11,     -0.12,    -52.87,      0.11,      0.12,     -0.02,    -54.19,      0.11,      0.14,      0.08,    -54.19,      0.22,      0.19,     -0.03,    -53.19,      0.17,      0.19,      0.17,     -1.33,      0.16,      0.18,     -1.16,      0.24,      0.22,     -0.31,      0.20,      0.22,     -0.93,      0.33,
edge_67_56,     59.04,      0.11,      0.12,      0.07,     58.80,      0.14,      0.13,     -0.03,     59.03,      0.11,      0.14,      0.17,     58.11,      0.25,      0.34,      0.34,     56.76,      0.22,      0.43,      0.62,     58.53,      0.27,      0.55,      0.68,     -0.93,      0.27,      0.36,     -2.04,      0.26,      0.45,     -0.50,      0.30,      0.57,     -1.16,      0.47,
edge_67_57,     70.81,      0.12,      0.13,      0.03,     70.56,      0.14,      0.13,     -0.05,     70.38,      0.12,      0.13,      0.06,     72.01,      0.26,      0.55,      0.67,     71.60,      0.51,      0.53,     -0.11,     70.94,      0.35,      0.33,     -0.01,      1.20,      0.29,      0.56,      1.04,      0.53,      0.54,      0.56,      0.37,      0.36,      0.93,      0.27,
edge_67_64,     56.78,      0.18,      0.19,     -0.06,     56.62,      0.25,      0.26,      0.02,     57.08,      0.20,      0.23,      0.14,     59.22,      0.21,      0.26,      0.11,     59.56,      0.31,      0.42,      0.29,     58.12,      0.20,      0.19,     -0.00,      2.44,      0.28,      0.32,      2.94,      0.40,      0.49,      1.04,      0.28,      0.30,      2.14,      0.59,
edge_62_70,      4.42,      0.06,      0.06,     -0.01,      4.32,      0.06,      0.06,      0.05,      4.48,      0.06,      0.06,     -0.05,      2.73,      0.09,      0.14,      0.32,      2.38,      0.11,      0.10,     -0.05,      1.83,      0.08,      0.08,     -0.11,     -1.69,      0.10,      0.15,     -1.94,      0.13,      0.12,     -2.65,      0.10,      0.10,     -2.09,      0.29,
edge_62_31,     37.19,      0.09,      0.09,     -0.02,     37.48,      0.09,      0.09,     -0.01,     37.31,      0.10,      0.09,     -0.07,     36.94,      0.11,      0.14,      0.22,     37.76,      0.15,      0.19,      0.34,     36.55,      0.11,      0.12,     -0.03,     -0.25,      0.14,      0.17,      0.28,      0.18,      0.21,     -0.76,      0.15,      0.15,     -0.24,      0.30,
edge_56_69,     -2.13,      0.11,      0.11,     -0.02,     -2.23,      0.09,      0.10,     -0.01,     -2.18,      0.11,      0.10,      0.01,     -1.14,      0.10,      0.10,      0.08,     -3.42,      0.15,      0.36,      0.68,     -1.22,      0.06,      0.06,     -0.16,      0.99,      0.14,      0.14,     -1.19,      0.17,      0.38,      0.97,      0.12,      0.12,      0.26,      0.72,
edge_59_35,    -12.35,      0.06,      0.07,      0.10,    -12.52,      0.08,      0.08,     -0.01,    -12.39,      0.07,      0.07,     -0.01,    -14.67,      0.11,      0.13,      0.27,    -14.65,      0.11,      0.10,     -0.10,    -13.97,      0.14,      0.16,      0.10,     -2.32,      0.12,      0.15,     -2.13,      0.13,      0.13,     -1.58,      0.16,      0.18,     -2.01,      0.23,
edge_59_52,    -10.05,      0.08,      0.08,      0.03,    -10.09,      0.08,      0.08,      0.01,    -10.05,      0.07,      0.08,      0.15,    -12.20,      0.18,      0.24,      0.27,    -10.36,      0.21,      0.22,      0.19,    -10.86,      0.11,      0.17,      0.30,     -2.15,      0.20,      0.25,     -0.27,      0.22,      0.23,     -0.81,      0.13,      0.19,     -1.08,      0.56,
edge_59_47,     -4.09,      0.05,      0.06,      0.06,     -4.03,      0.06,      0.06,      0.03,     -3.98,      0.05,      0.06,      0.06,     -1.70,      0.23,      0.33,      0.43,     -4.99,      0.12,      0.14,      0.16,     -0.78,      0.11,      0.13,      0.11,      2.39,      0.24,      0.34,     -0.96,      0.14,      0.15,      3.20,      0.13,      0.15,      1.54,      1.28,
edge_38_26,     -7.22,      0.11,      0.12,      0.08,     -7.37,      0.11,      0.11,      0.03,     -8.48,      0.14,      0.14,      0.06,     -5.94,      0.20,      0.26,      0.23,     -6.02,      0.12,      0.14,      0.16,     -5.27,      0.18,      0.32,      0.46,      1.27,      0.23,      0.29,      1.36,      0.16,      0.17,      3.21,      0.23,      0.35,      1.95,      0.64,
edge_38_41,     13.80,      0.07,      0.08,      0.06,     13.81,      0.07,      0.07,     -0.07,     13.69,      0.08,      0.08,      0.01,     13.68,      0.14,      1.02,      0.96,     13.02,      0.24,      0.54,      0.66,     14.01,      0.18,      0.20,      0.15,     -0.12,      0.15,      1.03,     -0.79,      0.25,      0.54,      0.32,      0.20,      0.22,     -0.20,      0.33,
edge_38_39,    -21.07,      0.07,      0.08,     -0.01,    -21.18,      0.08,      0.08,      0.02,    -21.15,      0.08,      0.07,     -0.04,    -19.28,      0.17,      0.16,      0.00,    -18.73,      0.15,      0.22,      0.28,    -19.30,      0.17,      0.22,      0.31,      1.79,      0.18,      0.18,      2.46,      0.17,      0.23,      1.85,      0.19,      0.24,      2.03,      0.22,
