#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_CHEMBL3265015_CHEMBL3265011  1.19  0.28
edge_CHEMBL3265015_CHEMBL3265017  -1.94  0.70
edge_CHEMBL3265015_CHEMBL3265009  -2.41  0.85
edge_CHEMBL3265015_CHEMBL3264999  -3.86  1.42
edge_CHEMBL3265015_CHEMBL3265014  -0.30  0.90
edge_CHEMBL3265015_CHEMBL3259820  -2.99  0.59
edge_CHEMBL3265031_CHEMBL3265024  0.89  0.45
edge_CHEMBL3265031_CHEMBL3265037  -0.24  0.45
edge_CHEMBL3265031_CHEMBL3265030_n  0.66  0.27
edge_CHEMBL3265021_CHEMBL3265011  3.93  0.15
edge_CHEMBL3265021_CHEMBL3265024  -0.68  0.46
edge_CHEMBL3265021_CHEMBL3265022  0.27  0.27
edge_CHEMBL3265021_CHEMBL3265020  1.42  0.19
edge_CHEMBL3265021_CHEMBL3265017  -0.23  0.10
edge_CHEMBL3265021_CHEMBL3265035  -0.78  0.15
edge_CHEMBL3265021_CHEMBL3265023  -0.53  0.16
edge_CHEMBL3265021_CHEMBL3265013  0.75  0.40
edge_CHEMBL3264998_CHEMBL3264995  -0.03  0.26
edge_CHEMBL3264998_CHEMBL3265001  0.22  0.23
edge_CHEMBL3265035_CHEMBL3265024  -0.90  0.56
edge_CHEMBL3265035_CHEMBL3264996  -2.81  0.66
edge_CHEMBL3265013_CHEMBL3265020  0.62  0.16
edge_CHEMBL3265013_CHEMBL3265023  -1.21  0.28
edge_CHEMBL3265013_CHEMBL3265004  -3.20  0.40
edge_CHEMBL3265013_CHEMBL3265012  -0.72  0.10
edge_CHEMBL3265013_CHEMBL3259820  -1.06  0.09
edge_CHEMBL3265036_CHEMBL3265016  0.45  0.44
edge_CHEMBL3265036_CHEMBL3265029  0.53  0.16
edge_CHEMBL3265034_CHEMBL3265026  -0.66  0.50
edge_CHEMBL3265034_CHEMBL3265027  1.57  0.59
edge_CHEMBL3265034_CHEMBL3265037  -0.78  0.33
edge_CHEMBL3265034_CHEMBL3265033  -1.08  0.14
edge_CHEMBL3265014_CHEMBL3265028  -1.24  0.51
edge_CHEMBL3265014_CHEMBL3265022  -2.50  0.72
edge_CHEMBL3265014_CHEMBL3265025  -1.07  0.25
edge_CHEMBL3265014_CHEMBL3265006  -0.36  0.50
edge_CHEMBL3265009_CHEMBL3265008  0.19  0.08
edge_CHEMBL3265009_CHEMBL3265020  0.43  0.13
edge_CHEMBL3265009_CHEMBL3265005  -0.21  0.36
edge_CHEMBL3265009_CHEMBL3265006  0.04  0.09
edge_CHEMBL3265009_CHEMBL3265003  -2.64  0.98
edge_CHEMBL3265017_CHEMBL3265026  0.06  0.38
edge_CHEMBL3265017_CHEMBL3265024  -0.29  0.23
edge_CHEMBL3265017_CHEMBL3265016  1.32  0.24
edge_CHEMBL3265017_CHEMBL3265027  0.40  0.79
edge_CHEMBL3265017_CHEMBL3265020  1.11  0.44
edge_CHEMBL3265017_CHEMBL3265032  -0.36  0.27
edge_CHEMBL3265017_CHEMBL3265002  -3.93  0.31
edge_CHEMBL3265017_CHEMBL3265029  -0.25  0.17
edge_CHEMBL3265000_CHEMBL3264995  0.00  0.59
edge_CHEMBL3265000_CHEMBL3264997  0.87  0.38
edge_CHEMBL3265000_CHEMBL3264994  5.92  0.50
edge_CHEMBL3265023_CHEMBL3265028  0.38  0.54
edge_CHEMBL3265023_CHEMBL3265022  0.57  0.11
edge_CHEMBL3265023_CHEMBL3265020  1.24  0.29
edge_CHEMBL3265004_CHEMBL3264999  0.98  0.25
edge_CHEMBL3265004_CHEMBL3265002  0.50  0.20
edge_CHEMBL3265004_CHEMBL3265003  -0.37  0.25
edge_CHEMBL3265029_CHEMBL3265016  0.16  0.40
edge_CHEMBL3265029_CHEMBL3265027  0.30  0.07
edge_CHEMBL3265025_CHEMBL3265008  0.70  0.25
