#1_edge   2_ddg  3_ddg_err
#all values in kJ/mol
edge_17124-1_18634-1  0.54  0.11
edge_18626-1_18624-1  0.99  0.09
edge_18636-1_18625-1  -0.35  0.10
edge_18632-1_18624-1  1.07  0.06
edge_18635-1_18625-1  0.48  0.11
edge_18626-1_18658-1  -3.34  0.60
edge_18639-1_18658-1  0.09  0.35
edge_18626-1_18625-1  1.03  0.18
edge_18638-1_18658-1  0.12  0.28
edge_18628-1_18624-1  0.71  0.14
edge_18631-1_18660-1  -0.52  0.21
edge_18638-1_18634-1  0.17  0.23
edge_18626-1_18632-1  -0.15  0.10
edge_18626-1_18630-1  0.46  0.11
edge_18631-1_18624-1  2.54  0.13
edge_18629-1_18627-1  -0.28  0.12
edge_18634-1_18637-1  -0.79  0.27
edge_18626-1_18627-1  0.08  0.17
edge_18631-1_18652-1  -1.43  0.41
edge_18637-1_18631-1  1.63  0.61
edge_18626-1_18634-1  -1.90  0.40
edge_18633-1_18624-1  0.94  0.06
edge_17124-1_18631-1  2.30  0.17
edge_18627-1_18630-1  0.20  0.07
edge_18659-1_18634-1  -0.51  0.14
edge_18636-1_18624-1  -0.45  0.35
edge_18626-1_18628-1  0.20  0.26
edge_18626-1_18660-1  -1.39  0.21
edge_18626-1_18659-1  -3.57  0.57
edge_18639-1_18634-1  0.49  0.08
edge_18635-1_18624-1  0.52  0.15
