leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_1495_5109,     55.68,      0.13,      0.09,     -0.33,     55.76,      0.13,      0.10,     -0.33,     55.68,      0.11,      0.09,     -0.27,     53.90,      0.20,      0.16,     -0.13,     53.99,      0.23,      0.16,     -0.28,     54.94,      0.13,      0.16,      0.08,     -1.78,      0.24,      0.18,     -1.77,      0.26,      0.19,     -0.74,      0.17,      0.18,     -1.43,      0.36,
edge_1495_3040,     22.18,      0.10,      0.11,      0.13,     22.21,      0.08,      0.11,      0.14,     22.14,      0.10,      0.11,     -0.04,     19.81,      0.21,      0.20,     -0.13,     20.44,      0.22,      0.19,     -0.09,     20.30,      0.17,      0.24,      0.34,     -2.37,      0.23,      0.23,     -1.77,      0.23,      0.22,     -1.84,      0.20,      0.26,     -1.99,      0.21,
edge_1495_2606,     22.09,      0.10,      0.11,      0.10,     21.87,      0.11,      0.09,     -0.01,     21.81,      0.10,      0.09,     -0.13,     21.08,      0.30,      0.34,      0.15,     18.11,      0.22,      0.47,      0.67,     22.44,      0.22,      0.28,      0.14,     -1.01,      0.32,      0.36,     -3.76,      0.25,      0.48,      0.63,      0.24,      0.29,     -1.38,      1.28,
edge_1495_6691,     25.67,      0.11,      0.11,      0.04,     25.38,      0.11,      0.11,      0.02,     25.37,      0.10,      0.11,     -0.02,     23.75,      0.17,      0.20,      0.05,     24.25,      0.21,      0.20,      0.10,     24.65,      0.18,      0.25,      0.29,     -1.92,      0.20,      0.23,     -1.13,      0.24,      0.23,     -0.72,      0.21,      0.27,     -1.26,      0.36,
edge_2359_3053,     -8.84,      0.09,      0.08,     -0.09,     -8.70,      0.07,      0.08,      0.08,     -8.75,      0.08,      0.08,      0.02,     -5.12,      0.15,      0.17,      0.12,     -6.00,      0.18,      0.23,      0.21,     -5.80,      0.22,      0.24,      0.17,      3.72,      0.17,      0.19,      2.70,      0.19,      0.24,      2.95,      0.23,      0.25,      3.12,      0.32,
edge_3053_8602,     -5.21,      0.08,      0.09,      0.00,     -5.26,      0.10,      0.09,      0.01,     -5.37,      0.09,      0.10,     -0.02,     -5.37,      0.16,      0.20,      0.25,     -7.95,      0.26,      0.29,      0.05,     -7.26,      0.12,      0.26,      0.63,     -0.16,      0.18,      0.22,     -2.69,      0.28,      0.30,     -1.89,      0.15,      0.28,     -1.58,      0.75,
edge_0529_6770,     -0.38,      0.06,      0.06,     -0.02,     -0.42,      0.07,      0.07,     -0.05,     -0.33,      0.05,      0.06,      0.06,      1.36,      0.12,      0.38,      0.76,      1.70,      0.36,      0.34,     -0.03,      3.03,      0.24,      0.24,     -0.03,      1.74,      0.13,      0.38,      2.12,      0.37,      0.35,      3.36,      0.25,      0.25,      2.41,      0.51,
edge_0681_6770,      6.98,      0.08,      0.10,      0.02,      9.46,      0.19,      0.51,      0.73,      9.27,      0.13,      0.45,      0.84,     10.19,      0.21,      4.86,      1.00,     10.18,      0.13,      1.67,      0.99,     10.23,      0.12,      2.79,      1.00,      3.21,      0.22,      4.86,      0.72,      0.23,      1.75,      0.96,      0.18,      2.83,      1.63,      0.79,
edge_0798_1859,      5.79,      0.07,      0.07,     -0.06,      5.83,      0.08,      0.08,      0.02,      5.76,      0.07,      0.07,     -0.05,      4.51,      0.23,      0.26,     -0.06,      5.41,      0.51,      0.44,     -0.27,      3.77,      0.12,      0.10,     -0.31,     -1.28,      0.24,      0.27,     -0.42,      0.52,      0.45,     -1.99,      0.14,      0.12,     -1.23,      0.47,
edge_0798_9022,     -0.42,      0.05,      0.05,     -0.00,     -0.38,      0.05,      0.06,     -0.04,     -0.47,      0.05,      0.05,     -0.07,      0.83,      0.15,      0.11,     -0.15,      0.72,      0.10,      0.10,     -0.13,     -0.13,      0.10,      0.10,     -0.15,      1.25,      0.16,      0.12,      1.10,      0.11,      0.12,      0.34,      0.11,      0.11,      0.90,      0.28,
edge_0798_4451,    -18.95,      0.07,      0.07,     -0.02,    -18.91,      0.07,      0.07,     -0.06,    -18.88,      0.07,      0.07,     -0.00,    -16.43,      0.13,      0.17,      0.25,    -15.86,      0.11,      0.11,     -0.04,    -17.47,      0.17,      0.17,      0.11,      2.52,      0.15,      0.18,      3.05,      0.13,      0.13,      1.41,      0.18,      0.18,      2.33,      0.49,
edge_0798_6770,     19.07,      0.06,      0.06,      0.06,     19.16,      0.06,      0.07,      0.01,     19.74,      0.12,      0.12,      0.01,     21.62,      0.18,      0.29,      0.40,     22.66,      0.24,      0.25,      0.08,     21.53,      0.18,      0.19,      0.11,      2.55,      0.19,      0.30,      3.50,      0.25,      0.26,      1.79,      0.22,      0.22,      2.61,      0.51,
edge_0798_7447,     12.47,      0.08,     18.57,      1.00,     19.46,      0.08,      0.08,      0.02,     12.49,      0.12,     15.29,      1.00,     20.64,      0.16,      0.13,     -0.24,     21.83,      0.11,      0.12,     -0.14,     20.13,      0.14,      0.14,     -0.02,      8.17,      0.18,     18.57,      2.37,      0.14,      0.14,      7.64,      0.18,     15.29,      6.06,      1.85,
edge_1537_6770,      4.08,      0.09,      0.11,      0.01,      4.74,      0.12,      0.16,      0.13,      4.16,      0.11,      0.11,     -0.09,      3.79,      0.16,      0.22,      0.13,      4.55,      0.39,      0.58,      0.43,      5.94,      0.34,      0.41,      0.09,     -0.29,      0.18,      0.25,     -0.19,      0.41,      0.60,      1.78,      0.36,      0.42,      0.43,      0.69,
edge_1859_9373,      8.14,      0.05,      0.06,      0.10,      8.25,      0.04,      0.06,      0.04,      8.19,      0.05,      0.06,      0.06,      9.70,      0.19,      0.22,      0.09,      8.00,      0.16,      0.13,     -0.17,      8.21,      0.13,      0.21,      0.33,      1.56,      0.20,      0.23,     -0.25,      0.16,      0.14,      0.02,      0.14,      0.22,      0.44,      0.57,
edge_1859_8654,     10.91,      0.06,      0.07,      0.02,     11.00,      0.07,      0.07,     -0.06,     10.91,      0.06,      0.06,     -0.06,     10.71,      0.13,      0.23,      0.46,     11.55,      0.31,      0.47,      0.33,     13.43,      0.10,      0.13,      0.06,     -0.20,      0.14,      0.24,      0.55,      0.32,      0.48,      2.52,      0.12,      0.14,      0.96,      0.82,
edge_1872_6770,      1.26,      0.11,      0.41,      0.87,      1.25,      0.13,      0.40,      0.80,      1.03,      0.13,      0.36,      0.66,      3.61,      0.53,      0.78,      0.57,      2.85,      0.20,      2.17,      0.98,      2.94,      0.36,      1.18,      0.89,      2.35,      0.54,      0.88,      1.60,      0.24,      2.21,      1.91,      0.38,      1.23,      1.95,      0.29,
edge_2879_6770,      9.23,      0.12,      0.11,      0.00,     11.55,      0.13,      0.52,      0.85,     11.54,      0.11,      0.40,      0.85,     11.38,      0.20,      1.88,      0.98,      9.25,      0.16,      0.32,      0.61,     10.84,      0.22,      3.38,      0.99,      2.15,      0.23,      1.88,     -2.30,      0.21,      0.61,     -0.70,      0.25,      3.40,     -0.28,      1.31,
edge_3507_6770,      8.09,      0.12,      0.44,      0.87,      8.07,      0.12,      0.37,      0.73,      7.99,      0.10,      0.43,      0.85,      4.84,      0.81,      0.59,     -0.03,      8.81,      0.13,      0.82,      0.94,      7.40,      0.20,      0.95,      0.92,     -3.25,      0.82,      0.74,      0.74,      0.18,      0.90,     -0.59,      0.22,      1.04,     -1.03,      1.19,
edge_4326_8654,      0.88,      0.10,      0.10,      0.09,      0.85,      0.10,      0.11,     -0.02,      0.95,      0.09,      0.10,      0.04,     -3.24,      0.26,      0.32,      0.14,     -5.19,      0.30,      0.32,      0.11,     -4.22,      0.25,      0.30,      0.10,     -4.12,      0.28,      0.34,     -6.04,      0.32,      0.34,     -5.17,      0.27,      0.32,     -5.11,      0.57,
edge_4451_6674,     26.52,      0.08,      0.08,      0.02,     26.66,      0.08,      0.09,     -0.04,     26.62,      0.09,      0.09,      0.05,     24.73,      0.13,      0.17,      0.33,     24.46,      0.12,      0.10,     -0.17,     24.22,      0.12,      0.15,      0.27,     -1.79,      0.15,      0.19,     -2.20,      0.14,      0.13,     -2.40,      0.15,      0.17,     -2.13,      0.19,
edge_5602_7454,     25.81,      0.06,      0.06,      0.01,     25.83,      0.05,      0.06,      0.00,     25.91,      0.06,      0.06,     -0.02,     27.70,      0.11,      0.17,      0.34,     28.11,      0.13,      0.12,     -0.02,     27.75,      0.14,      0.19,      0.23,      1.89,      0.13,      0.18,      2.28,      0.14,      0.13,      1.84,      0.15,      0.20,      2.00,      0.15,
edge_6674_6770,     -5.00,      0.12,      0.44,      0.85,     -4.85,      0.12,      0.50,      0.87,     -5.02,      0.15,      0.50,      0.84,     -3.02,      0.27,      0.43,      0.40,     -3.00,      0.12,      1.69,      0.99,     -1.57,      0.36,      1.04,      0.88,      1.98,      0.30,      0.62,      1.85,      0.17,      1.76,      3.45,      0.39,      1.15,      2.43,      0.51,
edge_6770_8794,     43.25,      0.09,      0.40,      0.89,     44.86,      0.14,      0.15,      0.09,     42.92,      0.15,      0.43,      0.75,     40.74,      0.13,      0.75,      0.93,     41.12,      0.37,      0.65,      0.62,     39.92,      0.26,      0.42,      0.41,     -2.51,      0.16,      0.85,     -3.74,      0.40,      0.67,     -3.00,      0.30,      0.60,     -3.08,      0.38,
edge_6770_8550,    -10.42,      0.07,      0.07,      0.01,    -10.38,      0.07,      0.07,     -0.07,    -10.47,      0.08,      0.08,      0.06,    -11.56,      0.26,      0.32,      0.07,    -11.62,      0.39,      0.73,      0.63,    -13.19,      0.23,      0.28,      0.19,     -1.14,      0.27,      0.33,     -1.24,      0.40,      0.73,     -2.72,      0.24,      0.29,     -1.70,      0.53,
edge_0681_7454,      6.82,      0.08,      0.09,     -0.03,      6.75,      0.07,      0.08,      0.06,      6.82,      0.09,      0.09,     -0.03,      5.96,      0.29,      0.29,      0.11,      7.57,      0.24,      0.28,      0.12,      5.86,      0.24,      0.23,      0.04,     -0.86,      0.30,      0.30,      0.82,      0.25,      0.29,     -0.96,      0.26,      0.25,     -0.33,      0.59,
edge_9373_5602,    -13.49,      0.09,      0.09,      0.00,    -13.71,      0.10,      0.09,     -0.16,    -13.81,      0.08,      0.09,      0.05,    -14.13,      0.18,      0.23,      0.06,    -14.64,      0.21,      0.26,      0.06,    -14.23,      0.24,      0.28,      0.23,     -0.64,      0.20,      0.25,     -0.93,      0.23,      0.28,     -0.42,      0.25,      0.29,     -0.66,      0.18,
