,val,err,aerr,conv,env,repeat,target,edge
1309,-85.66,0.23,0.25,0.07,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
1310,-71.17,0.33,0.37,0.0,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
1312,50.25,0.28,0.33,0.21,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
1313,-28.5,0.22,0.26,0.1,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
1318,17.87,0.36,0.37,-0.03,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
1319,31.14,0.15,0.12,-0.14,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
1320,-3.8,0.07,0.07,0.05,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
1321,138.39,0.2,0.19,-0.1,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
1326,173.98,0.14,0.19,0.29,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
1331,0.52,0.04,0.04,0.0,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
1332,2.69,0.04,0.04,-0.06,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
1333,131.55,0.05,0.05,-0.07,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
1335,-4.56,0.07,0.07,-0.07,complex,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
1336,-3.35,0.04,0.08,0.46,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
1337,5.04,0.03,0.05,0.14,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
1339,-2.77,0.04,0.05,0.15,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
1340,50.89,0.11,0.12,0.03,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
1341,-102.74,0.11,0.11,-0.01,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
1342,-81.01,0.11,0.11,0.02,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
1343,27.28,0.03,0.03,-0.18,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
1345,-80.13,0.06,0.07,0.18,complex,1,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
1346,-24.62,0.11,0.13,0.25,complex,1,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
1348,-26.07,0.08,0.09,0.07,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
1350,-35.29,0.21,0.22,-0.0,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
1351,-32.49,0.11,0.23,0.61,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
1353,-141.05,0.33,0.34,0.1,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
1355,23.7,0.24,0.29,0.22,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
1356,-11.18,0.14,0.16,0.11,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
