,ligandA,ligandB,D_mol_weight,D_rot_bonds,D_rings,D_heavy_atoms,D_atoms,D_charge,charge
jnk1_edge_17124-1_18631-1,17124-1,18631-1,107.92107675200003,2.0,0.0,3.0,4.0,0.0,no_charge
jnk1_edge_17124-1_18634-1,17124-1,18634-1,77.910512068,0.0,0.0,1.0,0.0,0.0,no_charge
jnk1_edge_18626-1_18624-1,18626-1,18624-1,33.96102764799997,0.0,0.0,1.0,0.0,0.0,no_charge
jnk1_edge_18626-1_18625-1,18626-1,18625-1,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
jnk1_edge_18626-1_18627-1,18626-1,18627-1,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
jnk1_edge_18626-1_18628-1,18626-1,18628-1,19.945377583999914,1.0,0.0,0.0,3.0,0.0,no_charge
jnk1_edge_18626-1_18630-1,18626-1,18630-1,19.945377583999914,1.0,0.0,0.0,3.0,0.0,no_charge
jnk1_edge_18626-1_18632-1,18626-1,18632-1,3.9504629639999393,2.0,0.0,1.0,4.0,0.0,no_charge
jnk1_edge_18626-1_18634-1,18626-1,18634-1,26.06010172000009,4.0,0.0,3.0,8.0,0.0,no_charge
jnk1_edge_18626-1_18658-1,18626-1,18658-1,42.05501634000012,5.0,0.0,4.0,9.0,0.0,no_charge
jnk1_edge_18626-1_18659-1,18626-1,18659-1,56.07066640400012,6.0,0.0,5.0,12.0,0.0,no_charge
jnk1_edge_18626-1_18660-1,18626-1,18660-1,104.03765202400012,6.0,0.0,7.0,14.0,0.0,no_charge
jnk1_edge_18627-1_18630-1,18627-1,18630-1,19.945377583999914,1.0,0.0,0.0,3.0,0.0,no_charge
jnk1_edge_18628-1_18624-1,18628-1,18624-1,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
jnk1_edge_18629-1_18627-1,18629-1,18627-1,19.945377583999914,1.0,0.0,0.0,3.0,0.0,no_charge
jnk1_edge_18631-1_18624-1,18631-1,18624-1,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
jnk1_edge_18631-1_18652-1,18631-1,18652-1,122.00376505200012,5.0,0.0,7.0,13.0,0.0,no_charge
jnk1_edge_18631-1_18660-1,18631-1,18660-1,107.98811498800006,4.0,0.0,6.0,10.0,0.0,no_charge
jnk1_edge_18632-1_18624-1,18632-1,18624-1,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
jnk1_edge_18633-1_18624-1,18633-1,18624-1,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
jnk1_edge_18634-1_18637-1,18634-1,18637-1,57.021463716000085,3.0,0.0,4.0,7.0,0.0,no_charge
jnk1_edge_18635-1_18624-1,18635-1,18624-1,28.03130012800011,2.0,0.0,2.0,6.0,0.0,no_charge
jnk1_edge_18635-1_18625-1,18635-1,18625-1,5.929727519999858,2.0,0.0,1.0,6.0,0.0,no_charge
jnk1_edge_18636-1_18624-1,18636-1,18624-1,155.82102413599995,0.0,0.0,2.0,0.0,0.0,no_charge
jnk1_edge_18636-1_18625-1,18636-1,18625-1,121.85999648799998,0.0,0.0,1.0,0.0,0.0,no_charge
jnk1_edge_18637-1_18631-1,18637-1,18631-1,87.03202840000012,5.0,0.0,6.0,11.0,0.0,no_charge
jnk1_edge_18638-1_18634-1,18638-1,18634-1,77.97755030400003,2.0,0.0,4.0,6.0,0.0,no_charge
jnk1_edge_18638-1_18658-1,18638-1,18658-1,61.982635684,1.0,0.0,3.0,5.0,0.0,no_charge
jnk1_edge_18639-1_18634-1,18639-1,18634-1,44.98507820799995,1.0,0.0,3.0,2.0,0.0,no_charge
jnk1_edge_18639-1_18658-1,18639-1,18658-1,28.990163587999916,0.0,0.0,2.0,1.0,0.0,no_charge
jnk1_edge_18659-1_18634-1,18659-1,18634-1,30.01056468400003,2.0,0.0,2.0,4.0,0.0,no_charge
pde2_edge_43249674_48022468,43249674,48022468,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
pde2_edge_43249674_49175789,43249674,49175789,72.05751487600025,5.0,0.0,5.0,13.0,0.0,no_charge
pde2_edge_48009208_43249674,48009208,43249674,17.990578187999972,0.0,0.0,1.0,0.0,0.0,no_charge
pde2_edge_48009208_49137374,48009208,49137374,12.019986496000115,2.0,0.0,1.0,4.0,0.0,no_charge
pde2_edge_48168913_48022468,48168913,48022468,36.940706803999944,1.0,0.0,1.0,2.0,0.0,no_charge
pde2_edge_48168913_48271249,48168913,48271249,15.994914620000031,1.0,0.0,1.0,1.0,0.0,no_charge
pde2_edge_48168913_49585367,48168913,49585367,60.021129368000175,4.0,0.0,4.0,8.0,0.0,no_charge
