,val,err,aerr,conv,env,repeat,target,edge,failed
0,24.27,0.64,4389.82,1.0,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402756_2.7,False
1,-27.06,0.27,0.34,0.24,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90,False
2,-3.51,0.25,0.25,0.04,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90,False
3,27.96,1.19,6.26,0.99,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402756_2.7,False
4,-2.35,0.19,0.26,0.32,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90,False
5,-19.79,0.16,0.18,0.12,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23,False
6,11.3,0.63,11.32,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402756_2.7,False
7,-17.72,0.53,40.66,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402758_10,False
8,17.44,0.65,32.45,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402760_1,False
9,26.65,0.37,11.14,1.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402762_1,False
10,-23.27,0.15,0.16,0.13,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90,False
11,-1.27,0.08,0.08,0.07,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90,False
12,-2.49,0.08,0.08,-0.02,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5,False
13,44.2,0.17,0.19,0.08,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12,False
14,54.95,0.2,0.72,0.83,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7,False
15,63.45,0.4,0.37,-0.01,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5,False
16,26.7,0.18,0.21,0.18,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23,False
