,val,err,aerr,conv,env,repeat,target,edge
1,-22.35,0.19,0.21,0.05,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
2,-0.79,0.22,0.4,0.63,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
4,-2.01,0.24,0.25,0.02,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
5,-20.96,0.14,0.16,0.09,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
10,-24.89,0.23,0.31,0.29,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
11,-1.6,0.1,0.09,0.0,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
12,-3.4,0.08,0.08,-0.04,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
13,45.81,0.14,0.14,-0.03,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
14,55.27,0.53,0.65,0.3,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
16,25.53,0.18,0.18,-0.09,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
17,46.72,0.16,0.2,0.15,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
18,52.09,0.15,0.17,0.11,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
19,49.28,0.18,0.16,-0.11,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
21,-43.98,0.14,0.12,-0.04,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
22,22.32,0.09,0.18,0.55,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
23,9.2,0.05,0.05,0.1,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
24,2.48,0.04,0.04,-0.01,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
25,36.51,0.06,0.06,-0.13,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
27,-0.94,0.1,0.09,-0.09,complex,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
28,-7.3,0.13,0.13,-0.08,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8
29,-0.44,0.04,0.04,-0.07,complex,1,cmet,edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9
31,6.73,0.04,0.05,0.17,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11
32,-59.7,0.07,0.06,-0.14,complex,1,cmet,edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14
33,-9.79,0.12,0.12,-0.01,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7
34,8.7,0.08,0.07,-0.13,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10
35,26.36,0.03,0.03,-0.06,complex,1,cmet,edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15
37,-95.35,0.08,0.09,0.19,complex,1,cmet,edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14
38,-8.17,0.13,0.15,0.03,complex,1,cmet,edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7
40,27.87,0.08,0.08,0.03,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402756_2.7
41,36.89,0.15,0.23,0.4,complex,1,cmet,edge_CHEMBL3402758_10_CHEMBL3402760_1
42,-1.51,0.26,0.2,-0.16,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5
43,-35.72,0.17,0.22,0.31,complex,1,cmet,edge_CHEMBL3402759_5.7_CHEMBL3402758_10
45,-100.09,0.37,0.36,0.04,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14
46,-3.71,0.27,0.63,0.7,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15
47,-22.31,0.26,0.25,0.04,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402760_1
48,-16.12,0.24,0.24,-0.05,complex,1,cmet,edge_CHEMBL3402761_1_21_CHEMBL3402762_1
49,-8.18,0.26,0.32,0.19,complex,1,cmet,edge_CHEMBL3402762_1_CHEMBL3402760_1
50,21.98,0.13,0.16,0.18,complex,1,cmet,edge_CHEMBL3402763_90_CHEMBL3402764_90
51,-25.89,0.15,0.18,0.17,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23
52,-4.21,0.12,0.14,0.11,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42
53,-47.67,0.29,0.73,0.75,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4
54,-51.13,0.41,0.39,-0.08,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5
56,-6.68,0.21,0.24,0.23,complex,1,cmet,edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90
58,-24.55,0.3,0.36,0.19,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
59,-1.55,0.26,0.42,0.45,complex,2,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
61,-1.51,0.3,0.22,-0.13,complex,2,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
62,-21.07,0.15,0.16,0.07,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
67,-24.41,0.15,0.15,-0.02,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
68,-2.64,0.14,0.19,0.29,complex,2,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
69,-3.6,0.07,0.07,-0.02,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
70,45.92,0.18,0.17,0.01,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
71,55.54,0.31,0.56,0.55,complex,2,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7
73,25.82,0.22,0.2,-0.08,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
74,47.07,0.18,0.16,-0.05,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
75,51.54,0.21,0.22,0.09,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
76,49.23,0.16,0.16,0.03,complex,2,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
78,-44.5,0.11,0.18,0.37,complex,2,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
